auction,bidder,price,dateTime,extra,processed_time
2700142,900318,6991.6,2026-04-23T22:00:44.631Z,bid-extra-60357900010,2026-04-23T23:55:14.039Z
2700272,900628,7627.2,2026-04-23T22:00:44.631Z,bid-extra-60357900020,2026-04-23T23:55:14.039Z
2700402,900938,8262.800000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900030,2026-04-23T23:55:14.039Z
2700532,901248,8898.4,2026-04-23T22:00:44.631Z,bid-extra-60357900040,2026-04-23T23:55:14.039Z
2700792,901868,10169.6,2026-04-23T22:00:44.632Z,bid-extra-60357900060,2026-04-23T23:55:14.039Z
2700922,902178,10805.2,2026-04-23T22:00:44.632Z,bid-extra-60357900070,2026-04-23T23:55:14.039Z
2701052,902488,11440.800000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900080,2026-04-23T23:55:14.039Z
2701182,902798,12076.4,2026-04-23T22:00:44.632Z,bid-extra-60357900090,2026-04-23T23:55:14.039Z
2701442,903418,4358.400000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900110,2026-04-23T23:55:14.039Z
2701572,903728,4994.0,2026-04-23T22:00:44.632Z,bid-extra-60357900120,2026-04-23T23:55:14.039Z
2701702,904038,1089.6000000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900130,2026-04-23T23:55:14.039Z
2701832,904348,1725.2,2026-04-23T22:00:44.632Z,bid-extra-60357900140,2026-04-23T23:55:14.039Z
2702092,904968,2996.4,2026-04-23T22:00:44.633Z,bid-extra-60357900160,2026-04-23T23:55:14.039Z
2702222,905278,3632.0,2026-04-23T22:00:44.633Z,bid-extra-60357900170,2026-04-23T23:55:14.039Z
2702352,905588,4267.6,2026-04-23T22:00:44.633Z,bid-extra-60357900180,2026-04-23T23:55:14.039Z
2702482,905898,4903.2,2026-04-23T22:00:44.633Z,bid-extra-60357900190,2026-04-23T23:55:14.039Z
2702742,906518,6174.400000000001,2026-04-23T22:00:44.633Z,bid-extra-60357900210,2026-04-23T23:55:14.039Z
2702872,906828,6810.0,2026-04-23T22:00:44.633Z,bid-extra-60357900220,2026-04-23T23:55:14.039Z
2703002,907138,7445.6,2026-04-23T22:00:44.633Z,bid-extra-60357900230,2026-04-23T23:55:14.039Z
2703132,907448,8081.2,2026-04-23T22:00:44.633Z,bid-extra-60357900240,2026-04-23T23:55:14.039Z
2703392,908068,4812.400000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900260,2026-04-23T23:55:14.039Z
2703522,908378,5448.0,2026-04-23T22:00:44.634Z,bid-extra-60357900270,2026-04-23T23:55:14.039Z
2703652,908688,6083.6,2026-04-23T22:00:44.634Z,bid-extra-60357900280,2026-04-23T23:55:14.039Z
2703782,908998,6719.2,2026-04-23T22:00:44.634Z,bid-extra-60357900290,2026-04-23T23:55:14.039Z
2704042,909618,7990.400000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900310,2026-04-23T23:55:14.039Z
2704172,909928,8626.0,2026-04-23T22:00:44.634Z,bid-extra-60357900320,2026-04-23T23:55:14.039Z
2704302,910238,9261.6,2026-04-23T22:00:44.634Z,bid-extra-60357900330,2026-04-23T23:55:14.039Z
2704432,910548,9897.2,2026-04-23T22:00:44.634Z,bid-extra-60357900340,2026-04-23T23:55:14.039Z
2704692,911168,11168.4,2026-04-23T22:00:44.635Z,bid-extra-60357900360,2026-04-23T23:55:14.039Z
2704822,911478,7264.0,2026-04-23T22:00:44.635Z,bid-extra-60357900370,2026-04-23T23:55:14.039Z
2704952,911788,7899.6,2026-04-23T22:00:44.635Z,bid-extra-60357900380,2026-04-23T23:55:14.039Z
2705082,912098,8535.2,2026-04-23T22:00:44.635Z,bid-extra-60357900390,2026-04-23T23:55:14.039Z
2705342,912718,9806.4,2026-04-23T22:00:44.635Z,bid-extra-60357900410,2026-04-23T23:55:14.039Z
2705472,913028,10442.0,2026-04-23T22:00:44.635Z,bid-extra-60357900420,2026-04-23T23:55:14.039Z
2705602,913338,11077.6,2026-04-23T22:00:44.635Z,bid-extra-60357900430,2026-04-23T23:55:14.039Z
2705732,913648,11713.2,2026-04-23T22:00:44.635Z,bid-extra-60357900440,2026-04-23T23:55:14.039Z
2705992,914268,3995.2000000000003,2026-04-23T22:00:44.636Z,bid-extra-60357900460,2026-04-23T23:55:14.039Z
2706122,914578,4630.8,2026-04-23T22:00:44.636Z,bid-extra-60357900470,2026-04-23T23:55:14.039Z
2706252,914888,5266.400000000001,2026-04-23T22:00:44.636Z,bid-extra-60357900480,2026-04-23T23:55:14.039Z
2706382,915198,1362.0,2026-04-23T22:00:44.636Z,bid-extra-60357900490,2026-04-23T23:55:14.039Z
2706642,915818,2633.2000000000003,2026-04-23T22:00:44.636Z,bid-extra-60357900510,2026-04-23T23:55:14.039Z
2706772,916128,3268.8,2026-04-23T22:00:44.636Z,bid-extra-60357900520,2026-04-23T23:55:14.039Z
2706902,916438,3904.4,2026-04-23T22:00:44.636Z,bid-extra-60357900530,2026-04-23T23:55:14.039Z
2707032,916748,4540.0,2026-04-23T22:00:44.636Z,bid-extra-60357900540,2026-04-23T23:55:14.039Z
2707292,917368,5811.2,2026-04-23T22:00:44.637Z,bid-extra-60357900560,2026-04-23T23:55:14.039Z
2707422,917678,6446.8,2026-04-23T22:00:44.637Z,bid-extra-60357900570,2026-04-23T23:55:14.039Z
2707552,917988,7082.400000000001,2026-04-23T22:00:44.637Z,bid-extra-60357900580,2026-04-23T23:55:14.039Z
2707682,918298,7718.0,2026-04-23T22:00:44.637Z,bid-extra-60357900590,2026-04-23T23:55:14.039Z
2707942,918918,4449.2,2026-04-23T22:00:44.637Z,bid-extra-60357900610,2026-04-23T23:55:14.039Z
2708072,919228,5084.8,2026-04-23T22:00:44.637Z,bid-extra-60357900620,2026-04-23T23:55:14.039Z
