auction,bidder,price,dateTime,extra,processed_time
6450142,150318,817.2,2026-04-23T22:02:12.131Z,bid-extra-60366650010,2026-04-23T23:55:14.039Z
6450272,150628,1452.8,2026-04-23T22:02:12.131Z,bid-extra-60366650020,2026-04-23T23:55:14.039Z
6450402,150938,2088.4,2026-04-23T22:02:12.131Z,bid-extra-60366650030,2026-04-23T23:55:14.039Z
6450532,151248,2724.0,2026-04-23T22:02:12.131Z,bid-extra-60366650040,2026-04-23T23:55:14.039Z
6450792,151868,3995.2000000000003,2026-04-23T22:02:12.132Z,bid-extra-60366650060,2026-04-23T23:55:14.039Z
6450922,152178,4630.8,2026-04-23T22:02:12.132Z,bid-extra-60366650070,2026-04-23T23:55:14.039Z
6451052,152488,5266.400000000001,2026-04-23T22:02:12.132Z,bid-extra-60366650080,2026-04-23T23:55:14.039Z
6451182,152798,5902.0,2026-04-23T22:02:12.132Z,bid-extra-60366650090,2026-04-23T23:55:14.039Z
6451442,153418,7173.2,2026-04-23T22:02:12.132Z,bid-extra-60366650110,2026-04-23T23:55:14.039Z
6451572,153728,7808.8,2026-04-23T22:02:12.132Z,bid-extra-60366650120,2026-04-23T23:55:14.039Z
6451702,154038,3904.4,2026-04-23T22:02:12.132Z,bid-extra-60366650130,2026-04-23T23:55:14.039Z
6451832,154348,4540.0,2026-04-23T22:02:12.132Z,bid-extra-60366650140,2026-04-23T23:55:14.039Z
6452092,154968,5811.2,2026-04-23T22:02:12.133Z,bid-extra-60366650160,2026-04-23T23:55:14.039Z
6452222,155278,6446.8,2026-04-23T22:02:12.133Z,bid-extra-60366650170,2026-04-23T23:55:14.039Z
6452352,155588,7082.400000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650180,2026-04-23T23:55:14.039Z
6452482,155898,7718.0,2026-04-23T22:02:12.133Z,bid-extra-60366650190,2026-04-23T23:55:14.039Z
6452742,156518,8989.2,2026-04-23T22:02:12.133Z,bid-extra-60366650210,2026-04-23T23:55:14.039Z
6452872,156828,9624.800000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650220,2026-04-23T23:55:14.039Z
6453002,157138,10260.4,2026-04-23T22:02:12.133Z,bid-extra-60366650230,2026-04-23T23:55:14.039Z
6453132,157448,10896.0,2026-04-23T22:02:12.133Z,bid-extra-60366650240,2026-04-23T23:55:14.039Z
6453392,158068,7627.2,2026-04-23T22:02:12.134Z,bid-extra-60366650260,2026-04-23T23:55:14.039Z
6453522,158378,8262.800000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650270,2026-04-23T23:55:14.039Z
6453652,158688,8898.4,2026-04-23T22:02:12.134Z,bid-extra-60366650280,2026-04-23T23:55:14.039Z
6453782,158998,9534.0,2026-04-23T22:02:12.134Z,bid-extra-60366650290,2026-04-23T23:55:14.039Z
6454042,159618,10805.2,2026-04-23T22:02:12.134Z,bid-extra-60366650310,2026-04-23T23:55:14.039Z
6454172,159928,11440.800000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650320,2026-04-23T23:55:14.039Z
6454302,160238,12076.4,2026-04-23T22:02:12.134Z,bid-extra-60366650330,2026-04-23T23:55:14.039Z
6454432,160548,3722.8,2026-04-23T22:02:12.134Z,bid-extra-60366650340,2026-04-23T23:55:14.039Z
6454692,161168,4994.0,2026-04-23T22:02:12.135Z,bid-extra-60366650360,2026-04-23T23:55:14.039Z
6454822,161478,1089.6000000000001,2026-04-23T22:02:12.135Z,bid-extra-60366650370,2026-04-23T23:55:14.039Z
6454952,161788,1725.2,2026-04-23T22:02:12.135Z,bid-extra-60366650380,2026-04-23T23:55:14.039Z
6455082,162098,2360.8,2026-04-23T22:02:12.135Z,bid-extra-60366650390,2026-04-23T23:55:14.039Z
6455342,162718,3632.0,2026-04-23T22:02:12.135Z,bid-extra-60366650410,2026-04-23T23:55:14.039Z
6455472,163028,4267.6,2026-04-23T22:02:12.135Z,bid-extra-60366650420,2026-04-23T23:55:14.039Z
6455602,163338,4903.2,2026-04-23T22:02:12.135Z,bid-extra-60366650430,2026-04-23T23:55:14.039Z
6455732,163648,5538.8,2026-04-23T22:02:12.135Z,bid-extra-60366650440,2026-04-23T23:55:14.039Z
6455992,164268,6810.0,2026-04-23T22:02:12.136Z,bid-extra-60366650460,2026-04-23T23:55:14.039Z
6456122,164578,7445.6,2026-04-23T22:02:12.136Z,bid-extra-60366650470,2026-04-23T23:55:14.039Z
6456252,164888,8081.2,2026-04-23T22:02:12.136Z,bid-extra-60366650480,2026-04-23T23:55:14.039Z
6456382,165198,4176.8,2026-04-23T22:02:12.136Z,bid-extra-60366650490,2026-04-23T23:55:14.039Z
6456642,165818,5448.0,2026-04-23T22:02:12.136Z,bid-extra-60366650510,2026-04-23T23:55:14.039Z
6456772,166128,6083.6,2026-04-23T22:02:12.136Z,bid-extra-60366650520,2026-04-23T23:55:14.039Z
6456902,166438,6719.2,2026-04-23T22:02:12.136Z,bid-extra-60366650530,2026-04-23T23:55:14.039Z
6457032,166748,7354.8,2026-04-23T22:02:12.136Z,bid-extra-60366650540,2026-04-23T23:55:14.039Z
6457292,167368,8626.0,2026-04-23T22:02:12.137Z,bid-extra-60366650560,2026-04-23T23:55:14.039Z
6457422,167678,9261.6,2026-04-23T22:02:12.137Z,bid-extra-60366650570,2026-04-23T23:55:14.039Z
6457552,167988,9897.2,2026-04-23T22:02:12.137Z,bid-extra-60366650580,2026-04-23T23:55:14.039Z
6457682,168298,10532.800000000001,2026-04-23T22:02:12.137Z,bid-extra-60366650590,2026-04-23T23:55:14.039Z
6457942,168918,7264.0,2026-04-23T22:02:12.137Z,bid-extra-60366650610,2026-04-23T23:55:14.039Z
6458072,169228,7899.6,2026-04-23T22:02:12.137Z,bid-extra-60366650620,2026-04-23T23:55:14.039Z
6458202,169538,8535.2,2026-04-23T22:02:12.137Z,bid-extra-60366650630,2026-04-23T23:55:14.039Z
6458332,169848,9170.800000000001,2026-04-23T22:02:12.137Z,bid-extra-60366650640,2026-04-23T23:55:14.039Z
6458592,170468,10442.0,2026-04-23T22:02:12.138Z,bid-extra-60366650660,2026-04-23T23:55:14.039Z
6458722,170778,11077.6,2026-04-23T22:02:12.138Z,bid-extra-60366650670,2026-04-23T23:55:14.039Z
6458852,171088,2724.0,2026-04-23T22:02:12.138Z,bid-extra-60366650680,2026-04-23T23:55:14.039Z
6458982,171398,3359.6,2026-04-23T22:02:12.138Z,bid-extra-60366650690,2026-04-23T23:55:14.039Z
6459242,172018,4630.8,2026-04-23T22:02:12.138Z,bid-extra-60366650710,2026-04-23T23:55:14.039Z
6459372,172328,5266.400000000001,2026-04-23T22:02:12.138Z,bid-extra-60366650720,2026-04-23T23:55:14.039Z
6459502,172638,5902.0,2026-04-23T22:02:12.138Z,bid-extra-60366650730,2026-04-23T23:55:14.039Z
6459632,172948,1997.6000000000001,2026-04-23T22:02:12.138Z,bid-extra-60366650740,2026-04-23T23:55:14.039Z
6459892,173568,3268.8,2026-04-23T22:02:12.139Z,bid-extra-60366650760,2026-04-23T23:55:14.039Z
6460022,173878,3904.4,2026-04-23T22:02:12.139Z,bid-extra-60366650770,2026-04-23T23:55:14.039Z
6460152,174188,4540.0,2026-04-23T22:02:12.139Z,bid-extra-60366650780,2026-04-23T23:55:14.039Z
6460282,174498,5175.6,2026-04-23T22:02:12.139Z,bid-extra-60366650790,2026-04-23T23:55:14.039Z
6460542,175118,6446.8,2026-04-23T22:02:12.139Z,bid-extra-60366650810,2026-04-23T23:55:14.039Z
6460672,175428,7082.400000000001,2026-04-23T22:02:12.139Z,bid-extra-60366650820,2026-04-23T23:55:14.039Z
6460802,175738,7718.0,2026-04-23T22:02:12.139Z,bid-extra-60366650830,2026-04-23T23:55:14.039Z
6460932,176048,8353.6,2026-04-23T22:02:12.139Z,bid-extra-60366650840,2026-04-23T23:55:14.039Z
6461192,176668,5084.8,2026-04-23T22:02:12.140Z,bid-extra-60366650860,2026-04-23T23:55:14.039Z
6461322,176978,5720.400000000001,2026-04-23T22:02:12.140Z,bid-extra-60366650870,2026-04-23T23:55:14.039Z
