auction,bidder,price,dateTime,extra,processed_time
6450142,150318,1452.8,2026-04-23T22:00:32.131Z,bid-extra-60356650010,2026-04-23T23:55:14.039Z
6450272,150628,2088.4,2026-04-23T22:00:32.131Z,bid-extra-60356650020,2026-04-23T23:55:14.039Z
6450402,150938,2724.0,2026-04-23T22:00:32.131Z,bid-extra-60356650030,2026-04-23T23:55:14.039Z
6450532,151248,3359.6,2026-04-23T22:00:32.131Z,bid-extra-60356650040,2026-04-23T23:55:14.039Z
6450792,151868,4630.8,2026-04-23T22:00:32.132Z,bid-extra-60356650060,2026-04-23T23:55:14.039Z
6450922,152178,5266.400000000001,2026-04-23T22:00:32.132Z,bid-extra-60356650070,2026-04-23T23:55:14.039Z
6451052,152488,5902.0,2026-04-23T22:00:32.132Z,bid-extra-60356650080,2026-04-23T23:55:14.039Z
6451182,152798,6537.6,2026-04-23T22:00:32.132Z,bid-extra-60356650090,2026-04-23T23:55:14.039Z
6451442,153418,7808.8,2026-04-23T22:00:32.132Z,bid-extra-60356650110,2026-04-23T23:55:14.039Z
6451572,153728,8444.4,2026-04-23T22:00:32.132Z,bid-extra-60356650120,2026-04-23T23:55:14.039Z
6451702,154038,4540.0,2026-04-23T22:00:32.132Z,bid-extra-60356650130,2026-04-23T23:55:14.039Z
6451832,154348,5175.6,2026-04-23T22:00:32.132Z,bid-extra-60356650140,2026-04-23T23:55:14.039Z
6452092,154968,6446.8,2026-04-23T22:00:32.133Z,bid-extra-60356650160,2026-04-23T23:55:14.039Z
6452222,155278,7082.400000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650170,2026-04-23T23:55:14.039Z
6452352,155588,7718.0,2026-04-23T22:00:32.133Z,bid-extra-60356650180,2026-04-23T23:55:14.039Z
6452482,155898,8353.6,2026-04-23T22:00:32.133Z,bid-extra-60356650190,2026-04-23T23:55:14.039Z
6452742,156518,9624.800000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650210,2026-04-23T23:55:14.039Z
6452872,156828,10260.4,2026-04-23T22:00:32.133Z,bid-extra-60356650220,2026-04-23T23:55:14.039Z
6453002,157138,10896.0,2026-04-23T22:00:32.133Z,bid-extra-60356650230,2026-04-23T23:55:14.039Z
6453132,157448,11531.6,2026-04-23T22:00:32.133Z,bid-extra-60356650240,2026-04-23T23:55:14.039Z
6453392,158068,8262.800000000001,2026-04-23T22:00:32.134Z,bid-extra-60356650260,2026-04-23T23:55:14.039Z
6453522,158378,8898.4,2026-04-23T22:00:32.134Z,bid-extra-60356650270,2026-04-23T23:55:14.039Z
6453652,158688,9534.0,2026-04-23T22:00:32.134Z,bid-extra-60356650280,2026-04-23T23:55:14.039Z
6453782,158998,10169.6,2026-04-23T22:00:32.134Z,bid-extra-60356650290,2026-04-23T23:55:14.039Z
6454042,159618,11440.800000000001,2026-04-23T22:00:32.134Z,bid-extra-60356650310,2026-04-23T23:55:14.039Z
6454172,159928,3087.2000000000003,2026-04-23T22:00:32.134Z,bid-extra-60356650320,2026-04-23T23:55:14.039Z
6454302,160238,3722.8,2026-04-23T22:00:32.134Z,bid-extra-60356650330,2026-04-23T23:55:14.039Z
6454432,160548,4358.400000000001,2026-04-23T22:00:32.134Z,bid-extra-60356650340,2026-04-23T23:55:14.039Z
6454692,161168,5629.6,2026-04-23T22:00:32.135Z,bid-extra-60356650360,2026-04-23T23:55:14.039Z
6454822,161478,1725.2,2026-04-23T22:00:32.135Z,bid-extra-60356650370,2026-04-23T23:55:14.039Z
6454952,161788,2360.8,2026-04-23T22:00:32.135Z,bid-extra-60356650380,2026-04-23T23:55:14.039Z
6455082,162098,2996.4,2026-04-23T22:00:32.135Z,bid-extra-60356650390,2026-04-23T23:55:14.039Z
6455342,162718,4267.6,2026-04-23T22:00:32.135Z,bid-extra-60356650410,2026-04-23T23:55:14.039Z
6455472,163028,4903.2,2026-04-23T22:00:32.135Z,bid-extra-60356650420,2026-04-23T23:55:14.039Z
6455602,163338,5538.8,2026-04-23T22:00:32.135Z,bid-extra-60356650430,2026-04-23T23:55:14.039Z
6455732,163648,6174.400000000001,2026-04-23T22:00:32.135Z,bid-extra-60356650440,2026-04-23T23:55:14.039Z
6455992,164268,7445.6,2026-04-23T22:00:32.136Z,bid-extra-60356650460,2026-04-23T23:55:14.039Z
6456122,164578,8081.2,2026-04-23T22:00:32.136Z,bid-extra-60356650470,2026-04-23T23:55:14.039Z
6456252,164888,8716.800000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650480,2026-04-23T23:55:14.039Z
6456382,165198,4812.400000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650490,2026-04-23T23:55:14.039Z
6456642,165818,6083.6,2026-04-23T22:00:32.136Z,bid-extra-60356650510,2026-04-23T23:55:14.039Z
6456772,166128,6719.2,2026-04-23T22:00:32.136Z,bid-extra-60356650520,2026-04-23T23:55:14.039Z
6456902,166438,7354.8,2026-04-23T22:00:32.136Z,bid-extra-60356650530,2026-04-23T23:55:14.039Z
6457032,166748,7990.400000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650540,2026-04-23T23:55:14.039Z
6457292,167368,9261.6,2026-04-23T22:00:32.137Z,bid-extra-60356650560,2026-04-23T23:55:14.039Z
6457422,167678,9897.2,2026-04-23T22:00:32.137Z,bid-extra-60356650570,2026-04-23T23:55:14.039Z
6457552,167988,10532.800000000001,2026-04-23T22:00:32.137Z,bid-extra-60356650580,2026-04-23T23:55:14.039Z
6457682,168298,11168.4,2026-04-23T22:00:32.137Z,bid-extra-60356650590,2026-04-23T23:55:14.039Z
6457942,168918,7899.6,2026-04-23T22:00:32.137Z,bid-extra-60356650610,2026-04-23T23:55:14.039Z
6458072,169228,8535.2,2026-04-23T22:00:32.137Z,bid-extra-60356650620,2026-04-23T23:55:14.039Z
6458202,169538,9170.800000000001,2026-04-23T22:00:32.137Z,bid-extra-60356650630,2026-04-23T23:55:14.039Z
