auction,bidder,price,dateTime,extra,processed_time
7700142,900318,1543.6000000000001,2026-04-23T22:03:14.631Z,bid-extra-60372900010,2026-04-23T23:55:14.039Z
7700272,900628,2179.2000000000003,2026-04-23T22:03:14.631Z,bid-extra-60372900020,2026-04-23T23:55:14.039Z
7700402,900938,2814.8,2026-04-23T22:03:14.631Z,bid-extra-60372900030,2026-04-23T23:55:14.039Z
7700532,901248,3450.4,2026-04-23T22:03:14.631Z,bid-extra-60372900040,2026-04-23T23:55:14.039Z
7700792,901868,4721.6,2026-04-23T22:03:14.632Z,bid-extra-60372900060,2026-04-23T23:55:14.039Z
7700922,902178,5357.2,2026-04-23T22:03:14.632Z,bid-extra-60372900070,2026-04-23T23:55:14.039Z
7701052,902488,5992.8,2026-04-23T22:03:14.632Z,bid-extra-60372900080,2026-04-23T23:55:14.039Z
7701182,902798,6628.400000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900090,2026-04-23T23:55:14.039Z
7701442,903418,7899.6,2026-04-23T22:03:14.632Z,bid-extra-60372900110,2026-04-23T23:55:14.039Z
7701572,903728,8535.2,2026-04-23T22:03:14.632Z,bid-extra-60372900120,2026-04-23T23:55:14.039Z
7701702,904038,4630.8,2026-04-23T22:03:14.632Z,bid-extra-60372900130,2026-04-23T23:55:14.039Z
7701832,904348,5266.400000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900140,2026-04-23T23:55:14.039Z
7702092,904968,6537.6,2026-04-23T22:03:14.633Z,bid-extra-60372900160,2026-04-23T23:55:14.039Z
7702222,905278,7173.2,2026-04-23T22:03:14.633Z,bid-extra-60372900170,2026-04-23T23:55:14.039Z
7702352,905588,7808.8,2026-04-23T22:03:14.633Z,bid-extra-60372900180,2026-04-23T23:55:14.039Z
7702482,905898,8444.4,2026-04-23T22:03:14.633Z,bid-extra-60372900190,2026-04-23T23:55:14.039Z
7702742,906518,9715.6,2026-04-23T22:03:14.633Z,bid-extra-60372900210,2026-04-23T23:55:14.039Z
7702872,906828,10351.2,2026-04-23T22:03:14.633Z,bid-extra-60372900220,2026-04-23T23:55:14.039Z
7703002,907138,10986.800000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900230,2026-04-23T23:55:14.039Z
7703132,907448,11622.4,2026-04-23T22:03:14.633Z,bid-extra-60372900240,2026-04-23T23:55:14.039Z
7703392,908068,8353.6,2026-04-23T22:03:14.634Z,bid-extra-60372900260,2026-04-23T23:55:14.039Z
7703522,908378,8989.2,2026-04-23T22:03:14.634Z,bid-extra-60372900270,2026-04-23T23:55:14.039Z
7703652,908688,9624.800000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900280,2026-04-23T23:55:14.039Z
7703782,908998,10260.4,2026-04-23T22:03:14.634Z,bid-extra-60372900290,2026-04-23T23:55:14.039Z
7704042,909618,11531.6,2026-04-23T22:03:14.634Z,bid-extra-60372900310,2026-04-23T23:55:14.039Z
7704172,909928,3178.0,2026-04-23T22:03:14.634Z,bid-extra-60372900320,2026-04-23T23:55:14.039Z
7704302,910238,3813.6,2026-04-23T22:03:14.634Z,bid-extra-60372900330,2026-04-23T23:55:14.039Z
7704432,910548,4449.2,2026-04-23T22:03:14.634Z,bid-extra-60372900340,2026-04-23T23:55:14.039Z
7704692,911168,5720.400000000001,2026-04-23T22:03:14.635Z,bid-extra-60372900360,2026-04-23T23:55:14.039Z
7704822,911478,1816.0,2026-04-23T22:03:14.635Z,bid-extra-60372900370,2026-04-23T23:55:14.039Z
