auction,bidder,price,dateTime,extra,processed_time
5200142,400318,9080.0,2026-04-23T22:01:09.631Z,bid-extra-60360400010,2026-04-23T23:55:14.039Z
5200272,400628,9715.6,2026-04-23T22:01:09.631Z,bid-extra-60360400020,2026-04-23T23:55:14.039Z
5200402,400938,1362.0,2026-04-23T22:01:09.631Z,bid-extra-60360400030,2026-04-23T23:55:14.039Z
5200532,401248,1997.6000000000001,2026-04-23T22:01:09.631Z,bid-extra-60360400040,2026-04-23T23:55:14.039Z
5200792,401868,3268.8,2026-04-23T22:01:09.632Z,bid-extra-60360400060,2026-04-23T23:55:14.039Z
5200922,402178,3904.4,2026-04-23T22:01:09.632Z,bid-extra-60360400070,2026-04-23T23:55:14.039Z
5201052,402488,4540.0,2026-04-23T22:01:09.632Z,bid-extra-60360400080,2026-04-23T23:55:14.039Z
5201182,402798,5175.6,2026-04-23T22:01:09.632Z,bid-extra-60360400090,2026-04-23T23:55:14.039Z
5201442,403418,6446.8,2026-04-23T22:01:09.632Z,bid-extra-60360400110,2026-04-23T23:55:14.039Z
5201572,403728,7082.400000000001,2026-04-23T22:01:09.632Z,bid-extra-60360400120,2026-04-23T23:55:14.039Z
5201702,404038,3178.0,2026-04-23T22:01:09.632Z,bid-extra-60360400130,2026-04-23T23:55:14.039Z
5201832,404348,3813.6,2026-04-23T22:01:09.632Z,bid-extra-60360400140,2026-04-23T23:55:14.039Z
5202092,404968,5084.8,2026-04-23T22:01:09.633Z,bid-extra-60360400160,2026-04-23T23:55:14.039Z
5202222,405278,5720.400000000001,2026-04-23T22:01:09.633Z,bid-extra-60360400170,2026-04-23T23:55:14.039Z
5202352,405588,6356.0,2026-04-23T22:01:09.633Z,bid-extra-60360400180,2026-04-23T23:55:14.039Z
5202482,405898,6991.6,2026-04-23T22:01:09.633Z,bid-extra-60360400190,2026-04-23T23:55:14.039Z
5202742,406518,8262.800000000001,2026-04-23T22:01:09.633Z,bid-extra-60360400210,2026-04-23T23:55:14.039Z
5202872,406828,8898.4,2026-04-23T22:01:09.633Z,bid-extra-60360400220,2026-04-23T23:55:14.039Z
5203002,407138,9534.0,2026-04-23T22:01:09.633Z,bid-extra-60360400230,2026-04-23T23:55:14.039Z
5203132,407448,10169.6,2026-04-23T22:01:09.633Z,bid-extra-60360400240,2026-04-23T23:55:14.039Z
5203392,408068,6900.8,2026-04-23T22:01:09.634Z,bid-extra-60360400260,2026-04-23T23:55:14.039Z
5203522,408378,7536.400000000001,2026-04-23T22:01:09.634Z,bid-extra-60360400270,2026-04-23T23:55:14.039Z
5203652,408688,8172.0,2026-04-23T22:01:09.634Z,bid-extra-60360400280,2026-04-23T23:55:14.039Z
5203782,408998,8807.6,2026-04-23T22:01:09.634Z,bid-extra-60360400290,2026-04-23T23:55:14.039Z
5204042,409618,10078.800000000001,2026-04-23T22:01:09.634Z,bid-extra-60360400310,2026-04-23T23:55:14.039Z
5204172,409928,10714.4,2026-04-23T22:01:09.634Z,bid-extra-60360400320,2026-04-23T23:55:14.039Z
5204302,410238,11350.0,2026-04-23T22:01:09.634Z,bid-extra-60360400330,2026-04-23T23:55:14.039Z
5204432,410548,11985.6,2026-04-23T22:01:09.634Z,bid-extra-60360400340,2026-04-23T23:55:14.039Z
5204692,411168,13256.800000000001,2026-04-23T22:01:09.635Z,bid-extra-60360400360,2026-04-23T23:55:14.039Z
5204822,411478,363.2,2026-04-23T22:01:09.635Z,bid-extra-60360400370,2026-04-23T23:55:14.039Z
5204952,411788,998.8000000000001,2026-04-23T22:01:09.635Z,bid-extra-60360400380,2026-04-23T23:55:14.039Z
5205082,412098,1634.4,2026-04-23T22:01:09.635Z,bid-extra-60360400390,2026-04-23T23:55:14.039Z
5205342,412718,2905.6,2026-04-23T22:01:09.635Z,bid-extra-60360400410,2026-04-23T23:55:14.039Z
5205472,413028,3541.2000000000003,2026-04-23T22:01:09.635Z,bid-extra-60360400420,2026-04-23T23:55:14.039Z
5205602,413338,4176.8,2026-04-23T22:01:09.635Z,bid-extra-60360400430,2026-04-23T23:55:14.039Z
5205732,413648,4812.400000000001,2026-04-23T22:01:09.635Z,bid-extra-60360400440,2026-04-23T23:55:14.039Z
5205992,414268,6083.6,2026-04-23T22:01:09.636Z,bid-extra-60360400460,2026-04-23T23:55:14.039Z
5206122,414578,6719.2,2026-04-23T22:01:09.636Z,bid-extra-60360400470,2026-04-23T23:55:14.039Z
5206252,414888,7354.8,2026-04-23T22:01:09.636Z,bid-extra-60360400480,2026-04-23T23:55:14.039Z
5206382,415198,3450.4,2026-04-23T22:01:09.636Z,bid-extra-60360400490,2026-04-23T23:55:14.039Z
5206642,415818,4721.6,2026-04-23T22:01:09.636Z,bid-extra-60360400510,2026-04-23T23:55:14.039Z
5206772,416128,5357.2,2026-04-23T22:01:09.636Z,bid-extra-60360400520,2026-04-23T23:55:14.039Z
5206902,416438,5992.8,2026-04-23T22:01:09.636Z,bid-extra-60360400530,2026-04-23T23:55:14.039Z
5207032,416748,6628.400000000001,2026-04-23T22:01:09.636Z,bid-extra-60360400540,2026-04-23T23:55:14.039Z
5207292,417368,7899.6,2026-04-23T22:01:09.637Z,bid-extra-60360400560,2026-04-23T23:55:14.039Z
5207422,417678,8535.2,2026-04-23T22:01:09.637Z,bid-extra-60360400570,2026-04-23T23:55:14.039Z
5207552,417988,9170.800000000001,2026-04-23T22:01:09.637Z,bid-extra-60360400580,2026-04-23T23:55:14.039Z
5207682,418298,9806.4,2026-04-23T22:01:09.637Z,bid-extra-60360400590,2026-04-23T23:55:14.039Z
5207942,418918,6537.6,2026-04-23T22:01:09.637Z,bid-extra-60360400610,2026-04-23T23:55:14.039Z
5208072,419228,7173.2,2026-04-23T22:01:09.637Z,bid-extra-60360400620,2026-04-23T23:55:14.039Z
5208202,419538,7808.8,2026-04-23T22:01:09.637Z,bid-extra-60360400630,2026-04-23T23:55:14.039Z
5208332,419848,8444.4,2026-04-23T22:01:09.637Z,bid-extra-60360400640,2026-04-23T23:55:14.039Z
5208592,420468,9715.6,2026-04-23T22:01:09.638Z,bid-extra-60360400660,2026-04-23T23:55:14.039Z
5208722,420778,10351.2,2026-04-23T22:01:09.638Z,bid-extra-60360400670,2026-04-23T23:55:14.039Z
5208852,421088,10986.800000000001,2026-04-23T22:01:09.638Z,bid-extra-60360400680,2026-04-23T23:55:14.039Z
5208982,421398,11622.4,2026-04-23T22:01:09.638Z,bid-extra-60360400690,2026-04-23T23:55:14.039Z
5209242,422018,3904.4,2026-04-23T22:01:09.638Z,bid-extra-60360400710,2026-04-23T23:55:14.039Z
5209372,422328,4540.0,2026-04-23T22:01:09.638Z,bid-extra-60360400720,2026-04-23T23:55:14.039Z
5209502,422638,5175.6,2026-04-23T22:01:09.638Z,bid-extra-60360400730,2026-04-23T23:55:14.039Z
5209632,422948,1271.2,2026-04-23T22:01:09.638Z,bid-extra-60360400740,2026-04-23T23:55:14.039Z
5209892,423568,2542.4,2026-04-23T22:01:09.639Z,bid-extra-60360400760,2026-04-23T23:55:14.039Z
5210022,423878,3178.0,2026-04-23T22:01:09.639Z,bid-extra-60360400770,2026-04-23T23:55:14.039Z
5210152,424188,3813.6,2026-04-23T22:01:09.639Z,bid-extra-60360400780,2026-04-23T23:55:14.039Z
5210282,424498,4449.2,2026-04-23T22:01:09.639Z,bid-extra-60360400790,2026-04-23T23:55:14.039Z
5210542,425118,5720.400000000001,2026-04-23T22:01:09.639Z,bid-extra-60360400810,2026-04-23T23:55:14.039Z
5210672,425428,6356.0,2026-04-23T22:01:09.639Z,bid-extra-60360400820,2026-04-23T23:55:14.039Z
5210802,425738,6991.6,2026-04-23T22:01:09.639Z,bid-extra-60360400830,2026-04-23T23:55:14.039Z
5210932,426048,7627.2,2026-04-23T22:01:09.639Z,bid-extra-60360400840,2026-04-23T23:55:14.039Z
5211192,426668,4358.400000000001,2026-04-23T22:01:09.640Z,bid-extra-60360400860,2026-04-23T23:55:14.039Z
5211322,426978,4994.0,2026-04-23T22:01:09.640Z,bid-extra-60360400870,2026-04-23T23:55:14.039Z
5211452,427288,5629.6,2026-04-23T22:01:09.640Z,bid-extra-60360400880,2026-04-23T23:55:14.039Z
5211582,427598,6265.2,2026-04-23T22:01:09.640Z,bid-extra-60360400890,2026-04-23T23:55:14.039Z
5211842,428218,7536.400000000001,2026-04-23T22:01:09.640Z,bid-extra-60360400910,2026-04-23T23:55:14.039Z
5211972,428528,8172.0,2026-04-23T22:01:09.640Z,bid-extra-60360400920,2026-04-23T23:55:14.039Z
5212102,428838,8807.6,2026-04-23T22:01:09.640Z,bid-extra-60360400930,2026-04-23T23:55:14.039Z
5212232,429148,9443.2,2026-04-23T22:01:09.640Z,bid-extra-60360400940,2026-04-23T23:55:14.039Z
5212492,429768,10714.4,2026-04-23T22:01:09.641Z,bid-extra-60360400960,2026-04-23T23:55:14.039Z
5212622,430078,11350.0,2026-04-23T22:01:09.641Z,bid-extra-60360400970,2026-04-23T23:55:14.039Z
5212752,430388,7445.6,2026-04-23T22:01:09.641Z,bid-extra-60360400980,2026-04-23T23:55:14.039Z
5212882,430698,8081.2,2026-04-23T22:01:09.641Z,bid-extra-60360400990,2026-04-23T23:55:14.039Z
5213142,431318,9352.4,2026-04-23T22:01:09.641Z,bid-extra-60360401010,2026-04-23T23:55:14.039Z
5213272,431628,9988.0,2026-04-23T22:01:09.641Z,bid-extra-60360401020,2026-04-23T23:55:14.039Z
5213402,431938,10623.6,2026-04-23T22:01:09.641Z,bid-extra-60360401030,2026-04-23T23:55:14.039Z
5213532,432248,11259.2,2026-04-23T22:01:09.641Z,bid-extra-60360401040,2026-04-23T23:55:14.039Z
5213792,432868,3541.2000000000003,2026-04-23T22:01:09.642Z,bid-extra-60360401060,2026-04-23T23:55:14.039Z
5213922,433178,4176.8,2026-04-23T22:01:09.642Z,bid-extra-60360401070,2026-04-23T23:55:14.039Z
5214052,433488,4812.400000000001,2026-04-23T22:01:09.642Z,bid-extra-60360401080,2026-04-23T23:55:14.039Z
5214182,433798,5448.0,2026-04-23T22:01:09.642Z,bid-extra-60360401090,2026-04-23T23:55:14.039Z
5214442,434418,2179.2000000000003,2026-04-23T22:01:09.642Z,bid-extra-60360401110,2026-04-23T23:55:14.039Z
5214572,434728,2814.8,2026-04-23T22:01:09.642Z,bid-extra-60360401120,2026-04-23T23:55:14.039Z
5214702,435038,3450.4,2026-04-23T22:01:09.642Z,bid-extra-60360401130,2026-04-23T23:55:14.039Z
5214832,435348,4086.0,2026-04-23T22:01:09.642Z,bid-extra-60360401140,2026-04-23T23:55:14.039Z
5215092,435968,5357.2,2026-04-23T22:01:09.643Z,bid-extra-60360401160,2026-04-23T23:55:14.039Z
5215222,436278,5992.8,2026-04-23T22:01:09.643Z,bid-extra-60360401170,2026-04-23T23:55:14.039Z
5215352,436588,6628.400000000001,2026-04-23T22:01:09.643Z,bid-extra-60360401180,2026-04-23T23:55:14.039Z
5215482,436898,7264.0,2026-04-23T22:01:09.643Z,bid-extra-60360401190,2026-04-23T23:55:14.039Z
5215742,437518,8535.2,2026-04-23T22:01:09.643Z,bid-extra-60360401210,2026-04-23T23:55:14.039Z
5215872,437828,4630.8,2026-04-23T22:01:09.643Z,bid-extra-60360401220,2026-04-23T23:55:14.039Z
5216002,438138,5266.400000000001,2026-04-23T22:01:09.643Z,bid-extra-60360401230,2026-04-23T23:55:14.039Z
5216132,438448,5902.0,2026-04-23T22:01:09.643Z,bid-extra-60360401240,2026-04-23T23:55:14.039Z
5216392,439068,7173.2,2026-04-23T22:01:09.644Z,bid-extra-60360401260,2026-04-23T23:55:14.039Z
5216522,439378,7808.8,2026-04-23T22:01:09.644Z,bid-extra-60360401270,2026-04-23T23:55:14.039Z
5216652,439688,8444.4,2026-04-23T22:01:09.644Z,bid-extra-60360401280,2026-04-23T23:55:14.039Z
5216782,439998,9080.0,2026-04-23T22:01:09.644Z,bid-extra-60360401290,2026-04-23T23:55:14.039Z
5217042,440618,10351.2,2026-04-23T22:01:09.644Z,bid-extra-60360401310,2026-04-23T23:55:14.039Z
5217172,440928,10986.800000000001,2026-04-23T22:01:09.644Z,bid-extra-60360401320,2026-04-23T23:55:14.039Z
5217302,441238,11622.4,2026-04-23T22:01:09.644Z,bid-extra-60360401330,2026-04-23T23:55:14.039Z
5217432,441548,12258.0,2026-04-23T22:01:09.644Z,bid-extra-60360401340,2026-04-23T23:55:14.039Z
5217692,442168,8989.2,2026-04-23T22:01:09.645Z,bid-extra-60360401360,2026-04-23T23:55:14.039Z
5217822,442478,9624.800000000001,2026-04-23T22:01:09.645Z,bid-extra-60360401370,2026-04-23T23:55:14.039Z
5217952,442788,10260.4,2026-04-23T22:01:09.645Z,bid-extra-60360401380,2026-04-23T23:55:14.039Z
5218082,443098,1906.8,2026-04-23T22:01:09.645Z,bid-extra-60360401390,2026-04-23T23:55:14.039Z
5218342,443718,3178.0,2026-04-23T22:01:09.645Z,bid-extra-60360401410,2026-04-23T23:55:14.039Z
5218472,444028,3813.6,2026-04-23T22:01:09.645Z,bid-extra-60360401420,2026-04-23T23:55:14.039Z
5218602,444338,4449.2,2026-04-23T22:01:09.645Z,bid-extra-60360401430,2026-04-23T23:55:14.039Z
5218732,444648,5084.8,2026-04-23T22:01:09.645Z,bid-extra-60360401440,2026-04-23T23:55:14.039Z
5218992,445268,6356.0,2026-04-23T22:01:09.646Z,bid-extra-60360401460,2026-04-23T23:55:14.039Z
5219122,445578,2451.6,2026-04-23T22:01:09.646Z,bid-extra-60360401470,2026-04-23T23:55:14.039Z
5219252,445888,3087.2000000000003,2026-04-23T22:01:09.646Z,bid-extra-60360401480,2026-04-23T23:55:14.039Z
5219382,446198,3722.8,2026-04-23T22:01:09.646Z,bid-extra-60360401490,2026-04-23T23:55:14.039Z
5219642,446818,4994.0,2026-04-23T22:01:09.646Z,bid-extra-60360401510,2026-04-23T23:55:14.039Z
5219772,447128,5629.6,2026-04-23T22:01:09.646Z,bid-extra-60360401520,2026-04-23T23:55:14.039Z
5219902,447438,6265.2,2026-04-23T22:01:09.646Z,bid-extra-60360401530,2026-04-23T23:55:14.039Z
5220032,447748,6900.8,2026-04-23T22:01:09.646Z,bid-extra-60360401540,2026-04-23T23:55:14.039Z
