auction,bidder,price,dateTime,extra,processed_time
6450142,150318,2088.4,2026-04-23T21:58:52.131Z,bid-extra-60346650010,2026-04-23T23:55:14.039Z
6450272,150628,2724.0,2026-04-23T21:58:52.131Z,bid-extra-60346650020,2026-04-23T23:55:14.039Z
6450402,150938,3359.6,2026-04-23T21:58:52.131Z,bid-extra-60346650030,2026-04-23T23:55:14.039Z
6450532,151248,3995.2000000000003,2026-04-23T21:58:52.131Z,bid-extra-60346650040,2026-04-23T23:55:14.039Z
6450792,151868,5266.400000000001,2026-04-23T21:58:52.132Z,bid-extra-60346650060,2026-04-23T23:55:14.039Z
6450922,152178,5902.0,2026-04-23T21:58:52.132Z,bid-extra-60346650070,2026-04-23T23:55:14.039Z
6451052,152488,6537.6,2026-04-23T21:58:52.132Z,bid-extra-60346650080,2026-04-23T23:55:14.039Z
6451182,152798,7173.2,2026-04-23T21:58:52.132Z,bid-extra-60346650090,2026-04-23T23:55:14.039Z
6451442,153418,8444.4,2026-04-23T21:58:52.132Z,bid-extra-60346650110,2026-04-23T23:55:14.039Z
6451572,153728,9080.0,2026-04-23T21:58:52.132Z,bid-extra-60346650120,2026-04-23T23:55:14.039Z
6451702,154038,5175.6,2026-04-23T21:58:52.132Z,bid-extra-60346650130,2026-04-23T23:55:14.039Z
6451832,154348,5811.2,2026-04-23T21:58:52.132Z,bid-extra-60346650140,2026-04-23T23:55:14.039Z
6452092,154968,7082.400000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650160,2026-04-23T23:55:14.039Z
6452222,155278,7718.0,2026-04-23T21:58:52.133Z,bid-extra-60346650170,2026-04-23T23:55:14.039Z
6452352,155588,8353.6,2026-04-23T21:58:52.133Z,bid-extra-60346650180,2026-04-23T23:55:14.039Z
6452482,155898,8989.2,2026-04-23T21:58:52.133Z,bid-extra-60346650190,2026-04-23T23:55:14.039Z
6452742,156518,10260.4,2026-04-23T21:58:52.133Z,bid-extra-60346650210,2026-04-23T23:55:14.039Z
6452872,156828,10896.0,2026-04-23T21:58:52.133Z,bid-extra-60346650220,2026-04-23T23:55:14.039Z
6453002,157138,11531.6,2026-04-23T21:58:52.133Z,bid-extra-60346650230,2026-04-23T23:55:14.039Z
6453132,157448,12167.2,2026-04-23T21:58:52.133Z,bid-extra-60346650240,2026-04-23T23:55:14.039Z
6453392,158068,8898.4,2026-04-23T21:58:52.134Z,bid-extra-60346650260,2026-04-23T23:55:14.039Z
6453522,158378,9534.0,2026-04-23T21:58:52.134Z,bid-extra-60346650270,2026-04-23T23:55:14.039Z
6453652,158688,10169.6,2026-04-23T21:58:52.134Z,bid-extra-60346650280,2026-04-23T23:55:14.039Z
6453782,158998,1816.0,2026-04-23T21:58:52.134Z,bid-extra-60346650290,2026-04-23T23:55:14.039Z
6454042,159618,3087.2000000000003,2026-04-23T21:58:52.134Z,bid-extra-60346650310,2026-04-23T23:55:14.039Z
6454172,159928,3722.8,2026-04-23T21:58:52.134Z,bid-extra-60346650320,2026-04-23T23:55:14.039Z
6454302,160238,4358.400000000001,2026-04-23T21:58:52.134Z,bid-extra-60346650330,2026-04-23T23:55:14.039Z
6454432,160548,4994.0,2026-04-23T21:58:52.134Z,bid-extra-60346650340,2026-04-23T23:55:14.039Z
6454692,161168,6265.2,2026-04-23T21:58:52.135Z,bid-extra-60346650360,2026-04-23T23:55:14.039Z
6454822,161478,2360.8,2026-04-23T21:58:52.135Z,bid-extra-60346650370,2026-04-23T23:55:14.039Z
6454952,161788,2996.4,2026-04-23T21:58:52.135Z,bid-extra-60346650380,2026-04-23T23:55:14.039Z
6455082,162098,3632.0,2026-04-23T21:58:52.135Z,bid-extra-60346650390,2026-04-23T23:55:14.039Z
6455342,162718,4903.2,2026-04-23T21:58:52.135Z,bid-extra-60346650410,2026-04-23T23:55:14.039Z
6455472,163028,5538.8,2026-04-23T21:58:52.135Z,bid-extra-60346650420,2026-04-23T23:55:14.039Z
6455602,163338,6174.400000000001,2026-04-23T21:58:52.135Z,bid-extra-60346650430,2026-04-23T23:55:14.039Z
6455732,163648,6810.0,2026-04-23T21:58:52.135Z,bid-extra-60346650440,2026-04-23T23:55:14.039Z
6455992,164268,8081.2,2026-04-23T21:58:52.136Z,bid-extra-60346650460,2026-04-23T23:55:14.039Z
6456122,164578,8716.800000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650470,2026-04-23T23:55:14.039Z
6456252,164888,9352.4,2026-04-23T21:58:52.136Z,bid-extra-60346650480,2026-04-23T23:55:14.039Z
6456382,165198,5448.0,2026-04-23T21:58:52.136Z,bid-extra-60346650490,2026-04-23T23:55:14.039Z
6456642,165818,6719.2,2026-04-23T21:58:52.136Z,bid-extra-60346650510,2026-04-23T23:55:14.039Z
6456772,166128,7354.8,2026-04-23T21:58:52.136Z,bid-extra-60346650520,2026-04-23T23:55:14.039Z
6456902,166438,7990.400000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650530,2026-04-23T23:55:14.039Z
6457032,166748,8626.0,2026-04-23T21:58:52.136Z,bid-extra-60346650540,2026-04-23T23:55:14.039Z
6457292,167368,9897.2,2026-04-23T21:58:52.137Z,bid-extra-60346650560,2026-04-23T23:55:14.039Z
6457422,167678,10532.800000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650570,2026-04-23T23:55:14.039Z
6457552,167988,11168.4,2026-04-23T21:58:52.137Z,bid-extra-60346650580,2026-04-23T23:55:14.039Z
6457682,168298,11804.0,2026-04-23T21:58:52.137Z,bid-extra-60346650590,2026-04-23T23:55:14.039Z
6457942,168918,8535.2,2026-04-23T21:58:52.137Z,bid-extra-60346650610,2026-04-23T23:55:14.039Z
6458072,169228,9170.800000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650620,2026-04-23T23:55:14.039Z
6458202,169538,9806.4,2026-04-23T21:58:52.137Z,bid-extra-60346650630,2026-04-23T23:55:14.039Z
6458332,169848,1452.8,2026-04-23T21:58:52.137Z,bid-extra-60346650640,2026-04-23T23:55:14.039Z
6458592,170468,2724.0,2026-04-23T21:58:52.138Z,bid-extra-60346650660,2026-04-23T23:55:14.039Z
6458722,170778,3359.6,2026-04-23T21:58:52.138Z,bid-extra-60346650670,2026-04-23T23:55:14.039Z
