auction,bidder,price,dateTime,extra,processed_time
8950142,650318,4176.8,2026-04-23T21:59:17.131Z,bid-extra-60349150010,2026-04-23T23:55:14.039Z
8950272,650628,4812.400000000001,2026-04-23T21:59:17.131Z,bid-extra-60349150020,2026-04-23T23:55:14.039Z
8950402,650938,5448.0,2026-04-23T21:59:17.131Z,bid-extra-60349150030,2026-04-23T23:55:14.039Z
8950532,651248,6083.6,2026-04-23T21:59:17.131Z,bid-extra-60349150040,2026-04-23T23:55:14.039Z
8950792,651868,7354.8,2026-04-23T21:59:17.132Z,bid-extra-60349150060,2026-04-23T23:55:14.039Z
8950922,652178,7990.400000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150070,2026-04-23T23:55:14.039Z
8951052,652488,8626.0,2026-04-23T21:59:17.132Z,bid-extra-60349150080,2026-04-23T23:55:14.039Z
8951182,652798,9261.6,2026-04-23T21:59:17.132Z,bid-extra-60349150090,2026-04-23T23:55:14.039Z
8951442,653418,10532.800000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150110,2026-04-23T23:55:14.039Z
8951572,653728,11168.4,2026-04-23T21:59:17.132Z,bid-extra-60349150120,2026-04-23T23:55:14.039Z
8951702,654038,7264.0,2026-04-23T21:59:17.132Z,bid-extra-60349150130,2026-04-23T23:55:14.039Z
8951832,654348,7899.6,2026-04-23T21:59:17.132Z,bid-extra-60349150140,2026-04-23T23:55:14.039Z
8952092,654968,9170.800000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150160,2026-04-23T23:55:14.039Z
8952222,655278,9806.4,2026-04-23T21:59:17.133Z,bid-extra-60349150170,2026-04-23T23:55:14.039Z
8952352,655588,10442.0,2026-04-23T21:59:17.133Z,bid-extra-60349150180,2026-04-23T23:55:14.039Z
8952482,655898,11077.6,2026-04-23T21:59:17.133Z,bid-extra-60349150190,2026-04-23T23:55:14.039Z
8952742,656518,12348.800000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150210,2026-04-23T23:55:14.039Z
8952872,656828,3995.2000000000003,2026-04-23T21:59:17.133Z,bid-extra-60349150220,2026-04-23T23:55:14.039Z
8953002,657138,4630.8,2026-04-23T21:59:17.133Z,bid-extra-60349150230,2026-04-23T23:55:14.039Z
8953132,657448,5266.400000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150240,2026-04-23T23:55:14.039Z
8953392,658068,1997.6000000000001,2026-04-23T21:59:17.134Z,bid-extra-60349150260,2026-04-23T23:55:14.039Z
8953522,658378,2633.2000000000003,2026-04-23T21:59:17.134Z,bid-extra-60349150270,2026-04-23T23:55:14.039Z
8953652,658688,3268.8,2026-04-23T21:59:17.134Z,bid-extra-60349150280,2026-04-23T23:55:14.039Z
8953782,658998,3904.4,2026-04-23T21:59:17.134Z,bid-extra-60349150290,2026-04-23T23:55:14.039Z
8954042,659618,5175.6,2026-04-23T21:59:17.134Z,bid-extra-60349150310,2026-04-23T23:55:14.039Z
8954172,659928,5811.2,2026-04-23T21:59:17.134Z,bid-extra-60349150320,2026-04-23T23:55:14.039Z
8954302,660238,6446.8,2026-04-23T21:59:17.134Z,bid-extra-60349150330,2026-04-23T23:55:14.039Z
8954432,660548,7082.400000000001,2026-04-23T21:59:17.134Z,bid-extra-60349150340,2026-04-23T23:55:14.039Z
8954692,661168,8353.6,2026-04-23T21:59:17.135Z,bid-extra-60349150360,2026-04-23T23:55:14.039Z
8954822,661478,4449.2,2026-04-23T21:59:17.135Z,bid-extra-60349150370,2026-04-23T23:55:14.039Z
8954952,661788,5084.8,2026-04-23T21:59:17.135Z,bid-extra-60349150380,2026-04-23T23:55:14.039Z
8955082,662098,5720.400000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150390,2026-04-23T23:55:14.039Z
8955342,662718,6991.6,2026-04-23T21:59:17.135Z,bid-extra-60349150410,2026-04-23T23:55:14.039Z
8955472,663028,7627.2,2026-04-23T21:59:17.135Z,bid-extra-60349150420,2026-04-23T23:55:14.039Z
8955602,663338,8262.800000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150430,2026-04-23T23:55:14.039Z
8955732,663648,8898.4,2026-04-23T21:59:17.135Z,bid-extra-60349150440,2026-04-23T23:55:14.039Z
8955992,664268,10169.6,2026-04-23T21:59:17.136Z,bid-extra-60349150460,2026-04-23T23:55:14.039Z
8956122,664578,10805.2,2026-04-23T21:59:17.136Z,bid-extra-60349150470,2026-04-23T23:55:14.039Z
8956252,664888,11440.800000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150480,2026-04-23T23:55:14.039Z
8956382,665198,7536.400000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150490,2026-04-23T23:55:14.039Z
8956642,665818,8807.6,2026-04-23T21:59:17.136Z,bid-extra-60349150510,2026-04-23T23:55:14.039Z
8956772,666128,9443.2,2026-04-23T21:59:17.136Z,bid-extra-60349150520,2026-04-23T23:55:14.039Z
8956902,666438,10078.800000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150530,2026-04-23T23:55:14.039Z
8957032,666748,10714.4,2026-04-23T21:59:17.136Z,bid-extra-60349150540,2026-04-23T23:55:14.039Z
8957292,667368,2996.4,2026-04-23T21:59:17.137Z,bid-extra-60349150560,2026-04-23T23:55:14.039Z
8957422,667678,3632.0,2026-04-23T21:59:17.137Z,bid-extra-60349150570,2026-04-23T23:55:14.039Z
8957552,667988,4267.6,2026-04-23T21:59:17.137Z,bid-extra-60349150580,2026-04-23T23:55:14.039Z
8957682,668298,4903.2,2026-04-23T21:59:17.137Z,bid-extra-60349150590,2026-04-23T23:55:14.039Z
8957942,668918,1634.4,2026-04-23T21:59:17.137Z,bid-extra-60349150610,2026-04-23T23:55:14.039Z
8958072,669228,2270.0,2026-04-23T21:59:17.137Z,bid-extra-60349150620,2026-04-23T23:55:14.039Z
8958202,669538,2905.6,2026-04-23T21:59:17.137Z,bid-extra-60349150630,2026-04-23T23:55:14.039Z
8958332,669848,3541.2000000000003,2026-04-23T21:59:17.137Z,bid-extra-60349150640,2026-04-23T23:55:14.039Z
8958592,670468,4812.400000000001,2026-04-23T21:59:17.138Z,bid-extra-60349150660,2026-04-23T23:55:14.039Z
8958722,670778,5448.0,2026-04-23T21:59:17.138Z,bid-extra-60349150670,2026-04-23T23:55:14.039Z
8958852,671088,6083.6,2026-04-23T21:59:17.138Z,bid-extra-60349150680,2026-04-23T23:55:14.039Z
8958982,671398,6719.2,2026-04-23T21:59:17.138Z,bid-extra-60349150690,2026-04-23T23:55:14.039Z
8959242,672018,7990.400000000001,2026-04-23T21:59:17.138Z,bid-extra-60349150710,2026-04-23T23:55:14.039Z
8959372,672328,8626.0,2026-04-23T21:59:17.138Z,bid-extra-60349150720,2026-04-23T23:55:14.039Z
8959502,672638,9261.6,2026-04-23T21:59:17.138Z,bid-extra-60349150730,2026-04-23T23:55:14.039Z
8959632,672948,5357.2,2026-04-23T21:59:17.138Z,bid-extra-60349150740,2026-04-23T23:55:14.039Z
8959892,673568,6628.400000000001,2026-04-23T21:59:17.139Z,bid-extra-60349150760,2026-04-23T23:55:14.039Z
8960022,673878,7264.0,2026-04-23T21:59:17.139Z,bid-extra-60349150770,2026-04-23T23:55:14.039Z
8960152,674188,7899.6,2026-04-23T21:59:17.139Z,bid-extra-60349150780,2026-04-23T23:55:14.039Z
8960282,674498,8535.2,2026-04-23T21:59:17.139Z,bid-extra-60349150790,2026-04-23T23:55:14.039Z
8960542,675118,9806.4,2026-04-23T21:59:17.139Z,bid-extra-60349150810,2026-04-23T23:55:14.039Z
