auction,bidder,price,dateTime,extra,processed_time
3950142,650318,7718.0,2026-04-23T22:01:47.131Z,bid-extra-60364150010,2026-04-23T23:55:14.039Z
3950272,650628,8353.6,2026-04-23T22:01:47.131Z,bid-extra-60364150020,2026-04-23T23:55:14.039Z
3950402,650938,8989.2,2026-04-23T22:01:47.131Z,bid-extra-60364150030,2026-04-23T23:55:14.039Z
3950532,651248,9624.800000000001,2026-04-23T22:01:47.131Z,bid-extra-60364150040,2026-04-23T23:55:14.039Z
3950792,651868,10896.0,2026-04-23T22:01:47.132Z,bid-extra-60364150060,2026-04-23T23:55:14.039Z
3950922,652178,11531.6,2026-04-23T22:01:47.132Z,bid-extra-60364150070,2026-04-23T23:55:14.039Z
3951052,652488,3178.0,2026-04-23T22:01:47.132Z,bid-extra-60364150080,2026-04-23T23:55:14.039Z
3951182,652798,3813.6,2026-04-23T22:01:47.132Z,bid-extra-60364150090,2026-04-23T23:55:14.039Z
3951442,653418,5084.8,2026-04-23T22:01:47.132Z,bid-extra-60364150110,2026-04-23T23:55:14.039Z
3951572,653728,5720.400000000001,2026-04-23T22:01:47.132Z,bid-extra-60364150120,2026-04-23T23:55:14.039Z
3951702,654038,1816.0,2026-04-23T22:01:47.132Z,bid-extra-60364150130,2026-04-23T23:55:14.039Z
3951832,654348,2451.6,2026-04-23T22:01:47.132Z,bid-extra-60364150140,2026-04-23T23:55:14.039Z
3952092,654968,3722.8,2026-04-23T22:01:47.133Z,bid-extra-60364150160,2026-04-23T23:55:14.039Z
3952222,655278,4358.400000000001,2026-04-23T22:01:47.133Z,bid-extra-60364150170,2026-04-23T23:55:14.039Z
3952352,655588,4994.0,2026-04-23T22:01:47.133Z,bid-extra-60364150180,2026-04-23T23:55:14.039Z
3952482,655898,5629.6,2026-04-23T22:01:47.133Z,bid-extra-60364150190,2026-04-23T23:55:14.039Z
3952742,656518,6900.8,2026-04-23T22:01:47.133Z,bid-extra-60364150210,2026-04-23T23:55:14.039Z
3952872,656828,7536.400000000001,2026-04-23T22:01:47.133Z,bid-extra-60364150220,2026-04-23T23:55:14.039Z
3953002,657138,8172.0,2026-04-23T22:01:47.133Z,bid-extra-60364150230,2026-04-23T23:55:14.039Z
3953132,657448,8807.6,2026-04-23T22:01:47.133Z,bid-extra-60364150240,2026-04-23T23:55:14.039Z
3953392,658068,5538.8,2026-04-23T22:01:47.134Z,bid-extra-60364150260,2026-04-23T23:55:14.039Z
3953522,658378,6174.400000000001,2026-04-23T22:01:47.134Z,bid-extra-60364150270,2026-04-23T23:55:14.039Z
3953652,658688,6810.0,2026-04-23T22:01:47.134Z,bid-extra-60364150280,2026-04-23T23:55:14.039Z
3953782,658998,7445.6,2026-04-23T22:01:47.134Z,bid-extra-60364150290,2026-04-23T23:55:14.039Z
3954042,659618,8716.800000000001,2026-04-23T22:01:47.134Z,bid-extra-60364150310,2026-04-23T23:55:14.039Z
3954172,659928,9352.4,2026-04-23T22:01:47.134Z,bid-extra-60364150320,2026-04-23T23:55:14.039Z
3954302,660238,9988.0,2026-04-23T22:01:47.134Z,bid-extra-60364150330,2026-04-23T23:55:14.039Z
3954432,660548,10623.6,2026-04-23T22:01:47.134Z,bid-extra-60364150340,2026-04-23T23:55:14.039Z
3954692,661168,11894.800000000001,2026-04-23T22:01:47.135Z,bid-extra-60364150360,2026-04-23T23:55:14.039Z
3954822,661478,7990.400000000001,2026-04-23T22:01:47.135Z,bid-extra-60364150370,2026-04-23T23:55:14.039Z
3954952,661788,8626.0,2026-04-23T22:01:47.135Z,bid-extra-60364150380,2026-04-23T23:55:14.039Z
3955082,662098,9261.6,2026-04-23T22:01:47.135Z,bid-extra-60364150390,2026-04-23T23:55:14.039Z
3955342,662718,10532.800000000001,2026-04-23T22:01:47.135Z,bid-extra-60364150410,2026-04-23T23:55:14.039Z
3955472,663028,2179.2000000000003,2026-04-23T22:01:47.135Z,bid-extra-60364150420,2026-04-23T23:55:14.039Z
3955602,663338,2814.8,2026-04-23T22:01:47.135Z,bid-extra-60364150430,2026-04-23T23:55:14.039Z
3955732,663648,3450.4,2026-04-23T22:01:47.135Z,bid-extra-60364150440,2026-04-23T23:55:14.039Z
3955992,664268,4721.6,2026-04-23T22:01:47.136Z,bid-extra-60364150460,2026-04-23T23:55:14.039Z
3956122,664578,5357.2,2026-04-23T22:01:47.136Z,bid-extra-60364150470,2026-04-23T23:55:14.039Z
3956252,664888,5992.8,2026-04-23T22:01:47.136Z,bid-extra-60364150480,2026-04-23T23:55:14.039Z
3956382,665198,2088.4,2026-04-23T22:01:47.136Z,bid-extra-60364150490,2026-04-23T23:55:14.039Z
3956642,665818,3359.6,2026-04-23T22:01:47.136Z,bid-extra-60364150510,2026-04-23T23:55:14.039Z
3956772,666128,3995.2000000000003,2026-04-23T22:01:47.136Z,bid-extra-60364150520,2026-04-23T23:55:14.039Z
3956902,666438,4630.8,2026-04-23T22:01:47.136Z,bid-extra-60364150530,2026-04-23T23:55:14.039Z
3957032,666748,5266.400000000001,2026-04-23T22:01:47.136Z,bid-extra-60364150540,2026-04-23T23:55:14.039Z
