auction,bidder,price,dateTime,extra,processed_time
3950142,650318,7082.400000000001,2026-04-23T22:03:27.131Z,bid-extra-60374150010,2026-04-23T23:55:14.039Z
3950272,650628,7718.0,2026-04-23T22:03:27.131Z,bid-extra-60374150020,2026-04-23T23:55:14.039Z
3950402,650938,8353.6,2026-04-23T22:03:27.131Z,bid-extra-60374150030,2026-04-23T23:55:14.039Z
3950532,651248,8989.2,2026-04-23T22:03:27.131Z,bid-extra-60374150040,2026-04-23T23:55:14.039Z
3950792,651868,10260.4,2026-04-23T22:03:27.132Z,bid-extra-60374150060,2026-04-23T23:55:14.039Z
3950922,652178,10896.0,2026-04-23T22:03:27.132Z,bid-extra-60374150070,2026-04-23T23:55:14.039Z
3951052,652488,11531.6,2026-04-23T22:03:27.132Z,bid-extra-60374150080,2026-04-23T23:55:14.039Z
3951182,652798,12167.2,2026-04-23T22:03:27.132Z,bid-extra-60374150090,2026-04-23T23:55:14.039Z
3951442,653418,4449.2,2026-04-23T22:03:27.132Z,bid-extra-60374150110,2026-04-23T23:55:14.039Z
3951572,653728,5084.8,2026-04-23T22:03:27.132Z,bid-extra-60374150120,2026-04-23T23:55:14.039Z
3951702,654038,1180.4,2026-04-23T22:03:27.132Z,bid-extra-60374150130,2026-04-23T23:55:14.039Z
3951832,654348,1816.0,2026-04-23T22:03:27.132Z,bid-extra-60374150140,2026-04-23T23:55:14.039Z
3952092,654968,3087.2000000000003,2026-04-23T22:03:27.133Z,bid-extra-60374150160,2026-04-23T23:55:14.039Z
3952222,655278,3722.8,2026-04-23T22:03:27.133Z,bid-extra-60374150170,2026-04-23T23:55:14.039Z
3952352,655588,4358.400000000001,2026-04-23T22:03:27.133Z,bid-extra-60374150180,2026-04-23T23:55:14.039Z
3952482,655898,4994.0,2026-04-23T22:03:27.133Z,bid-extra-60374150190,2026-04-23T23:55:14.039Z
3952742,656518,6265.2,2026-04-23T22:03:27.133Z,bid-extra-60374150210,2026-04-23T23:55:14.039Z
3952872,656828,6900.8,2026-04-23T22:03:27.133Z,bid-extra-60374150220,2026-04-23T23:55:14.039Z
3953002,657138,7536.400000000001,2026-04-23T22:03:27.133Z,bid-extra-60374150230,2026-04-23T23:55:14.039Z
3953132,657448,8172.0,2026-04-23T22:03:27.133Z,bid-extra-60374150240,2026-04-23T23:55:14.039Z
3953392,658068,4903.2,2026-04-23T22:03:27.134Z,bid-extra-60374150260,2026-04-23T23:55:14.039Z
3953522,658378,5538.8,2026-04-23T22:03:27.134Z,bid-extra-60374150270,2026-04-23T23:55:14.039Z
3953652,658688,6174.400000000001,2026-04-23T22:03:27.134Z,bid-extra-60374150280,2026-04-23T23:55:14.039Z
3953782,658998,6810.0,2026-04-23T22:03:27.134Z,bid-extra-60374150290,2026-04-23T23:55:14.039Z
3954042,659618,8081.2,2026-04-23T22:03:27.134Z,bid-extra-60374150310,2026-04-23T23:55:14.039Z
3954172,659928,8716.800000000001,2026-04-23T22:03:27.134Z,bid-extra-60374150320,2026-04-23T23:55:14.039Z
3954302,660238,9352.4,2026-04-23T22:03:27.134Z,bid-extra-60374150330,2026-04-23T23:55:14.039Z
3954432,660548,9988.0,2026-04-23T22:03:27.134Z,bid-extra-60374150340,2026-04-23T23:55:14.039Z
3954692,661168,11259.2,2026-04-23T22:03:27.135Z,bid-extra-60374150360,2026-04-23T23:55:14.039Z
3954822,661478,7354.8,2026-04-23T22:03:27.135Z,bid-extra-60374150370,2026-04-23T23:55:14.039Z
3954952,661788,7990.400000000001,2026-04-23T22:03:27.135Z,bid-extra-60374150380,2026-04-23T23:55:14.039Z
3955082,662098,8626.0,2026-04-23T22:03:27.135Z,bid-extra-60374150390,2026-04-23T23:55:14.039Z
3955342,662718,9897.2,2026-04-23T22:03:27.135Z,bid-extra-60374150410,2026-04-23T23:55:14.039Z
3955472,663028,10532.800000000001,2026-04-23T22:03:27.135Z,bid-extra-60374150420,2026-04-23T23:55:14.039Z
3955602,663338,11168.4,2026-04-23T22:03:27.135Z,bid-extra-60374150430,2026-04-23T23:55:14.039Z
3955732,663648,11804.0,2026-04-23T22:03:27.135Z,bid-extra-60374150440,2026-04-23T23:55:14.039Z
3955992,664268,4086.0,2026-04-23T22:03:27.136Z,bid-extra-60374150460,2026-04-23T23:55:14.039Z
3956122,664578,4721.6,2026-04-23T22:03:27.136Z,bid-extra-60374150470,2026-04-23T23:55:14.039Z
3956252,664888,5357.2,2026-04-23T22:03:27.136Z,bid-extra-60374150480,2026-04-23T23:55:14.039Z
3956382,665198,1452.8,2026-04-23T22:03:27.136Z,bid-extra-60374150490,2026-04-23T23:55:14.039Z
3956642,665818,2724.0,2026-04-23T22:03:27.136Z,bid-extra-60374150510,2026-04-23T23:55:14.039Z
3956772,666128,3359.6,2026-04-23T22:03:27.136Z,bid-extra-60374150520,2026-04-23T23:55:14.039Z
3956902,666438,3995.2000000000003,2026-04-23T22:03:27.136Z,bid-extra-60374150530,2026-04-23T23:55:14.039Z
3957032,666748,4630.8,2026-04-23T22:03:27.136Z,bid-extra-60374150540,2026-04-23T23:55:14.039Z
3957292,667368,5902.0,2026-04-23T22:03:27.137Z,bid-extra-60374150560,2026-04-23T23:55:14.039Z
3957422,667678,6537.6,2026-04-23T22:03:27.137Z,bid-extra-60374150570,2026-04-23T23:55:14.039Z
3957552,667988,7173.2,2026-04-23T22:03:27.137Z,bid-extra-60374150580,2026-04-23T23:55:14.039Z
3957682,668298,7808.8,2026-04-23T22:03:27.137Z,bid-extra-60374150590,2026-04-23T23:55:14.039Z
3957942,668918,4540.0,2026-04-23T22:03:27.137Z,bid-extra-60374150610,2026-04-23T23:55:14.039Z
3958072,669228,5175.6,2026-04-23T22:03:27.137Z,bid-extra-60374150620,2026-04-23T23:55:14.039Z
3958202,669538,5811.2,2026-04-23T22:03:27.137Z,bid-extra-60374150630,2026-04-23T23:55:14.039Z
3958332,669848,6446.8,2026-04-23T22:03:27.137Z,bid-extra-60374150640,2026-04-23T23:55:14.039Z
3958592,670468,7718.0,2026-04-23T22:03:27.138Z,bid-extra-60374150660,2026-04-23T23:55:14.039Z
3958722,670778,8353.6,2026-04-23T22:03:27.138Z,bid-extra-60374150670,2026-04-23T23:55:14.039Z
3958852,671088,8989.2,2026-04-23T22:03:27.138Z,bid-extra-60374150680,2026-04-23T23:55:14.039Z
3958982,671398,9624.800000000001,2026-04-23T22:03:27.138Z,bid-extra-60374150690,2026-04-23T23:55:14.039Z
