auction,bidder,price,dateTime,extra,processed_time
2700142,900318,7627.2,2026-04-23T21:59:04.631Z,bid-extra-60347900010,2026-04-23T23:55:14.039Z
2700272,900628,8262.800000000001,2026-04-23T21:59:04.631Z,bid-extra-60347900020,2026-04-23T23:55:14.039Z
2700402,900938,8898.4,2026-04-23T21:59:04.631Z,bid-extra-60347900030,2026-04-23T23:55:14.039Z
2700532,901248,9534.0,2026-04-23T21:59:04.631Z,bid-extra-60347900040,2026-04-23T23:55:14.039Z
2700792,901868,10805.2,2026-04-23T21:59:04.632Z,bid-extra-60347900060,2026-04-23T23:55:14.039Z
2700922,902178,11440.800000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900070,2026-04-23T23:55:14.039Z
2701052,902488,3087.2000000000003,2026-04-23T21:59:04.632Z,bid-extra-60347900080,2026-04-23T23:55:14.039Z
2701182,902798,3722.8,2026-04-23T21:59:04.632Z,bid-extra-60347900090,2026-04-23T23:55:14.039Z
2701442,903418,4994.0,2026-04-23T21:59:04.632Z,bid-extra-60347900110,2026-04-23T23:55:14.039Z
2701572,903728,5629.6,2026-04-23T21:59:04.632Z,bid-extra-60347900120,2026-04-23T23:55:14.039Z
2701702,904038,1725.2,2026-04-23T21:59:04.632Z,bid-extra-60347900130,2026-04-23T23:55:14.039Z
2701832,904348,2360.8,2026-04-23T21:59:04.632Z,bid-extra-60347900140,2026-04-23T23:55:14.039Z
2702092,904968,3632.0,2026-04-23T21:59:04.633Z,bid-extra-60347900160,2026-04-23T23:55:14.039Z
2702222,905278,4267.6,2026-04-23T21:59:04.633Z,bid-extra-60347900170,2026-04-23T23:55:14.039Z
2702352,905588,4903.2,2026-04-23T21:59:04.633Z,bid-extra-60347900180,2026-04-23T23:55:14.039Z
2702482,905898,5538.8,2026-04-23T21:59:04.633Z,bid-extra-60347900190,2026-04-23T23:55:14.039Z
2702742,906518,6810.0,2026-04-23T21:59:04.633Z,bid-extra-60347900210,2026-04-23T23:55:14.039Z
2702872,906828,7445.6,2026-04-23T21:59:04.633Z,bid-extra-60347900220,2026-04-23T23:55:14.039Z
2703002,907138,8081.2,2026-04-23T21:59:04.633Z,bid-extra-60347900230,2026-04-23T23:55:14.039Z
2703132,907448,8716.800000000001,2026-04-23T21:59:04.633Z,bid-extra-60347900240,2026-04-23T23:55:14.039Z
2703392,908068,5448.0,2026-04-23T21:59:04.634Z,bid-extra-60347900260,2026-04-23T23:55:14.039Z
2703522,908378,6083.6,2026-04-23T21:59:04.634Z,bid-extra-60347900270,2026-04-23T23:55:14.039Z
2703652,908688,6719.2,2026-04-23T21:59:04.634Z,bid-extra-60347900280,2026-04-23T23:55:14.039Z
2703782,908998,7354.8,2026-04-23T21:59:04.634Z,bid-extra-60347900290,2026-04-23T23:55:14.039Z
2704042,909618,8626.0,2026-04-23T21:59:04.634Z,bid-extra-60347900310,2026-04-23T23:55:14.039Z
2704172,909928,9261.6,2026-04-23T21:59:04.634Z,bid-extra-60347900320,2026-04-23T23:55:14.039Z
2704302,910238,9897.2,2026-04-23T21:59:04.634Z,bid-extra-60347900330,2026-04-23T23:55:14.039Z
2704432,910548,10532.800000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900340,2026-04-23T23:55:14.039Z
2704692,911168,11804.0,2026-04-23T21:59:04.635Z,bid-extra-60347900360,2026-04-23T23:55:14.039Z
2704822,911478,7899.6,2026-04-23T21:59:04.635Z,bid-extra-60347900370,2026-04-23T23:55:14.039Z
2704952,911788,8535.2,2026-04-23T21:59:04.635Z,bid-extra-60347900380,2026-04-23T23:55:14.039Z
2705082,912098,9170.800000000001,2026-04-23T21:59:04.635Z,bid-extra-60347900390,2026-04-23T23:55:14.039Z
2705342,912718,10442.0,2026-04-23T21:59:04.635Z,bid-extra-60347900410,2026-04-23T23:55:14.039Z
2705472,913028,11077.6,2026-04-23T21:59:04.635Z,bid-extra-60347900420,2026-04-23T23:55:14.039Z
2705602,913338,2724.0,2026-04-23T21:59:04.635Z,bid-extra-60347900430,2026-04-23T23:55:14.039Z
2705732,913648,3359.6,2026-04-23T21:59:04.635Z,bid-extra-60347900440,2026-04-23T23:55:14.039Z
2705992,914268,4630.8,2026-04-23T21:59:04.636Z,bid-extra-60347900460,2026-04-23T23:55:14.039Z
2706122,914578,5266.400000000001,2026-04-23T21:59:04.636Z,bid-extra-60347900470,2026-04-23T23:55:14.039Z
2706252,914888,5902.0,2026-04-23T21:59:04.636Z,bid-extra-60347900480,2026-04-23T23:55:14.039Z
2706382,915198,1997.6000000000001,2026-04-23T21:59:04.636Z,bid-extra-60347900490,2026-04-23T23:55:14.039Z
2706642,915818,3268.8,2026-04-23T21:59:04.636Z,bid-extra-60347900510,2026-04-23T23:55:14.039Z
2706772,916128,3904.4,2026-04-23T21:59:04.636Z,bid-extra-60347900520,2026-04-23T23:55:14.039Z
2706902,916438,4540.0,2026-04-23T21:59:04.636Z,bid-extra-60347900530,2026-04-23T23:55:14.039Z
2707032,916748,5175.6,2026-04-23T21:59:04.636Z,bid-extra-60347900540,2026-04-23T23:55:14.039Z
2707292,917368,6446.8,2026-04-23T21:59:04.637Z,bid-extra-60347900560,2026-04-23T23:55:14.039Z
2707422,917678,7082.400000000001,2026-04-23T21:59:04.637Z,bid-extra-60347900570,2026-04-23T23:55:14.039Z
2707552,917988,7718.0,2026-04-23T21:59:04.637Z,bid-extra-60347900580,2026-04-23T23:55:14.039Z
2707682,918298,8353.6,2026-04-23T21:59:04.637Z,bid-extra-60347900590,2026-04-23T23:55:14.039Z
2707942,918918,5084.8,2026-04-23T21:59:04.637Z,bid-extra-60347900610,2026-04-23T23:55:14.039Z
2708072,919228,5720.400000000001,2026-04-23T21:59:04.637Z,bid-extra-60347900620,2026-04-23T23:55:14.039Z
2708202,919538,6356.0,2026-04-23T21:59:04.637Z,bid-extra-60347900630,2026-04-23T23:55:14.039Z
2708332,919848,6991.6,2026-04-23T21:59:04.637Z,bid-extra-60347900640,2026-04-23T23:55:14.039Z
2708592,920468,8262.800000000001,2026-04-23T21:59:04.638Z,bid-extra-60347900660,2026-04-23T23:55:14.039Z
2708722,920778,8898.4,2026-04-23T21:59:04.638Z,bid-extra-60347900670,2026-04-23T23:55:14.039Z
2708852,921088,9534.0,2026-04-23T21:59:04.638Z,bid-extra-60347900680,2026-04-23T23:55:14.039Z
2708982,921398,10169.6,2026-04-23T21:59:04.638Z,bid-extra-60347900690,2026-04-23T23:55:14.039Z
2709242,922018,11440.800000000001,2026-04-23T21:59:04.638Z,bid-extra-60347900710,2026-04-23T23:55:14.039Z
2709372,922328,12076.4,2026-04-23T21:59:04.638Z,bid-extra-60347900720,2026-04-23T23:55:14.039Z
2709502,922638,12712.0,2026-04-23T21:59:04.638Z,bid-extra-60347900730,2026-04-23T23:55:14.039Z
2709632,922948,8807.6,2026-04-23T21:59:04.638Z,bid-extra-60347900740,2026-04-23T23:55:14.039Z
2709892,923568,10078.800000000001,2026-04-23T21:59:04.639Z,bid-extra-60347900760,2026-04-23T23:55:14.039Z
2710022,923878,1725.2,2026-04-23T21:59:04.639Z,bid-extra-60347900770,2026-04-23T23:55:14.039Z
2710152,924188,2360.8,2026-04-23T21:59:04.639Z,bid-extra-60347900780,2026-04-23T23:55:14.039Z
2710282,924498,2996.4,2026-04-23T21:59:04.639Z,bid-extra-60347900790,2026-04-23T23:55:14.039Z
2710542,925118,4267.6,2026-04-23T21:59:04.639Z,bid-extra-60347900810,2026-04-23T23:55:14.039Z
2710672,925428,4903.2,2026-04-23T21:59:04.639Z,bid-extra-60347900820,2026-04-23T23:55:14.039Z
2710802,925738,5538.8,2026-04-23T21:59:04.639Z,bid-extra-60347900830,2026-04-23T23:55:14.039Z
2710932,926048,6174.400000000001,2026-04-23T21:59:04.639Z,bid-extra-60347900840,2026-04-23T23:55:14.039Z
2711192,926668,2905.6,2026-04-23T21:59:04.640Z,bid-extra-60347900860,2026-04-23T23:55:14.039Z
2711322,926978,3541.2000000000003,2026-04-23T21:59:04.640Z,bid-extra-60347900870,2026-04-23T23:55:14.039Z
2711452,927288,4176.8,2026-04-23T21:59:04.640Z,bid-extra-60347900880,2026-04-23T23:55:14.039Z
2711582,927598,4812.400000000001,2026-04-23T21:59:04.640Z,bid-extra-60347900890,2026-04-23T23:55:14.039Z
2711842,928218,6083.6,2026-04-23T21:59:04.640Z,bid-extra-60347900910,2026-04-23T23:55:14.039Z
2711972,928528,6719.2,2026-04-23T21:59:04.640Z,bid-extra-60347900920,2026-04-23T23:55:14.039Z
2712102,928838,7354.8,2026-04-23T21:59:04.640Z,bid-extra-60347900930,2026-04-23T23:55:14.039Z
2712232,929148,7990.400000000001,2026-04-23T21:59:04.640Z,bid-extra-60347900940,2026-04-23T23:55:14.039Z
2712492,929768,9261.6,2026-04-23T21:59:04.641Z,bid-extra-60347900960,2026-04-23T23:55:14.039Z
2712622,930078,9897.2,2026-04-23T21:59:04.641Z,bid-extra-60347900970,2026-04-23T23:55:14.039Z
2712752,930388,5992.8,2026-04-23T21:59:04.641Z,bid-extra-60347900980,2026-04-23T23:55:14.039Z
