auction,bidder,price,dateTime,extra,processed_time
7700142,900318,2179.2000000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900010,2026-04-23T23:55:14.039Z
7700272,900628,2814.8,2026-04-23T22:01:34.631Z,bid-extra-60362900020,2026-04-23T23:55:14.039Z
7700402,900938,3450.4,2026-04-23T22:01:34.631Z,bid-extra-60362900030,2026-04-23T23:55:14.039Z
7700532,901248,4086.0,2026-04-23T22:01:34.631Z,bid-extra-60362900040,2026-04-23T23:55:14.039Z
7700792,901868,5357.2,2026-04-23T22:01:34.632Z,bid-extra-60362900060,2026-04-23T23:55:14.039Z
7700922,902178,5992.8,2026-04-23T22:01:34.632Z,bid-extra-60362900070,2026-04-23T23:55:14.039Z
7701052,902488,6628.400000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900080,2026-04-23T23:55:14.039Z
7701182,902798,7264.0,2026-04-23T22:01:34.632Z,bid-extra-60362900090,2026-04-23T23:55:14.039Z
7701442,903418,8535.2,2026-04-23T22:01:34.632Z,bid-extra-60362900110,2026-04-23T23:55:14.039Z
7701572,903728,9170.800000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900120,2026-04-23T23:55:14.039Z
7701702,904038,5266.400000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900130,2026-04-23T23:55:14.039Z
7701832,904348,5902.0,2026-04-23T22:01:34.632Z,bid-extra-60362900140,2026-04-23T23:55:14.039Z
7702092,904968,7173.2,2026-04-23T22:01:34.633Z,bid-extra-60362900160,2026-04-23T23:55:14.039Z
7702222,905278,7808.8,2026-04-23T22:01:34.633Z,bid-extra-60362900170,2026-04-23T23:55:14.039Z
7702352,905588,8444.4,2026-04-23T22:01:34.633Z,bid-extra-60362900180,2026-04-23T23:55:14.039Z
7702482,905898,9080.0,2026-04-23T22:01:34.633Z,bid-extra-60362900190,2026-04-23T23:55:14.039Z
7702742,906518,10351.2,2026-04-23T22:01:34.633Z,bid-extra-60362900210,2026-04-23T23:55:14.039Z
7702872,906828,10986.800000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900220,2026-04-23T23:55:14.039Z
7703002,907138,11622.4,2026-04-23T22:01:34.633Z,bid-extra-60362900230,2026-04-23T23:55:14.039Z
7703132,907448,12258.0,2026-04-23T22:01:34.633Z,bid-extra-60362900240,2026-04-23T23:55:14.039Z
7703392,908068,8989.2,2026-04-23T22:01:34.634Z,bid-extra-60362900260,2026-04-23T23:55:14.039Z
7703522,908378,9624.800000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900270,2026-04-23T23:55:14.039Z
7703652,908688,10260.4,2026-04-23T22:01:34.634Z,bid-extra-60362900280,2026-04-23T23:55:14.039Z
7703782,908998,1906.8,2026-04-23T22:01:34.634Z,bid-extra-60362900290,2026-04-23T23:55:14.039Z
7704042,909618,3178.0,2026-04-23T22:01:34.634Z,bid-extra-60362900310,2026-04-23T23:55:14.039Z
7704172,909928,3813.6,2026-04-23T22:01:34.634Z,bid-extra-60362900320,2026-04-23T23:55:14.039Z
7704302,910238,4449.2,2026-04-23T22:01:34.634Z,bid-extra-60362900330,2026-04-23T23:55:14.039Z
7704432,910548,5084.8,2026-04-23T22:01:34.634Z,bid-extra-60362900340,2026-04-23T23:55:14.039Z
7704692,911168,6356.0,2026-04-23T22:01:34.635Z,bid-extra-60362900360,2026-04-23T23:55:14.039Z
7704822,911478,2451.6,2026-04-23T22:01:34.635Z,bid-extra-60362900370,2026-04-23T23:55:14.039Z
7704952,911788,3087.2000000000003,2026-04-23T22:01:34.635Z,bid-extra-60362900380,2026-04-23T23:55:14.039Z
7705082,912098,3722.8,2026-04-23T22:01:34.635Z,bid-extra-60362900390,2026-04-23T23:55:14.039Z
7705342,912718,4994.0,2026-04-23T22:01:34.635Z,bid-extra-60362900410,2026-04-23T23:55:14.039Z
7705472,913028,5629.6,2026-04-23T22:01:34.635Z,bid-extra-60362900420,2026-04-23T23:55:14.039Z
7705602,913338,6265.2,2026-04-23T22:01:34.635Z,bid-extra-60362900430,2026-04-23T23:55:14.039Z
7705732,913648,6900.8,2026-04-23T22:01:34.635Z,bid-extra-60362900440,2026-04-23T23:55:14.039Z
7705992,914268,8172.0,2026-04-23T22:01:34.636Z,bid-extra-60362900460,2026-04-23T23:55:14.039Z
7706122,914578,8807.6,2026-04-23T22:01:34.636Z,bid-extra-60362900470,2026-04-23T23:55:14.039Z
7706252,914888,9443.2,2026-04-23T22:01:34.636Z,bid-extra-60362900480,2026-04-23T23:55:14.039Z
7706382,915198,5538.8,2026-04-23T22:01:34.636Z,bid-extra-60362900490,2026-04-23T23:55:14.039Z
7706642,915818,6810.0,2026-04-23T22:01:34.636Z,bid-extra-60362900510,2026-04-23T23:55:14.039Z
7706772,916128,7445.6,2026-04-23T22:01:34.636Z,bid-extra-60362900520,2026-04-23T23:55:14.039Z
7706902,916438,8081.2,2026-04-23T22:01:34.636Z,bid-extra-60362900530,2026-04-23T23:55:14.039Z
7707032,916748,8716.800000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900540,2026-04-23T23:55:14.039Z
7707292,917368,9988.0,2026-04-23T22:01:34.637Z,bid-extra-60362900560,2026-04-23T23:55:14.039Z
7707422,917678,10623.6,2026-04-23T22:01:34.637Z,bid-extra-60362900570,2026-04-23T23:55:14.039Z
7707552,917988,11259.2,2026-04-23T22:01:34.637Z,bid-extra-60362900580,2026-04-23T23:55:14.039Z
7707682,918298,11894.800000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900590,2026-04-23T23:55:14.039Z
7707942,918918,8626.0,2026-04-23T22:01:34.637Z,bid-extra-60362900610,2026-04-23T23:55:14.039Z
7708072,919228,9261.6,2026-04-23T22:01:34.637Z,bid-extra-60362900620,2026-04-23T23:55:14.039Z
7708202,919538,908.0,2026-04-23T22:01:34.637Z,bid-extra-60362900630,2026-04-23T23:55:14.039Z
7708332,919848,1543.6000000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900640,2026-04-23T23:55:14.039Z
7708592,920468,2814.8,2026-04-23T22:01:34.638Z,bid-extra-60362900660,2026-04-23T23:55:14.039Z
