auction,bidder,price,dateTime,extra,processed_time
5200142,400318,8444.4,2026-04-23T22:02:49.631Z,bid-extra-60370400010,2026-04-23T23:55:14.039Z
5200272,400628,9080.0,2026-04-23T22:02:49.631Z,bid-extra-60370400020,2026-04-23T23:55:14.039Z
5200402,400938,9715.6,2026-04-23T22:02:49.631Z,bid-extra-60370400030,2026-04-23T23:55:14.039Z
5200532,401248,10351.2,2026-04-23T22:02:49.631Z,bid-extra-60370400040,2026-04-23T23:55:14.039Z
5200792,401868,2633.2000000000003,2026-04-23T22:02:49.632Z,bid-extra-60370400060,2026-04-23T23:55:14.039Z
5200922,402178,3268.8,2026-04-23T22:02:49.632Z,bid-extra-60370400070,2026-04-23T23:55:14.039Z
5201052,402488,3904.4,2026-04-23T22:02:49.632Z,bid-extra-60370400080,2026-04-23T23:55:14.039Z
5201182,402798,4540.0,2026-04-23T22:02:49.632Z,bid-extra-60370400090,2026-04-23T23:55:14.039Z
5201442,403418,5811.2,2026-04-23T22:02:49.632Z,bid-extra-60370400110,2026-04-23T23:55:14.039Z
5201572,403728,6446.8,2026-04-23T22:02:49.632Z,bid-extra-60370400120,2026-04-23T23:55:14.039Z
5201702,404038,2542.4,2026-04-23T22:02:49.632Z,bid-extra-60370400130,2026-04-23T23:55:14.039Z
5201832,404348,3178.0,2026-04-23T22:02:49.632Z,bid-extra-60370400140,2026-04-23T23:55:14.039Z
5202092,404968,4449.2,2026-04-23T22:02:49.633Z,bid-extra-60370400160,2026-04-23T23:55:14.039Z
5202222,405278,5084.8,2026-04-23T22:02:49.633Z,bid-extra-60370400170,2026-04-23T23:55:14.039Z
5202352,405588,5720.400000000001,2026-04-23T22:02:49.633Z,bid-extra-60370400180,2026-04-23T23:55:14.039Z
5202482,405898,6356.0,2026-04-23T22:02:49.633Z,bid-extra-60370400190,2026-04-23T23:55:14.039Z
5202742,406518,7627.2,2026-04-23T22:02:49.633Z,bid-extra-60370400210,2026-04-23T23:55:14.039Z
5202872,406828,8262.800000000001,2026-04-23T22:02:49.633Z,bid-extra-60370400220,2026-04-23T23:55:14.039Z
5203002,407138,8898.4,2026-04-23T22:02:49.633Z,bid-extra-60370400230,2026-04-23T23:55:14.039Z
5203132,407448,9534.0,2026-04-23T22:02:49.633Z,bid-extra-60370400240,2026-04-23T23:55:14.039Z
5203392,408068,6265.2,2026-04-23T22:02:49.634Z,bid-extra-60370400260,2026-04-23T23:55:14.039Z
5203522,408378,6900.8,2026-04-23T22:02:49.634Z,bid-extra-60370400270,2026-04-23T23:55:14.039Z
5203652,408688,7536.400000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400280,2026-04-23T23:55:14.039Z
5203782,408998,8172.0,2026-04-23T22:02:49.634Z,bid-extra-60370400290,2026-04-23T23:55:14.039Z
5204042,409618,9443.2,2026-04-23T22:02:49.634Z,bid-extra-60370400310,2026-04-23T23:55:14.039Z
5204172,409928,10078.800000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400320,2026-04-23T23:55:14.039Z
5204302,410238,10714.4,2026-04-23T22:02:49.634Z,bid-extra-60370400330,2026-04-23T23:55:14.039Z
5204432,410548,11350.0,2026-04-23T22:02:49.634Z,bid-extra-60370400340,2026-04-23T23:55:14.039Z
5204692,411168,12621.2,2026-04-23T22:02:49.635Z,bid-extra-60370400360,2026-04-23T23:55:14.039Z
5204822,411478,8716.800000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400370,2026-04-23T23:55:14.039Z
5204952,411788,9352.4,2026-04-23T22:02:49.635Z,bid-extra-60370400380,2026-04-23T23:55:14.039Z
5205082,412098,998.8000000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400390,2026-04-23T23:55:14.039Z
5205342,412718,2270.0,2026-04-23T22:02:49.635Z,bid-extra-60370400410,2026-04-23T23:55:14.039Z
5205472,413028,2905.6,2026-04-23T22:02:49.635Z,bid-extra-60370400420,2026-04-23T23:55:14.039Z
5205602,413338,3541.2000000000003,2026-04-23T22:02:49.635Z,bid-extra-60370400430,2026-04-23T23:55:14.039Z
