auction,bidder,price,dateTime,extra,processed_time
5200142,400318,726.4,2026-04-23T21:59:29.631Z,bid-extra-60350400010,2026-04-23T23:55:14.039Z
5200272,400628,1362.0,2026-04-23T21:59:29.631Z,bid-extra-60350400020,2026-04-23T23:55:14.039Z
5200402,400938,1997.6000000000001,2026-04-23T21:59:29.631Z,bid-extra-60350400030,2026-04-23T23:55:14.039Z
5200532,401248,2633.2000000000003,2026-04-23T21:59:29.631Z,bid-extra-60350400040,2026-04-23T23:55:14.039Z
5200792,401868,3904.4,2026-04-23T21:59:29.632Z,bid-extra-60350400060,2026-04-23T23:55:14.039Z
5200922,402178,4540.0,2026-04-23T21:59:29.632Z,bid-extra-60350400070,2026-04-23T23:55:14.039Z
5201052,402488,5175.6,2026-04-23T21:59:29.632Z,bid-extra-60350400080,2026-04-23T23:55:14.039Z
5201182,402798,5811.2,2026-04-23T21:59:29.632Z,bid-extra-60350400090,2026-04-23T23:55:14.039Z
5201442,403418,7082.400000000001,2026-04-23T21:59:29.632Z,bid-extra-60350400110,2026-04-23T23:55:14.039Z
5201572,403728,7718.0,2026-04-23T21:59:29.632Z,bid-extra-60350400120,2026-04-23T23:55:14.039Z
5201702,404038,3813.6,2026-04-23T21:59:29.632Z,bid-extra-60350400130,2026-04-23T23:55:14.039Z
5201832,404348,4449.2,2026-04-23T21:59:29.632Z,bid-extra-60350400140,2026-04-23T23:55:14.039Z
5202092,404968,5720.400000000001,2026-04-23T21:59:29.633Z,bid-extra-60350400160,2026-04-23T23:55:14.039Z
5202222,405278,6356.0,2026-04-23T21:59:29.633Z,bid-extra-60350400170,2026-04-23T23:55:14.039Z
5202352,405588,6991.6,2026-04-23T21:59:29.633Z,bid-extra-60350400180,2026-04-23T23:55:14.039Z
5202482,405898,7627.2,2026-04-23T21:59:29.633Z,bid-extra-60350400190,2026-04-23T23:55:14.039Z
5202742,406518,8898.4,2026-04-23T21:59:29.633Z,bid-extra-60350400210,2026-04-23T23:55:14.039Z
5202872,406828,9534.0,2026-04-23T21:59:29.633Z,bid-extra-60350400220,2026-04-23T23:55:14.039Z
5203002,407138,10169.6,2026-04-23T21:59:29.633Z,bid-extra-60350400230,2026-04-23T23:55:14.039Z
5203132,407448,10805.2,2026-04-23T21:59:29.633Z,bid-extra-60350400240,2026-04-23T23:55:14.039Z
5203392,408068,7536.400000000001,2026-04-23T21:59:29.634Z,bid-extra-60350400260,2026-04-23T23:55:14.039Z
5203522,408378,8172.0,2026-04-23T21:59:29.634Z,bid-extra-60350400270,2026-04-23T23:55:14.039Z
5203652,408688,8807.6,2026-04-23T21:59:29.634Z,bid-extra-60350400280,2026-04-23T23:55:14.039Z
5203782,408998,9443.2,2026-04-23T21:59:29.634Z,bid-extra-60350400290,2026-04-23T23:55:14.039Z
5204042,409618,10714.4,2026-04-23T21:59:29.634Z,bid-extra-60350400310,2026-04-23T23:55:14.039Z
5204172,409928,11350.0,2026-04-23T21:59:29.634Z,bid-extra-60350400320,2026-04-23T23:55:14.039Z
5204302,410238,11985.6,2026-04-23T21:59:29.634Z,bid-extra-60350400330,2026-04-23T23:55:14.039Z
5204432,410548,12621.2,2026-04-23T21:59:29.634Z,bid-extra-60350400340,2026-04-23T23:55:14.039Z
5204692,411168,4903.2,2026-04-23T21:59:29.635Z,bid-extra-60350400360,2026-04-23T23:55:14.039Z
5204822,411478,998.8000000000001,2026-04-23T21:59:29.635Z,bid-extra-60350400370,2026-04-23T23:55:14.039Z
5204952,411788,1634.4,2026-04-23T21:59:29.635Z,bid-extra-60350400380,2026-04-23T23:55:14.039Z
5205082,412098,2270.0,2026-04-23T21:59:29.635Z,bid-extra-60350400390,2026-04-23T23:55:14.039Z
5205342,412718,3541.2000000000003,2026-04-23T21:59:29.635Z,bid-extra-60350400410,2026-04-23T23:55:14.039Z
5205472,413028,4176.8,2026-04-23T21:59:29.635Z,bid-extra-60350400420,2026-04-23T23:55:14.039Z
5205602,413338,4812.400000000001,2026-04-23T21:59:29.635Z,bid-extra-60350400430,2026-04-23T23:55:14.039Z
5205732,413648,5448.0,2026-04-23T21:59:29.635Z,bid-extra-60350400440,2026-04-23T23:55:14.039Z
5205992,414268,6719.2,2026-04-23T21:59:29.636Z,bid-extra-60350400460,2026-04-23T23:55:14.039Z
5206122,414578,7354.8,2026-04-23T21:59:29.636Z,bid-extra-60350400470,2026-04-23T23:55:14.039Z
5206252,414888,7990.400000000001,2026-04-23T21:59:29.636Z,bid-extra-60350400480,2026-04-23T23:55:14.039Z
5206382,415198,4086.0,2026-04-23T21:59:29.636Z,bid-extra-60350400490,2026-04-23T23:55:14.039Z
5206642,415818,5357.2,2026-04-23T21:59:29.636Z,bid-extra-60350400510,2026-04-23T23:55:14.039Z
5206772,416128,5992.8,2026-04-23T21:59:29.636Z,bid-extra-60350400520,2026-04-23T23:55:14.039Z
5206902,416438,6628.400000000001,2026-04-23T21:59:29.636Z,bid-extra-60350400530,2026-04-23T23:55:14.039Z
5207032,416748,7264.0,2026-04-23T21:59:29.636Z,bid-extra-60350400540,2026-04-23T23:55:14.039Z
5207292,417368,8535.2,2026-04-23T21:59:29.637Z,bid-extra-60350400560,2026-04-23T23:55:14.039Z
5207422,417678,9170.800000000001,2026-04-23T21:59:29.637Z,bid-extra-60350400570,2026-04-23T23:55:14.039Z
5207552,417988,9806.4,2026-04-23T21:59:29.637Z,bid-extra-60350400580,2026-04-23T23:55:14.039Z
5207682,418298,10442.0,2026-04-23T21:59:29.637Z,bid-extra-60350400590,2026-04-23T23:55:14.039Z
5207942,418918,7173.2,2026-04-23T21:59:29.637Z,bid-extra-60350400610,2026-04-23T23:55:14.039Z
5208072,419228,7808.8,2026-04-23T21:59:29.637Z,bid-extra-60350400620,2026-04-23T23:55:14.039Z
5208202,419538,8444.4,2026-04-23T21:59:29.637Z,bid-extra-60350400630,2026-04-23T23:55:14.039Z
5208332,419848,9080.0,2026-04-23T21:59:29.637Z,bid-extra-60350400640,2026-04-23T23:55:14.039Z
5208592,420468,10351.2,2026-04-23T21:59:29.638Z,bid-extra-60350400660,2026-04-23T23:55:14.039Z
5208722,420778,10986.800000000001,2026-04-23T21:59:29.638Z,bid-extra-60350400670,2026-04-23T23:55:14.039Z
5208852,421088,11622.4,2026-04-23T21:59:29.638Z,bid-extra-60350400680,2026-04-23T23:55:14.039Z
5208982,421398,3268.8,2026-04-23T21:59:29.638Z,bid-extra-60350400690,2026-04-23T23:55:14.039Z
5209242,422018,4540.0,2026-04-23T21:59:29.638Z,bid-extra-60350400710,2026-04-23T23:55:14.039Z
5209372,422328,5175.6,2026-04-23T21:59:29.638Z,bid-extra-60350400720,2026-04-23T23:55:14.039Z
5209502,422638,5811.2,2026-04-23T21:59:29.638Z,bid-extra-60350400730,2026-04-23T23:55:14.039Z
5209632,422948,1906.8,2026-04-23T21:59:29.638Z,bid-extra-60350400740,2026-04-23T23:55:14.039Z
5209892,423568,3178.0,2026-04-23T21:59:29.639Z,bid-extra-60350400760,2026-04-23T23:55:14.039Z
5210022,423878,3813.6,2026-04-23T21:59:29.639Z,bid-extra-60350400770,2026-04-23T23:55:14.039Z
5210152,424188,4449.2,2026-04-23T21:59:29.639Z,bid-extra-60350400780,2026-04-23T23:55:14.039Z
5210282,424498,5084.8,2026-04-23T21:59:29.639Z,bid-extra-60350400790,2026-04-23T23:55:14.039Z
5210542,425118,6356.0,2026-04-23T21:59:29.639Z,bid-extra-60350400810,2026-04-23T23:55:14.039Z
5210672,425428,6991.6,2026-04-23T21:59:29.639Z,bid-extra-60350400820,2026-04-23T23:55:14.039Z
5210802,425738,7627.2,2026-04-23T21:59:29.639Z,bid-extra-60350400830,2026-04-23T23:55:14.039Z
5210932,426048,8262.800000000001,2026-04-23T21:59:29.639Z,bid-extra-60350400840,2026-04-23T23:55:14.039Z
5211192,426668,4994.0,2026-04-23T21:59:29.640Z,bid-extra-60350400860,2026-04-23T23:55:14.039Z
5211322,426978,5629.6,2026-04-23T21:59:29.640Z,bid-extra-60350400870,2026-04-23T23:55:14.039Z
5211452,427288,6265.2,2026-04-23T21:59:29.640Z,bid-extra-60350400880,2026-04-23T23:55:14.039Z
5211582,427598,6900.8,2026-04-23T21:59:29.640Z,bid-extra-60350400890,2026-04-23T23:55:14.039Z
5211842,428218,8172.0,2026-04-23T21:59:29.640Z,bid-extra-60350400910,2026-04-23T23:55:14.039Z
5211972,428528,8807.6,2026-04-23T21:59:29.640Z,bid-extra-60350400920,2026-04-23T23:55:14.039Z
5212102,428838,9443.2,2026-04-23T21:59:29.640Z,bid-extra-60350400930,2026-04-23T23:55:14.039Z
5212232,429148,10078.800000000001,2026-04-23T21:59:29.640Z,bid-extra-60350400940,2026-04-23T23:55:14.039Z
5212492,429768,11350.0,2026-04-23T21:59:29.641Z,bid-extra-60350400960,2026-04-23T23:55:14.039Z
5212622,430078,11985.6,2026-04-23T21:59:29.641Z,bid-extra-60350400970,2026-04-23T23:55:14.039Z
5212752,430388,8081.2,2026-04-23T21:59:29.641Z,bid-extra-60350400980,2026-04-23T23:55:14.039Z
5212882,430698,8716.800000000001,2026-04-23T21:59:29.641Z,bid-extra-60350400990,2026-04-23T23:55:14.039Z
5213142,431318,9988.0,2026-04-23T21:59:29.641Z,bid-extra-60350401010,2026-04-23T23:55:14.039Z
5213272,431628,10623.6,2026-04-23T21:59:29.641Z,bid-extra-60350401020,2026-04-23T23:55:14.039Z
5213402,431938,2270.0,2026-04-23T21:59:29.641Z,bid-extra-60350401030,2026-04-23T23:55:14.039Z
5213532,432248,2905.6,2026-04-23T21:59:29.641Z,bid-extra-60350401040,2026-04-23T23:55:14.039Z
5213792,432868,4176.8,2026-04-23T21:59:29.642Z,bid-extra-60350401060,2026-04-23T23:55:14.039Z
5213922,433178,4812.400000000001,2026-04-23T21:59:29.642Z,bid-extra-60350401070,2026-04-23T23:55:14.039Z
5214052,433488,5448.0,2026-04-23T21:59:29.642Z,bid-extra-60350401080,2026-04-23T23:55:14.039Z
5214182,433798,6083.6,2026-04-23T21:59:29.642Z,bid-extra-60350401090,2026-04-23T23:55:14.039Z
5214442,434418,2814.8,2026-04-23T21:59:29.642Z,bid-extra-60350401110,2026-04-23T23:55:14.039Z
5214572,434728,3450.4,2026-04-23T21:59:29.642Z,bid-extra-60350401120,2026-04-23T23:55:14.039Z
5214702,435038,4086.0,2026-04-23T21:59:29.642Z,bid-extra-60350401130,2026-04-23T23:55:14.039Z
5214832,435348,4721.6,2026-04-23T21:59:29.642Z,bid-extra-60350401140,2026-04-23T23:55:14.039Z
5215092,435968,5992.8,2026-04-23T21:59:29.643Z,bid-extra-60350401160,2026-04-23T23:55:14.039Z
5215222,436278,6628.400000000001,2026-04-23T21:59:29.643Z,bid-extra-60350401170,2026-04-23T23:55:14.039Z
5215352,436588,7264.0,2026-04-23T21:59:29.643Z,bid-extra-60350401180,2026-04-23T23:55:14.039Z
5215482,436898,7899.6,2026-04-23T21:59:29.643Z,bid-extra-60350401190,2026-04-23T23:55:14.039Z
5215742,437518,9170.800000000001,2026-04-23T21:59:29.643Z,bid-extra-60350401210,2026-04-23T23:55:14.039Z
5215872,437828,5266.400000000001,2026-04-23T21:59:29.643Z,bid-extra-60350401220,2026-04-23T23:55:14.039Z
5216002,438138,5902.0,2026-04-23T21:59:29.643Z,bid-extra-60350401230,2026-04-23T23:55:14.039Z
5216132,438448,6537.6,2026-04-23T21:59:29.643Z,bid-extra-60350401240,2026-04-23T23:55:14.039Z
5216392,439068,7808.8,2026-04-23T21:59:29.644Z,bid-extra-60350401260,2026-04-23T23:55:14.039Z
5216522,439378,8444.4,2026-04-23T21:59:29.644Z,bid-extra-60350401270,2026-04-23T23:55:14.039Z
5216652,439688,9080.0,2026-04-23T21:59:29.644Z,bid-extra-60350401280,2026-04-23T23:55:14.039Z
5216782,439998,9715.6,2026-04-23T21:59:29.644Z,bid-extra-60350401290,2026-04-23T23:55:14.039Z
5217042,440618,10986.800000000001,2026-04-23T21:59:29.644Z,bid-extra-60350401310,2026-04-23T23:55:14.039Z
5217172,440928,11622.4,2026-04-23T21:59:29.644Z,bid-extra-60350401320,2026-04-23T23:55:14.039Z
5217302,441238,12258.0,2026-04-23T21:59:29.644Z,bid-extra-60350401330,2026-04-23T23:55:14.039Z
5217432,441548,12893.6,2026-04-23T21:59:29.644Z,bid-extra-60350401340,2026-04-23T23:55:14.039Z
5217692,442168,9624.800000000001,2026-04-23T21:59:29.645Z,bid-extra-60350401360,2026-04-23T23:55:14.039Z
5217822,442478,1271.2,2026-04-23T21:59:29.645Z,bid-extra-60350401370,2026-04-23T23:55:14.039Z
5217952,442788,1906.8,2026-04-23T21:59:29.645Z,bid-extra-60350401380,2026-04-23T23:55:14.039Z
5218082,443098,2542.4,2026-04-23T21:59:29.645Z,bid-extra-60350401390,2026-04-23T23:55:14.039Z
5218342,443718,3813.6,2026-04-23T21:59:29.645Z,bid-extra-60350401410,2026-04-23T23:55:14.039Z
5218472,444028,4449.2,2026-04-23T21:59:29.645Z,bid-extra-60350401420,2026-04-23T23:55:14.039Z
5218602,444338,5084.8,2026-04-23T21:59:29.645Z,bid-extra-60350401430,2026-04-23T23:55:14.039Z
5218732,444648,5720.400000000001,2026-04-23T21:59:29.645Z,bid-extra-60350401440,2026-04-23T23:55:14.039Z
5218992,445268,6991.6,2026-04-23T21:59:29.646Z,bid-extra-60350401460,2026-04-23T23:55:14.039Z
5219122,445578,3087.2000000000003,2026-04-23T21:59:29.646Z,bid-extra-60350401470,2026-04-23T23:55:14.039Z
5219252,445888,3722.8,2026-04-23T21:59:29.646Z,bid-extra-60350401480,2026-04-23T23:55:14.039Z
5219382,446198,4358.400000000001,2026-04-23T21:59:29.646Z,bid-extra-60350401490,2026-04-23T23:55:14.039Z
5219642,446818,5629.6,2026-04-23T21:59:29.646Z,bid-extra-60350401510,2026-04-23T23:55:14.039Z
5219772,447128,6265.2,2026-04-23T21:59:29.646Z,bid-extra-60350401520,2026-04-23T23:55:14.039Z
5219902,447438,6900.8,2026-04-23T21:59:29.646Z,bid-extra-60350401530,2026-04-23T23:55:14.039Z
5220032,447748,7536.400000000001,2026-04-23T21:59:29.646Z,bid-extra-60350401540,2026-04-23T23:55:14.039Z
5220292,448368,8807.6,2026-04-23T21:59:29.647Z,bid-extra-60350401560,2026-04-23T23:55:14.039Z
5220422,448678,9443.2,2026-04-23T21:59:29.647Z,bid-extra-60350401570,2026-04-23T23:55:14.039Z
5220552,448988,10078.800000000001,2026-04-23T21:59:29.647Z,bid-extra-60350401580,2026-04-23T23:55:14.039Z
5220682,449298,6174.400000000001,2026-04-23T21:59:29.647Z,bid-extra-60350401590,2026-04-23T23:55:14.039Z
5220942,449918,7445.6,2026-04-23T21:59:29.647Z,bid-extra-60350401610,2026-04-23T23:55:14.039Z
5221072,450228,8081.2,2026-04-23T21:59:29.647Z,bid-extra-60350401620,2026-04-23T23:55:14.039Z
5221202,450538,8716.800000000001,2026-04-23T21:59:29.647Z,bid-extra-60350401630,2026-04-23T23:55:14.039Z
5221332,450848,9352.4,2026-04-23T21:59:29.647Z,bid-extra-60350401640,2026-04-23T23:55:14.039Z
5221592,451468,10623.6,2026-04-23T21:59:29.648Z,bid-extra-60350401660,2026-04-23T23:55:14.039Z
5221722,451778,11259.2,2026-04-23T21:59:29.648Z,bid-extra-60350401670,2026-04-23T23:55:14.039Z
5221852,452088,11894.800000000001,2026-04-23T21:59:29.648Z,bid-extra-60350401680,2026-04-23T23:55:14.039Z
5221982,452398,12530.4,2026-04-23T21:59:29.648Z,bid-extra-60350401690,2026-04-23T23:55:14.039Z
5222242,453018,272.40000000000003,2026-04-23T21:59:29.648Z,bid-extra-60350401710,2026-04-23T23:55:14.039Z
5222372,453328,908.0,2026-04-23T21:59:29.648Z,bid-extra-60350401720,2026-04-23T23:55:14.039Z
5222502,453638,1543.6000000000001,2026-04-23T21:59:29.648Z,bid-extra-60350401730,2026-04-23T23:55:14.039Z
5222632,453948,2179.2000000000003,2026-04-23T21:59:29.648Z,bid-extra-60350401740,2026-04-23T23:55:14.039Z
5222892,454568,3450.4,2026-04-23T21:59:29.649Z,bid-extra-60350401760,2026-04-23T23:55:14.039Z
5223022,454878,4086.0,2026-04-23T21:59:29.649Z,bid-extra-60350401770,2026-04-23T23:55:14.039Z
5223152,455188,4721.6,2026-04-23T21:59:29.649Z,bid-extra-60350401780,2026-04-23T23:55:14.039Z
5223282,455498,5357.2,2026-04-23T21:59:29.649Z,bid-extra-60350401790,2026-04-23T23:55:14.039Z
