auction,bidder,price,dateTime,extra,processed_time
8950142,650318,2905.6,2026-04-23T22:02:37.131Z,bid-extra-60369150010,2026-04-23T23:55:14.039Z
8950272,650628,3541.2000000000003,2026-04-23T22:02:37.131Z,bid-extra-60369150020,2026-04-23T23:55:14.039Z
8950402,650938,4176.8,2026-04-23T22:02:37.131Z,bid-extra-60369150030,2026-04-23T23:55:14.039Z
8950532,651248,4812.400000000001,2026-04-23T22:02:37.131Z,bid-extra-60369150040,2026-04-23T23:55:14.039Z
8950792,651868,6083.6,2026-04-23T22:02:37.132Z,bid-extra-60369150060,2026-04-23T23:55:14.039Z
8950922,652178,6719.2,2026-04-23T22:02:37.132Z,bid-extra-60369150070,2026-04-23T23:55:14.039Z
8951052,652488,7354.8,2026-04-23T22:02:37.132Z,bid-extra-60369150080,2026-04-23T23:55:14.039Z
8951182,652798,7990.400000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150090,2026-04-23T23:55:14.039Z
8951442,653418,9261.6,2026-04-23T22:02:37.132Z,bid-extra-60369150110,2026-04-23T23:55:14.039Z
8951572,653728,9897.2,2026-04-23T22:02:37.132Z,bid-extra-60369150120,2026-04-23T23:55:14.039Z
8951702,654038,5992.8,2026-04-23T22:02:37.132Z,bid-extra-60369150130,2026-04-23T23:55:14.039Z
8951832,654348,6628.400000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150140,2026-04-23T23:55:14.039Z
8952092,654968,7899.6,2026-04-23T22:02:37.133Z,bid-extra-60369150160,2026-04-23T23:55:14.039Z
8952222,655278,8535.2,2026-04-23T22:02:37.133Z,bid-extra-60369150170,2026-04-23T23:55:14.039Z
8952352,655588,9170.800000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150180,2026-04-23T23:55:14.039Z
8952482,655898,9806.4,2026-04-23T22:02:37.133Z,bid-extra-60369150190,2026-04-23T23:55:14.039Z
8952742,656518,11077.6,2026-04-23T22:02:37.133Z,bid-extra-60369150210,2026-04-23T23:55:14.039Z
8952872,656828,11713.2,2026-04-23T22:02:37.133Z,bid-extra-60369150220,2026-04-23T23:55:14.039Z
8953002,657138,12348.800000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150230,2026-04-23T23:55:14.039Z
8953132,657448,12984.4,2026-04-23T22:02:37.133Z,bid-extra-60369150240,2026-04-23T23:55:14.039Z
8953392,658068,726.4,2026-04-23T22:02:37.134Z,bid-extra-60369150260,2026-04-23T23:55:14.039Z
8953522,658378,1362.0,2026-04-23T22:02:37.134Z,bid-extra-60369150270,2026-04-23T23:55:14.039Z
8953652,658688,1997.6000000000001,2026-04-23T22:02:37.134Z,bid-extra-60369150280,2026-04-23T23:55:14.039Z
8953782,658998,2633.2000000000003,2026-04-23T22:02:37.134Z,bid-extra-60369150290,2026-04-23T23:55:14.039Z
8954042,659618,3904.4,2026-04-23T22:02:37.134Z,bid-extra-60369150310,2026-04-23T23:55:14.039Z
8954172,659928,4540.0,2026-04-23T22:02:37.134Z,bid-extra-60369150320,2026-04-23T23:55:14.039Z
8954302,660238,5175.6,2026-04-23T22:02:37.134Z,bid-extra-60369150330,2026-04-23T23:55:14.039Z
8954432,660548,5811.2,2026-04-23T22:02:37.134Z,bid-extra-60369150340,2026-04-23T23:55:14.039Z
8954692,661168,7082.400000000001,2026-04-23T22:02:37.135Z,bid-extra-60369150360,2026-04-23T23:55:14.039Z
8954822,661478,3178.0,2026-04-23T22:02:37.135Z,bid-extra-60369150370,2026-04-23T23:55:14.039Z
8954952,661788,3813.6,2026-04-23T22:02:37.135Z,bid-extra-60369150380,2026-04-23T23:55:14.039Z
8955082,662098,4449.2,2026-04-23T22:02:37.135Z,bid-extra-60369150390,2026-04-23T23:55:14.039Z
8955342,662718,5720.400000000001,2026-04-23T22:02:37.135Z,bid-extra-60369150410,2026-04-23T23:55:14.039Z
8955472,663028,6356.0,2026-04-23T22:02:37.135Z,bid-extra-60369150420,2026-04-23T23:55:14.039Z
8955602,663338,6991.6,2026-04-23T22:02:37.135Z,bid-extra-60369150430,2026-04-23T23:55:14.039Z
8955732,663648,7627.2,2026-04-23T22:02:37.135Z,bid-extra-60369150440,2026-04-23T23:55:14.039Z
8955992,664268,8898.4,2026-04-23T22:02:37.136Z,bid-extra-60369150460,2026-04-23T23:55:14.039Z
8956122,664578,9534.0,2026-04-23T22:02:37.136Z,bid-extra-60369150470,2026-04-23T23:55:14.039Z
8956252,664888,10169.6,2026-04-23T22:02:37.136Z,bid-extra-60369150480,2026-04-23T23:55:14.039Z
8956382,665198,6265.2,2026-04-23T22:02:37.136Z,bid-extra-60369150490,2026-04-23T23:55:14.039Z
8956642,665818,7536.400000000001,2026-04-23T22:02:37.136Z,bid-extra-60369150510,2026-04-23T23:55:14.039Z
8956772,666128,8172.0,2026-04-23T22:02:37.136Z,bid-extra-60369150520,2026-04-23T23:55:14.039Z
8956902,666438,8807.6,2026-04-23T22:02:37.136Z,bid-extra-60369150530,2026-04-23T23:55:14.039Z
8957032,666748,9443.2,2026-04-23T22:02:37.136Z,bid-extra-60369150540,2026-04-23T23:55:14.039Z
8957292,667368,10714.4,2026-04-23T22:02:37.137Z,bid-extra-60369150560,2026-04-23T23:55:14.039Z
8957422,667678,11350.0,2026-04-23T22:02:37.137Z,bid-extra-60369150570,2026-04-23T23:55:14.039Z
8957552,667988,11985.6,2026-04-23T22:02:37.137Z,bid-extra-60369150580,2026-04-23T23:55:14.039Z
8957682,668298,12621.2,2026-04-23T22:02:37.137Z,bid-extra-60369150590,2026-04-23T23:55:14.039Z
8957942,668918,363.2,2026-04-23T22:02:37.137Z,bid-extra-60369150610,2026-04-23T23:55:14.039Z
8958072,669228,998.8000000000001,2026-04-23T22:02:37.137Z,bid-extra-60369150620,2026-04-23T23:55:14.039Z
8958202,669538,1634.4,2026-04-23T22:02:37.137Z,bid-extra-60369150630,2026-04-23T23:55:14.039Z
8958332,669848,2270.0,2026-04-23T22:02:37.137Z,bid-extra-60369150640,2026-04-23T23:55:14.039Z
8958592,670468,3541.2000000000003,2026-04-23T22:02:37.138Z,bid-extra-60369150660,2026-04-23T23:55:14.039Z
8958722,670778,4176.8,2026-04-23T22:02:37.138Z,bid-extra-60369150670,2026-04-23T23:55:14.039Z
8958852,671088,4812.400000000001,2026-04-23T22:02:37.138Z,bid-extra-60369150680,2026-04-23T23:55:14.039Z
8958982,671398,5448.0,2026-04-23T22:02:37.138Z,bid-extra-60369150690,2026-04-23T23:55:14.039Z
8959242,672018,6719.2,2026-04-23T22:02:37.138Z,bid-extra-60369150710,2026-04-23T23:55:14.039Z
8959372,672328,7354.8,2026-04-23T22:02:37.138Z,bid-extra-60369150720,2026-04-23T23:55:14.039Z
8959502,672638,7990.400000000001,2026-04-23T22:02:37.138Z,bid-extra-60369150730,2026-04-23T23:55:14.039Z
8959632,672948,4086.0,2026-04-23T22:02:37.138Z,bid-extra-60369150740,2026-04-23T23:55:14.039Z
8959892,673568,5357.2,2026-04-23T22:02:37.139Z,bid-extra-60369150760,2026-04-23T23:55:14.039Z
8960022,673878,5992.8,2026-04-23T22:02:37.139Z,bid-extra-60369150770,2026-04-23T23:55:14.039Z
8960152,674188,6628.400000000001,2026-04-23T22:02:37.139Z,bid-extra-60369150780,2026-04-23T23:55:14.039Z
8960282,674498,7264.0,2026-04-23T22:02:37.139Z,bid-extra-60369150790,2026-04-23T23:55:14.039Z
8960542,675118,8535.2,2026-04-23T22:02:37.139Z,bid-extra-60369150810,2026-04-23T23:55:14.039Z
8960672,675428,9170.800000000001,2026-04-23T22:02:37.139Z,bid-extra-60369150820,2026-04-23T23:55:14.039Z
8960802,675738,9806.4,2026-04-23T22:02:37.139Z,bid-extra-60369150830,2026-04-23T23:55:14.039Z
8960932,676048,10442.0,2026-04-23T22:02:37.139Z,bid-extra-60369150840,2026-04-23T23:55:14.039Z
8961192,676668,7173.2,2026-04-23T22:02:37.140Z,bid-extra-60369150860,2026-04-23T23:55:14.039Z
8961322,676978,7808.8,2026-04-23T22:02:37.140Z,bid-extra-60369150870,2026-04-23T23:55:14.039Z
8961452,677288,8444.4,2026-04-23T22:02:37.140Z,bid-extra-60369150880,2026-04-23T23:55:14.039Z
8961582,677598,9080.0,2026-04-23T22:02:37.140Z,bid-extra-60369150890,2026-04-23T23:55:14.039Z
8961842,678218,10351.2,2026-04-23T22:02:37.140Z,bid-extra-60369150910,2026-04-23T23:55:14.039Z
8961972,678528,10986.800000000001,2026-04-23T22:02:37.140Z,bid-extra-60369150920,2026-04-23T23:55:14.039Z
8962102,678838,11622.4,2026-04-23T22:02:37.140Z,bid-extra-60369150930,2026-04-23T23:55:14.039Z
8962232,679148,12258.0,2026-04-23T22:02:37.140Z,bid-extra-60369150940,2026-04-23T23:55:14.039Z
8962492,679768,4540.0,2026-04-23T22:02:37.141Z,bid-extra-60369150960,2026-04-23T23:55:14.039Z
8962622,680078,5175.6,2026-04-23T22:02:37.141Z,bid-extra-60369150970,2026-04-23T23:55:14.039Z
8962752,680388,1271.2,2026-04-23T22:02:37.141Z,bid-extra-60369150980,2026-04-23T23:55:14.039Z
8962882,680698,1906.8,2026-04-23T22:02:37.141Z,bid-extra-60369150990,2026-04-23T23:55:14.039Z
8963142,681318,3178.0,2026-04-23T22:02:37.141Z,bid-extra-60369151010,2026-04-23T23:55:14.039Z
8963272,681628,3813.6,2026-04-23T22:02:37.141Z,bid-extra-60369151020,2026-04-23T23:55:14.039Z
8963402,681938,4449.2,2026-04-23T22:02:37.141Z,bid-extra-60369151030,2026-04-23T23:55:14.039Z
8963532,682248,5084.8,2026-04-23T22:02:37.141Z,bid-extra-60369151040,2026-04-23T23:55:14.039Z
8963792,682868,6356.0,2026-04-23T22:02:37.142Z,bid-extra-60369151060,2026-04-23T23:55:14.039Z
8963922,683178,6991.6,2026-04-23T22:02:37.142Z,bid-extra-60369151070,2026-04-23T23:55:14.039Z
8964052,683488,7627.2,2026-04-23T22:02:37.142Z,bid-extra-60369151080,2026-04-23T23:55:14.039Z
8964182,683798,8262.800000000001,2026-04-23T22:02:37.142Z,bid-extra-60369151090,2026-04-23T23:55:14.039Z
8964442,684418,4994.0,2026-04-23T22:02:37.142Z,bid-extra-60369151110,2026-04-23T23:55:14.039Z
8964572,684728,5629.6,2026-04-23T22:02:37.142Z,bid-extra-60369151120,2026-04-23T23:55:14.039Z
8964702,685038,6265.2,2026-04-23T22:02:37.142Z,bid-extra-60369151130,2026-04-23T23:55:14.039Z
8964832,685348,6900.8,2026-04-23T22:02:37.142Z,bid-extra-60369151140,2026-04-23T23:55:14.039Z
8965092,685968,8172.0,2026-04-23T22:02:37.143Z,bid-extra-60369151160,2026-04-23T23:55:14.039Z
8965222,686278,8807.6,2026-04-23T22:02:37.143Z,bid-extra-60369151170,2026-04-23T23:55:14.039Z
8965352,686588,9443.2,2026-04-23T22:02:37.143Z,bid-extra-60369151180,2026-04-23T23:55:14.039Z
8965482,686898,10078.800000000001,2026-04-23T22:02:37.143Z,bid-extra-60369151190,2026-04-23T23:55:14.039Z
8965742,687518,11350.0,2026-04-23T22:02:37.143Z,bid-extra-60369151210,2026-04-23T23:55:14.039Z
8965872,687828,7445.6,2026-04-23T22:02:37.143Z,bid-extra-60369151220,2026-04-23T23:55:14.039Z
8966002,688138,8081.2,2026-04-23T22:02:37.143Z,bid-extra-60369151230,2026-04-23T23:55:14.039Z
8966132,688448,8716.800000000001,2026-04-23T22:02:37.143Z,bid-extra-60369151240,2026-04-23T23:55:14.039Z
8966392,689068,9988.0,2026-04-23T22:02:37.144Z,bid-extra-60369151260,2026-04-23T23:55:14.039Z
8966522,689378,10623.6,2026-04-23T22:02:37.144Z,bid-extra-60369151270,2026-04-23T23:55:14.039Z
