auction,bidder,price,dateTime,extra,processed_time
7700142,900318,3450.4,2026-04-23T21:58:14.631Z,bid-extra-60342900010,2026-04-23T23:55:14.039Z
7700272,900628,4086.0,2026-04-23T21:58:14.631Z,bid-extra-60342900020,2026-04-23T23:55:14.039Z
7700402,900938,4721.6,2026-04-23T21:58:14.631Z,bid-extra-60342900030,2026-04-23T23:55:14.039Z
7700532,901248,5357.2,2026-04-23T21:58:14.631Z,bid-extra-60342900040,2026-04-23T23:55:14.039Z
7700792,901868,6628.400000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900060,2026-04-23T23:55:14.039Z
7700922,902178,7264.0,2026-04-23T21:58:14.632Z,bid-extra-60342900070,2026-04-23T23:55:14.039Z
7701052,902488,7899.6,2026-04-23T21:58:14.632Z,bid-extra-60342900080,2026-04-23T23:55:14.039Z
7701182,902798,8535.2,2026-04-23T21:58:14.632Z,bid-extra-60342900090,2026-04-23T23:55:14.039Z
7701442,903418,9806.4,2026-04-23T21:58:14.632Z,bid-extra-60342900110,2026-04-23T23:55:14.039Z
7701572,903728,10442.0,2026-04-23T21:58:14.632Z,bid-extra-60342900120,2026-04-23T23:55:14.039Z
7701702,904038,6537.6,2026-04-23T21:58:14.632Z,bid-extra-60342900130,2026-04-23T23:55:14.039Z
7701832,904348,7173.2,2026-04-23T21:58:14.632Z,bid-extra-60342900140,2026-04-23T23:55:14.039Z
7702092,904968,8444.4,2026-04-23T21:58:14.633Z,bid-extra-60342900160,2026-04-23T23:55:14.039Z
7702222,905278,9080.0,2026-04-23T21:58:14.633Z,bid-extra-60342900170,2026-04-23T23:55:14.039Z
7702352,905588,9715.6,2026-04-23T21:58:14.633Z,bid-extra-60342900180,2026-04-23T23:55:14.039Z
7702482,905898,10351.2,2026-04-23T21:58:14.633Z,bid-extra-60342900190,2026-04-23T23:55:14.039Z
7702742,906518,11622.4,2026-04-23T21:58:14.633Z,bid-extra-60342900210,2026-04-23T23:55:14.039Z
7702872,906828,12258.0,2026-04-23T21:58:14.633Z,bid-extra-60342900220,2026-04-23T23:55:14.039Z
7703002,907138,12893.6,2026-04-23T21:58:14.633Z,bid-extra-60342900230,2026-04-23T23:55:14.039Z
7703132,907448,4540.0,2026-04-23T21:58:14.633Z,bid-extra-60342900240,2026-04-23T23:55:14.039Z
7703392,908068,1271.2,2026-04-23T21:58:14.634Z,bid-extra-60342900260,2026-04-23T23:55:14.039Z
7703522,908378,1906.8,2026-04-23T21:58:14.634Z,bid-extra-60342900270,2026-04-23T23:55:14.039Z
7703652,908688,2542.4,2026-04-23T21:58:14.634Z,bid-extra-60342900280,2026-04-23T23:55:14.039Z
7703782,908998,3178.0,2026-04-23T21:58:14.634Z,bid-extra-60342900290,2026-04-23T23:55:14.039Z
7704042,909618,4449.2,2026-04-23T21:58:14.634Z,bid-extra-60342900310,2026-04-23T23:55:14.039Z
7704172,909928,5084.8,2026-04-23T21:58:14.634Z,bid-extra-60342900320,2026-04-23T23:55:14.039Z
7704302,910238,5720.400000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900330,2026-04-23T23:55:14.039Z
7704432,910548,6356.0,2026-04-23T21:58:14.634Z,bid-extra-60342900340,2026-04-23T23:55:14.039Z
7704692,911168,7627.2,2026-04-23T21:58:14.635Z,bid-extra-60342900360,2026-04-23T23:55:14.039Z
7704822,911478,3722.8,2026-04-23T21:58:14.635Z,bid-extra-60342900370,2026-04-23T23:55:14.039Z
7704952,911788,4358.400000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900380,2026-04-23T23:55:14.039Z
7705082,912098,4994.0,2026-04-23T21:58:14.635Z,bid-extra-60342900390,2026-04-23T23:55:14.039Z
7705342,912718,6265.2,2026-04-23T21:58:14.635Z,bid-extra-60342900410,2026-04-23T23:55:14.039Z
7705472,913028,6900.8,2026-04-23T21:58:14.635Z,bid-extra-60342900420,2026-04-23T23:55:14.039Z
