auction,bidder,price,dateTime,extra,processed_time
200142,400318,4267.6,2026-04-23T22:01:59.631Z,bid-extra-60365400010,2026-04-23T23:55:14.039Z
200272,400628,4903.2,2026-04-23T22:01:59.631Z,bid-extra-60365400020,2026-04-23T23:55:14.039Z
200402,400938,5538.8,2026-04-23T22:01:59.631Z,bid-extra-60365400030,2026-04-23T23:55:14.039Z
200532,401248,6174.400000000001,2026-04-23T22:01:59.631Z,bid-extra-60365400040,2026-04-23T23:55:14.039Z
200792,401868,7445.6,2026-04-23T22:01:59.632Z,bid-extra-60365400060,2026-04-23T23:55:14.039Z
200922,402178,8081.2,2026-04-23T22:01:59.632Z,bid-extra-60365400070,2026-04-23T23:55:14.039Z
201052,402488,8716.800000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400080,2026-04-23T23:55:14.039Z
201182,402798,9352.4,2026-04-23T22:01:59.632Z,bid-extra-60365400090,2026-04-23T23:55:14.039Z
201442,403418,10623.6,2026-04-23T22:01:59.632Z,bid-extra-60365400110,2026-04-23T23:55:14.039Z
201572,403728,11259.2,2026-04-23T22:01:59.632Z,bid-extra-60365400120,2026-04-23T23:55:14.039Z
201702,404038,7354.8,2026-04-23T22:01:59.632Z,bid-extra-60365400130,2026-04-23T23:55:14.039Z
201832,404348,7990.400000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400140,2026-04-23T23:55:14.039Z
202092,404968,9261.6,2026-04-23T22:01:59.633Z,bid-extra-60365400160,2026-04-23T23:55:14.039Z
202222,405278,9897.2,2026-04-23T22:01:59.633Z,bid-extra-60365400170,2026-04-23T23:55:14.039Z
202352,405588,10532.800000000001,2026-04-23T22:01:59.633Z,bid-extra-60365400180,2026-04-23T23:55:14.039Z
202482,405898,11168.4,2026-04-23T22:01:59.633Z,bid-extra-60365400190,2026-04-23T23:55:14.039Z
202742,406518,3450.4,2026-04-23T22:01:59.633Z,bid-extra-60365400210,2026-04-23T23:55:14.039Z
202872,406828,4086.0,2026-04-23T22:01:59.633Z,bid-extra-60365400220,2026-04-23T23:55:14.039Z
203002,407138,4721.6,2026-04-23T22:01:59.633Z,bid-extra-60365400230,2026-04-23T23:55:14.039Z
203132,407448,5357.2,2026-04-23T22:01:59.633Z,bid-extra-60365400240,2026-04-23T23:55:14.039Z
203392,408068,2088.4,2026-04-23T22:01:59.634Z,bid-extra-60365400260,2026-04-23T23:55:14.039Z
203522,408378,2724.0,2026-04-23T22:01:59.634Z,bid-extra-60365400270,2026-04-23T23:55:14.039Z
203652,408688,3359.6,2026-04-23T22:01:59.634Z,bid-extra-60365400280,2026-04-23T23:55:14.039Z
203782,408998,3995.2000000000003,2026-04-23T22:01:59.634Z,bid-extra-60365400290,2026-04-23T23:55:14.039Z
