auction,bidder,price,dateTime,extra,processed_time
7700142,900318,2814.8,2026-04-23T21:59:54.631Z,bid-extra-60352900010,2026-04-23T23:55:14.039Z
7700272,900628,3450.4,2026-04-23T21:59:54.631Z,bid-extra-60352900020,2026-04-23T23:55:14.039Z
7700402,900938,4086.0,2026-04-23T21:59:54.631Z,bid-extra-60352900030,2026-04-23T23:55:14.039Z
7700532,901248,4721.6,2026-04-23T21:59:54.631Z,bid-extra-60352900040,2026-04-23T23:55:14.039Z
7700792,901868,5992.8,2026-04-23T21:59:54.632Z,bid-extra-60352900060,2026-04-23T23:55:14.039Z
7700922,902178,6628.400000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900070,2026-04-23T23:55:14.039Z
7701052,902488,7264.0,2026-04-23T21:59:54.632Z,bid-extra-60352900080,2026-04-23T23:55:14.039Z
7701182,902798,7899.6,2026-04-23T21:59:54.632Z,bid-extra-60352900090,2026-04-23T23:55:14.039Z
7701442,903418,9170.800000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900110,2026-04-23T23:55:14.039Z
7701572,903728,9806.4,2026-04-23T21:59:54.632Z,bid-extra-60352900120,2026-04-23T23:55:14.039Z
7701702,904038,5902.0,2026-04-23T21:59:54.632Z,bid-extra-60352900130,2026-04-23T23:55:14.039Z
7701832,904348,6537.6,2026-04-23T21:59:54.632Z,bid-extra-60352900140,2026-04-23T23:55:14.039Z
7702092,904968,7808.8,2026-04-23T21:59:54.633Z,bid-extra-60352900160,2026-04-23T23:55:14.039Z
7702222,905278,8444.4,2026-04-23T21:59:54.633Z,bid-extra-60352900170,2026-04-23T23:55:14.039Z
7702352,905588,9080.0,2026-04-23T21:59:54.633Z,bid-extra-60352900180,2026-04-23T23:55:14.039Z
7702482,905898,9715.6,2026-04-23T21:59:54.633Z,bid-extra-60352900190,2026-04-23T23:55:14.039Z
7702742,906518,10986.800000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900210,2026-04-23T23:55:14.039Z
7702872,906828,11622.4,2026-04-23T21:59:54.633Z,bid-extra-60352900220,2026-04-23T23:55:14.039Z
7703002,907138,12258.0,2026-04-23T21:59:54.633Z,bid-extra-60352900230,2026-04-23T23:55:14.039Z
7703132,907448,12893.6,2026-04-23T21:59:54.633Z,bid-extra-60352900240,2026-04-23T23:55:14.039Z
7703392,908068,9624.800000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900260,2026-04-23T23:55:14.039Z
7703522,908378,1271.2,2026-04-23T21:59:54.634Z,bid-extra-60352900270,2026-04-23T23:55:14.039Z
7703652,908688,1906.8,2026-04-23T21:59:54.634Z,bid-extra-60352900280,2026-04-23T23:55:14.039Z
7703782,908998,2542.4,2026-04-23T21:59:54.634Z,bid-extra-60352900290,2026-04-23T23:55:14.039Z
7704042,909618,3813.6,2026-04-23T21:59:54.634Z,bid-extra-60352900310,2026-04-23T23:55:14.039Z
7704172,909928,4449.2,2026-04-23T21:59:54.634Z,bid-extra-60352900320,2026-04-23T23:55:14.039Z
7704302,910238,5084.8,2026-04-23T21:59:54.634Z,bid-extra-60352900330,2026-04-23T23:55:14.039Z
7704432,910548,5720.400000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900340,2026-04-23T23:55:14.039Z
7704692,911168,6991.6,2026-04-23T21:59:54.635Z,bid-extra-60352900360,2026-04-23T23:55:14.039Z
7704822,911478,3087.2000000000003,2026-04-23T21:59:54.635Z,bid-extra-60352900370,2026-04-23T23:55:14.039Z
7704952,911788,3722.8,2026-04-23T21:59:54.635Z,bid-extra-60352900380,2026-04-23T23:55:14.039Z
7705082,912098,4358.400000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900390,2026-04-23T23:55:14.039Z
7705342,912718,5629.6,2026-04-23T21:59:54.635Z,bid-extra-60352900410,2026-04-23T23:55:14.039Z
7705472,913028,6265.2,2026-04-23T21:59:54.635Z,bid-extra-60352900420,2026-04-23T23:55:14.039Z
7705602,913338,6900.8,2026-04-23T21:59:54.635Z,bid-extra-60352900430,2026-04-23T23:55:14.039Z
7705732,913648,7536.400000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900440,2026-04-23T23:55:14.039Z
7705992,914268,8807.6,2026-04-23T21:59:54.636Z,bid-extra-60352900460,2026-04-23T23:55:14.039Z
7706122,914578,9443.2,2026-04-23T21:59:54.636Z,bid-extra-60352900470,2026-04-23T23:55:14.039Z
7706252,914888,10078.800000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900480,2026-04-23T23:55:14.039Z
7706382,915198,6174.400000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900490,2026-04-23T23:55:14.039Z
7706642,915818,7445.6,2026-04-23T21:59:54.636Z,bid-extra-60352900510,2026-04-23T23:55:14.039Z
7706772,916128,8081.2,2026-04-23T21:59:54.636Z,bid-extra-60352900520,2026-04-23T23:55:14.039Z
7706902,916438,8716.800000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900530,2026-04-23T23:55:14.039Z
7707032,916748,9352.4,2026-04-23T21:59:54.636Z,bid-extra-60352900540,2026-04-23T23:55:14.039Z
7707292,917368,10623.6,2026-04-23T21:59:54.637Z,bid-extra-60352900560,2026-04-23T23:55:14.039Z
7707422,917678,11259.2,2026-04-23T21:59:54.637Z,bid-extra-60352900570,2026-04-23T23:55:14.039Z
7707552,917988,11894.800000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900580,2026-04-23T23:55:14.039Z
7707682,918298,12530.4,2026-04-23T21:59:54.637Z,bid-extra-60352900590,2026-04-23T23:55:14.039Z
7707942,918918,272.40000000000003,2026-04-23T21:59:54.637Z,bid-extra-60352900610,2026-04-23T23:55:14.039Z
7708072,919228,908.0,2026-04-23T21:59:54.637Z,bid-extra-60352900620,2026-04-23T23:55:14.039Z
7708202,919538,1543.6000000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900630,2026-04-23T23:55:14.039Z
7708332,919848,2179.2000000000003,2026-04-23T21:59:54.637Z,bid-extra-60352900640,2026-04-23T23:55:14.039Z
7708592,920468,3450.4,2026-04-23T21:59:54.638Z,bid-extra-60352900660,2026-04-23T23:55:14.039Z
7708722,920778,4086.0,2026-04-23T21:59:54.638Z,bid-extra-60352900670,2026-04-23T23:55:14.039Z
7708852,921088,4721.6,2026-04-23T21:59:54.638Z,bid-extra-60352900680,2026-04-23T23:55:14.039Z
7708982,921398,5357.2,2026-04-23T21:59:54.638Z,bid-extra-60352900690,2026-04-23T23:55:14.039Z
7709242,922018,6628.400000000001,2026-04-23T21:59:54.638Z,bid-extra-60352900710,2026-04-23T23:55:14.039Z
7709372,922328,7264.0,2026-04-23T21:59:54.638Z,bid-extra-60352900720,2026-04-23T23:55:14.039Z
7709502,922638,7899.6,2026-04-23T21:59:54.638Z,bid-extra-60352900730,2026-04-23T23:55:14.039Z
7709632,922948,3995.2000000000003,2026-04-23T21:59:54.638Z,bid-extra-60352900740,2026-04-23T23:55:14.039Z
7709892,923568,5266.400000000001,2026-04-23T21:59:54.639Z,bid-extra-60352900760,2026-04-23T23:55:14.039Z
7710022,923878,5902.0,2026-04-23T21:59:54.639Z,bid-extra-60352900770,2026-04-23T23:55:14.039Z
7710152,924188,6537.6,2026-04-23T21:59:54.639Z,bid-extra-60352900780,2026-04-23T23:55:14.039Z
7710282,924498,7173.2,2026-04-23T21:59:54.639Z,bid-extra-60352900790,2026-04-23T23:55:14.039Z
7710542,925118,8444.4,2026-04-23T21:59:54.639Z,bid-extra-60352900810,2026-04-23T23:55:14.039Z
7710672,925428,9080.0,2026-04-23T21:59:54.639Z,bid-extra-60352900820,2026-04-23T23:55:14.039Z
7710802,925738,9715.6,2026-04-23T21:59:54.639Z,bid-extra-60352900830,2026-04-23T23:55:14.039Z
7710932,926048,10351.2,2026-04-23T21:59:54.639Z,bid-extra-60352900840,2026-04-23T23:55:14.039Z
7711192,926668,7082.400000000001,2026-04-23T21:59:54.640Z,bid-extra-60352900860,2026-04-23T23:55:14.039Z
7711322,926978,7718.0,2026-04-23T21:59:54.640Z,bid-extra-60352900870,2026-04-23T23:55:14.039Z
7711452,927288,8353.6,2026-04-23T21:59:54.640Z,bid-extra-60352900880,2026-04-23T23:55:14.039Z
7711582,927598,8989.2,2026-04-23T21:59:54.640Z,bid-extra-60352900890,2026-04-23T23:55:14.039Z
7711842,928218,10260.4,2026-04-23T21:59:54.640Z,bid-extra-60352900910,2026-04-23T23:55:14.039Z
7711972,928528,10896.0,2026-04-23T21:59:54.640Z,bid-extra-60352900920,2026-04-23T23:55:14.039Z
7712102,928838,11531.6,2026-04-23T21:59:54.640Z,bid-extra-60352900930,2026-04-23T23:55:14.039Z
7712232,929148,12167.2,2026-04-23T21:59:54.640Z,bid-extra-60352900940,2026-04-23T23:55:14.039Z
7712492,929768,4449.2,2026-04-23T21:59:54.641Z,bid-extra-60352900960,2026-04-23T23:55:14.039Z
7712622,930078,5084.8,2026-04-23T21:59:54.641Z,bid-extra-60352900970,2026-04-23T23:55:14.039Z
7712752,930388,1180.4,2026-04-23T21:59:54.641Z,bid-extra-60352900980,2026-04-23T23:55:14.039Z
7712882,930698,1816.0,2026-04-23T21:59:54.641Z,bid-extra-60352900990,2026-04-23T23:55:14.039Z
7713142,931318,3087.2000000000003,2026-04-23T21:59:54.641Z,bid-extra-60352901010,2026-04-23T23:55:14.039Z
7713272,931628,3722.8,2026-04-23T21:59:54.641Z,bid-extra-60352901020,2026-04-23T23:55:14.039Z
7713402,931938,4358.400000000001,2026-04-23T21:59:54.641Z,bid-extra-60352901030,2026-04-23T23:55:14.039Z
7713532,932248,4994.0,2026-04-23T21:59:54.641Z,bid-extra-60352901040,2026-04-23T23:55:14.039Z
7713792,932868,6265.2,2026-04-23T21:59:54.642Z,bid-extra-60352901060,2026-04-23T23:55:14.039Z
7713922,933178,6900.8,2026-04-23T21:59:54.642Z,bid-extra-60352901070,2026-04-23T23:55:14.039Z
7714052,933488,7536.400000000001,2026-04-23T21:59:54.642Z,bid-extra-60352901080,2026-04-23T23:55:14.039Z
7714182,933798,8172.0,2026-04-23T21:59:54.642Z,bid-extra-60352901090,2026-04-23T23:55:14.039Z
7714442,934418,4903.2,2026-04-23T21:59:54.642Z,bid-extra-60352901110,2026-04-23T23:55:14.039Z
7714572,934728,5538.8,2026-04-23T21:59:54.642Z,bid-extra-60352901120,2026-04-23T23:55:14.039Z
7714702,935038,6174.400000000001,2026-04-23T21:59:54.642Z,bid-extra-60352901130,2026-04-23T23:55:14.039Z
7714832,935348,6810.0,2026-04-23T21:59:54.642Z,bid-extra-60352901140,2026-04-23T23:55:14.039Z
7715092,935968,8081.2,2026-04-23T21:59:54.643Z,bid-extra-60352901160,2026-04-23T23:55:14.039Z
7715222,936278,8716.800000000001,2026-04-23T21:59:54.643Z,bid-extra-60352901170,2026-04-23T23:55:14.039Z
7715352,936588,9352.4,2026-04-23T21:59:54.643Z,bid-extra-60352901180,2026-04-23T23:55:14.039Z
7715482,936898,9988.0,2026-04-23T21:59:54.643Z,bid-extra-60352901190,2026-04-23T23:55:14.039Z
7715742,937518,11259.2,2026-04-23T21:59:54.643Z,bid-extra-60352901210,2026-04-23T23:55:14.039Z
7715872,937828,7354.8,2026-04-23T21:59:54.643Z,bid-extra-60352901220,2026-04-23T23:55:14.039Z
7716002,938138,7990.400000000001,2026-04-23T21:59:54.643Z,bid-extra-60352901230,2026-04-23T23:55:14.039Z
7716132,938448,8626.0,2026-04-23T21:59:54.643Z,bid-extra-60352901240,2026-04-23T23:55:14.039Z
7716392,939068,9897.2,2026-04-23T21:59:54.644Z,bid-extra-60352901260,2026-04-23T23:55:14.039Z
7716522,939378,10532.800000000001,2026-04-23T21:59:54.644Z,bid-extra-60352901270,2026-04-23T23:55:14.039Z
7716652,939688,11168.4,2026-04-23T21:59:54.644Z,bid-extra-60352901280,2026-04-23T23:55:14.039Z
7716782,939998,2814.8,2026-04-23T21:59:54.644Z,bid-extra-60352901290,2026-04-23T23:55:14.039Z
7717042,940618,4086.0,2026-04-23T21:59:54.644Z,bid-extra-60352901310,2026-04-23T23:55:14.039Z
7717172,940928,4721.6,2026-04-23T21:59:54.644Z,bid-extra-60352901320,2026-04-23T23:55:14.039Z
7717302,941238,5357.2,2026-04-23T21:59:54.644Z,bid-extra-60352901330,2026-04-23T23:55:14.039Z
7717432,941548,5992.8,2026-04-23T21:59:54.644Z,bid-extra-60352901340,2026-04-23T23:55:14.039Z
7717692,942168,2724.0,2026-04-23T21:59:54.645Z,bid-extra-60352901360,2026-04-23T23:55:14.039Z
7717822,942478,3359.6,2026-04-23T21:59:54.645Z,bid-extra-60352901370,2026-04-23T23:55:14.039Z
7717952,942788,3995.2000000000003,2026-04-23T21:59:54.645Z,bid-extra-60352901380,2026-04-23T23:55:14.039Z
7718082,943098,4630.8,2026-04-23T21:59:54.645Z,bid-extra-60352901390,2026-04-23T23:55:14.039Z
7718342,943718,5902.0,2026-04-23T21:59:54.645Z,bid-extra-60352901410,2026-04-23T23:55:14.039Z
7718472,944028,6537.6,2026-04-23T21:59:54.645Z,bid-extra-60352901420,2026-04-23T23:55:14.039Z
7718602,944338,7173.2,2026-04-23T21:59:54.645Z,bid-extra-60352901430,2026-04-23T23:55:14.039Z
7718732,944648,7808.8,2026-04-23T21:59:54.645Z,bid-extra-60352901440,2026-04-23T23:55:14.039Z
7718992,945268,9080.0,2026-04-23T21:59:54.646Z,bid-extra-60352901460,2026-04-23T23:55:14.039Z
7719122,945578,5175.6,2026-04-23T21:59:54.646Z,bid-extra-60352901470,2026-04-23T23:55:14.039Z
7719252,945888,5811.2,2026-04-23T21:59:54.646Z,bid-extra-60352901480,2026-04-23T23:55:14.039Z
7719382,946198,6446.8,2026-04-23T21:59:54.646Z,bid-extra-60352901490,2026-04-23T23:55:14.039Z
7719642,946818,7718.0,2026-04-23T21:59:54.646Z,bid-extra-60352901510,2026-04-23T23:55:14.039Z
7719772,947128,8353.6,2026-04-23T21:59:54.646Z,bid-extra-60352901520,2026-04-23T23:55:14.039Z
7719902,947438,8989.2,2026-04-23T21:59:54.646Z,bid-extra-60352901530,2026-04-23T23:55:14.039Z
7720032,947748,9624.800000000001,2026-04-23T21:59:54.646Z,bid-extra-60352901540,2026-04-23T23:55:14.039Z
7720292,948368,10896.0,2026-04-23T21:59:54.647Z,bid-extra-60352901560,2026-04-23T23:55:14.039Z
7720422,948678,11531.6,2026-04-23T21:59:54.647Z,bid-extra-60352901570,2026-04-23T23:55:14.039Z
7720552,948988,12167.2,2026-04-23T21:59:54.647Z,bid-extra-60352901580,2026-04-23T23:55:14.039Z
7720682,949298,8262.800000000001,2026-04-23T21:59:54.647Z,bid-extra-60352901590,2026-04-23T23:55:14.039Z
7720942,949918,9534.0,2026-04-23T21:59:54.647Z,bid-extra-60352901610,2026-04-23T23:55:14.039Z
7721072,950228,10169.6,2026-04-23T21:59:54.647Z,bid-extra-60352901620,2026-04-23T23:55:14.039Z
7721202,950538,1816.0,2026-04-23T21:59:54.647Z,bid-extra-60352901630,2026-04-23T23:55:14.039Z
7721332,950848,2451.6,2026-04-23T21:59:54.647Z,bid-extra-60352901640,2026-04-23T23:55:14.039Z
7721592,951468,3722.8,2026-04-23T21:59:54.648Z,bid-extra-60352901660,2026-04-23T23:55:14.039Z
7721722,951778,4358.400000000001,2026-04-23T21:59:54.648Z,bid-extra-60352901670,2026-04-23T23:55:14.039Z
7721852,952088,4994.0,2026-04-23T21:59:54.648Z,bid-extra-60352901680,2026-04-23T23:55:14.039Z
7721982,952398,5629.6,2026-04-23T21:59:54.648Z,bid-extra-60352901690,2026-04-23T23:55:14.039Z
7722242,953018,2360.8,2026-04-23T21:59:54.648Z,bid-extra-60352901710,2026-04-23T23:55:14.039Z
7722372,953328,2996.4,2026-04-23T21:59:54.648Z,bid-extra-60352901720,2026-04-23T23:55:14.039Z
7722502,953638,3632.0,2026-04-23T21:59:54.648Z,bid-extra-60352901730,2026-04-23T23:55:14.039Z
7722632,953948,4267.6,2026-04-23T21:59:54.648Z,bid-extra-60352901740,2026-04-23T23:55:14.039Z
7722892,954568,5538.8,2026-04-23T21:59:54.649Z,bid-extra-60352901760,2026-04-23T23:55:14.039Z
7723022,954878,6174.400000000001,2026-04-23T21:59:54.649Z,bid-extra-60352901770,2026-04-23T23:55:14.039Z
7723152,955188,6810.0,2026-04-23T21:59:54.649Z,bid-extra-60352901780,2026-04-23T23:55:14.039Z
7723282,955498,7445.6,2026-04-23T21:59:54.649Z,bid-extra-60352901790,2026-04-23T23:55:14.039Z
7723542,956118,8716.800000000001,2026-04-23T21:59:54.649Z,bid-extra-60352901810,2026-04-23T23:55:14.039Z
7723672,956428,9352.4,2026-04-23T21:59:54.649Z,bid-extra-60352901820,2026-04-23T23:55:14.039Z
7723802,956738,5448.0,2026-04-23T21:59:54.649Z,bid-extra-60352901830,2026-04-23T23:55:14.039Z
7723932,957048,6083.6,2026-04-23T21:59:54.649Z,bid-extra-60352901840,2026-04-23T23:55:14.039Z
7724192,957668,7354.8,2026-04-23T21:59:54.650Z,bid-extra-60352901860,2026-04-23T23:55:14.039Z
7724322,957978,7990.400000000001,2026-04-23T21:59:54.650Z,bid-extra-60352901870,2026-04-23T23:55:14.039Z
7724452,958288,8626.0,2026-04-23T21:59:54.650Z,bid-extra-60352901880,2026-04-23T23:55:14.039Z
7724582,958598,9261.6,2026-04-23T21:59:54.650Z,bid-extra-60352901890,2026-04-23T23:55:14.039Z
7724842,959218,10532.800000000001,2026-04-23T21:59:54.650Z,bid-extra-60352901910,2026-04-23T23:55:14.039Z
7724972,959528,11168.4,2026-04-23T21:59:54.650Z,bid-extra-60352901920,2026-04-23T23:55:14.039Z
7725102,959838,11804.0,2026-04-23T21:59:54.650Z,bid-extra-60352901930,2026-04-23T23:55:14.039Z
7725232,960148,12439.6,2026-04-23T21:59:54.650Z,bid-extra-60352901940,2026-04-23T23:55:14.039Z
7725492,960768,9170.800000000001,2026-04-23T21:59:54.651Z,bid-extra-60352901960,2026-04-23T23:55:14.039Z
7725622,961078,817.2,2026-04-23T21:59:54.651Z,bid-extra-60352901970,2026-04-23T23:55:14.039Z
7725752,961388,1452.8,2026-04-23T21:59:54.651Z,bid-extra-60352901980,2026-04-23T23:55:14.039Z
7725882,961698,2088.4,2026-04-23T21:59:54.651Z,bid-extra-60352901990,2026-04-23T23:55:14.039Z
7726142,962318,3359.6,2026-04-23T21:59:54.651Z,bid-extra-60352902010,2026-04-23T23:55:14.039Z
7726272,962628,3995.2000000000003,2026-04-23T21:59:54.651Z,bid-extra-60352902020,2026-04-23T23:55:14.039Z
7726402,962938,4630.8,2026-04-23T21:59:54.651Z,bid-extra-60352902030,2026-04-23T23:55:14.039Z
7726532,963248,5266.400000000001,2026-04-23T21:59:54.651Z,bid-extra-60352902040,2026-04-23T23:55:14.039Z
7726792,963868,6537.6,2026-04-23T21:59:54.652Z,bid-extra-60352902060,2026-04-23T23:55:14.039Z
