auction,bidder,price,dateTime,extra,processed_time
200142,400318,5538.8,2026-04-23T21:58:39.631Z,bid-extra-60345400010,2026-04-23T23:55:14.039Z
200272,400628,6174.400000000001,2026-04-23T21:58:39.631Z,bid-extra-60345400020,2026-04-23T23:55:14.039Z
200402,400938,6810.0,2026-04-23T21:58:39.631Z,bid-extra-60345400030,2026-04-23T23:55:14.039Z
200532,401248,7445.6,2026-04-23T21:58:39.631Z,bid-extra-60345400040,2026-04-23T23:55:14.039Z
200792,401868,8716.800000000001,2026-04-23T21:58:39.632Z,bid-extra-60345400060,2026-04-23T23:55:14.039Z
200922,402178,9352.4,2026-04-23T21:58:39.632Z,bid-extra-60345400070,2026-04-23T23:55:14.039Z
201052,402488,9988.0,2026-04-23T21:58:39.632Z,bid-extra-60345400080,2026-04-23T23:55:14.039Z
201182,402798,10623.6,2026-04-23T21:58:39.632Z,bid-extra-60345400090,2026-04-23T23:55:14.039Z
201442,403418,11894.800000000001,2026-04-23T21:58:39.632Z,bid-extra-60345400110,2026-04-23T23:55:14.039Z
201572,403728,12530.4,2026-04-23T21:58:39.632Z,bid-extra-60345400120,2026-04-23T23:55:14.039Z
201702,404038,8626.0,2026-04-23T21:58:39.632Z,bid-extra-60345400130,2026-04-23T23:55:14.039Z
201832,404348,9261.6,2026-04-23T21:58:39.632Z,bid-extra-60345400140,2026-04-23T23:55:14.039Z
202092,404968,1543.6000000000001,2026-04-23T21:58:39.633Z,bid-extra-60345400160,2026-04-23T23:55:14.039Z
202222,405278,2179.2000000000003,2026-04-23T21:58:39.633Z,bid-extra-60345400170,2026-04-23T23:55:14.039Z
202352,405588,2814.8,2026-04-23T21:58:39.633Z,bid-extra-60345400180,2026-04-23T23:55:14.039Z
202482,405898,3450.4,2026-04-23T21:58:39.633Z,bid-extra-60345400190,2026-04-23T23:55:14.039Z
202742,406518,4721.6,2026-04-23T21:58:39.633Z,bid-extra-60345400210,2026-04-23T23:55:14.039Z
202872,406828,5357.2,2026-04-23T21:58:39.633Z,bid-extra-60345400220,2026-04-23T23:55:14.039Z
203002,407138,5992.8,2026-04-23T21:58:39.633Z,bid-extra-60345400230,2026-04-23T23:55:14.039Z
203132,407448,6628.400000000001,2026-04-23T21:58:39.633Z,bid-extra-60345400240,2026-04-23T23:55:14.039Z
203392,408068,3359.6,2026-04-23T21:58:39.634Z,bid-extra-60345400260,2026-04-23T23:55:14.039Z
203522,408378,3995.2000000000003,2026-04-23T21:58:39.634Z,bid-extra-60345400270,2026-04-23T23:55:14.039Z
203652,408688,4630.8,2026-04-23T21:58:39.634Z,bid-extra-60345400280,2026-04-23T23:55:14.039Z
203782,408998,5266.400000000001,2026-04-23T21:58:39.634Z,bid-extra-60345400290,2026-04-23T23:55:14.039Z
204042,409618,6537.6,2026-04-23T21:58:39.634Z,bid-extra-60345400310,2026-04-23T23:55:14.039Z
204172,409928,7173.2,2026-04-23T21:58:39.634Z,bid-extra-60345400320,2026-04-23T23:55:14.039Z
204302,410238,7808.8,2026-04-23T21:58:39.634Z,bid-extra-60345400330,2026-04-23T23:55:14.039Z
204432,410548,8444.4,2026-04-23T21:58:39.634Z,bid-extra-60345400340,2026-04-23T23:55:14.039Z
204692,411168,9715.6,2026-04-23T21:58:39.635Z,bid-extra-60345400360,2026-04-23T23:55:14.039Z
