auction,bidder,price,dateTime,extra,processed_time
1450142,150318,4994.0,2026-04-23T22:03:02.131Z,bid-extra-60371650010,2026-04-23T23:55:14.039Z
1450272,150628,5629.6,2026-04-23T22:03:02.131Z,bid-extra-60371650020,2026-04-23T23:55:14.039Z
1450402,150938,6265.2,2026-04-23T22:03:02.131Z,bid-extra-60371650030,2026-04-23T23:55:14.039Z
1450532,151248,6900.8,2026-04-23T22:03:02.131Z,bid-extra-60371650040,2026-04-23T23:55:14.039Z
1450792,151868,8172.0,2026-04-23T22:03:02.132Z,bid-extra-60371650060,2026-04-23T23:55:14.039Z
1450922,152178,8807.6,2026-04-23T22:03:02.132Z,bid-extra-60371650070,2026-04-23T23:55:14.039Z
1451052,152488,9443.2,2026-04-23T22:03:02.132Z,bid-extra-60371650080,2026-04-23T23:55:14.039Z
1451182,152798,10078.800000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650090,2026-04-23T23:55:14.039Z
1451442,153418,11350.0,2026-04-23T22:03:02.132Z,bid-extra-60371650110,2026-04-23T23:55:14.039Z
1451572,153728,11985.6,2026-04-23T22:03:02.132Z,bid-extra-60371650120,2026-04-23T23:55:14.039Z
1451702,154038,8081.2,2026-04-23T22:03:02.132Z,bid-extra-60371650130,2026-04-23T23:55:14.039Z
1451832,154348,8716.800000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650140,2026-04-23T23:55:14.039Z
1452092,154968,9988.0,2026-04-23T22:03:02.133Z,bid-extra-60371650160,2026-04-23T23:55:14.039Z
1452222,155278,10623.6,2026-04-23T22:03:02.133Z,bid-extra-60371650170,2026-04-23T23:55:14.039Z
1452352,155588,2270.0,2026-04-23T22:03:02.133Z,bid-extra-60371650180,2026-04-23T23:55:14.039Z
1452482,155898,2905.6,2026-04-23T22:03:02.133Z,bid-extra-60371650190,2026-04-23T23:55:14.039Z
1452742,156518,4176.8,2026-04-23T22:03:02.133Z,bid-extra-60371650210,2026-04-23T23:55:14.039Z
