auction,bidder,price,dateTime,extra,processed_time
1450142,150318,6265.2,2026-04-23T21:59:42.131Z,bid-extra-60351650010,2026-04-23T23:55:14.039Z
1450272,150628,6900.8,2026-04-23T21:59:42.131Z,bid-extra-60351650020,2026-04-23T23:55:14.039Z
1450402,150938,7536.400000000001,2026-04-23T21:59:42.131Z,bid-extra-60351650030,2026-04-23T23:55:14.039Z
1450532,151248,8172.0,2026-04-23T21:59:42.131Z,bid-extra-60351650040,2026-04-23T23:55:14.039Z
1450792,151868,9443.2,2026-04-23T21:59:42.132Z,bid-extra-60351650060,2026-04-23T23:55:14.039Z
1450922,152178,10078.800000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650070,2026-04-23T23:55:14.039Z
1451052,152488,10714.4,2026-04-23T21:59:42.132Z,bid-extra-60351650080,2026-04-23T23:55:14.039Z
1451182,152798,11350.0,2026-04-23T21:59:42.132Z,bid-extra-60351650090,2026-04-23T23:55:14.039Z
1451442,153418,12621.2,2026-04-23T21:59:42.132Z,bid-extra-60351650110,2026-04-23T23:55:14.039Z
1451572,153728,13256.800000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650120,2026-04-23T23:55:14.039Z
1451702,154038,9352.4,2026-04-23T21:59:42.132Z,bid-extra-60351650130,2026-04-23T23:55:14.039Z
1451832,154348,998.8000000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650140,2026-04-23T23:55:14.039Z
1452092,154968,2270.0,2026-04-23T21:59:42.133Z,bid-extra-60351650160,2026-04-23T23:55:14.039Z
1452222,155278,2905.6,2026-04-23T21:59:42.133Z,bid-extra-60351650170,2026-04-23T23:55:14.039Z
1452352,155588,3541.2000000000003,2026-04-23T21:59:42.133Z,bid-extra-60351650180,2026-04-23T23:55:14.039Z
1452482,155898,4176.8,2026-04-23T21:59:42.133Z,bid-extra-60351650190,2026-04-23T23:55:14.039Z
1452742,156518,5448.0,2026-04-23T21:59:42.133Z,bid-extra-60351650210,2026-04-23T23:55:14.039Z
1452872,156828,6083.6,2026-04-23T21:59:42.133Z,bid-extra-60351650220,2026-04-23T23:55:14.039Z
1453002,157138,6719.2,2026-04-23T21:59:42.133Z,bid-extra-60351650230,2026-04-23T23:55:14.039Z
1453132,157448,7354.8,2026-04-23T21:59:42.133Z,bid-extra-60351650240,2026-04-23T23:55:14.039Z
1453392,158068,4086.0,2026-04-23T21:59:42.134Z,bid-extra-60351650260,2026-04-23T23:55:14.039Z
1453522,158378,4721.6,2026-04-23T21:59:42.134Z,bid-extra-60351650270,2026-04-23T23:55:14.039Z
1453652,158688,5357.2,2026-04-23T21:59:42.134Z,bid-extra-60351650280,2026-04-23T23:55:14.039Z
1453782,158998,5992.8,2026-04-23T21:59:42.134Z,bid-extra-60351650290,2026-04-23T23:55:14.039Z
1454042,159618,7264.0,2026-04-23T21:59:42.134Z,bid-extra-60351650310,2026-04-23T23:55:14.039Z
1454172,159928,7899.6,2026-04-23T21:59:42.134Z,bid-extra-60351650320,2026-04-23T23:55:14.039Z
1454302,160238,8535.2,2026-04-23T21:59:42.134Z,bid-extra-60351650330,2026-04-23T23:55:14.039Z
1454432,160548,9170.800000000001,2026-04-23T21:59:42.134Z,bid-extra-60351650340,2026-04-23T23:55:14.039Z
1454692,161168,10442.0,2026-04-23T21:59:42.135Z,bid-extra-60351650360,2026-04-23T23:55:14.039Z
1454822,161478,6537.6,2026-04-23T21:59:42.135Z,bid-extra-60351650370,2026-04-23T23:55:14.039Z
1454952,161788,7173.2,2026-04-23T21:59:42.135Z,bid-extra-60351650380,2026-04-23T23:55:14.039Z
1455082,162098,7808.8,2026-04-23T21:59:42.135Z,bid-extra-60351650390,2026-04-23T23:55:14.039Z
1455342,162718,9080.0,2026-04-23T21:59:42.135Z,bid-extra-60351650410,2026-04-23T23:55:14.039Z
1455472,163028,9715.6,2026-04-23T21:59:42.135Z,bid-extra-60351650420,2026-04-23T23:55:14.039Z
1455602,163338,10351.2,2026-04-23T21:59:42.135Z,bid-extra-60351650430,2026-04-23T23:55:14.039Z
1455732,163648,10986.800000000001,2026-04-23T21:59:42.135Z,bid-extra-60351650440,2026-04-23T23:55:14.039Z
1455992,164268,12258.0,2026-04-23T21:59:42.136Z,bid-extra-60351650460,2026-04-23T23:55:14.039Z
1456122,164578,12893.6,2026-04-23T21:59:42.136Z,bid-extra-60351650470,2026-04-23T23:55:14.039Z
1456252,164888,4540.0,2026-04-23T21:59:42.136Z,bid-extra-60351650480,2026-04-23T23:55:14.039Z
