auction,bidder,price,dateTime,extra,processed_time
3950142,650318,8353.6,2026-04-23T22:00:07.131Z,bid-extra-60354150010,2026-04-23T23:55:14.039Z
3950272,650628,8989.2,2026-04-23T22:00:07.131Z,bid-extra-60354150020,2026-04-23T23:55:14.039Z
3950402,650938,9624.800000000001,2026-04-23T22:00:07.131Z,bid-extra-60354150030,2026-04-23T23:55:14.039Z
3950532,651248,10260.4,2026-04-23T22:00:07.131Z,bid-extra-60354150040,2026-04-23T23:55:14.039Z
3950792,651868,2542.4,2026-04-23T22:00:07.132Z,bid-extra-60354150060,2026-04-23T23:55:14.039Z
3950922,652178,3178.0,2026-04-23T22:00:07.132Z,bid-extra-60354150070,2026-04-23T23:55:14.039Z
3951052,652488,3813.6,2026-04-23T22:00:07.132Z,bid-extra-60354150080,2026-04-23T23:55:14.039Z
3951182,652798,4449.2,2026-04-23T22:00:07.132Z,bid-extra-60354150090,2026-04-23T23:55:14.039Z
3951442,653418,5720.400000000001,2026-04-23T22:00:07.132Z,bid-extra-60354150110,2026-04-23T23:55:14.039Z
3951572,653728,6356.0,2026-04-23T22:00:07.132Z,bid-extra-60354150120,2026-04-23T23:55:14.039Z
3951702,654038,2451.6,2026-04-23T22:00:07.132Z,bid-extra-60354150130,2026-04-23T23:55:14.039Z
3951832,654348,3087.2000000000003,2026-04-23T22:00:07.132Z,bid-extra-60354150140,2026-04-23T23:55:14.039Z
3952092,654968,4358.400000000001,2026-04-23T22:00:07.133Z,bid-extra-60354150160,2026-04-23T23:55:14.039Z
3952222,655278,4994.0,2026-04-23T22:00:07.133Z,bid-extra-60354150170,2026-04-23T23:55:14.039Z
3952352,655588,5629.6,2026-04-23T22:00:07.133Z,bid-extra-60354150180,2026-04-23T23:55:14.039Z
3952482,655898,6265.2,2026-04-23T22:00:07.133Z,bid-extra-60354150190,2026-04-23T23:55:14.039Z
3952742,656518,7536.400000000001,2026-04-23T22:00:07.133Z,bid-extra-60354150210,2026-04-23T23:55:14.039Z
3952872,656828,8172.0,2026-04-23T22:00:07.133Z,bid-extra-60354150220,2026-04-23T23:55:14.039Z
3953002,657138,8807.6,2026-04-23T22:00:07.133Z,bid-extra-60354150230,2026-04-23T23:55:14.039Z
3953132,657448,9443.2,2026-04-23T22:00:07.133Z,bid-extra-60354150240,2026-04-23T23:55:14.039Z
3953392,658068,6174.400000000001,2026-04-23T22:00:07.134Z,bid-extra-60354150260,2026-04-23T23:55:14.039Z
3953522,658378,6810.0,2026-04-23T22:00:07.134Z,bid-extra-60354150270,2026-04-23T23:55:14.039Z
3953652,658688,7445.6,2026-04-23T22:00:07.134Z,bid-extra-60354150280,2026-04-23T23:55:14.039Z
3953782,658998,8081.2,2026-04-23T22:00:07.134Z,bid-extra-60354150290,2026-04-23T23:55:14.039Z
3954042,659618,9352.4,2026-04-23T22:00:07.134Z,bid-extra-60354150310,2026-04-23T23:55:14.039Z
3954172,659928,9988.0,2026-04-23T22:00:07.134Z,bid-extra-60354150320,2026-04-23T23:55:14.039Z
3954302,660238,10623.6,2026-04-23T22:00:07.134Z,bid-extra-60354150330,2026-04-23T23:55:14.039Z
3954432,660548,11259.2,2026-04-23T22:00:07.134Z,bid-extra-60354150340,2026-04-23T23:55:14.039Z
3954692,661168,12530.4,2026-04-23T22:00:07.135Z,bid-extra-60354150360,2026-04-23T23:55:14.039Z
3954822,661478,8626.0,2026-04-23T22:00:07.135Z,bid-extra-60354150370,2026-04-23T23:55:14.039Z
3954952,661788,9261.6,2026-04-23T22:00:07.135Z,bid-extra-60354150380,2026-04-23T23:55:14.039Z
3955082,662098,9897.2,2026-04-23T22:00:07.135Z,bid-extra-60354150390,2026-04-23T23:55:14.039Z
3955342,662718,2179.2000000000003,2026-04-23T22:00:07.135Z,bid-extra-60354150410,2026-04-23T23:55:14.039Z
3955472,663028,2814.8,2026-04-23T22:00:07.135Z,bid-extra-60354150420,2026-04-23T23:55:14.039Z
3955602,663338,3450.4,2026-04-23T22:00:07.135Z,bid-extra-60354150430,2026-04-23T23:55:14.039Z
3955732,663648,4086.0,2026-04-23T22:00:07.135Z,bid-extra-60354150440,2026-04-23T23:55:14.039Z
3955992,664268,5357.2,2026-04-23T22:00:07.136Z,bid-extra-60354150460,2026-04-23T23:55:14.039Z
3956122,664578,5992.8,2026-04-23T22:00:07.136Z,bid-extra-60354150470,2026-04-23T23:55:14.039Z
3956252,664888,6628.400000000001,2026-04-23T22:00:07.136Z,bid-extra-60354150480,2026-04-23T23:55:14.039Z
3956382,665198,2724.0,2026-04-23T22:00:07.136Z,bid-extra-60354150490,2026-04-23T23:55:14.039Z
3956642,665818,3995.2000000000003,2026-04-23T22:00:07.136Z,bid-extra-60354150510,2026-04-23T23:55:14.039Z
3956772,666128,4630.8,2026-04-23T22:00:07.136Z,bid-extra-60354150520,2026-04-23T23:55:14.039Z
3956902,666438,5266.400000000001,2026-04-23T22:00:07.136Z,bid-extra-60354150530,2026-04-23T23:55:14.039Z
3957032,666748,5902.0,2026-04-23T22:00:07.136Z,bid-extra-60354150540,2026-04-23T23:55:14.039Z
3957292,667368,7173.2,2026-04-23T22:00:07.137Z,bid-extra-60354150560,2026-04-23T23:55:14.039Z
3957422,667678,7808.8,2026-04-23T22:00:07.137Z,bid-extra-60354150570,2026-04-23T23:55:14.039Z
3957552,667988,8444.4,2026-04-23T22:00:07.137Z,bid-extra-60354150580,2026-04-23T23:55:14.039Z
3957682,668298,9080.0,2026-04-23T22:00:07.137Z,bid-extra-60354150590,2026-04-23T23:55:14.039Z
3957942,668918,5811.2,2026-04-23T22:00:07.137Z,bid-extra-60354150610,2026-04-23T23:55:14.039Z
3958072,669228,6446.8,2026-04-23T22:00:07.137Z,bid-extra-60354150620,2026-04-23T23:55:14.039Z
3958202,669538,7082.400000000001,2026-04-23T22:00:07.137Z,bid-extra-60354150630,2026-04-23T23:55:14.039Z
3958332,669848,7718.0,2026-04-23T22:00:07.137Z,bid-extra-60354150640,2026-04-23T23:55:14.039Z
