auction,bidder,price,dateTime,extra,processed_time
3950142,650318,8989.2,2026-04-23T21:58:27.131Z,bid-extra-60344150010,2026-04-23T23:55:14.039Z
3950272,650628,9624.800000000001,2026-04-23T21:58:27.131Z,bid-extra-60344150020,2026-04-23T23:55:14.039Z
3950402,650938,1271.2,2026-04-23T21:58:27.131Z,bid-extra-60344150030,2026-04-23T23:55:14.039Z
3950532,651248,1906.8,2026-04-23T21:58:27.131Z,bid-extra-60344150040,2026-04-23T23:55:14.039Z
3950792,651868,3178.0,2026-04-23T21:58:27.132Z,bid-extra-60344150060,2026-04-23T23:55:14.039Z
3950922,652178,3813.6,2026-04-23T21:58:27.132Z,bid-extra-60344150070,2026-04-23T23:55:14.039Z
3951052,652488,4449.2,2026-04-23T21:58:27.132Z,bid-extra-60344150080,2026-04-23T23:55:14.039Z
3951182,652798,5084.8,2026-04-23T21:58:27.132Z,bid-extra-60344150090,2026-04-23T23:55:14.039Z
3951442,653418,6356.0,2026-04-23T21:58:27.132Z,bid-extra-60344150110,2026-04-23T23:55:14.039Z
3951572,653728,6991.6,2026-04-23T21:58:27.132Z,bid-extra-60344150120,2026-04-23T23:55:14.039Z
3951702,654038,3087.2000000000003,2026-04-23T21:58:27.132Z,bid-extra-60344150130,2026-04-23T23:55:14.039Z
3951832,654348,3722.8,2026-04-23T21:58:27.132Z,bid-extra-60344150140,2026-04-23T23:55:14.039Z
3952092,654968,4994.0,2026-04-23T21:58:27.133Z,bid-extra-60344150160,2026-04-23T23:55:14.039Z
3952222,655278,5629.6,2026-04-23T21:58:27.133Z,bid-extra-60344150170,2026-04-23T23:55:14.039Z
3952352,655588,6265.2,2026-04-23T21:58:27.133Z,bid-extra-60344150180,2026-04-23T23:55:14.039Z
3952482,655898,6900.8,2026-04-23T21:58:27.133Z,bid-extra-60344150190,2026-04-23T23:55:14.039Z
3952742,656518,8172.0,2026-04-23T21:58:27.133Z,bid-extra-60344150210,2026-04-23T23:55:14.039Z
3952872,656828,8807.6,2026-04-23T21:58:27.133Z,bid-extra-60344150220,2026-04-23T23:55:14.039Z
3953002,657138,9443.2,2026-04-23T21:58:27.133Z,bid-extra-60344150230,2026-04-23T23:55:14.039Z
3953132,657448,10078.800000000001,2026-04-23T21:58:27.133Z,bid-extra-60344150240,2026-04-23T23:55:14.039Z
3953392,658068,6810.0,2026-04-23T21:58:27.134Z,bid-extra-60344150260,2026-04-23T23:55:14.039Z
3953522,658378,7445.6,2026-04-23T21:58:27.134Z,bid-extra-60344150270,2026-04-23T23:55:14.039Z
3953652,658688,8081.2,2026-04-23T21:58:27.134Z,bid-extra-60344150280,2026-04-23T23:55:14.039Z
3953782,658998,8716.800000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150290,2026-04-23T23:55:14.039Z
3954042,659618,9988.0,2026-04-23T21:58:27.134Z,bid-extra-60344150310,2026-04-23T23:55:14.039Z
3954172,659928,10623.6,2026-04-23T21:58:27.134Z,bid-extra-60344150320,2026-04-23T23:55:14.039Z
3954302,660238,11259.2,2026-04-23T21:58:27.134Z,bid-extra-60344150330,2026-04-23T23:55:14.039Z
3954432,660548,11894.800000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150340,2026-04-23T23:55:14.039Z
3954692,661168,13166.0,2026-04-23T21:58:27.135Z,bid-extra-60344150360,2026-04-23T23:55:14.039Z
3954822,661478,272.40000000000003,2026-04-23T21:58:27.135Z,bid-extra-60344150370,2026-04-23T23:55:14.039Z
3954952,661788,908.0,2026-04-23T21:58:27.135Z,bid-extra-60344150380,2026-04-23T23:55:14.039Z
3955082,662098,1543.6000000000001,2026-04-23T21:58:27.135Z,bid-extra-60344150390,2026-04-23T23:55:14.039Z
3955342,662718,2814.8,2026-04-23T21:58:27.135Z,bid-extra-60344150410,2026-04-23T23:55:14.039Z
3955472,663028,3450.4,2026-04-23T21:58:27.135Z,bid-extra-60344150420,2026-04-23T23:55:14.039Z
3955602,663338,4086.0,2026-04-23T21:58:27.135Z,bid-extra-60344150430,2026-04-23T23:55:14.039Z
3955732,663648,4721.6,2026-04-23T21:58:27.135Z,bid-extra-60344150440,2026-04-23T23:55:14.039Z
3955992,664268,5992.8,2026-04-23T21:58:27.136Z,bid-extra-60344150460,2026-04-23T23:55:14.039Z
3956122,664578,6628.400000000001,2026-04-23T21:58:27.136Z,bid-extra-60344150470,2026-04-23T23:55:14.039Z
3956252,664888,7264.0,2026-04-23T21:58:27.136Z,bid-extra-60344150480,2026-04-23T23:55:14.039Z
3956382,665198,3359.6,2026-04-23T21:58:27.136Z,bid-extra-60344150490,2026-04-23T23:55:14.039Z
3956642,665818,4630.8,2026-04-23T21:58:27.136Z,bid-extra-60344150510,2026-04-23T23:55:14.039Z
3956772,666128,5266.400000000001,2026-04-23T21:58:27.136Z,bid-extra-60344150520,2026-04-23T23:55:14.039Z
3956902,666438,5902.0,2026-04-23T21:58:27.136Z,bid-extra-60344150530,2026-04-23T23:55:14.039Z
3957032,666748,6537.6,2026-04-23T21:58:27.136Z,bid-extra-60344150540,2026-04-23T23:55:14.039Z
3957292,667368,7808.8,2026-04-23T21:58:27.137Z,bid-extra-60344150560,2026-04-23T23:55:14.039Z
3957422,667678,8444.4,2026-04-23T21:58:27.137Z,bid-extra-60344150570,2026-04-23T23:55:14.039Z
3957552,667988,9080.0,2026-04-23T21:58:27.137Z,bid-extra-60344150580,2026-04-23T23:55:14.039Z
3957682,668298,9715.6,2026-04-23T21:58:27.137Z,bid-extra-60344150590,2026-04-23T23:55:14.039Z
3957942,668918,6446.8,2026-04-23T21:58:27.137Z,bid-extra-60344150610,2026-04-23T23:55:14.039Z
3958072,669228,7082.400000000001,2026-04-23T21:58:27.137Z,bid-extra-60344150620,2026-04-23T23:55:14.039Z
3958202,669538,7718.0,2026-04-23T21:58:27.137Z,bid-extra-60344150630,2026-04-23T23:55:14.039Z
3958332,669848,8353.6,2026-04-23T21:58:27.137Z,bid-extra-60344150640,2026-04-23T23:55:14.039Z
3958592,670468,9624.800000000001,2026-04-23T21:58:27.138Z,bid-extra-60344150660,2026-04-23T23:55:14.039Z
3958722,670778,10260.4,2026-04-23T21:58:27.138Z,bid-extra-60344150670,2026-04-23T23:55:14.039Z
3958852,671088,10896.0,2026-04-23T21:58:27.138Z,bid-extra-60344150680,2026-04-23T23:55:14.039Z
3958982,671398,11531.6,2026-04-23T21:58:27.138Z,bid-extra-60344150690,2026-04-23T23:55:14.039Z
3959242,672018,12802.800000000001,2026-04-23T21:58:27.138Z,bid-extra-60344150710,2026-04-23T23:55:14.039Z
3959372,672328,4449.2,2026-04-23T21:58:27.138Z,bid-extra-60344150720,2026-04-23T23:55:14.039Z
3959502,672638,5084.8,2026-04-23T21:58:27.138Z,bid-extra-60344150730,2026-04-23T23:55:14.039Z
3959632,672948,1180.4,2026-04-23T21:58:27.138Z,bid-extra-60344150740,2026-04-23T23:55:14.039Z
3959892,673568,2451.6,2026-04-23T21:58:27.139Z,bid-extra-60344150760,2026-04-23T23:55:14.039Z
3960022,673878,3087.2000000000003,2026-04-23T21:58:27.139Z,bid-extra-60344150770,2026-04-23T23:55:14.039Z
3960152,674188,3722.8,2026-04-23T21:58:27.139Z,bid-extra-60344150780,2026-04-23T23:55:14.039Z
3960282,674498,4358.400000000001,2026-04-23T21:58:27.139Z,bid-extra-60344150790,2026-04-23T23:55:14.039Z
3960542,675118,5629.6,2026-04-23T21:58:27.139Z,bid-extra-60344150810,2026-04-23T23:55:14.039Z
3960672,675428,6265.2,2026-04-23T21:58:27.139Z,bid-extra-60344150820,2026-04-23T23:55:14.039Z
3960802,675738,6900.8,2026-04-23T21:58:27.139Z,bid-extra-60344150830,2026-04-23T23:55:14.039Z
3960932,676048,7536.400000000001,2026-04-23T21:58:27.139Z,bid-extra-60344150840,2026-04-23T23:55:14.039Z
3961192,676668,4267.6,2026-04-23T21:58:27.140Z,bid-extra-60344150860,2026-04-23T23:55:14.039Z
3961322,676978,4903.2,2026-04-23T21:58:27.140Z,bid-extra-60344150870,2026-04-23T23:55:14.039Z
3961452,677288,5538.8,2026-04-23T21:58:27.140Z,bid-extra-60344150880,2026-04-23T23:55:14.039Z
3961582,677598,6174.400000000001,2026-04-23T21:58:27.140Z,bid-extra-60344150890,2026-04-23T23:55:14.039Z
3961842,678218,7445.6,2026-04-23T21:58:27.140Z,bid-extra-60344150910,2026-04-23T23:55:14.039Z
3961972,678528,8081.2,2026-04-23T21:58:27.140Z,bid-extra-60344150920,2026-04-23T23:55:14.039Z
3962102,678838,8716.800000000001,2026-04-23T21:58:27.140Z,bid-extra-60344150930,2026-04-23T23:55:14.039Z
3962232,679148,9352.4,2026-04-23T21:58:27.140Z,bid-extra-60344150940,2026-04-23T23:55:14.039Z
3962492,679768,10623.6,2026-04-23T21:58:27.141Z,bid-extra-60344150960,2026-04-23T23:55:14.039Z
3962622,680078,11259.2,2026-04-23T21:58:27.141Z,bid-extra-60344150970,2026-04-23T23:55:14.039Z
3962752,680388,7354.8,2026-04-23T21:58:27.141Z,bid-extra-60344150980,2026-04-23T23:55:14.039Z
3962882,680698,7990.400000000001,2026-04-23T21:58:27.141Z,bid-extra-60344150990,2026-04-23T23:55:14.039Z
3963142,681318,9261.6,2026-04-23T21:58:27.141Z,bid-extra-60344151010,2026-04-23T23:55:14.039Z
3963272,681628,9897.2,2026-04-23T21:58:27.141Z,bid-extra-60344151020,2026-04-23T23:55:14.039Z
3963402,681938,10532.800000000001,2026-04-23T21:58:27.141Z,bid-extra-60344151030,2026-04-23T23:55:14.039Z
3963532,682248,11168.4,2026-04-23T21:58:27.141Z,bid-extra-60344151040,2026-04-23T23:55:14.039Z
3963792,682868,3450.4,2026-04-23T21:58:27.142Z,bid-extra-60344151060,2026-04-23T23:55:14.039Z
3963922,683178,4086.0,2026-04-23T21:58:27.142Z,bid-extra-60344151070,2026-04-23T23:55:14.039Z
