auction,bidder,price,dateTime,extra,processed_time
8950155,650349,2969.1600000000003,2026-04-23T22:02:37.131Z,bid-extra-60369150011,2026-04-23T23:55:14.039Z
8950285,650659,3604.76,2026-04-23T22:02:37.131Z,bid-extra-60369150021,2026-04-23T23:55:14.039Z
8950415,650969,4240.360000000001,2026-04-23T22:02:37.131Z,bid-extra-60369150031,2026-04-23T23:55:14.039Z
8950545,651279,4875.96,2026-04-23T22:02:37.131Z,bid-extra-60369150041,2026-04-23T23:55:14.039Z
8950805,651899,6147.16,2026-04-23T22:02:37.132Z,bid-extra-60369150061,2026-04-23T23:55:14.039Z
8950935,652209,6782.76,2026-04-23T22:02:37.132Z,bid-extra-60369150071,2026-04-23T23:55:14.039Z
8951065,652519,7418.360000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150081,2026-04-23T23:55:14.039Z
8951195,652829,8053.96,2026-04-23T22:02:37.132Z,bid-extra-60369150091,2026-04-23T23:55:14.039Z
8951455,653449,9325.16,2026-04-23T22:02:37.132Z,bid-extra-60369150111,2026-04-23T23:55:14.039Z
8951585,653759,9960.76,2026-04-23T22:02:37.132Z,bid-extra-60369150121,2026-04-23T23:55:14.039Z
8951715,654069,6056.360000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150131,2026-04-23T23:55:14.039Z
8951845,654379,6691.96,2026-04-23T22:02:37.132Z,bid-extra-60369150141,2026-04-23T23:55:14.039Z
8952105,654999,7963.16,2026-04-23T22:02:37.133Z,bid-extra-60369150161,2026-04-23T23:55:14.039Z
8952235,655309,8598.76,2026-04-23T22:02:37.133Z,bid-extra-60369150171,2026-04-23T23:55:14.039Z
8952365,655619,9234.36,2026-04-23T22:02:37.133Z,bid-extra-60369150181,2026-04-23T23:55:14.039Z
8952495,655929,9869.960000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150191,2026-04-23T23:55:14.039Z
8952755,656549,11141.16,2026-04-23T22:02:37.133Z,bid-extra-60369150211,2026-04-23T23:55:14.039Z
8952885,656859,11776.76,2026-04-23T22:02:37.133Z,bid-extra-60369150221,2026-04-23T23:55:14.039Z
8953015,657169,12412.36,2026-04-23T22:02:37.133Z,bid-extra-60369150231,2026-04-23T23:55:14.039Z
8953145,657479,13047.960000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150241,2026-04-23T23:55:14.039Z
8953405,658099,789.96,2026-04-23T22:02:37.134Z,bid-extra-60369150261,2026-04-23T23:55:14.039Z
8953535,658409,1425.56,2026-04-23T22:02:37.134Z,bid-extra-60369150271,2026-04-23T23:55:14.039Z
8953665,658719,2061.16,2026-04-23T22:02:37.134Z,bid-extra-60369150281,2026-04-23T23:55:14.039Z
8953795,659029,2696.76,2026-04-23T22:02:37.134Z,bid-extra-60369150291,2026-04-23T23:55:14.039Z
8954055,659649,3967.96,2026-04-23T22:02:37.134Z,bid-extra-60369150311,2026-04-23T23:55:14.039Z
8954185,659959,4603.56,2026-04-23T22:02:37.134Z,bid-extra-60369150321,2026-04-23T23:55:14.039Z
8954315,660269,5239.16,2026-04-23T22:02:37.134Z,bid-extra-60369150331,2026-04-23T23:55:14.039Z
8954445,660579,5874.76,2026-04-23T22:02:37.134Z,bid-extra-60369150341,2026-04-23T23:55:14.039Z
8954705,661199,7145.96,2026-04-23T22:02:37.135Z,bid-extra-60369150361,2026-04-23T23:55:14.039Z
8954835,661509,3241.56,2026-04-23T22:02:37.135Z,bid-extra-60369150371,2026-04-23T23:55:14.039Z
8954965,661819,3877.1600000000003,2026-04-23T22:02:37.135Z,bid-extra-60369150381,2026-04-23T23:55:14.039Z
8955095,662129,4512.76,2026-04-23T22:02:37.135Z,bid-extra-60369150391,2026-04-23T23:55:14.039Z
8955355,662749,5783.96,2026-04-23T22:02:37.135Z,bid-extra-60369150411,2026-04-23T23:55:14.039Z
8955485,663059,6419.56,2026-04-23T22:02:37.135Z,bid-extra-60369150421,2026-04-23T23:55:14.039Z
8955615,663369,7055.16,2026-04-23T22:02:37.135Z,bid-extra-60369150431,2026-04-23T23:55:14.039Z
8955745,663679,7690.76,2026-04-23T22:02:37.135Z,bid-extra-60369150441,2026-04-23T23:55:14.039Z
8956005,664299,8961.960000000001,2026-04-23T22:02:37.136Z,bid-extra-60369150461,2026-04-23T23:55:14.039Z
8956135,664609,9597.56,2026-04-23T22:02:37.136Z,bid-extra-60369150471,2026-04-23T23:55:14.039Z
8956265,664919,10233.16,2026-04-23T22:02:37.136Z,bid-extra-60369150481,2026-04-23T23:55:14.039Z
8956395,665229,6328.76,2026-04-23T22:02:37.136Z,bid-extra-60369150491,2026-04-23T23:55:14.039Z
8956655,665849,7599.96,2026-04-23T22:02:37.136Z,bid-extra-60369150511,2026-04-23T23:55:14.039Z
8956785,666159,8235.56,2026-04-23T22:02:37.136Z,bid-extra-60369150521,2026-04-23T23:55:14.039Z
8956915,666469,8871.16,2026-04-23T22:02:37.136Z,bid-extra-60369150531,2026-04-23T23:55:14.039Z
8957045,666779,9506.76,2026-04-23T22:02:37.136Z,bid-extra-60369150541,2026-04-23T23:55:14.039Z
8957305,667399,10777.960000000001,2026-04-23T22:02:37.137Z,bid-extra-60369150561,2026-04-23T23:55:14.039Z
8957435,667709,11413.56,2026-04-23T22:02:37.137Z,bid-extra-60369150571,2026-04-23T23:55:14.039Z
8957565,668019,12049.16,2026-04-23T22:02:37.137Z,bid-extra-60369150581,2026-04-23T23:55:14.039Z
8957695,668329,12684.76,2026-04-23T22:02:37.137Z,bid-extra-60369150591,2026-04-23T23:55:14.039Z
8957955,668949,426.76,2026-04-23T22:02:37.137Z,bid-extra-60369150611,2026-04-23T23:55:14.039Z
8958085,669259,1062.3600000000001,2026-04-23T22:02:37.137Z,bid-extra-60369150621,2026-04-23T23:55:14.039Z
8958215,669569,1697.96,2026-04-23T22:02:37.137Z,bid-extra-60369150631,2026-04-23T23:55:14.039Z
8958345,669879,2333.56,2026-04-23T22:02:37.137Z,bid-extra-60369150641,2026-04-23T23:55:14.039Z
8958605,670499,3604.76,2026-04-23T22:02:37.138Z,bid-extra-60369150661,2026-04-23T23:55:14.039Z
8958735,670809,4240.360000000001,2026-04-23T22:02:37.138Z,bid-extra-60369150671,2026-04-23T23:55:14.039Z
8958865,671119,4875.96,2026-04-23T22:02:37.138Z,bid-extra-60369150681,2026-04-23T23:55:14.039Z
8958995,671429,5511.56,2026-04-23T22:02:37.138Z,bid-extra-60369150691,2026-04-23T23:55:14.039Z
8959255,672049,6782.76,2026-04-23T22:02:37.138Z,bid-extra-60369150711,2026-04-23T23:55:14.039Z
8959385,672359,7418.360000000001,2026-04-23T22:02:37.138Z,bid-extra-60369150721,2026-04-23T23:55:14.039Z
8959515,672669,8053.96,2026-04-23T22:02:37.138Z,bid-extra-60369150731,2026-04-23T23:55:14.039Z
8959645,672979,4149.56,2026-04-23T22:02:37.138Z,bid-extra-60369150741,2026-04-23T23:55:14.039Z
8959905,673599,5420.76,2026-04-23T22:02:37.139Z,bid-extra-60369150761,2026-04-23T23:55:14.039Z
8960035,673909,6056.360000000001,2026-04-23T22:02:37.139Z,bid-extra-60369150771,2026-04-23T23:55:14.039Z
8960165,674219,6691.96,2026-04-23T22:02:37.139Z,bid-extra-60369150781,2026-04-23T23:55:14.039Z
8960295,674529,7327.56,2026-04-23T22:02:37.139Z,bid-extra-60369150791,2026-04-23T23:55:14.039Z
8960555,675149,8598.76,2026-04-23T22:02:37.139Z,bid-extra-60369150811,2026-04-23T23:55:14.039Z
8960685,675459,9234.36,2026-04-23T22:02:37.139Z,bid-extra-60369150821,2026-04-23T23:55:14.039Z
8960815,675769,9869.960000000001,2026-04-23T22:02:37.139Z,bid-extra-60369150831,2026-04-23T23:55:14.039Z
8960945,676079,10505.56,2026-04-23T22:02:37.139Z,bid-extra-60369150841,2026-04-23T23:55:14.039Z
8961205,676699,7236.76,2026-04-23T22:02:37.140Z,bid-extra-60369150861,2026-04-23T23:55:14.039Z
8961335,677009,7872.360000000001,2026-04-23T22:02:37.140Z,bid-extra-60369150871,2026-04-23T23:55:14.039Z
8961465,677319,8507.960000000001,2026-04-23T22:02:37.140Z,bid-extra-60369150881,2026-04-23T23:55:14.039Z
8961595,677629,9143.56,2026-04-23T22:02:37.140Z,bid-extra-60369150891,2026-04-23T23:55:14.039Z
8961855,678249,10414.76,2026-04-23T22:02:37.140Z,bid-extra-60369150911,2026-04-23T23:55:14.039Z
8961985,678559,11050.36,2026-04-23T22:02:37.140Z,bid-extra-60369150921,2026-04-23T23:55:14.039Z
8962115,678869,11685.960000000001,2026-04-23T22:02:37.140Z,bid-extra-60369150931,2026-04-23T23:55:14.039Z
8962245,679179,12321.56,2026-04-23T22:02:37.140Z,bid-extra-60369150941,2026-04-23T23:55:14.039Z
8962505,679799,4603.56,2026-04-23T22:02:37.141Z,bid-extra-60369150961,2026-04-23T23:55:14.039Z
8962635,680109,5239.16,2026-04-23T22:02:37.141Z,bid-extra-60369150971,2026-04-23T23:55:14.039Z
8962765,680419,1334.76,2026-04-23T22:02:37.141Z,bid-extra-60369150981,2026-04-23T23:55:14.039Z
8962895,680729,1970.3600000000001,2026-04-23T22:02:37.141Z,bid-extra-60369150991,2026-04-23T23:55:14.039Z
8963155,681349,3241.56,2026-04-23T22:02:37.141Z,bid-extra-60369151011,2026-04-23T23:55:14.039Z
8963285,681659,3877.1600000000003,2026-04-23T22:02:37.141Z,bid-extra-60369151021,2026-04-23T23:55:14.039Z
8963415,681969,4512.76,2026-04-23T22:02:37.141Z,bid-extra-60369151031,2026-04-23T23:55:14.039Z
8963545,682279,5148.360000000001,2026-04-23T22:02:37.141Z,bid-extra-60369151041,2026-04-23T23:55:14.039Z
8963805,682899,6419.56,2026-04-23T22:02:37.142Z,bid-extra-60369151061,2026-04-23T23:55:14.039Z
8963935,683209,7055.16,2026-04-23T22:02:37.142Z,bid-extra-60369151071,2026-04-23T23:55:14.039Z
