auction,bidder,price,dateTime,extra,processed_time
1450155,150349,6328.76,2026-04-23T21:59:42.131Z,bid-extra-60351650011,2026-04-23T23:55:14.039Z
1450285,150659,6964.360000000001,2026-04-23T21:59:42.131Z,bid-extra-60351650021,2026-04-23T23:55:14.039Z
1450415,150969,7599.96,2026-04-23T21:59:42.131Z,bid-extra-60351650031,2026-04-23T23:55:14.039Z
1450545,151279,8235.56,2026-04-23T21:59:42.131Z,bid-extra-60351650041,2026-04-23T23:55:14.039Z
1450805,151899,9506.76,2026-04-23T21:59:42.132Z,bid-extra-60351650061,2026-04-23T23:55:14.039Z
1450935,152209,10142.36,2026-04-23T21:59:42.132Z,bid-extra-60351650071,2026-04-23T23:55:14.039Z
1451065,152519,10777.960000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650081,2026-04-23T23:55:14.039Z
1451195,152829,11413.56,2026-04-23T21:59:42.132Z,bid-extra-60351650091,2026-04-23T23:55:14.039Z
1451455,153449,12684.76,2026-04-23T21:59:42.132Z,bid-extra-60351650111,2026-04-23T23:55:14.039Z
1451585,153759,13320.36,2026-04-23T21:59:42.132Z,bid-extra-60351650121,2026-04-23T23:55:14.039Z
1451715,154069,9415.960000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650131,2026-04-23T23:55:14.039Z
1451845,154379,1062.3600000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650141,2026-04-23T23:55:14.039Z
1452105,154999,2333.56,2026-04-23T21:59:42.133Z,bid-extra-60351650161,2026-04-23T23:55:14.039Z
1452235,155309,2969.1600000000003,2026-04-23T21:59:42.133Z,bid-extra-60351650171,2026-04-23T23:55:14.039Z
1452365,155619,3604.76,2026-04-23T21:59:42.133Z,bid-extra-60351650181,2026-04-23T23:55:14.039Z
1452495,155929,4240.360000000001,2026-04-23T21:59:42.133Z,bid-extra-60351650191,2026-04-23T23:55:14.039Z
1452755,156549,5511.56,2026-04-23T21:59:42.133Z,bid-extra-60351650211,2026-04-23T23:55:14.039Z
1452885,156859,6147.16,2026-04-23T21:59:42.133Z,bid-extra-60351650221,2026-04-23T23:55:14.039Z
1453015,157169,6782.76,2026-04-23T21:59:42.133Z,bid-extra-60351650231,2026-04-23T23:55:14.039Z
1453145,157479,7418.360000000001,2026-04-23T21:59:42.133Z,bid-extra-60351650241,2026-04-23T23:55:14.039Z
1453405,158099,4149.56,2026-04-23T21:59:42.134Z,bid-extra-60351650261,2026-04-23T23:55:14.039Z
1453535,158409,4785.16,2026-04-23T21:59:42.134Z,bid-extra-60351650271,2026-04-23T23:55:14.039Z
1453665,158719,5420.76,2026-04-23T21:59:42.134Z,bid-extra-60351650281,2026-04-23T23:55:14.039Z
