auction,bidder,price,dateTime,extra,processed_time
5200155,400349,8507.960000000001,2026-04-23T22:02:49.631Z,bid-extra-60370400011,2026-04-23T23:55:14.039Z
5200285,400659,9143.56,2026-04-23T22:02:49.631Z,bid-extra-60370400021,2026-04-23T23:55:14.039Z
5200415,400969,9779.16,2026-04-23T22:02:49.631Z,bid-extra-60370400031,2026-04-23T23:55:14.039Z
5200545,401279,10414.76,2026-04-23T22:02:49.631Z,bid-extra-60370400041,2026-04-23T23:55:14.039Z
5200805,401899,2696.76,2026-04-23T22:02:49.632Z,bid-extra-60370400061,2026-04-23T23:55:14.039Z
5200935,402209,3332.36,2026-04-23T22:02:49.632Z,bid-extra-60370400071,2026-04-23T23:55:14.039Z
5201065,402519,3967.96,2026-04-23T22:02:49.632Z,bid-extra-60370400081,2026-04-23T23:55:14.039Z
5201195,402829,4603.56,2026-04-23T22:02:49.632Z,bid-extra-60370400091,2026-04-23T23:55:14.039Z
5201455,403449,5874.76,2026-04-23T22:02:49.632Z,bid-extra-60370400111,2026-04-23T23:55:14.039Z
5201585,403759,6510.360000000001,2026-04-23T22:02:49.632Z,bid-extra-60370400121,2026-04-23T23:55:14.039Z
5201715,404069,2605.96,2026-04-23T22:02:49.632Z,bid-extra-60370400131,2026-04-23T23:55:14.039Z
5201845,404379,3241.56,2026-04-23T22:02:49.632Z,bid-extra-60370400141,2026-04-23T23:55:14.039Z
5202105,404999,4512.76,2026-04-23T22:02:49.633Z,bid-extra-60370400161,2026-04-23T23:55:14.039Z
5202235,405309,5148.360000000001,2026-04-23T22:02:49.633Z,bid-extra-60370400171,2026-04-23T23:55:14.039Z
5202365,405619,5783.96,2026-04-23T22:02:49.633Z,bid-extra-60370400181,2026-04-23T23:55:14.039Z
5202495,405929,6419.56,2026-04-23T22:02:49.633Z,bid-extra-60370400191,2026-04-23T23:55:14.039Z
5202755,406549,7690.76,2026-04-23T22:02:49.633Z,bid-extra-60370400211,2026-04-23T23:55:14.039Z
5202885,406859,8326.36,2026-04-23T22:02:49.633Z,bid-extra-60370400221,2026-04-23T23:55:14.039Z
5203015,407169,8961.960000000001,2026-04-23T22:02:49.633Z,bid-extra-60370400231,2026-04-23T23:55:14.039Z
5203145,407479,9597.56,2026-04-23T22:02:49.633Z,bid-extra-60370400241,2026-04-23T23:55:14.039Z
5203405,408099,6328.76,2026-04-23T22:02:49.634Z,bid-extra-60370400261,2026-04-23T23:55:14.039Z
5203535,408409,6964.360000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400271,2026-04-23T23:55:14.039Z
5203665,408719,7599.96,2026-04-23T22:02:49.634Z,bid-extra-60370400281,2026-04-23T23:55:14.039Z
5203795,409029,8235.56,2026-04-23T22:02:49.634Z,bid-extra-60370400291,2026-04-23T23:55:14.039Z
5204055,409649,9506.76,2026-04-23T22:02:49.634Z,bid-extra-60370400311,2026-04-23T23:55:14.039Z
5204185,409959,10142.36,2026-04-23T22:02:49.634Z,bid-extra-60370400321,2026-04-23T23:55:14.039Z
5204315,410269,10777.960000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400331,2026-04-23T23:55:14.039Z
5204445,410579,11413.56,2026-04-23T22:02:49.634Z,bid-extra-60370400341,2026-04-23T23:55:14.039Z
5204705,411199,12684.76,2026-04-23T22:02:49.635Z,bid-extra-60370400361,2026-04-23T23:55:14.039Z
5204835,411509,8780.36,2026-04-23T22:02:49.635Z,bid-extra-60370400371,2026-04-23T23:55:14.039Z
5204965,411819,9415.960000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400381,2026-04-23T23:55:14.039Z
5205095,412129,1062.3600000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400391,2026-04-23T23:55:14.039Z
5205355,412749,2333.56,2026-04-23T22:02:49.635Z,bid-extra-60370400411,2026-04-23T23:55:14.039Z
5205485,413059,2969.1600000000003,2026-04-23T22:02:49.635Z,bid-extra-60370400421,2026-04-23T23:55:14.039Z
5205615,413369,3604.76,2026-04-23T22:02:49.635Z,bid-extra-60370400431,2026-04-23T23:55:14.039Z
5205745,413679,4240.360000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400441,2026-04-23T23:55:14.039Z
5206005,414299,5511.56,2026-04-23T22:02:49.636Z,bid-extra-60370400461,2026-04-23T23:55:14.039Z
5206135,414609,6147.16,2026-04-23T22:02:49.636Z,bid-extra-60370400471,2026-04-23T23:55:14.039Z
5206265,414919,6782.76,2026-04-23T22:02:49.636Z,bid-extra-60370400481,2026-04-23T23:55:14.039Z
5206395,415229,2878.36,2026-04-23T22:02:49.636Z,bid-extra-60370400491,2026-04-23T23:55:14.039Z
