auction,bidder,price,dateTime,extra,processed_time
2700155,900349,7690.76,2026-04-23T21:59:04.631Z,bid-extra-60347900011,2026-04-23T23:55:14.039Z
2700285,900659,8326.36,2026-04-23T21:59:04.631Z,bid-extra-60347900021,2026-04-23T23:55:14.039Z
2700415,900969,8961.960000000001,2026-04-23T21:59:04.631Z,bid-extra-60347900031,2026-04-23T23:55:14.039Z
2700545,901279,9597.56,2026-04-23T21:59:04.631Z,bid-extra-60347900041,2026-04-23T23:55:14.039Z
2700805,901899,10868.76,2026-04-23T21:59:04.632Z,bid-extra-60347900061,2026-04-23T23:55:14.039Z
2700935,902209,11504.36,2026-04-23T21:59:04.632Z,bid-extra-60347900071,2026-04-23T23:55:14.039Z
2701065,902519,3150.76,2026-04-23T21:59:04.632Z,bid-extra-60347900081,2026-04-23T23:55:14.039Z
2701195,902829,3786.36,2026-04-23T21:59:04.632Z,bid-extra-60347900091,2026-04-23T23:55:14.039Z
2701455,903449,5057.56,2026-04-23T21:59:04.632Z,bid-extra-60347900111,2026-04-23T23:55:14.039Z
2701585,903759,5693.16,2026-04-23T21:59:04.632Z,bid-extra-60347900121,2026-04-23T23:55:14.039Z
2701715,904069,1788.76,2026-04-23T21:59:04.632Z,bid-extra-60347900131,2026-04-23T23:55:14.039Z
2701845,904379,2424.36,2026-04-23T21:59:04.632Z,bid-extra-60347900141,2026-04-23T23:55:14.039Z
2702105,904999,3695.56,2026-04-23T21:59:04.633Z,bid-extra-60347900161,2026-04-23T23:55:14.039Z
2702235,905309,4331.16,2026-04-23T21:59:04.633Z,bid-extra-60347900171,2026-04-23T23:55:14.039Z
2702365,905619,4966.76,2026-04-23T21:59:04.633Z,bid-extra-60347900181,2026-04-23T23:55:14.039Z
2702495,905929,5602.360000000001,2026-04-23T21:59:04.633Z,bid-extra-60347900191,2026-04-23T23:55:14.039Z
2702755,906549,6873.56,2026-04-23T21:59:04.633Z,bid-extra-60347900211,2026-04-23T23:55:14.039Z
2702885,906859,7509.16,2026-04-23T21:59:04.633Z,bid-extra-60347900221,2026-04-23T23:55:14.039Z
2703015,907169,8144.76,2026-04-23T21:59:04.633Z,bid-extra-60347900231,2026-04-23T23:55:14.039Z
2703145,907479,8780.36,2026-04-23T21:59:04.633Z,bid-extra-60347900241,2026-04-23T23:55:14.039Z
2703405,908099,5511.56,2026-04-23T21:59:04.634Z,bid-extra-60347900261,2026-04-23T23:55:14.039Z
2703535,908409,6147.16,2026-04-23T21:59:04.634Z,bid-extra-60347900271,2026-04-23T23:55:14.039Z
2703665,908719,6782.76,2026-04-23T21:59:04.634Z,bid-extra-60347900281,2026-04-23T23:55:14.039Z
2703795,909029,7418.360000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900291,2026-04-23T23:55:14.039Z
2704055,909649,8689.56,2026-04-23T21:59:04.634Z,bid-extra-60347900311,2026-04-23T23:55:14.039Z
2704185,909959,9325.16,2026-04-23T21:59:04.634Z,bid-extra-60347900321,2026-04-23T23:55:14.039Z
2704315,910269,9960.76,2026-04-23T21:59:04.634Z,bid-extra-60347900331,2026-04-23T23:55:14.039Z
2704445,910579,10596.36,2026-04-23T21:59:04.634Z,bid-extra-60347900341,2026-04-23T23:55:14.039Z
2704705,911199,11867.56,2026-04-23T21:59:04.635Z,bid-extra-60347900361,2026-04-23T23:55:14.039Z
2704835,911509,7963.16,2026-04-23T21:59:04.635Z,bid-extra-60347900371,2026-04-23T23:55:14.039Z
2704965,911819,8598.76,2026-04-23T21:59:04.635Z,bid-extra-60347900381,2026-04-23T23:55:14.039Z
2705095,912129,9234.36,2026-04-23T21:59:04.635Z,bid-extra-60347900391,2026-04-23T23:55:14.039Z
2705355,912749,10505.56,2026-04-23T21:59:04.635Z,bid-extra-60347900411,2026-04-23T23:55:14.039Z
