auction,bidder,price,dateTime,extra,processed_time
3950155,650349,7781.56,2026-04-23T22:01:47.131Z,bid-extra-60364150011,2026-04-23T23:55:14.039Z
3950285,650659,8417.16,2026-04-23T22:01:47.131Z,bid-extra-60364150021,2026-04-23T23:55:14.039Z
3950415,650969,9052.76,2026-04-23T22:01:47.131Z,bid-extra-60364150031,2026-04-23T23:55:14.039Z
3950545,651279,9688.36,2026-04-23T22:01:47.131Z,bid-extra-60364150041,2026-04-23T23:55:14.039Z
3950805,651899,10959.56,2026-04-23T22:01:47.132Z,bid-extra-60364150061,2026-04-23T23:55:14.039Z
3950935,652209,11595.16,2026-04-23T22:01:47.132Z,bid-extra-60364150071,2026-04-23T23:55:14.039Z
3951065,652519,3241.56,2026-04-23T22:01:47.132Z,bid-extra-60364150081,2026-04-23T23:55:14.039Z
3951195,652829,3877.1600000000003,2026-04-23T22:01:47.132Z,bid-extra-60364150091,2026-04-23T23:55:14.039Z
3951455,653449,5148.360000000001,2026-04-23T22:01:47.132Z,bid-extra-60364150111,2026-04-23T23:55:14.039Z
3951585,653759,5783.96,2026-04-23T22:01:47.132Z,bid-extra-60364150121,2026-04-23T23:55:14.039Z
3951715,654069,1879.5600000000002,2026-04-23T22:01:47.132Z,bid-extra-60364150131,2026-04-23T23:55:14.039Z
3951845,654379,2515.16,2026-04-23T22:01:47.132Z,bid-extra-60364150141,2026-04-23T23:55:14.039Z
3952105,654999,3786.36,2026-04-23T22:01:47.133Z,bid-extra-60364150161,2026-04-23T23:55:14.039Z
3952235,655309,4421.96,2026-04-23T22:01:47.133Z,bid-extra-60364150171,2026-04-23T23:55:14.039Z
3952365,655619,5057.56,2026-04-23T22:01:47.133Z,bid-extra-60364150181,2026-04-23T23:55:14.039Z
3952495,655929,5693.16,2026-04-23T22:01:47.133Z,bid-extra-60364150191,2026-04-23T23:55:14.039Z
3952755,656549,6964.360000000001,2026-04-23T22:01:47.133Z,bid-extra-60364150211,2026-04-23T23:55:14.039Z
3952885,656859,7599.96,2026-04-23T22:01:47.133Z,bid-extra-60364150221,2026-04-23T23:55:14.039Z
3953015,657169,8235.56,2026-04-23T22:01:47.133Z,bid-extra-60364150231,2026-04-23T23:55:14.039Z
3953145,657479,8871.16,2026-04-23T22:01:47.133Z,bid-extra-60364150241,2026-04-23T23:55:14.039Z
3953405,658099,5602.360000000001,2026-04-23T22:01:47.134Z,bid-extra-60364150261,2026-04-23T23:55:14.039Z
3953535,658409,6237.96,2026-04-23T22:01:47.134Z,bid-extra-60364150271,2026-04-23T23:55:14.039Z
3953665,658719,6873.56,2026-04-23T22:01:47.134Z,bid-extra-60364150281,2026-04-23T23:55:14.039Z
3953795,659029,7509.16,2026-04-23T22:01:47.134Z,bid-extra-60364150291,2026-04-23T23:55:14.039Z
3954055,659649,8780.36,2026-04-23T22:01:47.134Z,bid-extra-60364150311,2026-04-23T23:55:14.039Z
3954185,659959,9415.960000000001,2026-04-23T22:01:47.134Z,bid-extra-60364150321,2026-04-23T23:55:14.039Z
3954315,660269,10051.56,2026-04-23T22:01:47.134Z,bid-extra-60364150331,2026-04-23T23:55:14.039Z
3954445,660579,10687.16,2026-04-23T22:01:47.134Z,bid-extra-60364150341,2026-04-23T23:55:14.039Z
3954705,661199,11958.36,2026-04-23T22:01:47.135Z,bid-extra-60364150361,2026-04-23T23:55:14.039Z
3954835,661509,8053.96,2026-04-23T22:01:47.135Z,bid-extra-60364150371,2026-04-23T23:55:14.039Z
