auction,bidder,price,dateTime,extra,processed_time
8950155,650349,3604.76,2026-04-23T22:00:57.131Z,bid-extra-60359150011,2026-04-23T23:55:14.039Z
8950285,650659,4240.360000000001,2026-04-23T22:00:57.131Z,bid-extra-60359150021,2026-04-23T23:55:14.039Z
8950415,650969,4875.96,2026-04-23T22:00:57.131Z,bid-extra-60359150031,2026-04-23T23:55:14.039Z
8950545,651279,5511.56,2026-04-23T22:00:57.131Z,bid-extra-60359150041,2026-04-23T23:55:14.039Z
8950805,651899,6782.76,2026-04-23T22:00:57.132Z,bid-extra-60359150061,2026-04-23T23:55:14.039Z
8950935,652209,7418.360000000001,2026-04-23T22:00:57.132Z,bid-extra-60359150071,2026-04-23T23:55:14.039Z
8951065,652519,8053.96,2026-04-23T22:00:57.132Z,bid-extra-60359150081,2026-04-23T23:55:14.039Z
8951195,652829,8689.56,2026-04-23T22:00:57.132Z,bid-extra-60359150091,2026-04-23T23:55:14.039Z
8951455,653449,9960.76,2026-04-23T22:00:57.132Z,bid-extra-60359150111,2026-04-23T23:55:14.039Z
8951585,653759,10596.36,2026-04-23T22:00:57.132Z,bid-extra-60359150121,2026-04-23T23:55:14.039Z
8951715,654069,6691.96,2026-04-23T22:00:57.132Z,bid-extra-60359150131,2026-04-23T23:55:14.039Z
8951845,654379,7327.56,2026-04-23T22:00:57.132Z,bid-extra-60359150141,2026-04-23T23:55:14.039Z
8952105,654999,8598.76,2026-04-23T22:00:57.133Z,bid-extra-60359150161,2026-04-23T23:55:14.039Z
8952235,655309,9234.36,2026-04-23T22:00:57.133Z,bid-extra-60359150171,2026-04-23T23:55:14.039Z
8952365,655619,9869.960000000001,2026-04-23T22:00:57.133Z,bid-extra-60359150181,2026-04-23T23:55:14.039Z
8952495,655929,10505.56,2026-04-23T22:00:57.133Z,bid-extra-60359150191,2026-04-23T23:55:14.039Z
8952755,656549,11776.76,2026-04-23T22:00:57.133Z,bid-extra-60359150211,2026-04-23T23:55:14.039Z
8952885,656859,12412.36,2026-04-23T22:00:57.133Z,bid-extra-60359150221,2026-04-23T23:55:14.039Z
8953015,657169,13047.960000000001,2026-04-23T22:00:57.133Z,bid-extra-60359150231,2026-04-23T23:55:14.039Z
8953145,657479,4694.360000000001,2026-04-23T22:00:57.133Z,bid-extra-60359150241,2026-04-23T23:55:14.039Z
8953405,658099,1425.56,2026-04-23T22:00:57.134Z,bid-extra-60359150261,2026-04-23T23:55:14.039Z
8953535,658409,2061.16,2026-04-23T22:00:57.134Z,bid-extra-60359150271,2026-04-23T23:55:14.039Z
8953665,658719,2696.76,2026-04-23T22:00:57.134Z,bid-extra-60359150281,2026-04-23T23:55:14.039Z
8953795,659029,3332.36,2026-04-23T22:00:57.134Z,bid-extra-60359150291,2026-04-23T23:55:14.039Z
8954055,659649,4603.56,2026-04-23T22:00:57.134Z,bid-extra-60359150311,2026-04-23T23:55:14.039Z
8954185,659959,5239.16,2026-04-23T22:00:57.134Z,bid-extra-60359150321,2026-04-23T23:55:14.039Z
8954315,660269,5874.76,2026-04-23T22:00:57.134Z,bid-extra-60359150331,2026-04-23T23:55:14.039Z
8954445,660579,6510.360000000001,2026-04-23T22:00:57.134Z,bid-extra-60359150341,2026-04-23T23:55:14.039Z
8954705,661199,7781.56,2026-04-23T22:00:57.135Z,bid-extra-60359150361,2026-04-23T23:55:14.039Z
8954835,661509,3877.1600000000003,2026-04-23T22:00:57.135Z,bid-extra-60359150371,2026-04-23T23:55:14.039Z
8954965,661819,4512.76,2026-04-23T22:00:57.135Z,bid-extra-60359150381,2026-04-23T23:55:14.039Z
8955095,662129,5148.360000000001,2026-04-23T22:00:57.135Z,bid-extra-60359150391,2026-04-23T23:55:14.039Z
8955355,662749,6419.56,2026-04-23T22:00:57.135Z,bid-extra-60359150411,2026-04-23T23:55:14.039Z
8955485,663059,7055.16,2026-04-23T22:00:57.135Z,bid-extra-60359150421,2026-04-23T23:55:14.039Z
8955615,663369,7690.76,2026-04-23T22:00:57.135Z,bid-extra-60359150431,2026-04-23T23:55:14.039Z
8955745,663679,8326.36,2026-04-23T22:00:57.135Z,bid-extra-60359150441,2026-04-23T23:55:14.039Z
8956005,664299,9597.56,2026-04-23T22:00:57.136Z,bid-extra-60359150461,2026-04-23T23:55:14.039Z
8956135,664609,10233.16,2026-04-23T22:00:57.136Z,bid-extra-60359150471,2026-04-23T23:55:14.039Z
8956265,664919,10868.76,2026-04-23T22:00:57.136Z,bid-extra-60359150481,2026-04-23T23:55:14.039Z
8956395,665229,6964.360000000001,2026-04-23T22:00:57.136Z,bid-extra-60359150491,2026-04-23T23:55:14.039Z
8956655,665849,8235.56,2026-04-23T22:00:57.136Z,bid-extra-60359150511,2026-04-23T23:55:14.039Z
8956785,666159,8871.16,2026-04-23T22:00:57.136Z,bid-extra-60359150521,2026-04-23T23:55:14.039Z
8956915,666469,9506.76,2026-04-23T22:00:57.136Z,bid-extra-60359150531,2026-04-23T23:55:14.039Z
8957045,666779,10142.36,2026-04-23T22:00:57.136Z,bid-extra-60359150541,2026-04-23T23:55:14.039Z
8957305,667399,11413.56,2026-04-23T22:00:57.137Z,bid-extra-60359150561,2026-04-23T23:55:14.039Z
8957435,667709,12049.16,2026-04-23T22:00:57.137Z,bid-extra-60359150571,2026-04-23T23:55:14.039Z
8957565,668019,3695.56,2026-04-23T22:00:57.137Z,bid-extra-60359150581,2026-04-23T23:55:14.039Z
8957695,668329,4331.16,2026-04-23T22:00:57.137Z,bid-extra-60359150591,2026-04-23T23:55:14.039Z
8957955,668949,1062.3600000000001,2026-04-23T22:00:57.137Z,bid-extra-60359150611,2026-04-23T23:55:14.039Z
8958085,669259,1697.96,2026-04-23T22:00:57.137Z,bid-extra-60359150621,2026-04-23T23:55:14.039Z
8958215,669569,2333.56,2026-04-23T22:00:57.137Z,bid-extra-60359150631,2026-04-23T23:55:14.039Z
8958345,669879,2969.1600000000003,2026-04-23T22:00:57.137Z,bid-extra-60359150641,2026-04-23T23:55:14.039Z
8958605,670499,4240.360000000001,2026-04-23T22:00:57.138Z,bid-extra-60359150661,2026-04-23T23:55:14.039Z
8958735,670809,4875.96,2026-04-23T22:00:57.138Z,bid-extra-60359150671,2026-04-23T23:55:14.039Z
8958865,671119,5511.56,2026-04-23T22:00:57.138Z,bid-extra-60359150681,2026-04-23T23:55:14.039Z
8958995,671429,6147.16,2026-04-23T22:00:57.138Z,bid-extra-60359150691,2026-04-23T23:55:14.039Z
8959255,672049,7418.360000000001,2026-04-23T22:00:57.138Z,bid-extra-60359150711,2026-04-23T23:55:14.039Z
8959385,672359,8053.96,2026-04-23T22:00:57.138Z,bid-extra-60359150721,2026-04-23T23:55:14.039Z
8959515,672669,8689.56,2026-04-23T22:00:57.138Z,bid-extra-60359150731,2026-04-23T23:55:14.039Z
8959645,672979,4785.16,2026-04-23T22:00:57.138Z,bid-extra-60359150741,2026-04-23T23:55:14.039Z
8959905,673599,6056.360000000001,2026-04-23T22:00:57.139Z,bid-extra-60359150761,2026-04-23T23:55:14.039Z
8960035,673909,6691.96,2026-04-23T22:00:57.139Z,bid-extra-60359150771,2026-04-23T23:55:14.039Z
8960165,674219,7327.56,2026-04-23T22:00:57.139Z,bid-extra-60359150781,2026-04-23T23:55:14.039Z
8960295,674529,7963.16,2026-04-23T22:00:57.139Z,bid-extra-60359150791,2026-04-23T23:55:14.039Z
8960555,675149,9234.36,2026-04-23T22:00:57.139Z,bid-extra-60359150811,2026-04-23T23:55:14.039Z
8960685,675459,9869.960000000001,2026-04-23T22:00:57.139Z,bid-extra-60359150821,2026-04-23T23:55:14.039Z
8960815,675769,10505.56,2026-04-23T22:00:57.139Z,bid-extra-60359150831,2026-04-23T23:55:14.039Z
8960945,676079,11141.16,2026-04-23T22:00:57.139Z,bid-extra-60359150841,2026-04-23T23:55:14.039Z
8961205,676699,7872.360000000001,2026-04-23T22:00:57.140Z,bid-extra-60359150861,2026-04-23T23:55:14.039Z
8961335,677009,8507.960000000001,2026-04-23T22:00:57.140Z,bid-extra-60359150871,2026-04-23T23:55:14.039Z
8961465,677319,9143.56,2026-04-23T22:00:57.140Z,bid-extra-60359150881,2026-04-23T23:55:14.039Z
8961595,677629,9779.16,2026-04-23T22:00:57.140Z,bid-extra-60359150891,2026-04-23T23:55:14.039Z
8961855,678249,11050.36,2026-04-23T22:00:57.140Z,bid-extra-60359150911,2026-04-23T23:55:14.039Z
8961985,678559,2696.76,2026-04-23T22:00:57.140Z,bid-extra-60359150921,2026-04-23T23:55:14.039Z
8962115,678869,3332.36,2026-04-23T22:00:57.140Z,bid-extra-60359150931,2026-04-23T23:55:14.039Z
8962245,679179,3967.96,2026-04-23T22:00:57.140Z,bid-extra-60359150941,2026-04-23T23:55:14.039Z
8962505,679799,5239.16,2026-04-23T22:00:57.141Z,bid-extra-60359150961,2026-04-23T23:55:14.039Z
8962635,680109,5874.76,2026-04-23T22:00:57.141Z,bid-extra-60359150971,2026-04-23T23:55:14.039Z
8962765,680419,1970.3600000000001,2026-04-23T22:00:57.141Z,bid-extra-60359150981,2026-04-23T23:55:14.039Z
8962895,680729,2605.96,2026-04-23T22:00:57.141Z,bid-extra-60359150991,2026-04-23T23:55:14.039Z
8963155,681349,3877.1600000000003,2026-04-23T22:00:57.141Z,bid-extra-60359151011,2026-04-23T23:55:14.039Z
8963285,681659,4512.76,2026-04-23T22:00:57.141Z,bid-extra-60359151021,2026-04-23T23:55:14.039Z
8963415,681969,5148.360000000001,2026-04-23T22:00:57.141Z,bid-extra-60359151031,2026-04-23T23:55:14.039Z
8963545,682279,5783.96,2026-04-23T22:00:57.141Z,bid-extra-60359151041,2026-04-23T23:55:14.039Z
8963805,682899,7055.16,2026-04-23T22:00:57.142Z,bid-extra-60359151061,2026-04-23T23:55:14.039Z
8963935,683209,7690.76,2026-04-23T22:00:57.142Z,bid-extra-60359151071,2026-04-23T23:55:14.039Z
8964065,683519,8326.36,2026-04-23T22:00:57.142Z,bid-extra-60359151081,2026-04-23T23:55:14.039Z
8964195,683829,8961.960000000001,2026-04-23T22:00:57.142Z,bid-extra-60359151091,2026-04-23T23:55:14.039Z
8964455,684449,5693.16,2026-04-23T22:00:57.142Z,bid-extra-60359151111,2026-04-23T23:55:14.039Z
8964585,684759,6328.76,2026-04-23T22:00:57.142Z,bid-extra-60359151121,2026-04-23T23:55:14.039Z
8964715,685069,6964.360000000001,2026-04-23T22:00:57.142Z,bid-extra-60359151131,2026-04-23T23:55:14.039Z
8964845,685379,7599.96,2026-04-23T22:00:57.142Z,bid-extra-60359151141,2026-04-23T23:55:14.039Z
8965105,685999,8871.16,2026-04-23T22:00:57.143Z,bid-extra-60359151161,2026-04-23T23:55:14.039Z
8965235,686309,9506.76,2026-04-23T22:00:57.143Z,bid-extra-60359151171,2026-04-23T23:55:14.039Z
8965365,686619,10142.36,2026-04-23T22:00:57.143Z,bid-extra-60359151181,2026-04-23T23:55:14.039Z
8965495,686929,10777.960000000001,2026-04-23T22:00:57.143Z,bid-extra-60359151191,2026-04-23T23:55:14.039Z
8965755,687549,12049.16,2026-04-23T22:00:57.143Z,bid-extra-60359151211,2026-04-23T23:55:14.039Z
8965885,687859,8144.76,2026-04-23T22:00:57.143Z,bid-extra-60359151221,2026-04-23T23:55:14.039Z
8966015,688169,8780.36,2026-04-23T22:00:57.143Z,bid-extra-60359151231,2026-04-23T23:55:14.039Z
8966145,688479,9415.960000000001,2026-04-23T22:00:57.143Z,bid-extra-60359151241,2026-04-23T23:55:14.039Z
8966405,689099,1697.96,2026-04-23T22:00:57.144Z,bid-extra-60359151261,2026-04-23T23:55:14.039Z
8966535,689409,2333.56,2026-04-23T22:00:57.144Z,bid-extra-60359151271,2026-04-23T23:55:14.039Z
