auction,bidder,price,dateTime,extra,processed_time
7700155,900349,3513.96,2026-04-23T21:58:14.631Z,bid-extra-60342900011,2026-04-23T23:55:14.039Z
7700285,900659,4149.56,2026-04-23T21:58:14.631Z,bid-extra-60342900021,2026-04-23T23:55:14.039Z
7700415,900969,4785.16,2026-04-23T21:58:14.631Z,bid-extra-60342900031,2026-04-23T23:55:14.039Z
7700545,901279,5420.76,2026-04-23T21:58:14.631Z,bid-extra-60342900041,2026-04-23T23:55:14.039Z
7700805,901899,6691.96,2026-04-23T21:58:14.632Z,bid-extra-60342900061,2026-04-23T23:55:14.039Z
7700935,902209,7327.56,2026-04-23T21:58:14.632Z,bid-extra-60342900071,2026-04-23T23:55:14.039Z
7701065,902519,7963.16,2026-04-23T21:58:14.632Z,bid-extra-60342900081,2026-04-23T23:55:14.039Z
7701195,902829,8598.76,2026-04-23T21:58:14.632Z,bid-extra-60342900091,2026-04-23T23:55:14.039Z
7701455,903449,9869.960000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900111,2026-04-23T23:55:14.039Z
7701585,903759,10505.56,2026-04-23T21:58:14.632Z,bid-extra-60342900121,2026-04-23T23:55:14.039Z
7701715,904069,6601.16,2026-04-23T21:58:14.632Z,bid-extra-60342900131,2026-04-23T23:55:14.039Z
7701845,904379,7236.76,2026-04-23T21:58:14.632Z,bid-extra-60342900141,2026-04-23T23:55:14.039Z
7702105,904999,8507.960000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900161,2026-04-23T23:55:14.039Z
7702235,905309,9143.56,2026-04-23T21:58:14.633Z,bid-extra-60342900171,2026-04-23T23:55:14.039Z
7702365,905619,9779.16,2026-04-23T21:58:14.633Z,bid-extra-60342900181,2026-04-23T23:55:14.039Z
7702495,905929,10414.76,2026-04-23T21:58:14.633Z,bid-extra-60342900191,2026-04-23T23:55:14.039Z
7702755,906549,11685.960000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900211,2026-04-23T23:55:14.039Z
7702885,906859,12321.56,2026-04-23T21:58:14.633Z,bid-extra-60342900221,2026-04-23T23:55:14.039Z
7703015,907169,12957.16,2026-04-23T21:58:14.633Z,bid-extra-60342900231,2026-04-23T23:55:14.039Z
7703145,907479,4603.56,2026-04-23T21:58:14.633Z,bid-extra-60342900241,2026-04-23T23:55:14.039Z
7703405,908099,1334.76,2026-04-23T21:58:14.634Z,bid-extra-60342900261,2026-04-23T23:55:14.039Z
7703535,908409,1970.3600000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900271,2026-04-23T23:55:14.039Z
7703665,908719,2605.96,2026-04-23T21:58:14.634Z,bid-extra-60342900281,2026-04-23T23:55:14.039Z
7703795,909029,3241.56,2026-04-23T21:58:14.634Z,bid-extra-60342900291,2026-04-23T23:55:14.039Z
7704055,909649,4512.76,2026-04-23T21:58:14.634Z,bid-extra-60342900311,2026-04-23T23:55:14.039Z
7704185,909959,5148.360000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900321,2026-04-23T23:55:14.039Z
7704315,910269,5783.96,2026-04-23T21:58:14.634Z,bid-extra-60342900331,2026-04-23T23:55:14.039Z
7704445,910579,6419.56,2026-04-23T21:58:14.634Z,bid-extra-60342900341,2026-04-23T23:55:14.039Z
7704705,911199,7690.76,2026-04-23T21:58:14.635Z,bid-extra-60342900361,2026-04-23T23:55:14.039Z
7704835,911509,3786.36,2026-04-23T21:58:14.635Z,bid-extra-60342900371,2026-04-23T23:55:14.039Z
7704965,911819,4421.96,2026-04-23T21:58:14.635Z,bid-extra-60342900381,2026-04-23T23:55:14.039Z
7705095,912129,5057.56,2026-04-23T21:58:14.635Z,bid-extra-60342900391,2026-04-23T23:55:14.039Z
7705355,912749,6328.76,2026-04-23T21:58:14.635Z,bid-extra-60342900411,2026-04-23T23:55:14.039Z
7705485,913059,6964.360000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900421,2026-04-23T23:55:14.039Z
7705615,913369,7599.96,2026-04-23T21:58:14.635Z,bid-extra-60342900431,2026-04-23T23:55:14.039Z
7705745,913679,8235.56,2026-04-23T21:58:14.635Z,bid-extra-60342900441,2026-04-23T23:55:14.039Z
7706005,914299,9506.76,2026-04-23T21:58:14.636Z,bid-extra-60342900461,2026-04-23T23:55:14.039Z
7706135,914609,10142.36,2026-04-23T21:58:14.636Z,bid-extra-60342900471,2026-04-23T23:55:14.039Z
7706265,914919,10777.960000000001,2026-04-23T21:58:14.636Z,bid-extra-60342900481,2026-04-23T23:55:14.039Z
7706395,915229,6873.56,2026-04-23T21:58:14.636Z,bid-extra-60342900491,2026-04-23T23:55:14.039Z
7706655,915849,8144.76,2026-04-23T21:58:14.636Z,bid-extra-60342900511,2026-04-23T23:55:14.039Z
7706785,916159,8780.36,2026-04-23T21:58:14.636Z,bid-extra-60342900521,2026-04-23T23:55:14.039Z
7706915,916469,9415.960000000001,2026-04-23T21:58:14.636Z,bid-extra-60342900531,2026-04-23T23:55:14.039Z
7707045,916779,10051.56,2026-04-23T21:58:14.636Z,bid-extra-60342900541,2026-04-23T23:55:14.039Z
7707305,917399,11322.76,2026-04-23T21:58:14.637Z,bid-extra-60342900561,2026-04-23T23:55:14.039Z
7707435,917709,11958.36,2026-04-23T21:58:14.637Z,bid-extra-60342900571,2026-04-23T23:55:14.039Z
7707565,918019,3604.76,2026-04-23T21:58:14.637Z,bid-extra-60342900581,2026-04-23T23:55:14.039Z
7707695,918329,4240.360000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900591,2026-04-23T23:55:14.039Z
7707955,918949,971.5600000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900611,2026-04-23T23:55:14.039Z
7708085,919259,1607.16,2026-04-23T21:58:14.637Z,bid-extra-60342900621,2026-04-23T23:55:14.039Z
7708215,919569,2242.76,2026-04-23T21:58:14.637Z,bid-extra-60342900631,2026-04-23T23:55:14.039Z
7708345,919879,2878.36,2026-04-23T21:58:14.637Z,bid-extra-60342900641,2026-04-23T23:55:14.039Z
7708605,920499,4149.56,2026-04-23T21:58:14.638Z,bid-extra-60342900661,2026-04-23T23:55:14.039Z
7708735,920809,4785.16,2026-04-23T21:58:14.638Z,bid-extra-60342900671,2026-04-23T23:55:14.039Z
7708865,921119,5420.76,2026-04-23T21:58:14.638Z,bid-extra-60342900681,2026-04-23T23:55:14.039Z
7708995,921429,6056.360000000001,2026-04-23T21:58:14.638Z,bid-extra-60342900691,2026-04-23T23:55:14.039Z
7709255,922049,7327.56,2026-04-23T21:58:14.638Z,bid-extra-60342900711,2026-04-23T23:55:14.039Z
7709385,922359,7963.16,2026-04-23T21:58:14.638Z,bid-extra-60342900721,2026-04-23T23:55:14.039Z
7709515,922669,8598.76,2026-04-23T21:58:14.638Z,bid-extra-60342900731,2026-04-23T23:55:14.039Z
7709645,922979,4694.360000000001,2026-04-23T21:58:14.638Z,bid-extra-60342900741,2026-04-23T23:55:14.039Z
7709905,923599,5965.56,2026-04-23T21:58:14.639Z,bid-extra-60342900761,2026-04-23T23:55:14.039Z
7710035,923909,6601.16,2026-04-23T21:58:14.639Z,bid-extra-60342900771,2026-04-23T23:55:14.039Z
7710165,924219,7236.76,2026-04-23T21:58:14.639Z,bid-extra-60342900781,2026-04-23T23:55:14.039Z
7710295,924529,7872.360000000001,2026-04-23T21:58:14.639Z,bid-extra-60342900791,2026-04-23T23:55:14.039Z
7710555,925149,9143.56,2026-04-23T21:58:14.639Z,bid-extra-60342900811,2026-04-23T23:55:14.039Z
7710685,925459,9779.16,2026-04-23T21:58:14.639Z,bid-extra-60342900821,2026-04-23T23:55:14.039Z
7710815,925769,10414.76,2026-04-23T21:58:14.639Z,bid-extra-60342900831,2026-04-23T23:55:14.039Z
7710945,926079,11050.36,2026-04-23T21:58:14.639Z,bid-extra-60342900841,2026-04-23T23:55:14.039Z
7711205,926699,7781.56,2026-04-23T21:58:14.640Z,bid-extra-60342900861,2026-04-23T23:55:14.039Z
7711335,927009,8417.16,2026-04-23T21:58:14.640Z,bid-extra-60342900871,2026-04-23T23:55:14.039Z
7711465,927319,9052.76,2026-04-23T21:58:14.640Z,bid-extra-60342900881,2026-04-23T23:55:14.039Z
7711595,927629,9688.36,2026-04-23T21:58:14.640Z,bid-extra-60342900891,2026-04-23T23:55:14.039Z
7711855,928249,10959.56,2026-04-23T21:58:14.640Z,bid-extra-60342900911,2026-04-23T23:55:14.039Z
7711985,928559,2605.96,2026-04-23T21:58:14.640Z,bid-extra-60342900921,2026-04-23T23:55:14.039Z
7712115,928869,3241.56,2026-04-23T21:58:14.640Z,bid-extra-60342900931,2026-04-23T23:55:14.039Z
7712245,929179,3877.1600000000003,2026-04-23T21:58:14.640Z,bid-extra-60342900941,2026-04-23T23:55:14.039Z
7712505,929799,5148.360000000001,2026-04-23T21:58:14.641Z,bid-extra-60342900961,2026-04-23T23:55:14.039Z
7712635,930109,5783.96,2026-04-23T21:58:14.641Z,bid-extra-60342900971,2026-04-23T23:55:14.039Z
7712765,930419,1879.5600000000002,2026-04-23T21:58:14.641Z,bid-extra-60342900981,2026-04-23T23:55:14.039Z
7712895,930729,2515.16,2026-04-23T21:58:14.641Z,bid-extra-60342900991,2026-04-23T23:55:14.039Z
7713155,931349,3786.36,2026-04-23T21:58:14.641Z,bid-extra-60342901011,2026-04-23T23:55:14.039Z
7713285,931659,4421.96,2026-04-23T21:58:14.641Z,bid-extra-60342901021,2026-04-23T23:55:14.039Z
7713415,931969,5057.56,2026-04-23T21:58:14.641Z,bid-extra-60342901031,2026-04-23T23:55:14.039Z
7713545,932279,5693.16,2026-04-23T21:58:14.641Z,bid-extra-60342901041,2026-04-23T23:55:14.039Z
7713805,932899,6964.360000000001,2026-04-23T21:58:14.642Z,bid-extra-60342901061,2026-04-23T23:55:14.039Z
7713935,933209,7599.96,2026-04-23T21:58:14.642Z,bid-extra-60342901071,2026-04-23T23:55:14.039Z
7714065,933519,8235.56,2026-04-23T21:58:14.642Z,bid-extra-60342901081,2026-04-23T23:55:14.039Z
7714195,933829,8871.16,2026-04-23T21:58:14.642Z,bid-extra-60342901091,2026-04-23T23:55:14.039Z
7714455,934449,5602.360000000001,2026-04-23T21:58:14.642Z,bid-extra-60342901111,2026-04-23T23:55:14.039Z
7714585,934759,6237.96,2026-04-23T21:58:14.642Z,bid-extra-60342901121,2026-04-23T23:55:14.039Z
7714715,935069,6873.56,2026-04-23T21:58:14.642Z,bid-extra-60342901131,2026-04-23T23:55:14.039Z
7714845,935379,7509.16,2026-04-23T21:58:14.642Z,bid-extra-60342901141,2026-04-23T23:55:14.039Z
7715105,935999,8780.36,2026-04-23T21:58:14.643Z,bid-extra-60342901161,2026-04-23T23:55:14.039Z
7715235,936309,9415.960000000001,2026-04-23T21:58:14.643Z,bid-extra-60342901171,2026-04-23T23:55:14.039Z
7715365,936619,10051.56,2026-04-23T21:58:14.643Z,bid-extra-60342901181,2026-04-23T23:55:14.039Z
7715495,936929,10687.16,2026-04-23T21:58:14.643Z,bid-extra-60342901191,2026-04-23T23:55:14.039Z
7715755,937549,11958.36,2026-04-23T21:58:14.643Z,bid-extra-60342901211,2026-04-23T23:55:14.039Z
7715885,937859,8053.96,2026-04-23T21:58:14.643Z,bid-extra-60342901221,2026-04-23T23:55:14.039Z
7716015,938169,8689.56,2026-04-23T21:58:14.643Z,bid-extra-60342901231,2026-04-23T23:55:14.039Z
7716145,938479,9325.16,2026-04-23T21:58:14.643Z,bid-extra-60342901241,2026-04-23T23:55:14.039Z
7716405,939099,10596.36,2026-04-23T21:58:14.644Z,bid-extra-60342901261,2026-04-23T23:55:14.039Z
7716535,939409,2242.76,2026-04-23T21:58:14.644Z,bid-extra-60342901271,2026-04-23T23:55:14.039Z
7716665,939719,2878.36,2026-04-23T21:58:14.644Z,bid-extra-60342901281,2026-04-23T23:55:14.039Z
7716795,940029,3513.96,2026-04-23T21:58:14.644Z,bid-extra-60342901291,2026-04-23T23:55:14.039Z
7717055,940649,4785.16,2026-04-23T21:58:14.644Z,bid-extra-60342901311,2026-04-23T23:55:14.039Z
7717185,940959,5420.76,2026-04-23T21:58:14.644Z,bid-extra-60342901321,2026-04-23T23:55:14.039Z
7717315,941269,6056.360000000001,2026-04-23T21:58:14.644Z,bid-extra-60342901331,2026-04-23T23:55:14.039Z
7717445,941579,6691.96,2026-04-23T21:58:14.644Z,bid-extra-60342901341,2026-04-23T23:55:14.039Z
7717705,942199,3423.1600000000003,2026-04-23T21:58:14.645Z,bid-extra-60342901361,2026-04-23T23:55:14.039Z
7717835,942509,4058.76,2026-04-23T21:58:14.645Z,bid-extra-60342901371,2026-04-23T23:55:14.039Z
7717965,942819,4694.360000000001,2026-04-23T21:58:14.645Z,bid-extra-60342901381,2026-04-23T23:55:14.039Z
7718095,943129,5329.96,2026-04-23T21:58:14.645Z,bid-extra-60342901391,2026-04-23T23:55:14.039Z
7718355,943749,6601.16,2026-04-23T21:58:14.645Z,bid-extra-60342901411,2026-04-23T23:55:14.039Z
7718485,944059,7236.76,2026-04-23T21:58:14.645Z,bid-extra-60342901421,2026-04-23T23:55:14.039Z
7718615,944369,7872.360000000001,2026-04-23T21:58:14.645Z,bid-extra-60342901431,2026-04-23T23:55:14.039Z
7718745,944679,8507.960000000001,2026-04-23T21:58:14.645Z,bid-extra-60342901441,2026-04-23T23:55:14.039Z
7719005,945299,9779.16,2026-04-23T21:58:14.646Z,bid-extra-60342901461,2026-04-23T23:55:14.039Z
7719135,945609,5874.76,2026-04-23T21:58:14.646Z,bid-extra-60342901471,2026-04-23T23:55:14.039Z
7719265,945919,6510.360000000001,2026-04-23T21:58:14.646Z,bid-extra-60342901481,2026-04-23T23:55:14.039Z
