auction,bidder,price,dateTime,extra,processed_time
6450155,150349,2151.96,2026-04-23T21:58:52.131Z,bid-extra-60346650011,2026-04-23T23:55:14.039Z
6450285,150659,2787.56,2026-04-23T21:58:52.131Z,bid-extra-60346650021,2026-04-23T23:55:14.039Z
6450415,150969,3423.1600000000003,2026-04-23T21:58:52.131Z,bid-extra-60346650031,2026-04-23T23:55:14.039Z
6450545,151279,4058.76,2026-04-23T21:58:52.131Z,bid-extra-60346650041,2026-04-23T23:55:14.039Z
6450805,151899,5329.96,2026-04-23T21:58:52.132Z,bid-extra-60346650061,2026-04-23T23:55:14.039Z
6450935,152209,5965.56,2026-04-23T21:58:52.132Z,bid-extra-60346650071,2026-04-23T23:55:14.039Z
6451065,152519,6601.16,2026-04-23T21:58:52.132Z,bid-extra-60346650081,2026-04-23T23:55:14.039Z
6451195,152829,7236.76,2026-04-23T21:58:52.132Z,bid-extra-60346650091,2026-04-23T23:55:14.039Z
6451455,153449,8507.960000000001,2026-04-23T21:58:52.132Z,bid-extra-60346650111,2026-04-23T23:55:14.039Z
6451585,153759,9143.56,2026-04-23T21:58:52.132Z,bid-extra-60346650121,2026-04-23T23:55:14.039Z
6451715,154069,5239.16,2026-04-23T21:58:52.132Z,bid-extra-60346650131,2026-04-23T23:55:14.039Z
6451845,154379,5874.76,2026-04-23T21:58:52.132Z,bid-extra-60346650141,2026-04-23T23:55:14.039Z
6452105,154999,7145.96,2026-04-23T21:58:52.133Z,bid-extra-60346650161,2026-04-23T23:55:14.039Z
6452235,155309,7781.56,2026-04-23T21:58:52.133Z,bid-extra-60346650171,2026-04-23T23:55:14.039Z
6452365,155619,8417.16,2026-04-23T21:58:52.133Z,bid-extra-60346650181,2026-04-23T23:55:14.039Z
6452495,155929,9052.76,2026-04-23T21:58:52.133Z,bid-extra-60346650191,2026-04-23T23:55:14.039Z
6452755,156549,10323.960000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650211,2026-04-23T23:55:14.039Z
6452885,156859,10959.56,2026-04-23T21:58:52.133Z,bid-extra-60346650221,2026-04-23T23:55:14.039Z
6453015,157169,11595.16,2026-04-23T21:58:52.133Z,bid-extra-60346650231,2026-04-23T23:55:14.039Z
6453145,157479,12230.76,2026-04-23T21:58:52.133Z,bid-extra-60346650241,2026-04-23T23:55:14.039Z
6453405,158099,8961.960000000001,2026-04-23T21:58:52.134Z,bid-extra-60346650261,2026-04-23T23:55:14.039Z
6453535,158409,9597.56,2026-04-23T21:58:52.134Z,bid-extra-60346650271,2026-04-23T23:55:14.039Z
6453665,158719,10233.16,2026-04-23T21:58:52.134Z,bid-extra-60346650281,2026-04-23T23:55:14.039Z
6453795,159029,1879.5600000000002,2026-04-23T21:58:52.134Z,bid-extra-60346650291,2026-04-23T23:55:14.039Z
6454055,159649,3150.76,2026-04-23T21:58:52.134Z,bid-extra-60346650311,2026-04-23T23:55:14.039Z
6454185,159959,3786.36,2026-04-23T21:58:52.134Z,bid-extra-60346650321,2026-04-23T23:55:14.039Z
6454315,160269,4421.96,2026-04-23T21:58:52.134Z,bid-extra-60346650331,2026-04-23T23:55:14.039Z
6454445,160579,5057.56,2026-04-23T21:58:52.134Z,bid-extra-60346650341,2026-04-23T23:55:14.039Z
6454705,161199,6328.76,2026-04-23T21:58:52.135Z,bid-extra-60346650361,2026-04-23T23:55:14.039Z
6454835,161509,2424.36,2026-04-23T21:58:52.135Z,bid-extra-60346650371,2026-04-23T23:55:14.039Z
6454965,161819,3059.96,2026-04-23T21:58:52.135Z,bid-extra-60346650381,2026-04-23T23:55:14.039Z
6455095,162129,3695.56,2026-04-23T21:58:52.135Z,bid-extra-60346650391,2026-04-23T23:55:14.039Z
6455355,162749,4966.76,2026-04-23T21:58:52.135Z,bid-extra-60346650411,2026-04-23T23:55:14.039Z
6455485,163059,5602.360000000001,2026-04-23T21:58:52.135Z,bid-extra-60346650421,2026-04-23T23:55:14.039Z
6455615,163369,6237.96,2026-04-23T21:58:52.135Z,bid-extra-60346650431,2026-04-23T23:55:14.039Z
6455745,163679,6873.56,2026-04-23T21:58:52.135Z,bid-extra-60346650441,2026-04-23T23:55:14.039Z
6456005,164299,8144.76,2026-04-23T21:58:52.136Z,bid-extra-60346650461,2026-04-23T23:55:14.039Z
6456135,164609,8780.36,2026-04-23T21:58:52.136Z,bid-extra-60346650471,2026-04-23T23:55:14.039Z
6456265,164919,9415.960000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650481,2026-04-23T23:55:14.039Z
6456395,165229,5511.56,2026-04-23T21:58:52.136Z,bid-extra-60346650491,2026-04-23T23:55:14.039Z
6456655,165849,6782.76,2026-04-23T21:58:52.136Z,bid-extra-60346650511,2026-04-23T23:55:14.039Z
6456785,166159,7418.360000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650521,2026-04-23T23:55:14.039Z
6456915,166469,8053.96,2026-04-23T21:58:52.136Z,bid-extra-60346650531,2026-04-23T23:55:14.039Z
6457045,166779,8689.56,2026-04-23T21:58:52.136Z,bid-extra-60346650541,2026-04-23T23:55:14.039Z
6457305,167399,9960.76,2026-04-23T21:58:52.137Z,bid-extra-60346650561,2026-04-23T23:55:14.039Z
6457435,167709,10596.36,2026-04-23T21:58:52.137Z,bid-extra-60346650571,2026-04-23T23:55:14.039Z
6457565,168019,11231.960000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650581,2026-04-23T23:55:14.039Z
6457695,168329,11867.56,2026-04-23T21:58:52.137Z,bid-extra-60346650591,2026-04-23T23:55:14.039Z
6457955,168949,8598.76,2026-04-23T21:58:52.137Z,bid-extra-60346650611,2026-04-23T23:55:14.039Z
6458085,169259,9234.36,2026-04-23T21:58:52.137Z,bid-extra-60346650621,2026-04-23T23:55:14.039Z
6458215,169569,9869.960000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650631,2026-04-23T23:55:14.039Z
6458345,169879,1516.3600000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650641,2026-04-23T23:55:14.039Z
6458605,170499,2787.56,2026-04-23T21:58:52.138Z,bid-extra-60346650661,2026-04-23T23:55:14.039Z
6458735,170809,3423.1600000000003,2026-04-23T21:58:52.138Z,bid-extra-60346650671,2026-04-23T23:55:14.039Z
6458865,171119,4058.76,2026-04-23T21:58:52.138Z,bid-extra-60346650681,2026-04-23T23:55:14.039Z
