auction,bidder,price,dateTime,extra,processed_time
3950155,650349,8417.16,2026-04-23T22:00:07.131Z,bid-extra-60354150011,2026-04-23T23:55:14.039Z
3950285,650659,9052.76,2026-04-23T22:00:07.131Z,bid-extra-60354150021,2026-04-23T23:55:14.039Z
3950415,650969,9688.36,2026-04-23T22:00:07.131Z,bid-extra-60354150031,2026-04-23T23:55:14.039Z
3950545,651279,10323.960000000001,2026-04-23T22:00:07.131Z,bid-extra-60354150041,2026-04-23T23:55:14.039Z
3950805,651899,2605.96,2026-04-23T22:00:07.132Z,bid-extra-60354150061,2026-04-23T23:55:14.039Z
3950935,652209,3241.56,2026-04-23T22:00:07.132Z,bid-extra-60354150071,2026-04-23T23:55:14.039Z
3951065,652519,3877.1600000000003,2026-04-23T22:00:07.132Z,bid-extra-60354150081,2026-04-23T23:55:14.039Z
3951195,652829,4512.76,2026-04-23T22:00:07.132Z,bid-extra-60354150091,2026-04-23T23:55:14.039Z
3951455,653449,5783.96,2026-04-23T22:00:07.132Z,bid-extra-60354150111,2026-04-23T23:55:14.039Z
3951585,653759,6419.56,2026-04-23T22:00:07.132Z,bid-extra-60354150121,2026-04-23T23:55:14.039Z
3951715,654069,2515.16,2026-04-23T22:00:07.132Z,bid-extra-60354150131,2026-04-23T23:55:14.039Z
3951845,654379,3150.76,2026-04-23T22:00:07.132Z,bid-extra-60354150141,2026-04-23T23:55:14.039Z
3952105,654999,4421.96,2026-04-23T22:00:07.133Z,bid-extra-60354150161,2026-04-23T23:55:14.039Z
3952235,655309,5057.56,2026-04-23T22:00:07.133Z,bid-extra-60354150171,2026-04-23T23:55:14.039Z
3952365,655619,5693.16,2026-04-23T22:00:07.133Z,bid-extra-60354150181,2026-04-23T23:55:14.039Z
3952495,655929,6328.76,2026-04-23T22:00:07.133Z,bid-extra-60354150191,2026-04-23T23:55:14.039Z
3952755,656549,7599.96,2026-04-23T22:00:07.133Z,bid-extra-60354150211,2026-04-23T23:55:14.039Z
3952885,656859,8235.56,2026-04-23T22:00:07.133Z,bid-extra-60354150221,2026-04-23T23:55:14.039Z
3953015,657169,8871.16,2026-04-23T22:00:07.133Z,bid-extra-60354150231,2026-04-23T23:55:14.039Z
3953145,657479,9506.76,2026-04-23T22:00:07.133Z,bid-extra-60354150241,2026-04-23T23:55:14.039Z
3953405,658099,6237.96,2026-04-23T22:00:07.134Z,bid-extra-60354150261,2026-04-23T23:55:14.039Z
3953535,658409,6873.56,2026-04-23T22:00:07.134Z,bid-extra-60354150271,2026-04-23T23:55:14.039Z
3953665,658719,7509.16,2026-04-23T22:00:07.134Z,bid-extra-60354150281,2026-04-23T23:55:14.039Z
3953795,659029,8144.76,2026-04-23T22:00:07.134Z,bid-extra-60354150291,2026-04-23T23:55:14.039Z
3954055,659649,9415.960000000001,2026-04-23T22:00:07.134Z,bid-extra-60354150311,2026-04-23T23:55:14.039Z
3954185,659959,10051.56,2026-04-23T22:00:07.134Z,bid-extra-60354150321,2026-04-23T23:55:14.039Z
3954315,660269,10687.16,2026-04-23T22:00:07.134Z,bid-extra-60354150331,2026-04-23T23:55:14.039Z
3954445,660579,11322.76,2026-04-23T22:00:07.134Z,bid-extra-60354150341,2026-04-23T23:55:14.039Z
3954705,661199,12593.960000000001,2026-04-23T22:00:07.135Z,bid-extra-60354150361,2026-04-23T23:55:14.039Z
3954835,661509,8689.56,2026-04-23T22:00:07.135Z,bid-extra-60354150371,2026-04-23T23:55:14.039Z
3954965,661819,9325.16,2026-04-23T22:00:07.135Z,bid-extra-60354150381,2026-04-23T23:55:14.039Z
3955095,662129,9960.76,2026-04-23T22:00:07.135Z,bid-extra-60354150391,2026-04-23T23:55:14.039Z
3955355,662749,2242.76,2026-04-23T22:00:07.135Z,bid-extra-60354150411,2026-04-23T23:55:14.039Z
3955485,663059,2878.36,2026-04-23T22:00:07.135Z,bid-extra-60354150421,2026-04-23T23:55:14.039Z
3955615,663369,3513.96,2026-04-23T22:00:07.135Z,bid-extra-60354150431,2026-04-23T23:55:14.039Z
3955745,663679,4149.56,2026-04-23T22:00:07.135Z,bid-extra-60354150441,2026-04-23T23:55:14.039Z
3956005,664299,5420.76,2026-04-23T22:00:07.136Z,bid-extra-60354150461,2026-04-23T23:55:14.039Z
3956135,664609,6056.360000000001,2026-04-23T22:00:07.136Z,bid-extra-60354150471,2026-04-23T23:55:14.039Z
3956265,664919,6691.96,2026-04-23T22:00:07.136Z,bid-extra-60354150481,2026-04-23T23:55:14.039Z
3956395,665229,2787.56,2026-04-23T22:00:07.136Z,bid-extra-60354150491,2026-04-23T23:55:14.039Z
3956655,665849,4058.76,2026-04-23T22:00:07.136Z,bid-extra-60354150511,2026-04-23T23:55:14.039Z
3956785,666159,4694.360000000001,2026-04-23T22:00:07.136Z,bid-extra-60354150521,2026-04-23T23:55:14.039Z
3956915,666469,5329.96,2026-04-23T22:00:07.136Z,bid-extra-60354150531,2026-04-23T23:55:14.039Z
3957045,666779,5965.56,2026-04-23T22:00:07.136Z,bid-extra-60354150541,2026-04-23T23:55:14.039Z
