auction,bidder,price,dateTime,extra,processed_time
2700155,900349,6419.56,2026-04-23T22:02:24.631Z,bid-extra-60367900011,2026-04-23T23:55:14.039Z
2700285,900659,7055.16,2026-04-23T22:02:24.631Z,bid-extra-60367900021,2026-04-23T23:55:14.039Z
2700415,900969,7690.76,2026-04-23T22:02:24.631Z,bid-extra-60367900031,2026-04-23T23:55:14.039Z
2700545,901279,8326.36,2026-04-23T22:02:24.631Z,bid-extra-60367900041,2026-04-23T23:55:14.039Z
2700805,901899,9597.56,2026-04-23T22:02:24.632Z,bid-extra-60367900061,2026-04-23T23:55:14.039Z
2700935,902209,10233.16,2026-04-23T22:02:24.632Z,bid-extra-60367900071,2026-04-23T23:55:14.039Z
2701065,902519,10868.76,2026-04-23T22:02:24.632Z,bid-extra-60367900081,2026-04-23T23:55:14.039Z
2701195,902829,11504.36,2026-04-23T22:02:24.632Z,bid-extra-60367900091,2026-04-23T23:55:14.039Z
2701455,903449,12775.560000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900111,2026-04-23T23:55:14.039Z
2701585,903759,13411.16,2026-04-23T22:02:24.632Z,bid-extra-60367900121,2026-04-23T23:55:14.039Z
2701715,904069,517.5600000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900131,2026-04-23T23:55:14.039Z
2701845,904379,1153.16,2026-04-23T22:02:24.632Z,bid-extra-60367900141,2026-04-23T23:55:14.039Z
2702105,904999,2424.36,2026-04-23T22:02:24.633Z,bid-extra-60367900161,2026-04-23T23:55:14.039Z
2702235,905309,3059.96,2026-04-23T22:02:24.633Z,bid-extra-60367900171,2026-04-23T23:55:14.039Z
2702365,905619,3695.56,2026-04-23T22:02:24.633Z,bid-extra-60367900181,2026-04-23T23:55:14.039Z
2702495,905929,4331.16,2026-04-23T22:02:24.633Z,bid-extra-60367900191,2026-04-23T23:55:14.039Z
2702755,906549,5602.360000000001,2026-04-23T22:02:24.633Z,bid-extra-60367900211,2026-04-23T23:55:14.039Z
2702885,906859,6237.96,2026-04-23T22:02:24.633Z,bid-extra-60367900221,2026-04-23T23:55:14.039Z
2703015,907169,6873.56,2026-04-23T22:02:24.633Z,bid-extra-60367900231,2026-04-23T23:55:14.039Z
2703145,907479,7509.16,2026-04-23T22:02:24.633Z,bid-extra-60367900241,2026-04-23T23:55:14.039Z
2703405,908099,4240.360000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900261,2026-04-23T23:55:14.039Z
2703535,908409,4875.96,2026-04-23T22:02:24.634Z,bid-extra-60367900271,2026-04-23T23:55:14.039Z
2703665,908719,5511.56,2026-04-23T22:02:24.634Z,bid-extra-60367900281,2026-04-23T23:55:14.039Z
2703795,909029,6147.16,2026-04-23T22:02:24.634Z,bid-extra-60367900291,2026-04-23T23:55:14.039Z
2704055,909649,7418.360000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900311,2026-04-23T23:55:14.039Z
2704185,909959,8053.96,2026-04-23T22:02:24.634Z,bid-extra-60367900321,2026-04-23T23:55:14.039Z
2704315,910269,8689.56,2026-04-23T22:02:24.634Z,bid-extra-60367900331,2026-04-23T23:55:14.039Z
2704445,910579,9325.16,2026-04-23T22:02:24.634Z,bid-extra-60367900341,2026-04-23T23:55:14.039Z
2704705,911199,10596.36,2026-04-23T22:02:24.635Z,bid-extra-60367900361,2026-04-23T23:55:14.039Z
2704835,911509,6691.96,2026-04-23T22:02:24.635Z,bid-extra-60367900371,2026-04-23T23:55:14.039Z
2704965,911819,7327.56,2026-04-23T22:02:24.635Z,bid-extra-60367900381,2026-04-23T23:55:14.039Z
2705095,912129,7963.16,2026-04-23T22:02:24.635Z,bid-extra-60367900391,2026-04-23T23:55:14.039Z
2705355,912749,9234.36,2026-04-23T22:02:24.635Z,bid-extra-60367900411,2026-04-23T23:55:14.039Z
2705485,913059,9869.960000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900421,2026-04-23T23:55:14.039Z
2705615,913369,10505.56,2026-04-23T22:02:24.635Z,bid-extra-60367900431,2026-04-23T23:55:14.039Z
2705745,913679,11141.16,2026-04-23T22:02:24.635Z,bid-extra-60367900441,2026-04-23T23:55:14.039Z
2706005,914299,12412.36,2026-04-23T22:02:24.636Z,bid-extra-60367900461,2026-04-23T23:55:14.039Z
2706135,914609,4058.76,2026-04-23T22:02:24.636Z,bid-extra-60367900471,2026-04-23T23:55:14.039Z
2706265,914919,4694.360000000001,2026-04-23T22:02:24.636Z,bid-extra-60367900481,2026-04-23T23:55:14.039Z
2706395,915229,789.96,2026-04-23T22:02:24.636Z,bid-extra-60367900491,2026-04-23T23:55:14.039Z
2706655,915849,2061.16,2026-04-23T22:02:24.636Z,bid-extra-60367900511,2026-04-23T23:55:14.039Z
2706785,916159,2696.76,2026-04-23T22:02:24.636Z,bid-extra-60367900521,2026-04-23T23:55:14.039Z
2706915,916469,3332.36,2026-04-23T22:02:24.636Z,bid-extra-60367900531,2026-04-23T23:55:14.039Z
2707045,916779,3967.96,2026-04-23T22:02:24.636Z,bid-extra-60367900541,2026-04-23T23:55:14.039Z
2707305,917399,5239.16,2026-04-23T22:02:24.637Z,bid-extra-60367900561,2026-04-23T23:55:14.039Z
2707435,917709,5874.76,2026-04-23T22:02:24.637Z,bid-extra-60367900571,2026-04-23T23:55:14.039Z
2707565,918019,6510.360000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900581,2026-04-23T23:55:14.039Z
2707695,918329,7145.96,2026-04-23T22:02:24.637Z,bid-extra-60367900591,2026-04-23T23:55:14.039Z
2707955,918949,3877.1600000000003,2026-04-23T22:02:24.637Z,bid-extra-60367900611,2026-04-23T23:55:14.039Z
2708085,919259,4512.76,2026-04-23T22:02:24.637Z,bid-extra-60367900621,2026-04-23T23:55:14.039Z
2708215,919569,5148.360000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900631,2026-04-23T23:55:14.039Z
2708345,919879,5783.96,2026-04-23T22:02:24.637Z,bid-extra-60367900641,2026-04-23T23:55:14.039Z
2708605,920499,7055.16,2026-04-23T22:02:24.638Z,bid-extra-60367900661,2026-04-23T23:55:14.039Z
2708735,920809,7690.76,2026-04-23T22:02:24.638Z,bid-extra-60367900671,2026-04-23T23:55:14.039Z
2708865,921119,8326.36,2026-04-23T22:02:24.638Z,bid-extra-60367900681,2026-04-23T23:55:14.039Z
2708995,921429,8961.960000000001,2026-04-23T22:02:24.638Z,bid-extra-60367900691,2026-04-23T23:55:14.039Z
2709255,922049,10233.16,2026-04-23T22:02:24.638Z,bid-extra-60367900711,2026-04-23T23:55:14.039Z
2709385,922359,10868.76,2026-04-23T22:02:24.638Z,bid-extra-60367900721,2026-04-23T23:55:14.039Z
2709515,922669,11504.36,2026-04-23T22:02:24.638Z,bid-extra-60367900731,2026-04-23T23:55:14.039Z
2709645,922979,7599.96,2026-04-23T22:02:24.638Z,bid-extra-60367900741,2026-04-23T23:55:14.039Z
2709905,923599,8871.16,2026-04-23T22:02:24.639Z,bid-extra-60367900761,2026-04-23T23:55:14.039Z
2710035,923909,9506.76,2026-04-23T22:02:24.639Z,bid-extra-60367900771,2026-04-23T23:55:14.039Z
