auction,bidder,price,dateTime,extra,processed_time
200155,400349,4331.16,2026-04-23T22:01:59.631Z,bid-extra-60365400011,2026-04-23T23:55:14.039Z
200285,400659,4966.76,2026-04-23T22:01:59.631Z,bid-extra-60365400021,2026-04-23T23:55:14.039Z
200415,400969,5602.360000000001,2026-04-23T22:01:59.631Z,bid-extra-60365400031,2026-04-23T23:55:14.039Z
200545,401279,6237.96,2026-04-23T22:01:59.631Z,bid-extra-60365400041,2026-04-23T23:55:14.039Z
200805,401899,7509.16,2026-04-23T22:01:59.632Z,bid-extra-60365400061,2026-04-23T23:55:14.039Z
200935,402209,8144.76,2026-04-23T22:01:59.632Z,bid-extra-60365400071,2026-04-23T23:55:14.039Z
201065,402519,8780.36,2026-04-23T22:01:59.632Z,bid-extra-60365400081,2026-04-23T23:55:14.039Z
201195,402829,9415.960000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400091,2026-04-23T23:55:14.039Z
201455,403449,10687.16,2026-04-23T22:01:59.632Z,bid-extra-60365400111,2026-04-23T23:55:14.039Z
201585,403759,11322.76,2026-04-23T22:01:59.632Z,bid-extra-60365400121,2026-04-23T23:55:14.039Z
201715,404069,7418.360000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400131,2026-04-23T23:55:14.039Z
201845,404379,8053.96,2026-04-23T22:01:59.632Z,bid-extra-60365400141,2026-04-23T23:55:14.039Z
202105,404999,9325.16,2026-04-23T22:01:59.633Z,bid-extra-60365400161,2026-04-23T23:55:14.039Z
202235,405309,9960.76,2026-04-23T22:01:59.633Z,bid-extra-60365400171,2026-04-23T23:55:14.039Z
202365,405619,10596.36,2026-04-23T22:01:59.633Z,bid-extra-60365400181,2026-04-23T23:55:14.039Z
202495,405929,11231.960000000001,2026-04-23T22:01:59.633Z,bid-extra-60365400191,2026-04-23T23:55:14.039Z
202755,406549,3513.96,2026-04-23T22:01:59.633Z,bid-extra-60365400211,2026-04-23T23:55:14.039Z
202885,406859,4149.56,2026-04-23T22:01:59.633Z,bid-extra-60365400221,2026-04-23T23:55:14.039Z
203015,407169,4785.16,2026-04-23T22:01:59.633Z,bid-extra-60365400231,2026-04-23T23:55:14.039Z
203145,407479,5420.76,2026-04-23T22:01:59.633Z,bid-extra-60365400241,2026-04-23T23:55:14.039Z
203405,408099,2151.96,2026-04-23T22:01:59.634Z,bid-extra-60365400261,2026-04-23T23:55:14.039Z
203535,408409,2787.56,2026-04-23T22:01:59.634Z,bid-extra-60365400271,2026-04-23T23:55:14.039Z
203665,408719,3423.1600000000003,2026-04-23T22:01:59.634Z,bid-extra-60365400281,2026-04-23T23:55:14.039Z
203795,409029,4058.76,2026-04-23T22:01:59.634Z,bid-extra-60365400291,2026-04-23T23:55:14.039Z
204055,409649,5329.96,2026-04-23T22:01:59.634Z,bid-extra-60365400311,2026-04-23T23:55:14.039Z
204185,409959,5965.56,2026-04-23T22:01:59.634Z,bid-extra-60365400321,2026-04-23T23:55:14.039Z
204315,410269,6601.16,2026-04-23T22:01:59.634Z,bid-extra-60365400331,2026-04-23T23:55:14.039Z
204445,410579,7236.76,2026-04-23T22:01:59.634Z,bid-extra-60365400341,2026-04-23T23:55:14.039Z
204705,411199,8507.960000000001,2026-04-23T22:01:59.635Z,bid-extra-60365400361,2026-04-23T23:55:14.039Z
204835,411509,4603.56,2026-04-23T22:01:59.635Z,bid-extra-60365400371,2026-04-23T23:55:14.039Z
204965,411819,5239.16,2026-04-23T22:01:59.635Z,bid-extra-60365400381,2026-04-23T23:55:14.039Z
205095,412129,5874.76,2026-04-23T22:01:59.635Z,bid-extra-60365400391,2026-04-23T23:55:14.039Z
205355,412749,7145.96,2026-04-23T22:01:59.635Z,bid-extra-60365400411,2026-04-23T23:55:14.039Z
205485,413059,7781.56,2026-04-23T22:01:59.635Z,bid-extra-60365400421,2026-04-23T23:55:14.039Z
205615,413369,8417.16,2026-04-23T22:01:59.635Z,bid-extra-60365400431,2026-04-23T23:55:14.039Z
205745,413679,9052.76,2026-04-23T22:01:59.635Z,bid-extra-60365400441,2026-04-23T23:55:14.039Z
206005,414299,10323.960000000001,2026-04-23T22:01:59.636Z,bid-extra-60365400461,2026-04-23T23:55:14.039Z
206135,414609,10959.56,2026-04-23T22:01:59.636Z,bid-extra-60365400471,2026-04-23T23:55:14.039Z
206265,414919,11595.16,2026-04-23T22:01:59.636Z,bid-extra-60365400481,2026-04-23T23:55:14.039Z
206395,415229,7690.76,2026-04-23T22:01:59.636Z,bid-extra-60365400491,2026-04-23T23:55:14.039Z
206655,415849,8961.960000000001,2026-04-23T22:01:59.636Z,bid-extra-60365400511,2026-04-23T23:55:14.039Z
206785,416159,9597.56,2026-04-23T22:01:59.636Z,bid-extra-60365400521,2026-04-23T23:55:14.039Z
206915,416469,10233.16,2026-04-23T22:01:59.636Z,bid-extra-60365400531,2026-04-23T23:55:14.039Z
207045,416779,10868.76,2026-04-23T22:01:59.636Z,bid-extra-60365400541,2026-04-23T23:55:14.039Z
207305,417399,3150.76,2026-04-23T22:01:59.637Z,bid-extra-60365400561,2026-04-23T23:55:14.039Z
207435,417709,3786.36,2026-04-23T22:01:59.637Z,bid-extra-60365400571,2026-04-23T23:55:14.039Z
207565,418019,4421.96,2026-04-23T22:01:59.637Z,bid-extra-60365400581,2026-04-23T23:55:14.039Z
207695,418329,5057.56,2026-04-23T22:01:59.637Z,bid-extra-60365400591,2026-04-23T23:55:14.039Z
207955,418949,1788.76,2026-04-23T22:01:59.637Z,bid-extra-60365400611,2026-04-23T23:55:14.039Z
208085,419259,2424.36,2026-04-23T22:01:59.637Z,bid-extra-60365400621,2026-04-23T23:55:14.039Z
208215,419569,3059.96,2026-04-23T22:01:59.637Z,bid-extra-60365400631,2026-04-23T23:55:14.039Z
208345,419879,3695.56,2026-04-23T22:01:59.637Z,bid-extra-60365400641,2026-04-23T23:55:14.039Z
208605,420499,4966.76,2026-04-23T22:01:59.638Z,bid-extra-60365400661,2026-04-23T23:55:14.039Z
208735,420809,5602.360000000001,2026-04-23T22:01:59.638Z,bid-extra-60365400671,2026-04-23T23:55:14.039Z
208865,421119,6237.96,2026-04-23T22:01:59.638Z,bid-extra-60365400681,2026-04-23T23:55:14.039Z
