auction,bidder,price,dateTime,extra,processed_time
3950155,650349,9052.76,2026-04-23T21:58:27.131Z,bid-extra-60344150011,2026-04-23T23:55:14.039Z
3950285,650659,9688.36,2026-04-23T21:58:27.131Z,bid-extra-60344150021,2026-04-23T23:55:14.039Z
3950415,650969,1334.76,2026-04-23T21:58:27.131Z,bid-extra-60344150031,2026-04-23T23:55:14.039Z
3950545,651279,1970.3600000000001,2026-04-23T21:58:27.131Z,bid-extra-60344150041,2026-04-23T23:55:14.039Z
3950805,651899,3241.56,2026-04-23T21:58:27.132Z,bid-extra-60344150061,2026-04-23T23:55:14.039Z
3950935,652209,3877.1600000000003,2026-04-23T21:58:27.132Z,bid-extra-60344150071,2026-04-23T23:55:14.039Z
3951065,652519,4512.76,2026-04-23T21:58:27.132Z,bid-extra-60344150081,2026-04-23T23:55:14.039Z
3951195,652829,5148.360000000001,2026-04-23T21:58:27.132Z,bid-extra-60344150091,2026-04-23T23:55:14.039Z
3951455,653449,6419.56,2026-04-23T21:58:27.132Z,bid-extra-60344150111,2026-04-23T23:55:14.039Z
3951585,653759,7055.16,2026-04-23T21:58:27.132Z,bid-extra-60344150121,2026-04-23T23:55:14.039Z
3951715,654069,3150.76,2026-04-23T21:58:27.132Z,bid-extra-60344150131,2026-04-23T23:55:14.039Z
3951845,654379,3786.36,2026-04-23T21:58:27.132Z,bid-extra-60344150141,2026-04-23T23:55:14.039Z
3952105,654999,5057.56,2026-04-23T21:58:27.133Z,bid-extra-60344150161,2026-04-23T23:55:14.039Z
3952235,655309,5693.16,2026-04-23T21:58:27.133Z,bid-extra-60344150171,2026-04-23T23:55:14.039Z
3952365,655619,6328.76,2026-04-23T21:58:27.133Z,bid-extra-60344150181,2026-04-23T23:55:14.039Z
3952495,655929,6964.360000000001,2026-04-23T21:58:27.133Z,bid-extra-60344150191,2026-04-23T23:55:14.039Z
3952755,656549,8235.56,2026-04-23T21:58:27.133Z,bid-extra-60344150211,2026-04-23T23:55:14.039Z
3952885,656859,8871.16,2026-04-23T21:58:27.133Z,bid-extra-60344150221,2026-04-23T23:55:14.039Z
3953015,657169,9506.76,2026-04-23T21:58:27.133Z,bid-extra-60344150231,2026-04-23T23:55:14.039Z
3953145,657479,10142.36,2026-04-23T21:58:27.133Z,bid-extra-60344150241,2026-04-23T23:55:14.039Z
3953405,658099,6873.56,2026-04-23T21:58:27.134Z,bid-extra-60344150261,2026-04-23T23:55:14.039Z
3953535,658409,7509.16,2026-04-23T21:58:27.134Z,bid-extra-60344150271,2026-04-23T23:55:14.039Z
3953665,658719,8144.76,2026-04-23T21:58:27.134Z,bid-extra-60344150281,2026-04-23T23:55:14.039Z
3953795,659029,8780.36,2026-04-23T21:58:27.134Z,bid-extra-60344150291,2026-04-23T23:55:14.039Z
3954055,659649,10051.56,2026-04-23T21:58:27.134Z,bid-extra-60344150311,2026-04-23T23:55:14.039Z
3954185,659959,10687.16,2026-04-23T21:58:27.134Z,bid-extra-60344150321,2026-04-23T23:55:14.039Z
3954315,660269,11322.76,2026-04-23T21:58:27.134Z,bid-extra-60344150331,2026-04-23T23:55:14.039Z
3954445,660579,11958.36,2026-04-23T21:58:27.134Z,bid-extra-60344150341,2026-04-23T23:55:14.039Z
3954705,661199,13229.560000000001,2026-04-23T21:58:27.135Z,bid-extra-60344150361,2026-04-23T23:55:14.039Z
3954835,661509,335.96000000000004,2026-04-23T21:58:27.135Z,bid-extra-60344150371,2026-04-23T23:55:14.039Z
3954965,661819,971.5600000000001,2026-04-23T21:58:27.135Z,bid-extra-60344150381,2026-04-23T23:55:14.039Z
3955095,662129,1607.16,2026-04-23T21:58:27.135Z,bid-extra-60344150391,2026-04-23T23:55:14.039Z
3955355,662749,2878.36,2026-04-23T21:58:27.135Z,bid-extra-60344150411,2026-04-23T23:55:14.039Z
3955485,663059,3513.96,2026-04-23T21:58:27.135Z,bid-extra-60344150421,2026-04-23T23:55:14.039Z
3955615,663369,4149.56,2026-04-23T21:58:27.135Z,bid-extra-60344150431,2026-04-23T23:55:14.039Z
3955745,663679,4785.16,2026-04-23T21:58:27.135Z,bid-extra-60344150441,2026-04-23T23:55:14.039Z
3956005,664299,6056.360000000001,2026-04-23T21:58:27.136Z,bid-extra-60344150461,2026-04-23T23:55:14.039Z
3956135,664609,6691.96,2026-04-23T21:58:27.136Z,bid-extra-60344150471,2026-04-23T23:55:14.039Z
3956265,664919,7327.56,2026-04-23T21:58:27.136Z,bid-extra-60344150481,2026-04-23T23:55:14.039Z
3956395,665229,3423.1600000000003,2026-04-23T21:58:27.136Z,bid-extra-60344150491,2026-04-23T23:55:14.039Z
3956655,665849,4694.360000000001,2026-04-23T21:58:27.136Z,bid-extra-60344150511,2026-04-23T23:55:14.039Z
3956785,666159,5329.96,2026-04-23T21:58:27.136Z,bid-extra-60344150521,2026-04-23T23:55:14.039Z
3956915,666469,5965.56,2026-04-23T21:58:27.136Z,bid-extra-60344150531,2026-04-23T23:55:14.039Z
3957045,666779,6601.16,2026-04-23T21:58:27.136Z,bid-extra-60344150541,2026-04-23T23:55:14.039Z
3957305,667399,7872.360000000001,2026-04-23T21:58:27.137Z,bid-extra-60344150561,2026-04-23T23:55:14.039Z
3957435,667709,8507.960000000001,2026-04-23T21:58:27.137Z,bid-extra-60344150571,2026-04-23T23:55:14.039Z
3957565,668019,9143.56,2026-04-23T21:58:27.137Z,bid-extra-60344150581,2026-04-23T23:55:14.039Z
3957695,668329,9779.16,2026-04-23T21:58:27.137Z,bid-extra-60344150591,2026-04-23T23:55:14.039Z
3957955,668949,6510.360000000001,2026-04-23T21:58:27.137Z,bid-extra-60344150611,2026-04-23T23:55:14.039Z
3958085,669259,7145.96,2026-04-23T21:58:27.137Z,bid-extra-60344150621,2026-04-23T23:55:14.039Z
3958215,669569,7781.56,2026-04-23T21:58:27.137Z,bid-extra-60344150631,2026-04-23T23:55:14.039Z
3958345,669879,8417.16,2026-04-23T21:58:27.137Z,bid-extra-60344150641,2026-04-23T23:55:14.039Z
3958605,670499,9688.36,2026-04-23T21:58:27.138Z,bid-extra-60344150661,2026-04-23T23:55:14.039Z
3958735,670809,10323.960000000001,2026-04-23T21:58:27.138Z,bid-extra-60344150671,2026-04-23T23:55:14.039Z
3958865,671119,10959.56,2026-04-23T21:58:27.138Z,bid-extra-60344150681,2026-04-23T23:55:14.039Z
3958995,671429,11595.16,2026-04-23T21:58:27.138Z,bid-extra-60344150691,2026-04-23T23:55:14.039Z
3959255,672049,3877.1600000000003,2026-04-23T21:58:27.138Z,bid-extra-60344150711,2026-04-23T23:55:14.039Z
3959385,672359,4512.76,2026-04-23T21:58:27.138Z,bid-extra-60344150721,2026-04-23T23:55:14.039Z
3959515,672669,5148.360000000001,2026-04-23T21:58:27.138Z,bid-extra-60344150731,2026-04-23T23:55:14.039Z
3959645,672979,1243.96,2026-04-23T21:58:27.138Z,bid-extra-60344150741,2026-04-23T23:55:14.039Z
3959905,673599,2515.16,2026-04-23T21:58:27.139Z,bid-extra-60344150761,2026-04-23T23:55:14.039Z
3960035,673909,3150.76,2026-04-23T21:58:27.139Z,bid-extra-60344150771,2026-04-23T23:55:14.039Z
3960165,674219,3786.36,2026-04-23T21:58:27.139Z,bid-extra-60344150781,2026-04-23T23:55:14.039Z
3960295,674529,4421.96,2026-04-23T21:58:27.139Z,bid-extra-60344150791,2026-04-23T23:55:14.039Z
3960555,675149,5693.16,2026-04-23T21:58:27.139Z,bid-extra-60344150811,2026-04-23T23:55:14.039Z
3960685,675459,6328.76,2026-04-23T21:58:27.139Z,bid-extra-60344150821,2026-04-23T23:55:14.039Z
3960815,675769,6964.360000000001,2026-04-23T21:58:27.139Z,bid-extra-60344150831,2026-04-23T23:55:14.039Z
3960945,676079,7599.96,2026-04-23T21:58:27.139Z,bid-extra-60344150841,2026-04-23T23:55:14.039Z
3961205,676699,4331.16,2026-04-23T21:58:27.140Z,bid-extra-60344150861,2026-04-23T23:55:14.039Z
3961335,677009,4966.76,2026-04-23T21:58:27.140Z,bid-extra-60344150871,2026-04-23T23:55:14.039Z
3961465,677319,5602.360000000001,2026-04-23T21:58:27.140Z,bid-extra-60344150881,2026-04-23T23:55:14.039Z
3961595,677629,6237.96,2026-04-23T21:58:27.140Z,bid-extra-60344150891,2026-04-23T23:55:14.039Z
3961855,678249,7509.16,2026-04-23T21:58:27.140Z,bid-extra-60344150911,2026-04-23T23:55:14.039Z
3961985,678559,8144.76,2026-04-23T21:58:27.140Z,bid-extra-60344150921,2026-04-23T23:55:14.039Z
3962115,678869,8780.36,2026-04-23T21:58:27.140Z,bid-extra-60344150931,2026-04-23T23:55:14.039Z
3962245,679179,9415.960000000001,2026-04-23T21:58:27.140Z,bid-extra-60344150941,2026-04-23T23:55:14.039Z
3962505,679799,10687.16,2026-04-23T21:58:27.141Z,bid-extra-60344150961,2026-04-23T23:55:14.039Z
3962635,680109,11322.76,2026-04-23T21:58:27.141Z,bid-extra-60344150971,2026-04-23T23:55:14.039Z
3962765,680419,7418.360000000001,2026-04-23T21:58:27.141Z,bid-extra-60344150981,2026-04-23T23:55:14.039Z
3962895,680729,8053.96,2026-04-23T21:58:27.141Z,bid-extra-60344150991,2026-04-23T23:55:14.039Z
3963155,681349,9325.16,2026-04-23T21:58:27.141Z,bid-extra-60344151011,2026-04-23T23:55:14.039Z
3963285,681659,9960.76,2026-04-23T21:58:27.141Z,bid-extra-60344151021,2026-04-23T23:55:14.039Z
3963415,681969,10596.36,2026-04-23T21:58:27.141Z,bid-extra-60344151031,2026-04-23T23:55:14.039Z
3963545,682279,11231.960000000001,2026-04-23T21:58:27.141Z,bid-extra-60344151041,2026-04-23T23:55:14.039Z
3963805,682899,3513.96,2026-04-23T21:58:27.142Z,bid-extra-60344151061,2026-04-23T23:55:14.039Z
3963935,683209,4149.56,2026-04-23T21:58:27.142Z,bid-extra-60344151071,2026-04-23T23:55:14.039Z
3964065,683519,4785.16,2026-04-23T21:58:27.142Z,bid-extra-60344151081,2026-04-23T23:55:14.039Z
3964195,683829,5420.76,2026-04-23T21:58:27.142Z,bid-extra-60344151091,2026-04-23T23:55:14.039Z
3964455,684449,2151.96,2026-04-23T21:58:27.142Z,bid-extra-60344151111,2026-04-23T23:55:14.039Z
3964585,684759,2787.56,2026-04-23T21:58:27.142Z,bid-extra-60344151121,2026-04-23T23:55:14.039Z
3964715,685069,3423.1600000000003,2026-04-23T21:58:27.142Z,bid-extra-60344151131,2026-04-23T23:55:14.039Z
3964845,685379,4058.76,2026-04-23T21:58:27.142Z,bid-extra-60344151141,2026-04-23T23:55:14.039Z
3965105,685999,5329.96,2026-04-23T21:58:27.143Z,bid-extra-60344151161,2026-04-23T23:55:14.039Z
3965235,686309,5965.56,2026-04-23T21:58:27.143Z,bid-extra-60344151171,2026-04-23T23:55:14.039Z
3965365,686619,6601.16,2026-04-23T21:58:27.143Z,bid-extra-60344151181,2026-04-23T23:55:14.039Z
3965495,686929,7236.76,2026-04-23T21:58:27.143Z,bid-extra-60344151191,2026-04-23T23:55:14.039Z
3965755,687549,8507.960000000001,2026-04-23T21:58:27.143Z,bid-extra-60344151211,2026-04-23T23:55:14.039Z
3965885,687859,4603.56,2026-04-23T21:58:27.143Z,bid-extra-60344151221,2026-04-23T23:55:14.039Z
3966015,688169,5239.16,2026-04-23T21:58:27.143Z,bid-extra-60344151231,2026-04-23T23:55:14.039Z
3966145,688479,5874.76,2026-04-23T21:58:27.143Z,bid-extra-60344151241,2026-04-23T23:55:14.039Z
3966405,689099,7145.96,2026-04-23T21:58:27.144Z,bid-extra-60344151261,2026-04-23T23:55:14.039Z
3966535,689409,7781.56,2026-04-23T21:58:27.144Z,bid-extra-60344151271,2026-04-23T23:55:14.039Z
3966665,689719,8417.16,2026-04-23T21:58:27.144Z,bid-extra-60344151281,2026-04-23T23:55:14.039Z
3966795,690029,9052.76,2026-04-23T21:58:27.144Z,bid-extra-60344151291,2026-04-23T23:55:14.039Z
3967055,690649,10323.960000000001,2026-04-23T21:58:27.144Z,bid-extra-60344151311,2026-04-23T23:55:14.039Z
3967185,690959,10959.56,2026-04-23T21:58:27.144Z,bid-extra-60344151321,2026-04-23T23:55:14.039Z
3967315,691269,11595.16,2026-04-23T21:58:27.144Z,bid-extra-60344151331,2026-04-23T23:55:14.039Z
3967445,691579,12230.76,2026-04-23T21:58:27.144Z,bid-extra-60344151341,2026-04-23T23:55:14.039Z
3967705,692199,8961.960000000001,2026-04-23T21:58:27.145Z,bid-extra-60344151361,2026-04-23T23:55:14.039Z
3967835,692509,9597.56,2026-04-23T21:58:27.145Z,bid-extra-60344151371,2026-04-23T23:55:14.039Z
3967965,692819,10233.16,2026-04-23T21:58:27.145Z,bid-extra-60344151381,2026-04-23T23:55:14.039Z
3968095,693129,10868.76,2026-04-23T21:58:27.145Z,bid-extra-60344151391,2026-04-23T23:55:14.039Z
3968355,693749,3150.76,2026-04-23T21:58:27.145Z,bid-extra-60344151411,2026-04-23T23:55:14.039Z
3968485,694059,3786.36,2026-04-23T21:58:27.145Z,bid-extra-60344151421,2026-04-23T23:55:14.039Z
