auction,bidder,price,dateTime,extra,processed_time
8950155,650349,4240.360000000001,2026-04-23T21:59:17.131Z,bid-extra-60349150011,2026-04-23T23:55:14.039Z
8950285,650659,4875.96,2026-04-23T21:59:17.131Z,bid-extra-60349150021,2026-04-23T23:55:14.039Z
8950415,650969,5511.56,2026-04-23T21:59:17.131Z,bid-extra-60349150031,2026-04-23T23:55:14.039Z
8950545,651279,6147.16,2026-04-23T21:59:17.131Z,bid-extra-60349150041,2026-04-23T23:55:14.039Z
8950805,651899,7418.360000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150061,2026-04-23T23:55:14.039Z
8950935,652209,8053.96,2026-04-23T21:59:17.132Z,bid-extra-60349150071,2026-04-23T23:55:14.039Z
8951065,652519,8689.56,2026-04-23T21:59:17.132Z,bid-extra-60349150081,2026-04-23T23:55:14.039Z
8951195,652829,9325.16,2026-04-23T21:59:17.132Z,bid-extra-60349150091,2026-04-23T23:55:14.039Z
8951455,653449,10596.36,2026-04-23T21:59:17.132Z,bid-extra-60349150111,2026-04-23T23:55:14.039Z
8951585,653759,11231.960000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150121,2026-04-23T23:55:14.039Z
8951715,654069,7327.56,2026-04-23T21:59:17.132Z,bid-extra-60349150131,2026-04-23T23:55:14.039Z
8951845,654379,7963.16,2026-04-23T21:59:17.132Z,bid-extra-60349150141,2026-04-23T23:55:14.039Z
8952105,654999,9234.36,2026-04-23T21:59:17.133Z,bid-extra-60349150161,2026-04-23T23:55:14.039Z
8952235,655309,9869.960000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150171,2026-04-23T23:55:14.039Z
8952365,655619,10505.56,2026-04-23T21:59:17.133Z,bid-extra-60349150181,2026-04-23T23:55:14.039Z
8952495,655929,11141.16,2026-04-23T21:59:17.133Z,bid-extra-60349150191,2026-04-23T23:55:14.039Z
8952755,656549,3423.1600000000003,2026-04-23T21:59:17.133Z,bid-extra-60349150211,2026-04-23T23:55:14.039Z
8952885,656859,4058.76,2026-04-23T21:59:17.133Z,bid-extra-60349150221,2026-04-23T23:55:14.039Z
8953015,657169,4694.360000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150231,2026-04-23T23:55:14.039Z
8953145,657479,5329.96,2026-04-23T21:59:17.133Z,bid-extra-60349150241,2026-04-23T23:55:14.039Z
8953405,658099,2061.16,2026-04-23T21:59:17.134Z,bid-extra-60349150261,2026-04-23T23:55:14.039Z
8953535,658409,2696.76,2026-04-23T21:59:17.134Z,bid-extra-60349150271,2026-04-23T23:55:14.039Z
8953665,658719,3332.36,2026-04-23T21:59:17.134Z,bid-extra-60349150281,2026-04-23T23:55:14.039Z
8953795,659029,3967.96,2026-04-23T21:59:17.134Z,bid-extra-60349150291,2026-04-23T23:55:14.039Z
8954055,659649,5239.16,2026-04-23T21:59:17.134Z,bid-extra-60349150311,2026-04-23T23:55:14.039Z
8954185,659959,5874.76,2026-04-23T21:59:17.134Z,bid-extra-60349150321,2026-04-23T23:55:14.039Z
8954315,660269,6510.360000000001,2026-04-23T21:59:17.134Z,bid-extra-60349150331,2026-04-23T23:55:14.039Z
8954445,660579,7145.96,2026-04-23T21:59:17.134Z,bid-extra-60349150341,2026-04-23T23:55:14.039Z
8954705,661199,8417.16,2026-04-23T21:59:17.135Z,bid-extra-60349150361,2026-04-23T23:55:14.039Z
8954835,661509,4512.76,2026-04-23T21:59:17.135Z,bid-extra-60349150371,2026-04-23T23:55:14.039Z
8954965,661819,5148.360000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150381,2026-04-23T23:55:14.039Z
8955095,662129,5783.96,2026-04-23T21:59:17.135Z,bid-extra-60349150391,2026-04-23T23:55:14.039Z
8955355,662749,7055.16,2026-04-23T21:59:17.135Z,bid-extra-60349150411,2026-04-23T23:55:14.039Z
8955485,663059,7690.76,2026-04-23T21:59:17.135Z,bid-extra-60349150421,2026-04-23T23:55:14.039Z
8955615,663369,8326.36,2026-04-23T21:59:17.135Z,bid-extra-60349150431,2026-04-23T23:55:14.039Z
8955745,663679,8961.960000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150441,2026-04-23T23:55:14.039Z
8956005,664299,10233.16,2026-04-23T21:59:17.136Z,bid-extra-60349150461,2026-04-23T23:55:14.039Z
8956135,664609,10868.76,2026-04-23T21:59:17.136Z,bid-extra-60349150471,2026-04-23T23:55:14.039Z
8956265,664919,11504.36,2026-04-23T21:59:17.136Z,bid-extra-60349150481,2026-04-23T23:55:14.039Z
8956395,665229,7599.96,2026-04-23T21:59:17.136Z,bid-extra-60349150491,2026-04-23T23:55:14.039Z
8956655,665849,8871.16,2026-04-23T21:59:17.136Z,bid-extra-60349150511,2026-04-23T23:55:14.039Z
8956785,666159,9506.76,2026-04-23T21:59:17.136Z,bid-extra-60349150521,2026-04-23T23:55:14.039Z
8956915,666469,10142.36,2026-04-23T21:59:17.136Z,bid-extra-60349150531,2026-04-23T23:55:14.039Z
8957045,666779,10777.960000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150541,2026-04-23T23:55:14.039Z
8957305,667399,3059.96,2026-04-23T21:59:17.137Z,bid-extra-60349150561,2026-04-23T23:55:14.039Z
8957435,667709,3695.56,2026-04-23T21:59:17.137Z,bid-extra-60349150571,2026-04-23T23:55:14.039Z
8957565,668019,4331.16,2026-04-23T21:59:17.137Z,bid-extra-60349150581,2026-04-23T23:55:14.039Z
8957695,668329,4966.76,2026-04-23T21:59:17.137Z,bid-extra-60349150591,2026-04-23T23:55:14.039Z
8957955,668949,1697.96,2026-04-23T21:59:17.137Z,bid-extra-60349150611,2026-04-23T23:55:14.039Z
8958085,669259,2333.56,2026-04-23T21:59:17.137Z,bid-extra-60349150621,2026-04-23T23:55:14.039Z
8958215,669569,2969.1600000000003,2026-04-23T21:59:17.137Z,bid-extra-60349150631,2026-04-23T23:55:14.039Z
8958345,669879,3604.76,2026-04-23T21:59:17.137Z,bid-extra-60349150641,2026-04-23T23:55:14.039Z
8958605,670499,4875.96,2026-04-23T21:59:17.138Z,bid-extra-60349150661,2026-04-23T23:55:14.039Z
8958735,670809,5511.56,2026-04-23T21:59:17.138Z,bid-extra-60349150671,2026-04-23T23:55:14.039Z
8958865,671119,6147.16,2026-04-23T21:59:17.138Z,bid-extra-60349150681,2026-04-23T23:55:14.039Z
8958995,671429,6782.76,2026-04-23T21:59:17.138Z,bid-extra-60349150691,2026-04-23T23:55:14.039Z
8959255,672049,8053.96,2026-04-23T21:59:17.138Z,bid-extra-60349150711,2026-04-23T23:55:14.039Z
8959385,672359,8689.56,2026-04-23T21:59:17.138Z,bid-extra-60349150721,2026-04-23T23:55:14.039Z
8959515,672669,9325.16,2026-04-23T21:59:17.138Z,bid-extra-60349150731,2026-04-23T23:55:14.039Z
8959645,672979,5420.76,2026-04-23T21:59:17.138Z,bid-extra-60349150741,2026-04-23T23:55:14.039Z
8959905,673599,6691.96,2026-04-23T21:59:17.139Z,bid-extra-60349150761,2026-04-23T23:55:14.039Z
8960035,673909,7327.56,2026-04-23T21:59:17.139Z,bid-extra-60349150771,2026-04-23T23:55:14.039Z
8960165,674219,7963.16,2026-04-23T21:59:17.139Z,bid-extra-60349150781,2026-04-23T23:55:14.039Z
8960295,674529,8598.76,2026-04-23T21:59:17.139Z,bid-extra-60349150791,2026-04-23T23:55:14.039Z
8960555,675149,9869.960000000001,2026-04-23T21:59:17.139Z,bid-extra-60349150811,2026-04-23T23:55:14.039Z
8960685,675459,10505.56,2026-04-23T21:59:17.139Z,bid-extra-60349150821,2026-04-23T23:55:14.039Z
8960815,675769,11141.16,2026-04-23T21:59:17.139Z,bid-extra-60349150831,2026-04-23T23:55:14.039Z
8960945,676079,11776.76,2026-04-23T21:59:17.139Z,bid-extra-60349150841,2026-04-23T23:55:14.039Z
8961205,676699,8507.960000000001,2026-04-23T21:59:17.140Z,bid-extra-60349150861,2026-04-23T23:55:14.039Z
8961335,677009,9143.56,2026-04-23T21:59:17.140Z,bid-extra-60349150871,2026-04-23T23:55:14.039Z
8961465,677319,9779.16,2026-04-23T21:59:17.140Z,bid-extra-60349150881,2026-04-23T23:55:14.039Z
8961595,677629,10414.76,2026-04-23T21:59:17.140Z,bid-extra-60349150891,2026-04-23T23:55:14.039Z
8961855,678249,2696.76,2026-04-23T21:59:17.140Z,bid-extra-60349150911,2026-04-23T23:55:14.039Z
8961985,678559,3332.36,2026-04-23T21:59:17.140Z,bid-extra-60349150921,2026-04-23T23:55:14.039Z
8962115,678869,3967.96,2026-04-23T21:59:17.140Z,bid-extra-60349150931,2026-04-23T23:55:14.039Z
8962245,679179,4603.56,2026-04-23T21:59:17.140Z,bid-extra-60349150941,2026-04-23T23:55:14.039Z
8962505,679799,5874.76,2026-04-23T21:59:17.141Z,bid-extra-60349150961,2026-04-23T23:55:14.039Z
8962635,680109,6510.360000000001,2026-04-23T21:59:17.141Z,bid-extra-60349150971,2026-04-23T23:55:14.039Z
8962765,680419,2605.96,2026-04-23T21:59:17.141Z,bid-extra-60349150981,2026-04-23T23:55:14.039Z
8962895,680729,3241.56,2026-04-23T21:59:17.141Z,bid-extra-60349150991,2026-04-23T23:55:14.039Z
8963155,681349,4512.76,2026-04-23T21:59:17.141Z,bid-extra-60349151011,2026-04-23T23:55:14.039Z
8963285,681659,5148.360000000001,2026-04-23T21:59:17.141Z,bid-extra-60349151021,2026-04-23T23:55:14.039Z
8963415,681969,5783.96,2026-04-23T21:59:17.141Z,bid-extra-60349151031,2026-04-23T23:55:14.039Z
8963545,682279,6419.56,2026-04-23T21:59:17.141Z,bid-extra-60349151041,2026-04-23T23:55:14.039Z
8963805,682899,7690.76,2026-04-23T21:59:17.142Z,bid-extra-60349151061,2026-04-23T23:55:14.039Z
8963935,683209,8326.36,2026-04-23T21:59:17.142Z,bid-extra-60349151071,2026-04-23T23:55:14.039Z
8964065,683519,8961.960000000001,2026-04-23T21:59:17.142Z,bid-extra-60349151081,2026-04-23T23:55:14.039Z
8964195,683829,9597.56,2026-04-23T21:59:17.142Z,bid-extra-60349151091,2026-04-23T23:55:14.039Z
8964455,684449,6328.76,2026-04-23T21:59:17.142Z,bid-extra-60349151111,2026-04-23T23:55:14.039Z
8964585,684759,6964.360000000001,2026-04-23T21:59:17.142Z,bid-extra-60349151121,2026-04-23T23:55:14.039Z
8964715,685069,7599.96,2026-04-23T21:59:17.142Z,bid-extra-60349151131,2026-04-23T23:55:14.039Z
8964845,685379,8235.56,2026-04-23T21:59:17.142Z,bid-extra-60349151141,2026-04-23T23:55:14.039Z
8965105,685999,9506.76,2026-04-23T21:59:17.143Z,bid-extra-60349151161,2026-04-23T23:55:14.039Z
8965235,686309,10142.36,2026-04-23T21:59:17.143Z,bid-extra-60349151171,2026-04-23T23:55:14.039Z
8965365,686619,10777.960000000001,2026-04-23T21:59:17.143Z,bid-extra-60349151181,2026-04-23T23:55:14.039Z
8965495,686929,11413.56,2026-04-23T21:59:17.143Z,bid-extra-60349151191,2026-04-23T23:55:14.039Z
8965755,687549,12684.76,2026-04-23T21:59:17.143Z,bid-extra-60349151211,2026-04-23T23:55:14.039Z
8965885,687859,8780.36,2026-04-23T21:59:17.143Z,bid-extra-60349151221,2026-04-23T23:55:14.039Z
8966015,688169,9415.960000000001,2026-04-23T21:59:17.143Z,bid-extra-60349151231,2026-04-23T23:55:14.039Z
8966145,688479,1062.3600000000001,2026-04-23T21:59:17.143Z,bid-extra-60349151241,2026-04-23T23:55:14.039Z
8966405,689099,2333.56,2026-04-23T21:59:17.144Z,bid-extra-60349151261,2026-04-23T23:55:14.039Z
8966535,689409,2969.1600000000003,2026-04-23T21:59:17.144Z,bid-extra-60349151271,2026-04-23T23:55:14.039Z
8966665,689719,3604.76,2026-04-23T21:59:17.144Z,bid-extra-60349151281,2026-04-23T23:55:14.039Z
8966795,690029,4240.360000000001,2026-04-23T21:59:17.144Z,bid-extra-60349151291,2026-04-23T23:55:14.039Z
8967055,690649,5511.56,2026-04-23T21:59:17.144Z,bid-extra-60349151311,2026-04-23T23:55:14.039Z
8967185,690959,6147.16,2026-04-23T21:59:17.144Z,bid-extra-60349151321,2026-04-23T23:55:14.039Z
8967315,691269,6782.76,2026-04-23T21:59:17.144Z,bid-extra-60349151331,2026-04-23T23:55:14.039Z
8967445,691579,7418.360000000001,2026-04-23T21:59:17.144Z,bid-extra-60349151341,2026-04-23T23:55:14.039Z
8967705,692199,4149.56,2026-04-23T21:59:17.145Z,bid-extra-60349151361,2026-04-23T23:55:14.039Z
8967835,692509,4785.16,2026-04-23T21:59:17.145Z,bid-extra-60349151371,2026-04-23T23:55:14.039Z
8967965,692819,5420.76,2026-04-23T21:59:17.145Z,bid-extra-60349151381,2026-04-23T23:55:14.039Z
8968095,693129,6056.360000000001,2026-04-23T21:59:17.145Z,bid-extra-60349151391,2026-04-23T23:55:14.039Z
8968355,693749,7327.56,2026-04-23T21:59:17.145Z,bid-extra-60349151411,2026-04-23T23:55:14.039Z
8968485,694059,7963.16,2026-04-23T21:59:17.145Z,bid-extra-60349151421,2026-04-23T23:55:14.039Z
8968615,694369,8598.76,2026-04-23T21:59:17.145Z,bid-extra-60349151431,2026-04-23T23:55:14.039Z
8968745,694679,9234.36,2026-04-23T21:59:17.145Z,bid-extra-60349151441,2026-04-23T23:55:14.039Z
