auction,bidder,price,dateTime,extra,processed_time
200155,400349,4966.76,2026-04-23T22:00:19.631Z,bid-extra-60355400011,2026-04-23T23:55:14.039Z
200285,400659,5602.360000000001,2026-04-23T22:00:19.631Z,bid-extra-60355400021,2026-04-23T23:55:14.039Z
200415,400969,6237.96,2026-04-23T22:00:19.631Z,bid-extra-60355400031,2026-04-23T23:55:14.039Z
200545,401279,6873.56,2026-04-23T22:00:19.631Z,bid-extra-60355400041,2026-04-23T23:55:14.039Z
200805,401899,8144.76,2026-04-23T22:00:19.632Z,bid-extra-60355400061,2026-04-23T23:55:14.039Z
200935,402209,8780.36,2026-04-23T22:00:19.632Z,bid-extra-60355400071,2026-04-23T23:55:14.039Z
201065,402519,9415.960000000001,2026-04-23T22:00:19.632Z,bid-extra-60355400081,2026-04-23T23:55:14.039Z
201195,402829,10051.56,2026-04-23T22:00:19.632Z,bid-extra-60355400091,2026-04-23T23:55:14.039Z
201455,403449,11322.76,2026-04-23T22:00:19.632Z,bid-extra-60355400111,2026-04-23T23:55:14.039Z
201585,403759,11958.36,2026-04-23T22:00:19.632Z,bid-extra-60355400121,2026-04-23T23:55:14.039Z
201715,404069,8053.96,2026-04-23T22:00:19.632Z,bid-extra-60355400131,2026-04-23T23:55:14.039Z
201845,404379,8689.56,2026-04-23T22:00:19.632Z,bid-extra-60355400141,2026-04-23T23:55:14.039Z
202105,404999,9960.76,2026-04-23T22:00:19.633Z,bid-extra-60355400161,2026-04-23T23:55:14.039Z
202235,405309,10596.36,2026-04-23T22:00:19.633Z,bid-extra-60355400171,2026-04-23T23:55:14.039Z
202365,405619,11231.960000000001,2026-04-23T22:00:19.633Z,bid-extra-60355400181,2026-04-23T23:55:14.039Z
202495,405929,2878.36,2026-04-23T22:00:19.633Z,bid-extra-60355400191,2026-04-23T23:55:14.039Z
202755,406549,4149.56,2026-04-23T22:00:19.633Z,bid-extra-60355400211,2026-04-23T23:55:14.039Z
202885,406859,4785.16,2026-04-23T22:00:19.633Z,bid-extra-60355400221,2026-04-23T23:55:14.039Z
203015,407169,5420.76,2026-04-23T22:00:19.633Z,bid-extra-60355400231,2026-04-23T23:55:14.039Z
203145,407479,6056.360000000001,2026-04-23T22:00:19.633Z,bid-extra-60355400241,2026-04-23T23:55:14.039Z
203405,408099,2787.56,2026-04-23T22:00:19.634Z,bid-extra-60355400261,2026-04-23T23:55:14.039Z
203535,408409,3423.1600000000003,2026-04-23T22:00:19.634Z,bid-extra-60355400271,2026-04-23T23:55:14.039Z
203665,408719,4058.76,2026-04-23T22:00:19.634Z,bid-extra-60355400281,2026-04-23T23:55:14.039Z
203795,409029,4694.360000000001,2026-04-23T22:00:19.634Z,bid-extra-60355400291,2026-04-23T23:55:14.039Z
204055,409649,5965.56,2026-04-23T22:00:19.634Z,bid-extra-60355400311,2026-04-23T23:55:14.039Z
204185,409959,6601.16,2026-04-23T22:00:19.634Z,bid-extra-60355400321,2026-04-23T23:55:14.039Z
204315,410269,7236.76,2026-04-23T22:00:19.634Z,bid-extra-60355400331,2026-04-23T23:55:14.039Z
204445,410579,7872.360000000001,2026-04-23T22:00:19.634Z,bid-extra-60355400341,2026-04-23T23:55:14.039Z
204705,411199,9143.56,2026-04-23T22:00:19.635Z,bid-extra-60355400361,2026-04-23T23:55:14.039Z
204835,411509,5239.16,2026-04-23T22:00:19.635Z,bid-extra-60355400371,2026-04-23T23:55:14.039Z
204965,411819,5874.76,2026-04-23T22:00:19.635Z,bid-extra-60355400381,2026-04-23T23:55:14.039Z
205095,412129,6510.360000000001,2026-04-23T22:00:19.635Z,bid-extra-60355400391,2026-04-23T23:55:14.039Z
205355,412749,7781.56,2026-04-23T22:00:19.635Z,bid-extra-60355400411,2026-04-23T23:55:14.039Z
205485,413059,8417.16,2026-04-23T22:00:19.635Z,bid-extra-60355400421,2026-04-23T23:55:14.039Z
205615,413369,9052.76,2026-04-23T22:00:19.635Z,bid-extra-60355400431,2026-04-23T23:55:14.039Z
205745,413679,9688.36,2026-04-23T22:00:19.635Z,bid-extra-60355400441,2026-04-23T23:55:14.039Z
206005,414299,10959.56,2026-04-23T22:00:19.636Z,bid-extra-60355400461,2026-04-23T23:55:14.039Z
206135,414609,11595.16,2026-04-23T22:00:19.636Z,bid-extra-60355400471,2026-04-23T23:55:14.039Z
206265,414919,12230.76,2026-04-23T22:00:19.636Z,bid-extra-60355400481,2026-04-23T23:55:14.039Z
206395,415229,8326.36,2026-04-23T22:00:19.636Z,bid-extra-60355400491,2026-04-23T23:55:14.039Z
206655,415849,9597.56,2026-04-23T22:00:19.636Z,bid-extra-60355400511,2026-04-23T23:55:14.039Z
206785,416159,10233.16,2026-04-23T22:00:19.636Z,bid-extra-60355400521,2026-04-23T23:55:14.039Z
206915,416469,1879.5600000000002,2026-04-23T22:00:19.636Z,bid-extra-60355400531,2026-04-23T23:55:14.039Z
207045,416779,2515.16,2026-04-23T22:00:19.636Z,bid-extra-60355400541,2026-04-23T23:55:14.039Z
207305,417399,3786.36,2026-04-23T22:00:19.637Z,bid-extra-60355400561,2026-04-23T23:55:14.039Z
207435,417709,4421.96,2026-04-23T22:00:19.637Z,bid-extra-60355400571,2026-04-23T23:55:14.039Z
207565,418019,5057.56,2026-04-23T22:00:19.637Z,bid-extra-60355400581,2026-04-23T23:55:14.039Z
207695,418329,5693.16,2026-04-23T22:00:19.637Z,bid-extra-60355400591,2026-04-23T23:55:14.039Z
207955,418949,2424.36,2026-04-23T22:00:19.637Z,bid-extra-60355400611,2026-04-23T23:55:14.039Z
208085,419259,3059.96,2026-04-23T22:00:19.637Z,bid-extra-60355400621,2026-04-23T23:55:14.039Z
208215,419569,3695.56,2026-04-23T22:00:19.637Z,bid-extra-60355400631,2026-04-23T23:55:14.039Z
208345,419879,4331.16,2026-04-23T22:00:19.637Z,bid-extra-60355400641,2026-04-23T23:55:14.039Z
208605,420499,5602.360000000001,2026-04-23T22:00:19.638Z,bid-extra-60355400661,2026-04-23T23:55:14.039Z
208735,420809,6237.96,2026-04-23T22:00:19.638Z,bid-extra-60355400671,2026-04-23T23:55:14.039Z
208865,421119,6873.56,2026-04-23T22:00:19.638Z,bid-extra-60355400681,2026-04-23T23:55:14.039Z
