auction,bidder,price,dateTime,extra,processed_time
1450155,150349,5693.16,2026-04-23T22:01:22.131Z,bid-extra-60361650011,2026-04-23T23:55:14.039Z
1450285,150659,6328.76,2026-04-23T22:01:22.131Z,bid-extra-60361650021,2026-04-23T23:55:14.039Z
1450415,150969,6964.360000000001,2026-04-23T22:01:22.131Z,bid-extra-60361650031,2026-04-23T23:55:14.039Z
1450545,151279,7599.96,2026-04-23T22:01:22.131Z,bid-extra-60361650041,2026-04-23T23:55:14.039Z
1450805,151899,8871.16,2026-04-23T22:01:22.132Z,bid-extra-60361650061,2026-04-23T23:55:14.039Z
1450935,152209,9506.76,2026-04-23T22:01:22.132Z,bid-extra-60361650071,2026-04-23T23:55:14.039Z
1451065,152519,10142.36,2026-04-23T22:01:22.132Z,bid-extra-60361650081,2026-04-23T23:55:14.039Z
1451195,152829,10777.960000000001,2026-04-23T22:01:22.132Z,bid-extra-60361650091,2026-04-23T23:55:14.039Z
1451455,153449,12049.16,2026-04-23T22:01:22.132Z,bid-extra-60361650111,2026-04-23T23:55:14.039Z
1451585,153759,12684.76,2026-04-23T22:01:22.132Z,bid-extra-60361650121,2026-04-23T23:55:14.039Z
1451715,154069,8780.36,2026-04-23T22:01:22.132Z,bid-extra-60361650131,2026-04-23T23:55:14.039Z
1451845,154379,9415.960000000001,2026-04-23T22:01:22.132Z,bid-extra-60361650141,2026-04-23T23:55:14.039Z
1452105,154999,1697.96,2026-04-23T22:01:22.133Z,bid-extra-60361650161,2026-04-23T23:55:14.039Z
1452235,155309,2333.56,2026-04-23T22:01:22.133Z,bid-extra-60361650171,2026-04-23T23:55:14.039Z
1452365,155619,2969.1600000000003,2026-04-23T22:01:22.133Z,bid-extra-60361650181,2026-04-23T23:55:14.039Z
1452495,155929,3604.76,2026-04-23T22:01:22.133Z,bid-extra-60361650191,2026-04-23T23:55:14.039Z
1452755,156549,4875.96,2026-04-23T22:01:22.133Z,bid-extra-60361650211,2026-04-23T23:55:14.039Z
1452885,156859,5511.56,2026-04-23T22:01:22.133Z,bid-extra-60361650221,2026-04-23T23:55:14.039Z
1453015,157169,6147.16,2026-04-23T22:01:22.133Z,bid-extra-60361650231,2026-04-23T23:55:14.039Z
1453145,157479,6782.76,2026-04-23T22:01:22.133Z,bid-extra-60361650241,2026-04-23T23:55:14.039Z
1453405,158099,3513.96,2026-04-23T22:01:22.134Z,bid-extra-60361650261,2026-04-23T23:55:14.039Z
1453535,158409,4149.56,2026-04-23T22:01:22.134Z,bid-extra-60361650271,2026-04-23T23:55:14.039Z
1453665,158719,4785.16,2026-04-23T22:01:22.134Z,bid-extra-60361650281,2026-04-23T23:55:14.039Z
1453795,159029,5420.76,2026-04-23T22:01:22.134Z,bid-extra-60361650291,2026-04-23T23:55:14.039Z
1454055,159649,6691.96,2026-04-23T22:01:22.134Z,bid-extra-60361650311,2026-04-23T23:55:14.039Z
1454185,159959,7327.56,2026-04-23T22:01:22.134Z,bid-extra-60361650321,2026-04-23T23:55:14.039Z
1454315,160269,7963.16,2026-04-23T22:01:22.134Z,bid-extra-60361650331,2026-04-23T23:55:14.039Z
1454445,160579,8598.76,2026-04-23T22:01:22.134Z,bid-extra-60361650341,2026-04-23T23:55:14.039Z
1454705,161199,9869.960000000001,2026-04-23T22:01:22.135Z,bid-extra-60361650361,2026-04-23T23:55:14.039Z
1454835,161509,5965.56,2026-04-23T22:01:22.135Z,bid-extra-60361650371,2026-04-23T23:55:14.039Z
1454965,161819,6601.16,2026-04-23T22:01:22.135Z,bid-extra-60361650381,2026-04-23T23:55:14.039Z
1455095,162129,7236.76,2026-04-23T22:01:22.135Z,bid-extra-60361650391,2026-04-23T23:55:14.039Z
1455355,162749,8507.960000000001,2026-04-23T22:01:22.135Z,bid-extra-60361650411,2026-04-23T23:55:14.039Z
1455485,163059,9143.56,2026-04-23T22:01:22.135Z,bid-extra-60361650421,2026-04-23T23:55:14.039Z
1455615,163369,9779.16,2026-04-23T22:01:22.135Z,bid-extra-60361650431,2026-04-23T23:55:14.039Z
1455745,163679,10414.76,2026-04-23T22:01:22.135Z,bid-extra-60361650441,2026-04-23T23:55:14.039Z
1456005,164299,11685.960000000001,2026-04-23T22:01:22.136Z,bid-extra-60361650461,2026-04-23T23:55:14.039Z
1456135,164609,12321.56,2026-04-23T22:01:22.136Z,bid-extra-60361650471,2026-04-23T23:55:14.039Z
