auction,bidder,price,dateTime,extra,processed_time
6450155,150349,1516.3600000000001,2026-04-23T22:00:32.131Z,bid-extra-60356650011,2026-04-23T23:55:14.039Z
6450285,150659,2151.96,2026-04-23T22:00:32.131Z,bid-extra-60356650021,2026-04-23T23:55:14.039Z
6450415,150969,2787.56,2026-04-23T22:00:32.131Z,bid-extra-60356650031,2026-04-23T23:55:14.039Z
6450545,151279,3423.1600000000003,2026-04-23T22:00:32.131Z,bid-extra-60356650041,2026-04-23T23:55:14.039Z
6450805,151899,4694.360000000001,2026-04-23T22:00:32.132Z,bid-extra-60356650061,2026-04-23T23:55:14.039Z
6450935,152209,5329.96,2026-04-23T22:00:32.132Z,bid-extra-60356650071,2026-04-23T23:55:14.039Z
6451065,152519,5965.56,2026-04-23T22:00:32.132Z,bid-extra-60356650081,2026-04-23T23:55:14.039Z
6451195,152829,6601.16,2026-04-23T22:00:32.132Z,bid-extra-60356650091,2026-04-23T23:55:14.039Z
6451455,153449,7872.360000000001,2026-04-23T22:00:32.132Z,bid-extra-60356650111,2026-04-23T23:55:14.039Z
6451585,153759,8507.960000000001,2026-04-23T22:00:32.132Z,bid-extra-60356650121,2026-04-23T23:55:14.039Z
6451715,154069,4603.56,2026-04-23T22:00:32.132Z,bid-extra-60356650131,2026-04-23T23:55:14.039Z
6451845,154379,5239.16,2026-04-23T22:00:32.132Z,bid-extra-60356650141,2026-04-23T23:55:14.039Z
6452105,154999,6510.360000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650161,2026-04-23T23:55:14.039Z
6452235,155309,7145.96,2026-04-23T22:00:32.133Z,bid-extra-60356650171,2026-04-23T23:55:14.039Z
6452365,155619,7781.56,2026-04-23T22:00:32.133Z,bid-extra-60356650181,2026-04-23T23:55:14.039Z
6452495,155929,8417.16,2026-04-23T22:00:32.133Z,bid-extra-60356650191,2026-04-23T23:55:14.039Z
6452755,156549,9688.36,2026-04-23T22:00:32.133Z,bid-extra-60356650211,2026-04-23T23:55:14.039Z
6452885,156859,10323.960000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650221,2026-04-23T23:55:14.039Z
6453015,157169,10959.56,2026-04-23T22:00:32.133Z,bid-extra-60356650231,2026-04-23T23:55:14.039Z
6453145,157479,11595.16,2026-04-23T22:00:32.133Z,bid-extra-60356650241,2026-04-23T23:55:14.039Z
6453405,158099,8326.36,2026-04-23T22:00:32.134Z,bid-extra-60356650261,2026-04-23T23:55:14.039Z
6453535,158409,8961.960000000001,2026-04-23T22:00:32.134Z,bid-extra-60356650271,2026-04-23T23:55:14.039Z
6453665,158719,9597.56,2026-04-23T22:00:32.134Z,bid-extra-60356650281,2026-04-23T23:55:14.039Z
6453795,159029,10233.16,2026-04-23T22:00:32.134Z,bid-extra-60356650291,2026-04-23T23:55:14.039Z
6454055,159649,11504.36,2026-04-23T22:00:32.134Z,bid-extra-60356650311,2026-04-23T23:55:14.039Z
6454185,159959,3150.76,2026-04-23T22:00:32.134Z,bid-extra-60356650321,2026-04-23T23:55:14.039Z
6454315,160269,3786.36,2026-04-23T22:00:32.134Z,bid-extra-60356650331,2026-04-23T23:55:14.039Z
6454445,160579,4421.96,2026-04-23T22:00:32.134Z,bid-extra-60356650341,2026-04-23T23:55:14.039Z
6454705,161199,5693.16,2026-04-23T22:00:32.135Z,bid-extra-60356650361,2026-04-23T23:55:14.039Z
6454835,161509,1788.76,2026-04-23T22:00:32.135Z,bid-extra-60356650371,2026-04-23T23:55:14.039Z
6454965,161819,2424.36,2026-04-23T22:00:32.135Z,bid-extra-60356650381,2026-04-23T23:55:14.039Z
6455095,162129,3059.96,2026-04-23T22:00:32.135Z,bid-extra-60356650391,2026-04-23T23:55:14.039Z
6455355,162749,4331.16,2026-04-23T22:00:32.135Z,bid-extra-60356650411,2026-04-23T23:55:14.039Z
6455485,163059,4966.76,2026-04-23T22:00:32.135Z,bid-extra-60356650421,2026-04-23T23:55:14.039Z
6455615,163369,5602.360000000001,2026-04-23T22:00:32.135Z,bid-extra-60356650431,2026-04-23T23:55:14.039Z
6455745,163679,6237.96,2026-04-23T22:00:32.135Z,bid-extra-60356650441,2026-04-23T23:55:14.039Z
6456005,164299,7509.16,2026-04-23T22:00:32.136Z,bid-extra-60356650461,2026-04-23T23:55:14.039Z
6456135,164609,8144.76,2026-04-23T22:00:32.136Z,bid-extra-60356650471,2026-04-23T23:55:14.039Z
6456265,164919,8780.36,2026-04-23T22:00:32.136Z,bid-extra-60356650481,2026-04-23T23:55:14.039Z
6456395,165229,4875.96,2026-04-23T22:00:32.136Z,bid-extra-60356650491,2026-04-23T23:55:14.039Z
6456655,165849,6147.16,2026-04-23T22:00:32.136Z,bid-extra-60356650511,2026-04-23T23:55:14.039Z
6456785,166159,6782.76,2026-04-23T22:00:32.136Z,bid-extra-60356650521,2026-04-23T23:55:14.039Z
