auction,bidder,price,dateTime,extra,processed_time
7700155,900349,1607.16,2026-04-23T22:03:14.631Z,bid-extra-60372900011,2026-04-23T23:55:14.039Z
7700285,900659,2242.76,2026-04-23T22:03:14.631Z,bid-extra-60372900021,2026-04-23T23:55:14.039Z
7700415,900969,2878.36,2026-04-23T22:03:14.631Z,bid-extra-60372900031,2026-04-23T23:55:14.039Z
7700545,901279,3513.96,2026-04-23T22:03:14.631Z,bid-extra-60372900041,2026-04-23T23:55:14.039Z
7700805,901899,4785.16,2026-04-23T22:03:14.632Z,bid-extra-60372900061,2026-04-23T23:55:14.039Z
7700935,902209,5420.76,2026-04-23T22:03:14.632Z,bid-extra-60372900071,2026-04-23T23:55:14.039Z
7701065,902519,6056.360000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900081,2026-04-23T23:55:14.039Z
7701195,902829,6691.96,2026-04-23T22:03:14.632Z,bid-extra-60372900091,2026-04-23T23:55:14.039Z
7701455,903449,7963.16,2026-04-23T22:03:14.632Z,bid-extra-60372900111,2026-04-23T23:55:14.039Z
7701585,903759,8598.76,2026-04-23T22:03:14.632Z,bid-extra-60372900121,2026-04-23T23:55:14.039Z
7701715,904069,4694.360000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900131,2026-04-23T23:55:14.039Z
7701845,904379,5329.96,2026-04-23T22:03:14.632Z,bid-extra-60372900141,2026-04-23T23:55:14.039Z
7702105,904999,6601.16,2026-04-23T22:03:14.633Z,bid-extra-60372900161,2026-04-23T23:55:14.039Z
7702235,905309,7236.76,2026-04-23T22:03:14.633Z,bid-extra-60372900171,2026-04-23T23:55:14.039Z
7702365,905619,7872.360000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900181,2026-04-23T23:55:14.039Z
7702495,905929,8507.960000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900191,2026-04-23T23:55:14.039Z
7702755,906549,9779.16,2026-04-23T22:03:14.633Z,bid-extra-60372900211,2026-04-23T23:55:14.039Z
7702885,906859,10414.76,2026-04-23T22:03:14.633Z,bid-extra-60372900221,2026-04-23T23:55:14.039Z
7703015,907169,11050.36,2026-04-23T22:03:14.633Z,bid-extra-60372900231,2026-04-23T23:55:14.039Z
7703145,907479,11685.960000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900241,2026-04-23T23:55:14.039Z
