auction,bidder,price,dateTime,extra,processed_time
2700155,900349,7055.16,2026-04-23T22:00:44.631Z,bid-extra-60357900011,2026-04-23T23:55:14.039Z
2700285,900659,7690.76,2026-04-23T22:00:44.631Z,bid-extra-60357900021,2026-04-23T23:55:14.039Z
2700415,900969,8326.36,2026-04-23T22:00:44.631Z,bid-extra-60357900031,2026-04-23T23:55:14.039Z
2700545,901279,8961.960000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900041,2026-04-23T23:55:14.039Z
2700805,901899,10233.16,2026-04-23T22:00:44.632Z,bid-extra-60357900061,2026-04-23T23:55:14.039Z
2700935,902209,10868.76,2026-04-23T22:00:44.632Z,bid-extra-60357900071,2026-04-23T23:55:14.039Z
2701065,902519,11504.36,2026-04-23T22:00:44.632Z,bid-extra-60357900081,2026-04-23T23:55:14.039Z
2701195,902829,12139.960000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900091,2026-04-23T23:55:14.039Z
2701455,903449,4421.96,2026-04-23T22:00:44.632Z,bid-extra-60357900111,2026-04-23T23:55:14.039Z
2701585,903759,5057.56,2026-04-23T22:00:44.632Z,bid-extra-60357900121,2026-04-23T23:55:14.039Z
2701715,904069,1153.16,2026-04-23T22:00:44.632Z,bid-extra-60357900131,2026-04-23T23:55:14.039Z
2701845,904379,1788.76,2026-04-23T22:00:44.632Z,bid-extra-60357900141,2026-04-23T23:55:14.039Z
2702105,904999,3059.96,2026-04-23T22:00:44.633Z,bid-extra-60357900161,2026-04-23T23:55:14.039Z
2702235,905309,3695.56,2026-04-23T22:00:44.633Z,bid-extra-60357900171,2026-04-23T23:55:14.039Z
2702365,905619,4331.16,2026-04-23T22:00:44.633Z,bid-extra-60357900181,2026-04-23T23:55:14.039Z
2702495,905929,4966.76,2026-04-23T22:00:44.633Z,bid-extra-60357900191,2026-04-23T23:55:14.039Z
2702755,906549,6237.96,2026-04-23T22:00:44.633Z,bid-extra-60357900211,2026-04-23T23:55:14.039Z
2702885,906859,6873.56,2026-04-23T22:00:44.633Z,bid-extra-60357900221,2026-04-23T23:55:14.039Z
2703015,907169,7509.16,2026-04-23T22:00:44.633Z,bid-extra-60357900231,2026-04-23T23:55:14.039Z
2703145,907479,8144.76,2026-04-23T22:00:44.633Z,bid-extra-60357900241,2026-04-23T23:55:14.039Z
2703405,908099,4875.96,2026-04-23T22:00:44.634Z,bid-extra-60357900261,2026-04-23T23:55:14.039Z
2703535,908409,5511.56,2026-04-23T22:00:44.634Z,bid-extra-60357900271,2026-04-23T23:55:14.039Z
2703665,908719,6147.16,2026-04-23T22:00:44.634Z,bid-extra-60357900281,2026-04-23T23:55:14.039Z
2703795,909029,6782.76,2026-04-23T22:00:44.634Z,bid-extra-60357900291,2026-04-23T23:55:14.039Z
2704055,909649,8053.96,2026-04-23T22:00:44.634Z,bid-extra-60357900311,2026-04-23T23:55:14.039Z
2704185,909959,8689.56,2026-04-23T22:00:44.634Z,bid-extra-60357900321,2026-04-23T23:55:14.039Z
2704315,910269,9325.16,2026-04-23T22:00:44.634Z,bid-extra-60357900331,2026-04-23T23:55:14.039Z
2704445,910579,9960.76,2026-04-23T22:00:44.634Z,bid-extra-60357900341,2026-04-23T23:55:14.039Z
2704705,911199,11231.960000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900361,2026-04-23T23:55:14.039Z
2704835,911509,7327.56,2026-04-23T22:00:44.635Z,bid-extra-60357900371,2026-04-23T23:55:14.039Z
2704965,911819,7963.16,2026-04-23T22:00:44.635Z,bid-extra-60357900381,2026-04-23T23:55:14.039Z
2705095,912129,8598.76,2026-04-23T22:00:44.635Z,bid-extra-60357900391,2026-04-23T23:55:14.039Z
2705355,912749,9869.960000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900411,2026-04-23T23:55:14.039Z
2705485,913059,10505.56,2026-04-23T22:00:44.635Z,bid-extra-60357900421,2026-04-23T23:55:14.039Z
2705615,913369,11141.16,2026-04-23T22:00:44.635Z,bid-extra-60357900431,2026-04-23T23:55:14.039Z
2705745,913679,11776.76,2026-04-23T22:00:44.635Z,bid-extra-60357900441,2026-04-23T23:55:14.039Z
2706005,914299,4058.76,2026-04-23T22:00:44.636Z,bid-extra-60357900461,2026-04-23T23:55:14.039Z
2706135,914609,4694.360000000001,2026-04-23T22:00:44.636Z,bid-extra-60357900471,2026-04-23T23:55:14.039Z
2706265,914919,5329.96,2026-04-23T22:00:44.636Z,bid-extra-60357900481,2026-04-23T23:55:14.039Z
2706395,915229,1425.56,2026-04-23T22:00:44.636Z,bid-extra-60357900491,2026-04-23T23:55:14.039Z
2706655,915849,2696.76,2026-04-23T22:00:44.636Z,bid-extra-60357900511,2026-04-23T23:55:14.039Z
2706785,916159,3332.36,2026-04-23T22:00:44.636Z,bid-extra-60357900521,2026-04-23T23:55:14.039Z
2706915,916469,3967.96,2026-04-23T22:00:44.636Z,bid-extra-60357900531,2026-04-23T23:55:14.039Z
2707045,916779,4603.56,2026-04-23T22:00:44.636Z,bid-extra-60357900541,2026-04-23T23:55:14.039Z
2707305,917399,5874.76,2026-04-23T22:00:44.637Z,bid-extra-60357900561,2026-04-23T23:55:14.039Z
2707435,917709,6510.360000000001,2026-04-23T22:00:44.637Z,bid-extra-60357900571,2026-04-23T23:55:14.039Z
2707565,918019,7145.96,2026-04-23T22:00:44.637Z,bid-extra-60357900581,2026-04-23T23:55:14.039Z
2707695,918329,7781.56,2026-04-23T22:00:44.637Z,bid-extra-60357900591,2026-04-23T23:55:14.039Z
2707955,918949,4512.76,2026-04-23T22:00:44.637Z,bid-extra-60357900611,2026-04-23T23:55:14.039Z
2708085,919259,5148.360000000001,2026-04-23T22:00:44.637Z,bid-extra-60357900621,2026-04-23T23:55:14.039Z
2708215,919569,5783.96,2026-04-23T22:00:44.637Z,bid-extra-60357900631,2026-04-23T23:55:14.039Z
2708345,919879,6419.56,2026-04-23T22:00:44.637Z,bid-extra-60357900641,2026-04-23T23:55:14.039Z
