auction,bidder,price,dateTime,extra,processed_time
6450155,150349,880.76,2026-04-23T22:02:12.131Z,bid-extra-60366650011,2026-04-23T23:55:14.039Z
6450285,150659,1516.3600000000001,2026-04-23T22:02:12.131Z,bid-extra-60366650021,2026-04-23T23:55:14.039Z
6450415,150969,2151.96,2026-04-23T22:02:12.131Z,bid-extra-60366650031,2026-04-23T23:55:14.039Z
6450545,151279,2787.56,2026-04-23T22:02:12.131Z,bid-extra-60366650041,2026-04-23T23:55:14.039Z
6450805,151899,4058.76,2026-04-23T22:02:12.132Z,bid-extra-60366650061,2026-04-23T23:55:14.039Z
6450935,152209,4694.360000000001,2026-04-23T22:02:12.132Z,bid-extra-60366650071,2026-04-23T23:55:14.039Z
6451065,152519,5329.96,2026-04-23T22:02:12.132Z,bid-extra-60366650081,2026-04-23T23:55:14.039Z
6451195,152829,5965.56,2026-04-23T22:02:12.132Z,bid-extra-60366650091,2026-04-23T23:55:14.039Z
6451455,153449,7236.76,2026-04-23T22:02:12.132Z,bid-extra-60366650111,2026-04-23T23:55:14.039Z
6451585,153759,7872.360000000001,2026-04-23T22:02:12.132Z,bid-extra-60366650121,2026-04-23T23:55:14.039Z
6451715,154069,3967.96,2026-04-23T22:02:12.132Z,bid-extra-60366650131,2026-04-23T23:55:14.039Z
6451845,154379,4603.56,2026-04-23T22:02:12.132Z,bid-extra-60366650141,2026-04-23T23:55:14.039Z
6452105,154999,5874.76,2026-04-23T22:02:12.133Z,bid-extra-60366650161,2026-04-23T23:55:14.039Z
6452235,155309,6510.360000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650171,2026-04-23T23:55:14.039Z
6452365,155619,7145.96,2026-04-23T22:02:12.133Z,bid-extra-60366650181,2026-04-23T23:55:14.039Z
6452495,155929,7781.56,2026-04-23T22:02:12.133Z,bid-extra-60366650191,2026-04-23T23:55:14.039Z
6452755,156549,9052.76,2026-04-23T22:02:12.133Z,bid-extra-60366650211,2026-04-23T23:55:14.039Z
6452885,156859,9688.36,2026-04-23T22:02:12.133Z,bid-extra-60366650221,2026-04-23T23:55:14.039Z
6453015,157169,10323.960000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650231,2026-04-23T23:55:14.039Z
6453145,157479,10959.56,2026-04-23T22:02:12.133Z,bid-extra-60366650241,2026-04-23T23:55:14.039Z
6453405,158099,7690.76,2026-04-23T22:02:12.134Z,bid-extra-60366650261,2026-04-23T23:55:14.039Z
6453535,158409,8326.36,2026-04-23T22:02:12.134Z,bid-extra-60366650271,2026-04-23T23:55:14.039Z
6453665,158719,8961.960000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650281,2026-04-23T23:55:14.039Z
6453795,159029,9597.56,2026-04-23T22:02:12.134Z,bid-extra-60366650291,2026-04-23T23:55:14.039Z
6454055,159649,10868.76,2026-04-23T22:02:12.134Z,bid-extra-60366650311,2026-04-23T23:55:14.039Z
6454185,159959,11504.36,2026-04-23T22:02:12.134Z,bid-extra-60366650321,2026-04-23T23:55:14.039Z
6454315,160269,12139.960000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650331,2026-04-23T23:55:14.039Z
6454445,160579,3786.36,2026-04-23T22:02:12.134Z,bid-extra-60366650341,2026-04-23T23:55:14.039Z
6454705,161199,5057.56,2026-04-23T22:02:12.135Z,bid-extra-60366650361,2026-04-23T23:55:14.039Z
6454835,161509,1153.16,2026-04-23T22:02:12.135Z,bid-extra-60366650371,2026-04-23T23:55:14.039Z
6454965,161819,1788.76,2026-04-23T22:02:12.135Z,bid-extra-60366650381,2026-04-23T23:55:14.039Z
6455095,162129,2424.36,2026-04-23T22:02:12.135Z,bid-extra-60366650391,2026-04-23T23:55:14.039Z
6455355,162749,3695.56,2026-04-23T22:02:12.135Z,bid-extra-60366650411,2026-04-23T23:55:14.039Z
6455485,163059,4331.16,2026-04-23T22:02:12.135Z,bid-extra-60366650421,2026-04-23T23:55:14.039Z
6455615,163369,4966.76,2026-04-23T22:02:12.135Z,bid-extra-60366650431,2026-04-23T23:55:14.039Z
6455745,163679,5602.360000000001,2026-04-23T22:02:12.135Z,bid-extra-60366650441,2026-04-23T23:55:14.039Z
6456005,164299,6873.56,2026-04-23T22:02:12.136Z,bid-extra-60366650461,2026-04-23T23:55:14.039Z
6456135,164609,7509.16,2026-04-23T22:02:12.136Z,bid-extra-60366650471,2026-04-23T23:55:14.039Z
6456265,164919,8144.76,2026-04-23T22:02:12.136Z,bid-extra-60366650481,2026-04-23T23:55:14.039Z
6456395,165229,4240.360000000001,2026-04-23T22:02:12.136Z,bid-extra-60366650491,2026-04-23T23:55:14.039Z
6456655,165849,5511.56,2026-04-23T22:02:12.136Z,bid-extra-60366650511,2026-04-23T23:55:14.039Z
6456785,166159,6147.16,2026-04-23T22:02:12.136Z,bid-extra-60366650521,2026-04-23T23:55:14.039Z
6456915,166469,6782.76,2026-04-23T22:02:12.136Z,bid-extra-60366650531,2026-04-23T23:55:14.039Z
6457045,166779,7418.360000000001,2026-04-23T22:02:12.136Z,bid-extra-60366650541,2026-04-23T23:55:14.039Z
6457305,167399,8689.56,2026-04-23T22:02:12.137Z,bid-extra-60366650561,2026-04-23T23:55:14.039Z
6457435,167709,9325.16,2026-04-23T22:02:12.137Z,bid-extra-60366650571,2026-04-23T23:55:14.039Z
6457565,168019,9960.76,2026-04-23T22:02:12.137Z,bid-extra-60366650581,2026-04-23T23:55:14.039Z
6457695,168329,10596.36,2026-04-23T22:02:12.137Z,bid-extra-60366650591,2026-04-23T23:55:14.039Z
6457955,168949,7327.56,2026-04-23T22:02:12.137Z,bid-extra-60366650611,2026-04-23T23:55:14.039Z
6458085,169259,7963.16,2026-04-23T22:02:12.137Z,bid-extra-60366650621,2026-04-23T23:55:14.039Z
6458215,169569,8598.76,2026-04-23T22:02:12.137Z,bid-extra-60366650631,2026-04-23T23:55:14.039Z
6458345,169879,9234.36,2026-04-23T22:02:12.137Z,bid-extra-60366650641,2026-04-23T23:55:14.039Z
6458605,170499,10505.56,2026-04-23T22:02:12.138Z,bid-extra-60366650661,2026-04-23T23:55:14.039Z
6458735,170809,11141.16,2026-04-23T22:02:12.138Z,bid-extra-60366650671,2026-04-23T23:55:14.039Z
6458865,171119,2787.56,2026-04-23T22:02:12.138Z,bid-extra-60366650681,2026-04-23T23:55:14.039Z
6458995,171429,3423.1600000000003,2026-04-23T22:02:12.138Z,bid-extra-60366650691,2026-04-23T23:55:14.039Z
6459255,172049,4694.360000000001,2026-04-23T22:02:12.138Z,bid-extra-60366650711,2026-04-23T23:55:14.039Z
