auction,bidder,price,dateTime,extra,processed_time
7700155,900349,2878.36,2026-04-23T21:59:54.631Z,bid-extra-60352900011,2026-04-23T23:55:14.039Z
7700285,900659,3513.96,2026-04-23T21:59:54.631Z,bid-extra-60352900021,2026-04-23T23:55:14.039Z
7700415,900969,4149.56,2026-04-23T21:59:54.631Z,bid-extra-60352900031,2026-04-23T23:55:14.039Z
7700545,901279,4785.16,2026-04-23T21:59:54.631Z,bid-extra-60352900041,2026-04-23T23:55:14.039Z
7700805,901899,6056.360000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900061,2026-04-23T23:55:14.039Z
7700935,902209,6691.96,2026-04-23T21:59:54.632Z,bid-extra-60352900071,2026-04-23T23:55:14.039Z
7701065,902519,7327.56,2026-04-23T21:59:54.632Z,bid-extra-60352900081,2026-04-23T23:55:14.039Z
7701195,902829,7963.16,2026-04-23T21:59:54.632Z,bid-extra-60352900091,2026-04-23T23:55:14.039Z
7701455,903449,9234.36,2026-04-23T21:59:54.632Z,bid-extra-60352900111,2026-04-23T23:55:14.039Z
7701585,903759,9869.960000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900121,2026-04-23T23:55:14.039Z
7701715,904069,5965.56,2026-04-23T21:59:54.632Z,bid-extra-60352900131,2026-04-23T23:55:14.039Z
7701845,904379,6601.16,2026-04-23T21:59:54.632Z,bid-extra-60352900141,2026-04-23T23:55:14.039Z
7702105,904999,7872.360000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900161,2026-04-23T23:55:14.039Z
7702235,905309,8507.960000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900171,2026-04-23T23:55:14.039Z
7702365,905619,9143.56,2026-04-23T21:59:54.633Z,bid-extra-60352900181,2026-04-23T23:55:14.039Z
7702495,905929,9779.16,2026-04-23T21:59:54.633Z,bid-extra-60352900191,2026-04-23T23:55:14.039Z
7702755,906549,11050.36,2026-04-23T21:59:54.633Z,bid-extra-60352900211,2026-04-23T23:55:14.039Z
7702885,906859,11685.960000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900221,2026-04-23T23:55:14.039Z
7703015,907169,12321.56,2026-04-23T21:59:54.633Z,bid-extra-60352900231,2026-04-23T23:55:14.039Z
7703145,907479,12957.16,2026-04-23T21:59:54.633Z,bid-extra-60352900241,2026-04-23T23:55:14.039Z
7703405,908099,9688.36,2026-04-23T21:59:54.634Z,bid-extra-60352900261,2026-04-23T23:55:14.039Z
7703535,908409,1334.76,2026-04-23T21:59:54.634Z,bid-extra-60352900271,2026-04-23T23:55:14.039Z
7703665,908719,1970.3600000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900281,2026-04-23T23:55:14.039Z
7703795,909029,2605.96,2026-04-23T21:59:54.634Z,bid-extra-60352900291,2026-04-23T23:55:14.039Z
7704055,909649,3877.1600000000003,2026-04-23T21:59:54.634Z,bid-extra-60352900311,2026-04-23T23:55:14.039Z
7704185,909959,4512.76,2026-04-23T21:59:54.634Z,bid-extra-60352900321,2026-04-23T23:55:14.039Z
7704315,910269,5148.360000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900331,2026-04-23T23:55:14.039Z
7704445,910579,5783.96,2026-04-23T21:59:54.634Z,bid-extra-60352900341,2026-04-23T23:55:14.039Z
7704705,911199,7055.16,2026-04-23T21:59:54.635Z,bid-extra-60352900361,2026-04-23T23:55:14.039Z
7704835,911509,3150.76,2026-04-23T21:59:54.635Z,bid-extra-60352900371,2026-04-23T23:55:14.039Z
7704965,911819,3786.36,2026-04-23T21:59:54.635Z,bid-extra-60352900381,2026-04-23T23:55:14.039Z
7705095,912129,4421.96,2026-04-23T21:59:54.635Z,bid-extra-60352900391,2026-04-23T23:55:14.039Z
7705355,912749,5693.16,2026-04-23T21:59:54.635Z,bid-extra-60352900411,2026-04-23T23:55:14.039Z
7705485,913059,6328.76,2026-04-23T21:59:54.635Z,bid-extra-60352900421,2026-04-23T23:55:14.039Z
7705615,913369,6964.360000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900431,2026-04-23T23:55:14.039Z
7705745,913679,7599.96,2026-04-23T21:59:54.635Z,bid-extra-60352900441,2026-04-23T23:55:14.039Z
7706005,914299,8871.16,2026-04-23T21:59:54.636Z,bid-extra-60352900461,2026-04-23T23:55:14.039Z
7706135,914609,9506.76,2026-04-23T21:59:54.636Z,bid-extra-60352900471,2026-04-23T23:55:14.039Z
7706265,914919,10142.36,2026-04-23T21:59:54.636Z,bid-extra-60352900481,2026-04-23T23:55:14.039Z
7706395,915229,6237.96,2026-04-23T21:59:54.636Z,bid-extra-60352900491,2026-04-23T23:55:14.039Z
7706655,915849,7509.16,2026-04-23T21:59:54.636Z,bid-extra-60352900511,2026-04-23T23:55:14.039Z
7706785,916159,8144.76,2026-04-23T21:59:54.636Z,bid-extra-60352900521,2026-04-23T23:55:14.039Z
7706915,916469,8780.36,2026-04-23T21:59:54.636Z,bid-extra-60352900531,2026-04-23T23:55:14.039Z
7707045,916779,9415.960000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900541,2026-04-23T23:55:14.039Z
7707305,917399,10687.16,2026-04-23T21:59:54.637Z,bid-extra-60352900561,2026-04-23T23:55:14.039Z
7707435,917709,11322.76,2026-04-23T21:59:54.637Z,bid-extra-60352900571,2026-04-23T23:55:14.039Z
7707565,918019,11958.36,2026-04-23T21:59:54.637Z,bid-extra-60352900581,2026-04-23T23:55:14.039Z
7707695,918329,12593.960000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900591,2026-04-23T23:55:14.039Z
7707955,918949,335.96000000000004,2026-04-23T21:59:54.637Z,bid-extra-60352900611,2026-04-23T23:55:14.039Z
7708085,919259,971.5600000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900621,2026-04-23T23:55:14.039Z
7708215,919569,1607.16,2026-04-23T21:59:54.637Z,bid-extra-60352900631,2026-04-23T23:55:14.039Z
7708345,919879,2242.76,2026-04-23T21:59:54.637Z,bid-extra-60352900641,2026-04-23T23:55:14.039Z
7708605,920499,3513.96,2026-04-23T21:59:54.638Z,bid-extra-60352900661,2026-04-23T23:55:14.039Z
7708735,920809,4149.56,2026-04-23T21:59:54.638Z,bid-extra-60352900671,2026-04-23T23:55:14.039Z
7708865,921119,4785.16,2026-04-23T21:59:54.638Z,bid-extra-60352900681,2026-04-23T23:55:14.039Z
7708995,921429,5420.76,2026-04-23T21:59:54.638Z,bid-extra-60352900691,2026-04-23T23:55:14.039Z
7709255,922049,6691.96,2026-04-23T21:59:54.638Z,bid-extra-60352900711,2026-04-23T23:55:14.039Z
7709385,922359,7327.56,2026-04-23T21:59:54.638Z,bid-extra-60352900721,2026-04-23T23:55:14.039Z
7709515,922669,7963.16,2026-04-23T21:59:54.638Z,bid-extra-60352900731,2026-04-23T23:55:14.039Z
7709645,922979,4058.76,2026-04-23T21:59:54.638Z,bid-extra-60352900741,2026-04-23T23:55:14.039Z
7709905,923599,5329.96,2026-04-23T21:59:54.639Z,bid-extra-60352900761,2026-04-23T23:55:14.039Z
7710035,923909,5965.56,2026-04-23T21:59:54.639Z,bid-extra-60352900771,2026-04-23T23:55:14.039Z
7710165,924219,6601.16,2026-04-23T21:59:54.639Z,bid-extra-60352900781,2026-04-23T23:55:14.039Z
7710295,924529,7236.76,2026-04-23T21:59:54.639Z,bid-extra-60352900791,2026-04-23T23:55:14.039Z
7710555,925149,8507.960000000001,2026-04-23T21:59:54.639Z,bid-extra-60352900811,2026-04-23T23:55:14.039Z
7710685,925459,9143.56,2026-04-23T21:59:54.639Z,bid-extra-60352900821,2026-04-23T23:55:14.039Z
7710815,925769,9779.16,2026-04-23T21:59:54.639Z,bid-extra-60352900831,2026-04-23T23:55:14.039Z
7710945,926079,10414.76,2026-04-23T21:59:54.639Z,bid-extra-60352900841,2026-04-23T23:55:14.039Z
7711205,926699,7145.96,2026-04-23T21:59:54.640Z,bid-extra-60352900861,2026-04-23T23:55:14.039Z
7711335,927009,7781.56,2026-04-23T21:59:54.640Z,bid-extra-60352900871,2026-04-23T23:55:14.039Z
7711465,927319,8417.16,2026-04-23T21:59:54.640Z,bid-extra-60352900881,2026-04-23T23:55:14.039Z
7711595,927629,9052.76,2026-04-23T21:59:54.640Z,bid-extra-60352900891,2026-04-23T23:55:14.039Z
7711855,928249,10323.960000000001,2026-04-23T21:59:54.640Z,bid-extra-60352900911,2026-04-23T23:55:14.039Z
7711985,928559,10959.56,2026-04-23T21:59:54.640Z,bid-extra-60352900921,2026-04-23T23:55:14.039Z
7712115,928869,11595.16,2026-04-23T21:59:54.640Z,bid-extra-60352900931,2026-04-23T23:55:14.039Z
7712245,929179,12230.76,2026-04-23T21:59:54.640Z,bid-extra-60352900941,2026-04-23T23:55:14.039Z
7712505,929799,4512.76,2026-04-23T21:59:54.641Z,bid-extra-60352900961,2026-04-23T23:55:14.039Z
7712635,930109,5148.360000000001,2026-04-23T21:59:54.641Z,bid-extra-60352900971,2026-04-23T23:55:14.039Z
7712765,930419,1243.96,2026-04-23T21:59:54.641Z,bid-extra-60352900981,2026-04-23T23:55:14.039Z
7712895,930729,1879.5600000000002,2026-04-23T21:59:54.641Z,bid-extra-60352900991,2026-04-23T23:55:14.039Z
7713155,931349,3150.76,2026-04-23T21:59:54.641Z,bid-extra-60352901011,2026-04-23T23:55:14.039Z
7713285,931659,3786.36,2026-04-23T21:59:54.641Z,bid-extra-60352901021,2026-04-23T23:55:14.039Z
7713415,931969,4421.96,2026-04-23T21:59:54.641Z,bid-extra-60352901031,2026-04-23T23:55:14.039Z
7713545,932279,5057.56,2026-04-23T21:59:54.641Z,bid-extra-60352901041,2026-04-23T23:55:14.039Z
7713805,932899,6328.76,2026-04-23T21:59:54.642Z,bid-extra-60352901061,2026-04-23T23:55:14.039Z
7713935,933209,6964.360000000001,2026-04-23T21:59:54.642Z,bid-extra-60352901071,2026-04-23T23:55:14.039Z
7714065,933519,7599.96,2026-04-23T21:59:54.642Z,bid-extra-60352901081,2026-04-23T23:55:14.039Z
7714195,933829,8235.56,2026-04-23T21:59:54.642Z,bid-extra-60352901091,2026-04-23T23:55:14.039Z
7714455,934449,4966.76,2026-04-23T21:59:54.642Z,bid-extra-60352901111,2026-04-23T23:55:14.039Z
7714585,934759,5602.360000000001,2026-04-23T21:59:54.642Z,bid-extra-60352901121,2026-04-23T23:55:14.039Z
7714715,935069,6237.96,2026-04-23T21:59:54.642Z,bid-extra-60352901131,2026-04-23T23:55:14.039Z
7714845,935379,6873.56,2026-04-23T21:59:54.642Z,bid-extra-60352901141,2026-04-23T23:55:14.039Z
7715105,935999,8144.76,2026-04-23T21:59:54.643Z,bid-extra-60352901161,2026-04-23T23:55:14.039Z
7715235,936309,8780.36,2026-04-23T21:59:54.643Z,bid-extra-60352901171,2026-04-23T23:55:14.039Z
7715365,936619,9415.960000000001,2026-04-23T21:59:54.643Z,bid-extra-60352901181,2026-04-23T23:55:14.039Z
7715495,936929,10051.56,2026-04-23T21:59:54.643Z,bid-extra-60352901191,2026-04-23T23:55:14.039Z
7715755,937549,11322.76,2026-04-23T21:59:54.643Z,bid-extra-60352901211,2026-04-23T23:55:14.039Z
7715885,937859,7418.360000000001,2026-04-23T21:59:54.643Z,bid-extra-60352901221,2026-04-23T23:55:14.039Z
7716015,938169,8053.96,2026-04-23T21:59:54.643Z,bid-extra-60352901231,2026-04-23T23:55:14.039Z
7716145,938479,8689.56,2026-04-23T21:59:54.643Z,bid-extra-60352901241,2026-04-23T23:55:14.039Z
7716405,939099,9960.76,2026-04-23T21:59:54.644Z,bid-extra-60352901261,2026-04-23T23:55:14.039Z
7716535,939409,10596.36,2026-04-23T21:59:54.644Z,bid-extra-60352901271,2026-04-23T23:55:14.039Z
7716665,939719,11231.960000000001,2026-04-23T21:59:54.644Z,bid-extra-60352901281,2026-04-23T23:55:14.039Z
7716795,940029,2878.36,2026-04-23T21:59:54.644Z,bid-extra-60352901291,2026-04-23T23:55:14.039Z
7717055,940649,4149.56,2026-04-23T21:59:54.644Z,bid-extra-60352901311,2026-04-23T23:55:14.039Z
