auction,bidder,price,dateTime,extra,processed_time
5200155,400349,789.96,2026-04-23T21:59:29.631Z,bid-extra-60350400011,2026-04-23T23:55:14.039Z
5200285,400659,1425.56,2026-04-23T21:59:29.631Z,bid-extra-60350400021,2026-04-23T23:55:14.039Z
5200415,400969,2061.16,2026-04-23T21:59:29.631Z,bid-extra-60350400031,2026-04-23T23:55:14.039Z
5200545,401279,2696.76,2026-04-23T21:59:29.631Z,bid-extra-60350400041,2026-04-23T23:55:14.039Z
5200805,401899,3967.96,2026-04-23T21:59:29.632Z,bid-extra-60350400061,2026-04-23T23:55:14.039Z
5200935,402209,4603.56,2026-04-23T21:59:29.632Z,bid-extra-60350400071,2026-04-23T23:55:14.039Z
5201065,402519,5239.16,2026-04-23T21:59:29.632Z,bid-extra-60350400081,2026-04-23T23:55:14.039Z
5201195,402829,5874.76,2026-04-23T21:59:29.632Z,bid-extra-60350400091,2026-04-23T23:55:14.039Z
5201455,403449,7145.96,2026-04-23T21:59:29.632Z,bid-extra-60350400111,2026-04-23T23:55:14.039Z
5201585,403759,7781.56,2026-04-23T21:59:29.632Z,bid-extra-60350400121,2026-04-23T23:55:14.039Z
5201715,404069,3877.1600000000003,2026-04-23T21:59:29.632Z,bid-extra-60350400131,2026-04-23T23:55:14.039Z
5201845,404379,4512.76,2026-04-23T21:59:29.632Z,bid-extra-60350400141,2026-04-23T23:55:14.039Z
5202105,404999,5783.96,2026-04-23T21:59:29.633Z,bid-extra-60350400161,2026-04-23T23:55:14.039Z
5202235,405309,6419.56,2026-04-23T21:59:29.633Z,bid-extra-60350400171,2026-04-23T23:55:14.039Z
5202365,405619,7055.16,2026-04-23T21:59:29.633Z,bid-extra-60350400181,2026-04-23T23:55:14.039Z
5202495,405929,7690.76,2026-04-23T21:59:29.633Z,bid-extra-60350400191,2026-04-23T23:55:14.039Z
5202755,406549,8961.960000000001,2026-04-23T21:59:29.633Z,bid-extra-60350400211,2026-04-23T23:55:14.039Z
5202885,406859,9597.56,2026-04-23T21:59:29.633Z,bid-extra-60350400221,2026-04-23T23:55:14.039Z
5203015,407169,10233.16,2026-04-23T21:59:29.633Z,bid-extra-60350400231,2026-04-23T23:55:14.039Z
5203145,407479,10868.76,2026-04-23T21:59:29.633Z,bid-extra-60350400241,2026-04-23T23:55:14.039Z
5203405,408099,7599.96,2026-04-23T21:59:29.634Z,bid-extra-60350400261,2026-04-23T23:55:14.039Z
5203535,408409,8235.56,2026-04-23T21:59:29.634Z,bid-extra-60350400271,2026-04-23T23:55:14.039Z
