auction,bidder,price,dateTime,extra,processed_time
8950168,650380,3668.32,2026-04-23T22:00:57.131Z,bid-extra-60359150012,2026-04-23T23:55:14.039Z
8950298,650690,4303.92,2026-04-23T22:00:57.131Z,bid-extra-60359150022,2026-04-23T23:55:14.039Z
8950428,651000,4939.52,2026-04-23T22:00:57.131Z,bid-extra-60359150032,2026-04-23T23:55:14.039Z
8950558,651310,5575.12,2026-04-23T22:00:57.131Z,bid-extra-60359150042,2026-04-23T23:55:14.039Z
8950818,651930,6846.320000000001,2026-04-23T22:00:57.132Z,bid-extra-60359150062,2026-04-23T23:55:14.039Z
8950948,652240,7481.92,2026-04-23T22:00:57.132Z,bid-extra-60359150072,2026-04-23T23:55:14.039Z
8951078,652550,8117.52,2026-04-23T22:00:57.132Z,bid-extra-60359150082,2026-04-23T23:55:14.039Z
8951208,652860,8753.12,2026-04-23T22:00:57.132Z,bid-extra-60359150092,2026-04-23T23:55:14.039Z
8951468,653480,10024.32,2026-04-23T22:00:57.132Z,bid-extra-60359150112,2026-04-23T23:55:14.039Z
8951598,653790,6119.92,2026-04-23T22:00:57.132Z,bid-extra-60359150122,2026-04-23T23:55:14.039Z
8951728,654100,6755.52,2026-04-23T22:00:57.132Z,bid-extra-60359150132,2026-04-23T23:55:14.039Z
8951858,654410,7391.12,2026-04-23T22:00:57.132Z,bid-extra-60359150142,2026-04-23T23:55:14.039Z
8952118,655030,8662.32,2026-04-23T22:00:57.133Z,bid-extra-60359150162,2026-04-23T23:55:14.039Z
8952248,655340,9297.92,2026-04-23T22:00:57.133Z,bid-extra-60359150172,2026-04-23T23:55:14.039Z
8952378,655650,9933.52,2026-04-23T22:00:57.133Z,bid-extra-60359150182,2026-04-23T23:55:14.039Z
8952508,655960,10569.12,2026-04-23T22:00:57.133Z,bid-extra-60359150192,2026-04-23T23:55:14.039Z
8952768,656580,11840.32,2026-04-23T22:00:57.133Z,bid-extra-60359150212,2026-04-23T23:55:14.039Z
8952898,656890,12475.92,2026-04-23T22:00:57.133Z,bid-extra-60359150222,2026-04-23T23:55:14.039Z
8953028,657200,13111.52,2026-04-23T22:00:57.133Z,bid-extra-60359150232,2026-04-23T23:55:14.039Z
8953158,657510,4757.92,2026-04-23T22:00:57.133Z,bid-extra-60359150242,2026-04-23T23:55:14.039Z
8953418,658130,1489.1200000000001,2026-04-23T22:00:57.134Z,bid-extra-60359150262,2026-04-23T23:55:14.039Z
8953548,658440,2124.7200000000003,2026-04-23T22:00:57.134Z,bid-extra-60359150272,2026-04-23T23:55:14.039Z
8953678,658750,2760.32,2026-04-23T22:00:57.134Z,bid-extra-60359150282,2026-04-23T23:55:14.039Z
8953808,659060,3395.92,2026-04-23T22:00:57.134Z,bid-extra-60359150292,2026-04-23T23:55:14.039Z
8954068,659680,4667.12,2026-04-23T22:00:57.134Z,bid-extra-60359150312,2026-04-23T23:55:14.039Z
8954198,659990,5302.72,2026-04-23T22:00:57.134Z,bid-extra-60359150322,2026-04-23T23:55:14.039Z
8954328,660300,5938.320000000001,2026-04-23T22:00:57.134Z,bid-extra-60359150332,2026-04-23T23:55:14.039Z
8954458,660610,6573.92,2026-04-23T22:00:57.134Z,bid-extra-60359150342,2026-04-23T23:55:14.039Z
8954718,661230,7845.12,2026-04-23T22:00:57.135Z,bid-extra-60359150362,2026-04-23T23:55:14.039Z
8954848,661540,3940.7200000000003,2026-04-23T22:00:57.135Z,bid-extra-60359150372,2026-04-23T23:55:14.039Z
8954978,661850,4576.32,2026-04-23T22:00:57.135Z,bid-extra-60359150382,2026-04-23T23:55:14.039Z
8955108,662160,5211.92,2026-04-23T22:00:57.135Z,bid-extra-60359150392,2026-04-23T23:55:14.039Z
8955368,662780,6483.12,2026-04-23T22:00:57.135Z,bid-extra-60359150412,2026-04-23T23:55:14.039Z
8955498,663090,7118.72,2026-04-23T22:00:57.135Z,bid-extra-60359150422,2026-04-23T23:55:14.039Z
8955628,663400,7754.320000000001,2026-04-23T22:00:57.135Z,bid-extra-60359150432,2026-04-23T23:55:14.039Z
8955758,663710,8389.92,2026-04-23T22:00:57.135Z,bid-extra-60359150442,2026-04-23T23:55:14.039Z
8956018,664330,9661.12,2026-04-23T22:00:57.136Z,bid-extra-60359150462,2026-04-23T23:55:14.039Z
8956148,664640,10296.720000000001,2026-04-23T22:00:57.136Z,bid-extra-60359150472,2026-04-23T23:55:14.039Z
8956278,664950,10932.32,2026-04-23T22:00:57.136Z,bid-extra-60359150482,2026-04-23T23:55:14.039Z
8956408,665260,7027.92,2026-04-23T22:00:57.136Z,bid-extra-60359150492,2026-04-23T23:55:14.039Z
8956668,665880,8299.12,2026-04-23T22:00:57.136Z,bid-extra-60359150512,2026-04-23T23:55:14.039Z
8956798,666190,8934.720000000001,2026-04-23T22:00:57.136Z,bid-extra-60359150522,2026-04-23T23:55:14.039Z
8956928,666500,9570.32,2026-04-23T22:00:57.136Z,bid-extra-60359150532,2026-04-23T23:55:14.039Z
8957058,666810,10205.92,2026-04-23T22:00:57.136Z,bid-extra-60359150542,2026-04-23T23:55:14.039Z
8957318,667430,11477.12,2026-04-23T22:00:57.137Z,bid-extra-60359150562,2026-04-23T23:55:14.039Z
8957448,667740,12112.720000000001,2026-04-23T22:00:57.137Z,bid-extra-60359150572,2026-04-23T23:55:14.039Z
8957578,668050,3759.1200000000003,2026-04-23T22:00:57.137Z,bid-extra-60359150582,2026-04-23T23:55:14.039Z
8957708,668360,4394.72,2026-04-23T22:00:57.137Z,bid-extra-60359150592,2026-04-23T23:55:14.039Z
8957968,668980,1125.92,2026-04-23T22:00:57.137Z,bid-extra-60359150612,2026-04-23T23:55:14.039Z
8958098,669290,1761.52,2026-04-23T22:00:57.137Z,bid-extra-60359150622,2026-04-23T23:55:14.039Z
8958228,669600,2397.12,2026-04-23T22:00:57.137Z,bid-extra-60359150632,2026-04-23T23:55:14.039Z
8958358,669910,3032.7200000000003,2026-04-23T22:00:57.137Z,bid-extra-60359150642,2026-04-23T23:55:14.039Z
8958618,670530,4303.92,2026-04-23T22:00:57.138Z,bid-extra-60359150662,2026-04-23T23:55:14.039Z
8958748,670840,4939.52,2026-04-23T22:00:57.138Z,bid-extra-60359150672,2026-04-23T23:55:14.039Z
8958878,671150,5575.12,2026-04-23T22:00:57.138Z,bid-extra-60359150682,2026-04-23T23:55:14.039Z
8959008,671460,6210.72,2026-04-23T22:00:57.138Z,bid-extra-60359150692,2026-04-23T23:55:14.039Z
8959268,672080,7481.92,2026-04-23T22:00:57.138Z,bid-extra-60359150712,2026-04-23T23:55:14.039Z
8959398,672390,8117.52,2026-04-23T22:00:57.138Z,bid-extra-60359150722,2026-04-23T23:55:14.039Z
8959528,672700,4213.12,2026-04-23T22:00:57.138Z,bid-extra-60359150732,2026-04-23T23:55:14.039Z
8959658,673010,4848.72,2026-04-23T22:00:57.138Z,bid-extra-60359150742,2026-04-23T23:55:14.039Z
