auction,bidder,price,dateTime,extra,processed_time
6450168,150380,2215.52,2026-04-23T21:58:52.131Z,bid-extra-60346650012,2026-04-23T23:55:14.039Z
6450298,150690,2851.12,2026-04-23T21:58:52.131Z,bid-extra-60346650022,2026-04-23T23:55:14.039Z
6450428,151000,3486.7200000000003,2026-04-23T21:58:52.131Z,bid-extra-60346650032,2026-04-23T23:55:14.039Z
6450558,151310,4122.32,2026-04-23T21:58:52.131Z,bid-extra-60346650042,2026-04-23T23:55:14.039Z
6450818,151930,5393.52,2026-04-23T21:58:52.132Z,bid-extra-60346650062,2026-04-23T23:55:14.039Z
6450948,152240,6029.12,2026-04-23T21:58:52.132Z,bid-extra-60346650072,2026-04-23T23:55:14.039Z
6451078,152550,6664.72,2026-04-23T21:58:52.132Z,bid-extra-60346650082,2026-04-23T23:55:14.039Z
6451208,152860,7300.320000000001,2026-04-23T21:58:52.132Z,bid-extra-60346650092,2026-04-23T23:55:14.039Z
6451468,153480,8571.52,2026-04-23T21:58:52.132Z,bid-extra-60346650112,2026-04-23T23:55:14.039Z
6451598,153790,4667.12,2026-04-23T21:58:52.132Z,bid-extra-60346650122,2026-04-23T23:55:14.039Z
6451728,154100,5302.72,2026-04-23T21:58:52.132Z,bid-extra-60346650132,2026-04-23T23:55:14.039Z
6451858,154410,5938.320000000001,2026-04-23T21:58:52.132Z,bid-extra-60346650142,2026-04-23T23:55:14.039Z
6452118,155030,7209.52,2026-04-23T21:58:52.133Z,bid-extra-60346650162,2026-04-23T23:55:14.039Z
6452248,155340,7845.12,2026-04-23T21:58:52.133Z,bid-extra-60346650172,2026-04-23T23:55:14.039Z
6452378,155650,8480.720000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650182,2026-04-23T23:55:14.039Z
6452508,155960,9116.32,2026-04-23T21:58:52.133Z,bid-extra-60346650192,2026-04-23T23:55:14.039Z
6452768,156580,10387.52,2026-04-23T21:58:52.133Z,bid-extra-60346650212,2026-04-23T23:55:14.039Z
6452898,156890,11023.12,2026-04-23T21:58:52.133Z,bid-extra-60346650222,2026-04-23T23:55:14.039Z
6453028,157200,11658.720000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650232,2026-04-23T23:55:14.039Z
6453158,157510,12294.32,2026-04-23T21:58:52.133Z,bid-extra-60346650242,2026-04-23T23:55:14.039Z
6453418,158130,9025.52,2026-04-23T21:58:52.134Z,bid-extra-60346650262,2026-04-23T23:55:14.039Z
6453548,158440,9661.12,2026-04-23T21:58:52.134Z,bid-extra-60346650272,2026-04-23T23:55:14.039Z
6453678,158750,10296.720000000001,2026-04-23T21:58:52.134Z,bid-extra-60346650282,2026-04-23T23:55:14.039Z
6453808,159060,1943.1200000000001,2026-04-23T21:58:52.134Z,bid-extra-60346650292,2026-04-23T23:55:14.039Z
6454068,159680,3214.32,2026-04-23T21:58:52.134Z,bid-extra-60346650312,2026-04-23T23:55:14.039Z
6454198,159990,3849.92,2026-04-23T21:58:52.134Z,bid-extra-60346650322,2026-04-23T23:55:14.039Z
6454328,160300,4485.52,2026-04-23T21:58:52.134Z,bid-extra-60346650332,2026-04-23T23:55:14.039Z
6454458,160610,5121.12,2026-04-23T21:58:52.134Z,bid-extra-60346650342,2026-04-23T23:55:14.039Z
6454718,161230,6392.320000000001,2026-04-23T21:58:52.135Z,bid-extra-60346650362,2026-04-23T23:55:14.039Z
6454848,161540,2487.92,2026-04-23T21:58:52.135Z,bid-extra-60346650372,2026-04-23T23:55:14.039Z
6454978,161850,3123.52,2026-04-23T21:58:52.135Z,bid-extra-60346650382,2026-04-23T23:55:14.039Z
6455108,162160,3759.1200000000003,2026-04-23T21:58:52.135Z,bid-extra-60346650392,2026-04-23T23:55:14.039Z
6455368,162780,5030.32,2026-04-23T21:58:52.135Z,bid-extra-60346650412,2026-04-23T23:55:14.039Z
6455498,163090,5665.92,2026-04-23T21:58:52.135Z,bid-extra-60346650422,2026-04-23T23:55:14.039Z
6455628,163400,6301.52,2026-04-23T21:58:52.135Z,bid-extra-60346650432,2026-04-23T23:55:14.039Z
6455758,163710,6937.12,2026-04-23T21:58:52.135Z,bid-extra-60346650442,2026-04-23T23:55:14.039Z
6456018,164330,8208.32,2026-04-23T21:58:52.136Z,bid-extra-60346650462,2026-04-23T23:55:14.039Z
6456148,164640,8843.92,2026-04-23T21:58:52.136Z,bid-extra-60346650472,2026-04-23T23:55:14.039Z
6456278,164950,9479.52,2026-04-23T21:58:52.136Z,bid-extra-60346650482,2026-04-23T23:55:14.039Z
6456408,165260,5575.12,2026-04-23T21:58:52.136Z,bid-extra-60346650492,2026-04-23T23:55:14.039Z
6456668,165880,6846.320000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650512,2026-04-23T23:55:14.039Z
6456798,166190,7481.92,2026-04-23T21:58:52.136Z,bid-extra-60346650522,2026-04-23T23:55:14.039Z
6456928,166500,8117.52,2026-04-23T21:58:52.136Z,bid-extra-60346650532,2026-04-23T23:55:14.039Z
6457058,166810,8753.12,2026-04-23T21:58:52.136Z,bid-extra-60346650542,2026-04-23T23:55:14.039Z
6457318,167430,10024.32,2026-04-23T21:58:52.137Z,bid-extra-60346650562,2026-04-23T23:55:14.039Z
6457448,167740,10659.92,2026-04-23T21:58:52.137Z,bid-extra-60346650572,2026-04-23T23:55:14.039Z
6457578,168050,11295.52,2026-04-23T21:58:52.137Z,bid-extra-60346650582,2026-04-23T23:55:14.039Z
6457708,168360,11931.12,2026-04-23T21:58:52.137Z,bid-extra-60346650592,2026-04-23T23:55:14.039Z
6457968,168980,8662.32,2026-04-23T21:58:52.137Z,bid-extra-60346650612,2026-04-23T23:55:14.039Z
6458098,169290,9297.92,2026-04-23T21:58:52.137Z,bid-extra-60346650622,2026-04-23T23:55:14.039Z
6458228,169600,944.32,2026-04-23T21:58:52.137Z,bid-extra-60346650632,2026-04-23T23:55:14.039Z
6458358,169910,1579.92,2026-04-23T21:58:52.137Z,bid-extra-60346650642,2026-04-23T23:55:14.039Z
6458618,170530,2851.12,2026-04-23T21:58:52.138Z,bid-extra-60346650662,2026-04-23T23:55:14.039Z
6458748,170840,3486.7200000000003,2026-04-23T21:58:52.138Z,bid-extra-60346650672,2026-04-23T23:55:14.039Z
6458878,171150,4122.32,2026-04-23T21:58:52.138Z,bid-extra-60346650682,2026-04-23T23:55:14.039Z
6459008,171460,4757.92,2026-04-23T21:58:52.138Z,bid-extra-60346650692,2026-04-23T23:55:14.039Z
6459268,172080,6029.12,2026-04-23T21:58:52.138Z,bid-extra-60346650712,2026-04-23T23:55:14.039Z
6459398,172390,6664.72,2026-04-23T21:58:52.138Z,bid-extra-60346650722,2026-04-23T23:55:14.039Z
6459528,172700,2760.32,2026-04-23T21:58:52.138Z,bid-extra-60346650732,2026-04-23T23:55:14.039Z
