auction,bidder,price,dateTime,extra,processed_time
6450168,150380,1579.92,2026-04-23T22:00:32.131Z,bid-extra-60356650012,2026-04-23T23:55:14.039Z
6450298,150690,2215.52,2026-04-23T22:00:32.131Z,bid-extra-60356650022,2026-04-23T23:55:14.039Z
6450428,151000,2851.12,2026-04-23T22:00:32.131Z,bid-extra-60356650032,2026-04-23T23:55:14.039Z
6450558,151310,3486.7200000000003,2026-04-23T22:00:32.131Z,bid-extra-60356650042,2026-04-23T23:55:14.039Z
6450818,151930,4757.92,2026-04-23T22:00:32.132Z,bid-extra-60356650062,2026-04-23T23:55:14.039Z
6450948,152240,5393.52,2026-04-23T22:00:32.132Z,bid-extra-60356650072,2026-04-23T23:55:14.039Z
6451078,152550,6029.12,2026-04-23T22:00:32.132Z,bid-extra-60356650082,2026-04-23T23:55:14.039Z
6451208,152860,6664.72,2026-04-23T22:00:32.132Z,bid-extra-60356650092,2026-04-23T23:55:14.039Z
6451468,153480,7935.92,2026-04-23T22:00:32.132Z,bid-extra-60356650112,2026-04-23T23:55:14.039Z
6451598,153790,4031.52,2026-04-23T22:00:32.132Z,bid-extra-60356650122,2026-04-23T23:55:14.039Z
6451728,154100,4667.12,2026-04-23T22:00:32.132Z,bid-extra-60356650132,2026-04-23T23:55:14.039Z
6451858,154410,5302.72,2026-04-23T22:00:32.132Z,bid-extra-60356650142,2026-04-23T23:55:14.039Z
6452118,155030,6573.92,2026-04-23T22:00:32.133Z,bid-extra-60356650162,2026-04-23T23:55:14.039Z
6452248,155340,7209.52,2026-04-23T22:00:32.133Z,bid-extra-60356650172,2026-04-23T23:55:14.039Z
6452378,155650,7845.12,2026-04-23T22:00:32.133Z,bid-extra-60356650182,2026-04-23T23:55:14.039Z
6452508,155960,8480.720000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650192,2026-04-23T23:55:14.039Z
6452768,156580,9751.92,2026-04-23T22:00:32.133Z,bid-extra-60356650212,2026-04-23T23:55:14.039Z
6452898,156890,10387.52,2026-04-23T22:00:32.133Z,bid-extra-60356650222,2026-04-23T23:55:14.039Z
6453028,157200,11023.12,2026-04-23T22:00:32.133Z,bid-extra-60356650232,2026-04-23T23:55:14.039Z
6453158,157510,11658.720000000001,2026-04-23T22:00:32.133Z,bid-extra-60356650242,2026-04-23T23:55:14.039Z
6453418,158130,8389.92,2026-04-23T22:00:32.134Z,bid-extra-60356650262,2026-04-23T23:55:14.039Z
6453548,158440,9025.52,2026-04-23T22:00:32.134Z,bid-extra-60356650272,2026-04-23T23:55:14.039Z
6453678,158750,9661.12,2026-04-23T22:00:32.134Z,bid-extra-60356650282,2026-04-23T23:55:14.039Z
6453808,159060,10296.720000000001,2026-04-23T22:00:32.134Z,bid-extra-60356650292,2026-04-23T23:55:14.039Z
6454068,159680,11567.92,2026-04-23T22:00:32.134Z,bid-extra-60356650312,2026-04-23T23:55:14.039Z
6454198,159990,3214.32,2026-04-23T22:00:32.134Z,bid-extra-60356650322,2026-04-23T23:55:14.039Z
6454328,160300,3849.92,2026-04-23T22:00:32.134Z,bid-extra-60356650332,2026-04-23T23:55:14.039Z
6454458,160610,4485.52,2026-04-23T22:00:32.134Z,bid-extra-60356650342,2026-04-23T23:55:14.039Z
6454718,161230,5756.72,2026-04-23T22:00:32.135Z,bid-extra-60356650362,2026-04-23T23:55:14.039Z
6454848,161540,1852.3200000000002,2026-04-23T22:00:32.135Z,bid-extra-60356650372,2026-04-23T23:55:14.039Z
6454978,161850,2487.92,2026-04-23T22:00:32.135Z,bid-extra-60356650382,2026-04-23T23:55:14.039Z
6455108,162160,3123.52,2026-04-23T22:00:32.135Z,bid-extra-60356650392,2026-04-23T23:55:14.039Z
6455368,162780,4394.72,2026-04-23T22:00:32.135Z,bid-extra-60356650412,2026-04-23T23:55:14.039Z
6455498,163090,5030.32,2026-04-23T22:00:32.135Z,bid-extra-60356650422,2026-04-23T23:55:14.039Z
6455628,163400,5665.92,2026-04-23T22:00:32.135Z,bid-extra-60356650432,2026-04-23T23:55:14.039Z
6455758,163710,6301.52,2026-04-23T22:00:32.135Z,bid-extra-60356650442,2026-04-23T23:55:14.039Z
6456018,164330,7572.72,2026-04-23T22:00:32.136Z,bid-extra-60356650462,2026-04-23T23:55:14.039Z
