auction,bidder,price,dateTime,extra,processed_time
200168,400380,5665.92,2026-04-23T21:58:39.631Z,bid-extra-60345400012,2026-04-23T23:55:14.039Z
200298,400690,6301.52,2026-04-23T21:58:39.631Z,bid-extra-60345400022,2026-04-23T23:55:14.039Z
200428,401000,6937.12,2026-04-23T21:58:39.631Z,bid-extra-60345400032,2026-04-23T23:55:14.039Z
200558,401310,7572.72,2026-04-23T21:58:39.631Z,bid-extra-60345400042,2026-04-23T23:55:14.039Z
200818,401930,8843.92,2026-04-23T21:58:39.632Z,bid-extra-60345400062,2026-04-23T23:55:14.039Z
200948,402240,9479.52,2026-04-23T21:58:39.632Z,bid-extra-60345400072,2026-04-23T23:55:14.039Z
201078,402550,10115.12,2026-04-23T21:58:39.632Z,bid-extra-60345400082,2026-04-23T23:55:14.039Z
201208,402860,10750.720000000001,2026-04-23T21:58:39.632Z,bid-extra-60345400092,2026-04-23T23:55:14.039Z
201468,403480,12021.92,2026-04-23T21:58:39.632Z,bid-extra-60345400112,2026-04-23T23:55:14.039Z
201598,403790,8117.52,2026-04-23T21:58:39.632Z,bid-extra-60345400122,2026-04-23T23:55:14.039Z
201728,404100,8753.12,2026-04-23T21:58:39.632Z,bid-extra-60345400132,2026-04-23T23:55:14.039Z
201858,404410,9388.720000000001,2026-04-23T21:58:39.632Z,bid-extra-60345400142,2026-04-23T23:55:14.039Z
202118,405030,1670.72,2026-04-23T21:58:39.633Z,bid-extra-60345400162,2026-04-23T23:55:14.039Z
202248,405340,2306.32,2026-04-23T21:58:39.633Z,bid-extra-60345400172,2026-04-23T23:55:14.039Z
202378,405650,2941.92,2026-04-23T21:58:39.633Z,bid-extra-60345400182,2026-04-23T23:55:14.039Z
202508,405960,3577.52,2026-04-23T21:58:39.633Z,bid-extra-60345400192,2026-04-23T23:55:14.039Z
202768,406580,4848.72,2026-04-23T21:58:39.633Z,bid-extra-60345400212,2026-04-23T23:55:14.039Z
202898,406890,5484.320000000001,2026-04-23T21:58:39.633Z,bid-extra-60345400222,2026-04-23T23:55:14.039Z
203028,407200,6119.92,2026-04-23T21:58:39.633Z,bid-extra-60345400232,2026-04-23T23:55:14.039Z
203158,407510,6755.52,2026-04-23T21:58:39.633Z,bid-extra-60345400242,2026-04-23T23:55:14.039Z
203418,408130,3486.7200000000003,2026-04-23T21:58:39.634Z,bid-extra-60345400262,2026-04-23T23:55:14.039Z
203548,408440,4122.32,2026-04-23T21:58:39.634Z,bid-extra-60345400272,2026-04-23T23:55:14.039Z
203678,408750,4757.92,2026-04-23T21:58:39.634Z,bid-extra-60345400282,2026-04-23T23:55:14.039Z
203808,409060,5393.52,2026-04-23T21:58:39.634Z,bid-extra-60345400292,2026-04-23T23:55:14.039Z
204068,409680,6664.72,2026-04-23T21:58:39.634Z,bid-extra-60345400312,2026-04-23T23:55:14.039Z
204198,409990,7300.320000000001,2026-04-23T21:58:39.634Z,bid-extra-60345400322,2026-04-23T23:55:14.039Z
204328,410300,7935.92,2026-04-23T21:58:39.634Z,bid-extra-60345400332,2026-04-23T23:55:14.039Z
204458,410610,8571.52,2026-04-23T21:58:39.634Z,bid-extra-60345400342,2026-04-23T23:55:14.039Z
204718,411230,9842.720000000001,2026-04-23T21:58:39.635Z,bid-extra-60345400362,2026-04-23T23:55:14.039Z
204848,411540,5938.320000000001,2026-04-23T21:58:39.635Z,bid-extra-60345400372,2026-04-23T23:55:14.039Z
204978,411850,6573.92,2026-04-23T21:58:39.635Z,bid-extra-60345400382,2026-04-23T23:55:14.039Z
205108,412160,7209.52,2026-04-23T21:58:39.635Z,bid-extra-60345400392,2026-04-23T23:55:14.039Z
205368,412780,8480.720000000001,2026-04-23T21:58:39.635Z,bid-extra-60345400412,2026-04-23T23:55:14.039Z
205498,413090,9116.32,2026-04-23T21:58:39.635Z,bid-extra-60345400422,2026-04-23T23:55:14.039Z
205628,413400,9751.92,2026-04-23T21:58:39.635Z,bid-extra-60345400432,2026-04-23T23:55:14.039Z
