auction,bidder,price,dateTime,extra,processed_time
200168,400380,5030.32,2026-04-23T22:00:19.631Z,bid-extra-60355400012,2026-04-23T23:55:14.039Z
200298,400690,5665.92,2026-04-23T22:00:19.631Z,bid-extra-60355400022,2026-04-23T23:55:14.039Z
200428,401000,6301.52,2026-04-23T22:00:19.631Z,bid-extra-60355400032,2026-04-23T23:55:14.039Z
200558,401310,6937.12,2026-04-23T22:00:19.631Z,bid-extra-60355400042,2026-04-23T23:55:14.039Z
200818,401930,8208.32,2026-04-23T22:00:19.632Z,bid-extra-60355400062,2026-04-23T23:55:14.039Z
200948,402240,8843.92,2026-04-23T22:00:19.632Z,bid-extra-60355400072,2026-04-23T23:55:14.039Z
201078,402550,9479.52,2026-04-23T22:00:19.632Z,bid-extra-60355400082,2026-04-23T23:55:14.039Z
201208,402860,10115.12,2026-04-23T22:00:19.632Z,bid-extra-60355400092,2026-04-23T23:55:14.039Z
201468,403480,11386.32,2026-04-23T22:00:19.632Z,bid-extra-60355400112,2026-04-23T23:55:14.039Z
201598,403790,7481.92,2026-04-23T22:00:19.632Z,bid-extra-60355400122,2026-04-23T23:55:14.039Z
201728,404100,8117.52,2026-04-23T22:00:19.632Z,bid-extra-60355400132,2026-04-23T23:55:14.039Z
201858,404410,8753.12,2026-04-23T22:00:19.632Z,bid-extra-60355400142,2026-04-23T23:55:14.039Z
202118,405030,10024.32,2026-04-23T22:00:19.633Z,bid-extra-60355400162,2026-04-23T23:55:14.039Z
202248,405340,10659.92,2026-04-23T22:00:19.633Z,bid-extra-60355400172,2026-04-23T23:55:14.039Z
202378,405650,11295.52,2026-04-23T22:00:19.633Z,bid-extra-60355400182,2026-04-23T23:55:14.039Z
202508,405960,2941.92,2026-04-23T22:00:19.633Z,bid-extra-60355400192,2026-04-23T23:55:14.039Z
202768,406580,4213.12,2026-04-23T22:00:19.633Z,bid-extra-60355400212,2026-04-23T23:55:14.039Z
202898,406890,4848.72,2026-04-23T22:00:19.633Z,bid-extra-60355400222,2026-04-23T23:55:14.039Z
203028,407200,5484.320000000001,2026-04-23T22:00:19.633Z,bid-extra-60355400232,2026-04-23T23:55:14.039Z
203158,407510,6119.92,2026-04-23T22:00:19.633Z,bid-extra-60355400242,2026-04-23T23:55:14.039Z
203418,408130,2851.12,2026-04-23T22:00:19.634Z,bid-extra-60355400262,2026-04-23T23:55:14.039Z
203548,408440,3486.7200000000003,2026-04-23T22:00:19.634Z,bid-extra-60355400272,2026-04-23T23:55:14.039Z
203678,408750,4122.32,2026-04-23T22:00:19.634Z,bid-extra-60355400282,2026-04-23T23:55:14.039Z
203808,409060,4757.92,2026-04-23T22:00:19.634Z,bid-extra-60355400292,2026-04-23T23:55:14.039Z
204068,409680,6029.12,2026-04-23T22:00:19.634Z,bid-extra-60355400312,2026-04-23T23:55:14.039Z
204198,409990,6664.72,2026-04-23T22:00:19.634Z,bid-extra-60355400322,2026-04-23T23:55:14.039Z
204328,410300,7300.320000000001,2026-04-23T22:00:19.634Z,bid-extra-60355400332,2026-04-23T23:55:14.039Z
204458,410610,7935.92,2026-04-23T22:00:19.634Z,bid-extra-60355400342,2026-04-23T23:55:14.039Z
204718,411230,9207.12,2026-04-23T22:00:19.635Z,bid-extra-60355400362,2026-04-23T23:55:14.039Z
204848,411540,5302.72,2026-04-23T22:00:19.635Z,bid-extra-60355400372,2026-04-23T23:55:14.039Z
204978,411850,5938.320000000001,2026-04-23T22:00:19.635Z,bid-extra-60355400382,2026-04-23T23:55:14.039Z
205108,412160,6573.92,2026-04-23T22:00:19.635Z,bid-extra-60355400392,2026-04-23T23:55:14.039Z
205368,412780,7845.12,2026-04-23T22:00:19.635Z,bid-extra-60355400412,2026-04-23T23:55:14.039Z
205498,413090,8480.720000000001,2026-04-23T22:00:19.635Z,bid-extra-60355400422,2026-04-23T23:55:14.039Z
205628,413400,9116.32,2026-04-23T22:00:19.635Z,bid-extra-60355400432,2026-04-23T23:55:14.039Z
205758,413710,9751.92,2026-04-23T22:00:19.635Z,bid-extra-60355400442,2026-04-23T23:55:14.039Z
206018,414330,11023.12,2026-04-23T22:00:19.636Z,bid-extra-60355400462,2026-04-23T23:55:14.039Z
206148,414640,11658.720000000001,2026-04-23T22:00:19.636Z,bid-extra-60355400472,2026-04-23T23:55:14.039Z
206278,414950,12294.32,2026-04-23T22:00:19.636Z,bid-extra-60355400482,2026-04-23T23:55:14.039Z
206408,415260,8389.92,2026-04-23T22:00:19.636Z,bid-extra-60355400492,2026-04-23T23:55:14.039Z
206668,415880,9661.12,2026-04-23T22:00:19.636Z,bid-extra-60355400512,2026-04-23T23:55:14.039Z
206798,416190,10296.720000000001,2026-04-23T22:00:19.636Z,bid-extra-60355400522,2026-04-23T23:55:14.039Z
206928,416500,1943.1200000000001,2026-04-23T22:00:19.636Z,bid-extra-60355400532,2026-04-23T23:55:14.039Z
207058,416810,2578.7200000000003,2026-04-23T22:00:19.636Z,bid-extra-60355400542,2026-04-23T23:55:14.039Z
207318,417430,3849.92,2026-04-23T22:00:19.637Z,bid-extra-60355400562,2026-04-23T23:55:14.039Z
207448,417740,4485.52,2026-04-23T22:00:19.637Z,bid-extra-60355400572,2026-04-23T23:55:14.039Z
207578,418050,5121.12,2026-04-23T22:00:19.637Z,bid-extra-60355400582,2026-04-23T23:55:14.039Z
207708,418360,5756.72,2026-04-23T22:00:19.637Z,bid-extra-60355400592,2026-04-23T23:55:14.039Z
207968,418980,2487.92,2026-04-23T22:00:19.637Z,bid-extra-60355400612,2026-04-23T23:55:14.039Z
208098,419290,3123.52,2026-04-23T22:00:19.637Z,bid-extra-60355400622,2026-04-23T23:55:14.039Z
208228,419600,3759.1200000000003,2026-04-23T22:00:19.637Z,bid-extra-60355400632,2026-04-23T23:55:14.039Z
208358,419910,4394.72,2026-04-23T22:00:19.637Z,bid-extra-60355400642,2026-04-23T23:55:14.039Z
208618,420530,5665.92,2026-04-23T22:00:19.638Z,bid-extra-60355400662,2026-04-23T23:55:14.039Z
208748,420840,6301.52,2026-04-23T22:00:19.638Z,bid-extra-60355400672,2026-04-23T23:55:14.039Z
208878,421150,6937.12,2026-04-23T22:00:19.638Z,bid-extra-60355400682,2026-04-23T23:55:14.039Z
209008,421460,7572.72,2026-04-23T22:00:19.638Z,bid-extra-60355400692,2026-04-23T23:55:14.039Z
209268,422080,8843.92,2026-04-23T22:00:19.638Z,bid-extra-60355400712,2026-04-23T23:55:14.039Z
