auction,bidder,price,dateTime,extra,processed_time
5200168,400380,853.52,2026-04-23T21:59:29.631Z,bid-extra-60350400012,2026-04-23T23:55:14.039Z
5200298,400690,1489.1200000000001,2026-04-23T21:59:29.631Z,bid-extra-60350400022,2026-04-23T23:55:14.039Z
5200428,401000,2124.7200000000003,2026-04-23T21:59:29.631Z,bid-extra-60350400032,2026-04-23T23:55:14.039Z
5200558,401310,2760.32,2026-04-23T21:59:29.631Z,bid-extra-60350400042,2026-04-23T23:55:14.039Z
5200818,401930,4031.52,2026-04-23T21:59:29.632Z,bid-extra-60350400062,2026-04-23T23:55:14.039Z
5200948,402240,4667.12,2026-04-23T21:59:29.632Z,bid-extra-60350400072,2026-04-23T23:55:14.039Z
5201078,402550,5302.72,2026-04-23T21:59:29.632Z,bid-extra-60350400082,2026-04-23T23:55:14.039Z
5201208,402860,5938.320000000001,2026-04-23T21:59:29.632Z,bid-extra-60350400092,2026-04-23T23:55:14.039Z
5201468,403480,7209.52,2026-04-23T21:59:29.632Z,bid-extra-60350400112,2026-04-23T23:55:14.039Z
5201598,403790,3305.12,2026-04-23T21:59:29.632Z,bid-extra-60350400122,2026-04-23T23:55:14.039Z
5201728,404100,3940.7200000000003,2026-04-23T21:59:29.632Z,bid-extra-60350400132,2026-04-23T23:55:14.039Z
5201858,404410,4576.32,2026-04-23T21:59:29.632Z,bid-extra-60350400142,2026-04-23T23:55:14.039Z
5202118,405030,5847.52,2026-04-23T21:59:29.633Z,bid-extra-60350400162,2026-04-23T23:55:14.039Z
5202248,405340,6483.12,2026-04-23T21:59:29.633Z,bid-extra-60350400172,2026-04-23T23:55:14.039Z
5202378,405650,7118.72,2026-04-23T21:59:29.633Z,bid-extra-60350400182,2026-04-23T23:55:14.039Z
5202508,405960,7754.320000000001,2026-04-23T21:59:29.633Z,bid-extra-60350400192,2026-04-23T23:55:14.039Z
5202768,406580,9025.52,2026-04-23T21:59:29.633Z,bid-extra-60350400212,2026-04-23T23:55:14.039Z
5202898,406890,9661.12,2026-04-23T21:59:29.633Z,bid-extra-60350400222,2026-04-23T23:55:14.039Z
5203028,407200,10296.720000000001,2026-04-23T21:59:29.633Z,bid-extra-60350400232,2026-04-23T23:55:14.039Z
5203158,407510,10932.32,2026-04-23T21:59:29.633Z,bid-extra-60350400242,2026-04-23T23:55:14.039Z
5203418,408130,7663.52,2026-04-23T21:59:29.634Z,bid-extra-60350400262,2026-04-23T23:55:14.039Z
5203548,408440,8299.12,2026-04-23T21:59:29.634Z,bid-extra-60350400272,2026-04-23T23:55:14.039Z
5203678,408750,8934.720000000001,2026-04-23T21:59:29.634Z,bid-extra-60350400282,2026-04-23T23:55:14.039Z
5203808,409060,9570.32,2026-04-23T21:59:29.634Z,bid-extra-60350400292,2026-04-23T23:55:14.039Z
5204068,409680,10841.52,2026-04-23T21:59:29.634Z,bid-extra-60350400312,2026-04-23T23:55:14.039Z
5204198,409990,11477.12,2026-04-23T21:59:29.634Z,bid-extra-60350400322,2026-04-23T23:55:14.039Z
5204328,410300,12112.720000000001,2026-04-23T21:59:29.634Z,bid-extra-60350400332,2026-04-23T23:55:14.039Z
5204458,410610,3759.1200000000003,2026-04-23T21:59:29.634Z,bid-extra-60350400342,2026-04-23T23:55:14.039Z
5204718,411230,5030.32,2026-04-23T21:59:29.635Z,bid-extra-60350400362,2026-04-23T23:55:14.039Z
5204848,411540,1125.92,2026-04-23T21:59:29.635Z,bid-extra-60350400372,2026-04-23T23:55:14.039Z
5204978,411850,1761.52,2026-04-23T21:59:29.635Z,bid-extra-60350400382,2026-04-23T23:55:14.039Z
5205108,412160,2397.12,2026-04-23T21:59:29.635Z,bid-extra-60350400392,2026-04-23T23:55:14.039Z
5205368,412780,3668.32,2026-04-23T21:59:29.635Z,bid-extra-60350400412,2026-04-23T23:55:14.039Z
5205498,413090,4303.92,2026-04-23T21:59:29.635Z,bid-extra-60350400422,2026-04-23T23:55:14.039Z
