auction,bidder,price,dateTime,extra,processed_time
7700168,900380,1670.72,2026-04-23T22:03:14.631Z,bid-extra-60372900012,2026-04-23T23:55:14.039Z
7700298,900690,2306.32,2026-04-23T22:03:14.631Z,bid-extra-60372900022,2026-04-23T23:55:14.039Z
7700428,901000,2941.92,2026-04-23T22:03:14.631Z,bid-extra-60372900032,2026-04-23T23:55:14.039Z
7700558,901310,3577.52,2026-04-23T22:03:14.631Z,bid-extra-60372900042,2026-04-23T23:55:14.039Z
7700818,901930,4848.72,2026-04-23T22:03:14.632Z,bid-extra-60372900062,2026-04-23T23:55:14.039Z
7700948,902240,5484.320000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900072,2026-04-23T23:55:14.039Z
7701078,902550,6119.92,2026-04-23T22:03:14.632Z,bid-extra-60372900082,2026-04-23T23:55:14.039Z
7701208,902860,6755.52,2026-04-23T22:03:14.632Z,bid-extra-60372900092,2026-04-23T23:55:14.039Z
7701468,903480,8026.72,2026-04-23T22:03:14.632Z,bid-extra-60372900112,2026-04-23T23:55:14.039Z
7701598,903790,4122.32,2026-04-23T22:03:14.632Z,bid-extra-60372900122,2026-04-23T23:55:14.039Z
7701728,904100,4757.92,2026-04-23T22:03:14.632Z,bid-extra-60372900132,2026-04-23T23:55:14.039Z
7701858,904410,5393.52,2026-04-23T22:03:14.632Z,bid-extra-60372900142,2026-04-23T23:55:14.039Z
7702118,905030,6664.72,2026-04-23T22:03:14.633Z,bid-extra-60372900162,2026-04-23T23:55:14.039Z
7702248,905340,7300.320000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900172,2026-04-23T23:55:14.039Z
7702378,905650,7935.92,2026-04-23T22:03:14.633Z,bid-extra-60372900182,2026-04-23T23:55:14.039Z
7702508,905960,8571.52,2026-04-23T22:03:14.633Z,bid-extra-60372900192,2026-04-23T23:55:14.039Z
7702768,906580,9842.720000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900212,2026-04-23T23:55:14.039Z
7702898,906890,10478.32,2026-04-23T22:03:14.633Z,bid-extra-60372900222,2026-04-23T23:55:14.039Z
