auction,bidder,price,dateTime,extra,processed_time
200168,400380,4394.72,2026-04-23T22:01:59.631Z,bid-extra-60365400012,2026-04-23T23:55:14.039Z
200298,400690,5030.32,2026-04-23T22:01:59.631Z,bid-extra-60365400022,2026-04-23T23:55:14.039Z
200428,401000,5665.92,2026-04-23T22:01:59.631Z,bid-extra-60365400032,2026-04-23T23:55:14.039Z
200558,401310,6301.52,2026-04-23T22:01:59.631Z,bid-extra-60365400042,2026-04-23T23:55:14.039Z
200818,401930,7572.72,2026-04-23T22:01:59.632Z,bid-extra-60365400062,2026-04-23T23:55:14.039Z
200948,402240,8208.32,2026-04-23T22:01:59.632Z,bid-extra-60365400072,2026-04-23T23:55:14.039Z
201078,402550,8843.92,2026-04-23T22:01:59.632Z,bid-extra-60365400082,2026-04-23T23:55:14.039Z
201208,402860,9479.52,2026-04-23T22:01:59.632Z,bid-extra-60365400092,2026-04-23T23:55:14.039Z
201468,403480,10750.720000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400112,2026-04-23T23:55:14.039Z
201598,403790,6846.320000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400122,2026-04-23T23:55:14.039Z
201728,404100,7481.92,2026-04-23T22:01:59.632Z,bid-extra-60365400132,2026-04-23T23:55:14.039Z
201858,404410,8117.52,2026-04-23T22:01:59.632Z,bid-extra-60365400142,2026-04-23T23:55:14.039Z
202118,405030,9388.720000000001,2026-04-23T22:01:59.633Z,bid-extra-60365400162,2026-04-23T23:55:14.039Z
202248,405340,10024.32,2026-04-23T22:01:59.633Z,bid-extra-60365400172,2026-04-23T23:55:14.039Z
202378,405650,10659.92,2026-04-23T22:01:59.633Z,bid-extra-60365400182,2026-04-23T23:55:14.039Z
202508,405960,11295.52,2026-04-23T22:01:59.633Z,bid-extra-60365400192,2026-04-23T23:55:14.039Z
202768,406580,3577.52,2026-04-23T22:01:59.633Z,bid-extra-60365400212,2026-04-23T23:55:14.039Z
202898,406890,4213.12,2026-04-23T22:01:59.633Z,bid-extra-60365400222,2026-04-23T23:55:14.039Z
203028,407200,4848.72,2026-04-23T22:01:59.633Z,bid-extra-60365400232,2026-04-23T23:55:14.039Z
