auction,bidder,price,dateTime,extra,processed_time
1450168,150380,5121.12,2026-04-23T22:03:02.131Z,bid-extra-60371650012,2026-04-23T23:55:14.039Z
1450298,150690,5756.72,2026-04-23T22:03:02.131Z,bid-extra-60371650022,2026-04-23T23:55:14.039Z
1450428,151000,6392.320000000001,2026-04-23T22:03:02.131Z,bid-extra-60371650032,2026-04-23T23:55:14.039Z
1450558,151310,7027.92,2026-04-23T22:03:02.131Z,bid-extra-60371650042,2026-04-23T23:55:14.039Z
1450818,151930,8299.12,2026-04-23T22:03:02.132Z,bid-extra-60371650062,2026-04-23T23:55:14.039Z
1450948,152240,8934.720000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650072,2026-04-23T23:55:14.039Z
1451078,152550,9570.32,2026-04-23T22:03:02.132Z,bid-extra-60371650082,2026-04-23T23:55:14.039Z
1451208,152860,10205.92,2026-04-23T22:03:02.132Z,bid-extra-60371650092,2026-04-23T23:55:14.039Z
1451468,153480,11477.12,2026-04-23T22:03:02.132Z,bid-extra-60371650112,2026-04-23T23:55:14.039Z
1451598,153790,7572.72,2026-04-23T22:03:02.132Z,bid-extra-60371650122,2026-04-23T23:55:14.039Z
1451728,154100,8208.32,2026-04-23T22:03:02.132Z,bid-extra-60371650132,2026-04-23T23:55:14.039Z
1451858,154410,8843.92,2026-04-23T22:03:02.132Z,bid-extra-60371650142,2026-04-23T23:55:14.039Z
1452118,155030,10115.12,2026-04-23T22:03:02.133Z,bid-extra-60371650162,2026-04-23T23:55:14.039Z
1452248,155340,10750.720000000001,2026-04-23T22:03:02.133Z,bid-extra-60371650172,2026-04-23T23:55:14.039Z
1452378,155650,2397.12,2026-04-23T22:03:02.133Z,bid-extra-60371650182,2026-04-23T23:55:14.039Z
1452508,155960,3032.7200000000003,2026-04-23T22:03:02.133Z,bid-extra-60371650192,2026-04-23T23:55:14.039Z
1452768,156580,4303.92,2026-04-23T22:03:02.133Z,bid-extra-60371650212,2026-04-23T23:55:14.039Z
1452898,156890,4939.52,2026-04-23T22:03:02.133Z,bid-extra-60371650222,2026-04-23T23:55:14.039Z
1453028,157200,5575.12,2026-04-23T22:03:02.133Z,bid-extra-60371650232,2026-04-23T23:55:14.039Z
1453158,157510,6210.72,2026-04-23T22:03:02.133Z,bid-extra-60371650242,2026-04-23T23:55:14.039Z
1453418,158130,2941.92,2026-04-23T22:03:02.134Z,bid-extra-60371650262,2026-04-23T23:55:14.039Z
1453548,158440,3577.52,2026-04-23T22:03:02.134Z,bid-extra-60371650272,2026-04-23T23:55:14.039Z
