auction,bidder,price,dateTime,extra,processed_time
3950168,650380,9116.32,2026-04-23T21:58:27.131Z,bid-extra-60344150012,2026-04-23T23:55:14.039Z
3950298,650690,9751.92,2026-04-23T21:58:27.131Z,bid-extra-60344150022,2026-04-23T23:55:14.039Z
3950428,651000,1398.32,2026-04-23T21:58:27.131Z,bid-extra-60344150032,2026-04-23T23:55:14.039Z
3950558,651310,2033.92,2026-04-23T21:58:27.131Z,bid-extra-60344150042,2026-04-23T23:55:14.039Z
3950818,651930,3305.12,2026-04-23T21:58:27.132Z,bid-extra-60344150062,2026-04-23T23:55:14.039Z
3950948,652240,3940.7200000000003,2026-04-23T21:58:27.132Z,bid-extra-60344150072,2026-04-23T23:55:14.039Z
3951078,652550,4576.32,2026-04-23T21:58:27.132Z,bid-extra-60344150082,2026-04-23T23:55:14.039Z
3951208,652860,5211.92,2026-04-23T21:58:27.132Z,bid-extra-60344150092,2026-04-23T23:55:14.039Z
3951468,653480,6483.12,2026-04-23T21:58:27.132Z,bid-extra-60344150112,2026-04-23T23:55:14.039Z
3951598,653790,2578.7200000000003,2026-04-23T21:58:27.132Z,bid-extra-60344150122,2026-04-23T23:55:14.039Z
3951728,654100,3214.32,2026-04-23T21:58:27.132Z,bid-extra-60344150132,2026-04-23T23:55:14.039Z
3951858,654410,3849.92,2026-04-23T21:58:27.132Z,bid-extra-60344150142,2026-04-23T23:55:14.039Z
3952118,655030,5121.12,2026-04-23T21:58:27.133Z,bid-extra-60344150162,2026-04-23T23:55:14.039Z
3952248,655340,5756.72,2026-04-23T21:58:27.133Z,bid-extra-60344150172,2026-04-23T23:55:14.039Z
3952378,655650,6392.320000000001,2026-04-23T21:58:27.133Z,bid-extra-60344150182,2026-04-23T23:55:14.039Z
3952508,655960,7027.92,2026-04-23T21:58:27.133Z,bid-extra-60344150192,2026-04-23T23:55:14.039Z
3952768,656580,8299.12,2026-04-23T21:58:27.133Z,bid-extra-60344150212,2026-04-23T23:55:14.039Z
3952898,656890,8934.720000000001,2026-04-23T21:58:27.133Z,bid-extra-60344150222,2026-04-23T23:55:14.039Z
3953028,657200,9570.32,2026-04-23T21:58:27.133Z,bid-extra-60344150232,2026-04-23T23:55:14.039Z
3953158,657510,10205.92,2026-04-23T21:58:27.133Z,bid-extra-60344150242,2026-04-23T23:55:14.039Z
3953418,658130,6937.12,2026-04-23T21:58:27.134Z,bid-extra-60344150262,2026-04-23T23:55:14.039Z
3953548,658440,7572.72,2026-04-23T21:58:27.134Z,bid-extra-60344150272,2026-04-23T23:55:14.039Z
3953678,658750,8208.32,2026-04-23T21:58:27.134Z,bid-extra-60344150282,2026-04-23T23:55:14.039Z
3953808,659060,8843.92,2026-04-23T21:58:27.134Z,bid-extra-60344150292,2026-04-23T23:55:14.039Z
3954068,659680,10115.12,2026-04-23T21:58:27.134Z,bid-extra-60344150312,2026-04-23T23:55:14.039Z
3954198,659990,10750.720000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150322,2026-04-23T23:55:14.039Z
3954328,660300,11386.32,2026-04-23T21:58:27.134Z,bid-extra-60344150332,2026-04-23T23:55:14.039Z
3954458,660610,12021.92,2026-04-23T21:58:27.134Z,bid-extra-60344150342,2026-04-23T23:55:14.039Z
3954718,661230,13293.12,2026-04-23T21:58:27.135Z,bid-extra-60344150362,2026-04-23T23:55:14.039Z
3954848,661540,399.52000000000004,2026-04-23T21:58:27.135Z,bid-extra-60344150372,2026-04-23T23:55:14.039Z
3954978,661850,1035.1200000000001,2026-04-23T21:58:27.135Z,bid-extra-60344150382,2026-04-23T23:55:14.039Z
3955108,662160,1670.72,2026-04-23T21:58:27.135Z,bid-extra-60344150392,2026-04-23T23:55:14.039Z
3955368,662780,2941.92,2026-04-23T21:58:27.135Z,bid-extra-60344150412,2026-04-23T23:55:14.039Z
3955498,663090,3577.52,2026-04-23T21:58:27.135Z,bid-extra-60344150422,2026-04-23T23:55:14.039Z
