auction,bidder,price,dateTime,extra,processed_time
6450168,150380,944.32,2026-04-23T22:02:12.131Z,bid-extra-60366650012,2026-04-23T23:55:14.039Z
6450298,150690,1579.92,2026-04-23T22:02:12.131Z,bid-extra-60366650022,2026-04-23T23:55:14.039Z
6450428,151000,2215.52,2026-04-23T22:02:12.131Z,bid-extra-60366650032,2026-04-23T23:55:14.039Z
6450558,151310,2851.12,2026-04-23T22:02:12.131Z,bid-extra-60366650042,2026-04-23T23:55:14.039Z
6450818,151930,4122.32,2026-04-23T22:02:12.132Z,bid-extra-60366650062,2026-04-23T23:55:14.039Z
6450948,152240,4757.92,2026-04-23T22:02:12.132Z,bid-extra-60366650072,2026-04-23T23:55:14.039Z
6451078,152550,5393.52,2026-04-23T22:02:12.132Z,bid-extra-60366650082,2026-04-23T23:55:14.039Z
6451208,152860,6029.12,2026-04-23T22:02:12.132Z,bid-extra-60366650092,2026-04-23T23:55:14.039Z
6451468,153480,7300.320000000001,2026-04-23T22:02:12.132Z,bid-extra-60366650112,2026-04-23T23:55:14.039Z
6451598,153790,3395.92,2026-04-23T22:02:12.132Z,bid-extra-60366650122,2026-04-23T23:55:14.039Z
6451728,154100,4031.52,2026-04-23T22:02:12.132Z,bid-extra-60366650132,2026-04-23T23:55:14.039Z
6451858,154410,4667.12,2026-04-23T22:02:12.132Z,bid-extra-60366650142,2026-04-23T23:55:14.039Z
6452118,155030,5938.320000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650162,2026-04-23T23:55:14.039Z
6452248,155340,6573.92,2026-04-23T22:02:12.133Z,bid-extra-60366650172,2026-04-23T23:55:14.039Z
6452378,155650,7209.52,2026-04-23T22:02:12.133Z,bid-extra-60366650182,2026-04-23T23:55:14.039Z
6452508,155960,7845.12,2026-04-23T22:02:12.133Z,bid-extra-60366650192,2026-04-23T23:55:14.039Z
6452768,156580,9116.32,2026-04-23T22:02:12.133Z,bid-extra-60366650212,2026-04-23T23:55:14.039Z
6452898,156890,9751.92,2026-04-23T22:02:12.133Z,bid-extra-60366650222,2026-04-23T23:55:14.039Z
6453028,157200,10387.52,2026-04-23T22:02:12.133Z,bid-extra-60366650232,2026-04-23T23:55:14.039Z
6453158,157510,11023.12,2026-04-23T22:02:12.133Z,bid-extra-60366650242,2026-04-23T23:55:14.039Z
6453418,158130,7754.320000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650262,2026-04-23T23:55:14.039Z
6453548,158440,8389.92,2026-04-23T22:02:12.134Z,bid-extra-60366650272,2026-04-23T23:55:14.039Z
6453678,158750,9025.52,2026-04-23T22:02:12.134Z,bid-extra-60366650282,2026-04-23T23:55:14.039Z
6453808,159060,9661.12,2026-04-23T22:02:12.134Z,bid-extra-60366650292,2026-04-23T23:55:14.039Z
6454068,159680,10932.32,2026-04-23T22:02:12.134Z,bid-extra-60366650312,2026-04-23T23:55:14.039Z
6454198,159990,11567.92,2026-04-23T22:02:12.134Z,bid-extra-60366650322,2026-04-23T23:55:14.039Z
6454328,160300,12203.52,2026-04-23T22:02:12.134Z,bid-extra-60366650332,2026-04-23T23:55:14.039Z
6454458,160610,3849.92,2026-04-23T22:02:12.134Z,bid-extra-60366650342,2026-04-23T23:55:14.039Z
6454718,161230,5121.12,2026-04-23T22:02:12.135Z,bid-extra-60366650362,2026-04-23T23:55:14.039Z
