auction,bidder,price,dateTime,extra,processed_time
7700168,900380,3577.52,2026-04-23T21:58:14.631Z,bid-extra-60342900012,2026-04-23T23:55:14.039Z
7700298,900690,4213.12,2026-04-23T21:58:14.631Z,bid-extra-60342900022,2026-04-23T23:55:14.039Z
7700428,901000,4848.72,2026-04-23T21:58:14.631Z,bid-extra-60342900032,2026-04-23T23:55:14.039Z
7700558,901310,5484.320000000001,2026-04-23T21:58:14.631Z,bid-extra-60342900042,2026-04-23T23:55:14.039Z
7700818,901930,6755.52,2026-04-23T21:58:14.632Z,bid-extra-60342900062,2026-04-23T23:55:14.039Z
7700948,902240,7391.12,2026-04-23T21:58:14.632Z,bid-extra-60342900072,2026-04-23T23:55:14.039Z
7701078,902550,8026.72,2026-04-23T21:58:14.632Z,bid-extra-60342900082,2026-04-23T23:55:14.039Z
7701208,902860,8662.32,2026-04-23T21:58:14.632Z,bid-extra-60342900092,2026-04-23T23:55:14.039Z
7701468,903480,9933.52,2026-04-23T21:58:14.632Z,bid-extra-60342900112,2026-04-23T23:55:14.039Z
7701598,903790,6029.12,2026-04-23T21:58:14.632Z,bid-extra-60342900122,2026-04-23T23:55:14.039Z
7701728,904100,6664.72,2026-04-23T21:58:14.632Z,bid-extra-60342900132,2026-04-23T23:55:14.039Z
7701858,904410,7300.320000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900142,2026-04-23T23:55:14.039Z
7702118,905030,8571.52,2026-04-23T21:58:14.633Z,bid-extra-60342900162,2026-04-23T23:55:14.039Z
7702248,905340,9207.12,2026-04-23T21:58:14.633Z,bid-extra-60342900172,2026-04-23T23:55:14.039Z
7702378,905650,9842.720000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900182,2026-04-23T23:55:14.039Z
7702508,905960,10478.32,2026-04-23T21:58:14.633Z,bid-extra-60342900192,2026-04-23T23:55:14.039Z
7702768,906580,11749.52,2026-04-23T21:58:14.633Z,bid-extra-60342900212,2026-04-23T23:55:14.039Z
7702898,906890,12385.12,2026-04-23T21:58:14.633Z,bid-extra-60342900222,2026-04-23T23:55:14.039Z
7703028,907200,13020.720000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900232,2026-04-23T23:55:14.039Z
7703158,907510,4667.12,2026-04-23T21:58:14.633Z,bid-extra-60342900242,2026-04-23T23:55:14.039Z
7703418,908130,1398.32,2026-04-23T21:58:14.634Z,bid-extra-60342900262,2026-04-23T23:55:14.039Z
7703548,908440,2033.92,2026-04-23T21:58:14.634Z,bid-extra-60342900272,2026-04-23T23:55:14.039Z
7703678,908750,2669.52,2026-04-23T21:58:14.634Z,bid-extra-60342900282,2026-04-23T23:55:14.039Z
7703808,909060,3305.12,2026-04-23T21:58:14.634Z,bid-extra-60342900292,2026-04-23T23:55:14.039Z
7704068,909680,4576.32,2026-04-23T21:58:14.634Z,bid-extra-60342900312,2026-04-23T23:55:14.039Z
7704198,909990,5211.92,2026-04-23T21:58:14.634Z,bid-extra-60342900322,2026-04-23T23:55:14.039Z
7704328,910300,5847.52,2026-04-23T21:58:14.634Z,bid-extra-60342900332,2026-04-23T23:55:14.039Z
7704458,910610,6483.12,2026-04-23T21:58:14.634Z,bid-extra-60342900342,2026-04-23T23:55:14.039Z
7704718,911230,7754.320000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900362,2026-04-23T23:55:14.039Z
7704848,911540,3849.92,2026-04-23T21:58:14.635Z,bid-extra-60342900372,2026-04-23T23:55:14.039Z
7704978,911850,4485.52,2026-04-23T21:58:14.635Z,bid-extra-60342900382,2026-04-23T23:55:14.039Z
7705108,912160,5121.12,2026-04-23T21:58:14.635Z,bid-extra-60342900392,2026-04-23T23:55:14.039Z
7705368,912780,6392.320000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900412,2026-04-23T23:55:14.039Z
7705498,913090,7027.92,2026-04-23T21:58:14.635Z,bid-extra-60342900422,2026-04-23T23:55:14.039Z
7705628,913400,7663.52,2026-04-23T21:58:14.635Z,bid-extra-60342900432,2026-04-23T23:55:14.039Z
7705758,913710,8299.12,2026-04-23T21:58:14.635Z,bid-extra-60342900442,2026-04-23T23:55:14.039Z
7706018,914330,9570.32,2026-04-23T21:58:14.636Z,bid-extra-60342900462,2026-04-23T23:55:14.039Z
7706148,914640,10205.92,2026-04-23T21:58:14.636Z,bid-extra-60342900472,2026-04-23T23:55:14.039Z
7706278,914950,10841.52,2026-04-23T21:58:14.636Z,bid-extra-60342900482,2026-04-23T23:55:14.039Z
7706408,915260,6937.12,2026-04-23T21:58:14.636Z,bid-extra-60342900492,2026-04-23T23:55:14.039Z
7706668,915880,8208.32,2026-04-23T21:58:14.636Z,bid-extra-60342900512,2026-04-23T23:55:14.039Z
7706798,916190,8843.92,2026-04-23T21:58:14.636Z,bid-extra-60342900522,2026-04-23T23:55:14.039Z
7706928,916500,9479.52,2026-04-23T21:58:14.636Z,bid-extra-60342900532,2026-04-23T23:55:14.039Z
7707058,916810,10115.12,2026-04-23T21:58:14.636Z,bid-extra-60342900542,2026-04-23T23:55:14.039Z
7707318,917430,11386.32,2026-04-23T21:58:14.637Z,bid-extra-60342900562,2026-04-23T23:55:14.039Z
7707448,917740,12021.92,2026-04-23T21:58:14.637Z,bid-extra-60342900572,2026-04-23T23:55:14.039Z
7707578,918050,3668.32,2026-04-23T21:58:14.637Z,bid-extra-60342900582,2026-04-23T23:55:14.039Z
7707708,918360,4303.92,2026-04-23T21:58:14.637Z,bid-extra-60342900592,2026-04-23T23:55:14.039Z
7707968,918980,1035.1200000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900612,2026-04-23T23:55:14.039Z
7708098,919290,1670.72,2026-04-23T21:58:14.637Z,bid-extra-60342900622,2026-04-23T23:55:14.039Z
7708228,919600,2306.32,2026-04-23T21:58:14.637Z,bid-extra-60342900632,2026-04-23T23:55:14.039Z
7708358,919910,2941.92,2026-04-23T21:58:14.637Z,bid-extra-60342900642,2026-04-23T23:55:14.039Z
7708618,920530,4213.12,2026-04-23T21:58:14.638Z,bid-extra-60342900662,2026-04-23T23:55:14.039Z
7708748,920840,4848.72,2026-04-23T21:58:14.638Z,bid-extra-60342900672,2026-04-23T23:55:14.039Z
7708878,921150,5484.320000000001,2026-04-23T21:58:14.638Z,bid-extra-60342900682,2026-04-23T23:55:14.039Z
7709008,921460,6119.92,2026-04-23T21:58:14.638Z,bid-extra-60342900692,2026-04-23T23:55:14.039Z
