auction,bidder,price,dateTime,extra,processed_time
1450168,150380,6392.320000000001,2026-04-23T21:59:42.131Z,bid-extra-60351650012,2026-04-23T23:55:14.039Z
1450298,150690,7027.92,2026-04-23T21:59:42.131Z,bid-extra-60351650022,2026-04-23T23:55:14.039Z
1450428,151000,7663.52,2026-04-23T21:59:42.131Z,bid-extra-60351650032,2026-04-23T23:55:14.039Z
1450558,151310,8299.12,2026-04-23T21:59:42.131Z,bid-extra-60351650042,2026-04-23T23:55:14.039Z
1450818,151930,9570.32,2026-04-23T21:59:42.132Z,bid-extra-60351650062,2026-04-23T23:55:14.039Z
1450948,152240,10205.92,2026-04-23T21:59:42.132Z,bid-extra-60351650072,2026-04-23T23:55:14.039Z
1451078,152550,10841.52,2026-04-23T21:59:42.132Z,bid-extra-60351650082,2026-04-23T23:55:14.039Z
1451208,152860,11477.12,2026-04-23T21:59:42.132Z,bid-extra-60351650092,2026-04-23T23:55:14.039Z
1451468,153480,12748.32,2026-04-23T21:59:42.132Z,bid-extra-60351650112,2026-04-23T23:55:14.039Z
1451598,153790,8843.92,2026-04-23T21:59:42.132Z,bid-extra-60351650122,2026-04-23T23:55:14.039Z
1451728,154100,490.32,2026-04-23T21:59:42.132Z,bid-extra-60351650132,2026-04-23T23:55:14.039Z
1451858,154410,1125.92,2026-04-23T21:59:42.132Z,bid-extra-60351650142,2026-04-23T23:55:14.039Z
1452118,155030,2397.12,2026-04-23T21:59:42.133Z,bid-extra-60351650162,2026-04-23T23:55:14.039Z
1452248,155340,3032.7200000000003,2026-04-23T21:59:42.133Z,bid-extra-60351650172,2026-04-23T23:55:14.039Z
1452378,155650,3668.32,2026-04-23T21:59:42.133Z,bid-extra-60351650182,2026-04-23T23:55:14.039Z
1452508,155960,4303.92,2026-04-23T21:59:42.133Z,bid-extra-60351650192,2026-04-23T23:55:14.039Z
1452768,156580,5575.12,2026-04-23T21:59:42.133Z,bid-extra-60351650212,2026-04-23T23:55:14.039Z
