auction,bidder,price,dateTime,extra,processed_time
2700168,900380,7118.72,2026-04-23T22:00:44.631Z,bid-extra-60357900012,2026-04-23T23:55:14.039Z
2700298,900690,7754.320000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900022,2026-04-23T23:55:14.039Z
2700428,901000,8389.92,2026-04-23T22:00:44.631Z,bid-extra-60357900032,2026-04-23T23:55:14.039Z
2700558,901310,9025.52,2026-04-23T22:00:44.631Z,bid-extra-60357900042,2026-04-23T23:55:14.039Z
2700818,901930,10296.720000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900062,2026-04-23T23:55:14.039Z
2700948,902240,10932.32,2026-04-23T22:00:44.632Z,bid-extra-60357900072,2026-04-23T23:55:14.039Z
2701078,902550,11567.92,2026-04-23T22:00:44.632Z,bid-extra-60357900082,2026-04-23T23:55:14.039Z
2701208,902860,12203.52,2026-04-23T22:00:44.632Z,bid-extra-60357900092,2026-04-23T23:55:14.039Z
2701468,903480,4485.52,2026-04-23T22:00:44.632Z,bid-extra-60357900112,2026-04-23T23:55:14.039Z
2701598,903790,581.12,2026-04-23T22:00:44.632Z,bid-extra-60357900122,2026-04-23T23:55:14.039Z
2701728,904100,1216.72,2026-04-23T22:00:44.632Z,bid-extra-60357900132,2026-04-23T23:55:14.039Z
2701858,904410,1852.3200000000002,2026-04-23T22:00:44.632Z,bid-extra-60357900142,2026-04-23T23:55:14.039Z
2702118,905030,3123.52,2026-04-23T22:00:44.633Z,bid-extra-60357900162,2026-04-23T23:55:14.039Z
2702248,905340,3759.1200000000003,2026-04-23T22:00:44.633Z,bid-extra-60357900172,2026-04-23T23:55:14.039Z
2702378,905650,4394.72,2026-04-23T22:00:44.633Z,bid-extra-60357900182,2026-04-23T23:55:14.039Z
2702508,905960,5030.32,2026-04-23T22:00:44.633Z,bid-extra-60357900192,2026-04-23T23:55:14.039Z
2702768,906580,6301.52,2026-04-23T22:00:44.633Z,bid-extra-60357900212,2026-04-23T23:55:14.039Z
2702898,906890,6937.12,2026-04-23T22:00:44.633Z,bid-extra-60357900222,2026-04-23T23:55:14.039Z
2703028,907200,7572.72,2026-04-23T22:00:44.633Z,bid-extra-60357900232,2026-04-23T23:55:14.039Z
2703158,907510,8208.32,2026-04-23T22:00:44.633Z,bid-extra-60357900242,2026-04-23T23:55:14.039Z
2703418,908130,4939.52,2026-04-23T22:00:44.634Z,bid-extra-60357900262,2026-04-23T23:55:14.039Z
2703548,908440,5575.12,2026-04-23T22:00:44.634Z,bid-extra-60357900272,2026-04-23T23:55:14.039Z
2703678,908750,6210.72,2026-04-23T22:00:44.634Z,bid-extra-60357900282,2026-04-23T23:55:14.039Z
2703808,909060,6846.320000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900292,2026-04-23T23:55:14.039Z
2704068,909680,8117.52,2026-04-23T22:00:44.634Z,bid-extra-60357900312,2026-04-23T23:55:14.039Z
2704198,909990,8753.12,2026-04-23T22:00:44.634Z,bid-extra-60357900322,2026-04-23T23:55:14.039Z
2704328,910300,9388.720000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900332,2026-04-23T23:55:14.039Z
2704458,910610,10024.32,2026-04-23T22:00:44.634Z,bid-extra-60357900342,2026-04-23T23:55:14.039Z
2704718,911230,11295.52,2026-04-23T22:00:44.635Z,bid-extra-60357900362,2026-04-23T23:55:14.039Z
2704848,911540,7391.12,2026-04-23T22:00:44.635Z,bid-extra-60357900372,2026-04-23T23:55:14.039Z
2704978,911850,8026.72,2026-04-23T22:00:44.635Z,bid-extra-60357900382,2026-04-23T23:55:14.039Z
2705108,912160,8662.32,2026-04-23T22:00:44.635Z,bid-extra-60357900392,2026-04-23T23:55:14.039Z
2705368,912780,9933.52,2026-04-23T22:00:44.635Z,bid-extra-60357900412,2026-04-23T23:55:14.039Z
2705498,913090,10569.12,2026-04-23T22:00:44.635Z,bid-extra-60357900422,2026-04-23T23:55:14.039Z
2705628,913400,11204.720000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900432,2026-04-23T23:55:14.039Z
2705758,913710,11840.32,2026-04-23T22:00:44.635Z,bid-extra-60357900442,2026-04-23T23:55:14.039Z
2706018,914330,4122.32,2026-04-23T22:00:44.636Z,bid-extra-60357900462,2026-04-23T23:55:14.039Z
2706148,914640,4757.92,2026-04-23T22:00:44.636Z,bid-extra-60357900472,2026-04-23T23:55:14.039Z
2706278,914950,5393.52,2026-04-23T22:00:44.636Z,bid-extra-60357900482,2026-04-23T23:55:14.039Z
2706408,915260,1489.1200000000001,2026-04-23T22:00:44.636Z,bid-extra-60357900492,2026-04-23T23:55:14.039Z
2706668,915880,2760.32,2026-04-23T22:00:44.636Z,bid-extra-60357900512,2026-04-23T23:55:14.039Z
2706798,916190,3395.92,2026-04-23T22:00:44.636Z,bid-extra-60357900522,2026-04-23T23:55:14.039Z
2706928,916500,4031.52,2026-04-23T22:00:44.636Z,bid-extra-60357900532,2026-04-23T23:55:14.039Z
2707058,916810,4667.12,2026-04-23T22:00:44.636Z,bid-extra-60357900542,2026-04-23T23:55:14.039Z
2707318,917430,5938.320000000001,2026-04-23T22:00:44.637Z,bid-extra-60357900562,2026-04-23T23:55:14.039Z
2707448,917740,6573.92,2026-04-23T22:00:44.637Z,bid-extra-60357900572,2026-04-23T23:55:14.039Z
