auction,bidder,price,dateTime,extra,processed_time
7700168,900380,2306.32,2026-04-23T22:01:34.631Z,bid-extra-60362900012,2026-04-23T23:55:14.039Z
7700298,900690,2941.92,2026-04-23T22:01:34.631Z,bid-extra-60362900022,2026-04-23T23:55:14.039Z
7700428,901000,3577.52,2026-04-23T22:01:34.631Z,bid-extra-60362900032,2026-04-23T23:55:14.039Z
7700558,901310,4213.12,2026-04-23T22:01:34.631Z,bid-extra-60362900042,2026-04-23T23:55:14.039Z
7700818,901930,5484.320000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900062,2026-04-23T23:55:14.039Z
7700948,902240,6119.92,2026-04-23T22:01:34.632Z,bid-extra-60362900072,2026-04-23T23:55:14.039Z
7701078,902550,6755.52,2026-04-23T22:01:34.632Z,bid-extra-60362900082,2026-04-23T23:55:14.039Z
7701208,902860,7391.12,2026-04-23T22:01:34.632Z,bid-extra-60362900092,2026-04-23T23:55:14.039Z
7701468,903480,8662.32,2026-04-23T22:01:34.632Z,bid-extra-60362900112,2026-04-23T23:55:14.039Z
7701598,903790,4757.92,2026-04-23T22:01:34.632Z,bid-extra-60362900122,2026-04-23T23:55:14.039Z
7701728,904100,5393.52,2026-04-23T22:01:34.632Z,bid-extra-60362900132,2026-04-23T23:55:14.039Z
7701858,904410,6029.12,2026-04-23T22:01:34.632Z,bid-extra-60362900142,2026-04-23T23:55:14.039Z
7702118,905030,7300.320000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900162,2026-04-23T23:55:14.039Z
7702248,905340,7935.92,2026-04-23T22:01:34.633Z,bid-extra-60362900172,2026-04-23T23:55:14.039Z
7702378,905650,8571.52,2026-04-23T22:01:34.633Z,bid-extra-60362900182,2026-04-23T23:55:14.039Z
7702508,905960,9207.12,2026-04-23T22:01:34.633Z,bid-extra-60362900192,2026-04-23T23:55:14.039Z
7702768,906580,10478.32,2026-04-23T22:01:34.633Z,bid-extra-60362900212,2026-04-23T23:55:14.039Z
7702898,906890,11113.92,2026-04-23T22:01:34.633Z,bid-extra-60362900222,2026-04-23T23:55:14.039Z
7703028,907200,11749.52,2026-04-23T22:01:34.633Z,bid-extra-60362900232,2026-04-23T23:55:14.039Z
7703158,907510,12385.12,2026-04-23T22:01:34.633Z,bid-extra-60362900242,2026-04-23T23:55:14.039Z
7703418,908130,9116.32,2026-04-23T22:01:34.634Z,bid-extra-60362900262,2026-04-23T23:55:14.039Z
7703548,908440,9751.92,2026-04-23T22:01:34.634Z,bid-extra-60362900272,2026-04-23T23:55:14.039Z
7703678,908750,10387.52,2026-04-23T22:01:34.634Z,bid-extra-60362900282,2026-04-23T23:55:14.039Z
7703808,909060,2033.92,2026-04-23T22:01:34.634Z,bid-extra-60362900292,2026-04-23T23:55:14.039Z
7704068,909680,3305.12,2026-04-23T22:01:34.634Z,bid-extra-60362900312,2026-04-23T23:55:14.039Z
7704198,909990,3940.7200000000003,2026-04-23T22:01:34.634Z,bid-extra-60362900322,2026-04-23T23:55:14.039Z
7704328,910300,4576.32,2026-04-23T22:01:34.634Z,bid-extra-60362900332,2026-04-23T23:55:14.039Z
7704458,910610,5211.92,2026-04-23T22:01:34.634Z,bid-extra-60362900342,2026-04-23T23:55:14.039Z
7704718,911230,6483.12,2026-04-23T22:01:34.635Z,bid-extra-60362900362,2026-04-23T23:55:14.039Z
7704848,911540,2578.7200000000003,2026-04-23T22:01:34.635Z,bid-extra-60362900372,2026-04-23T23:55:14.039Z
7704978,911850,3214.32,2026-04-23T22:01:34.635Z,bid-extra-60362900382,2026-04-23T23:55:14.039Z
7705108,912160,3849.92,2026-04-23T22:01:34.635Z,bid-extra-60362900392,2026-04-23T23:55:14.039Z
7705368,912780,5121.12,2026-04-23T22:01:34.635Z,bid-extra-60362900412,2026-04-23T23:55:14.039Z
7705498,913090,5756.72,2026-04-23T22:01:34.635Z,bid-extra-60362900422,2026-04-23T23:55:14.039Z
7705628,913400,6392.320000000001,2026-04-23T22:01:34.635Z,bid-extra-60362900432,2026-04-23T23:55:14.039Z
7705758,913710,7027.92,2026-04-23T22:01:34.635Z,bid-extra-60362900442,2026-04-23T23:55:14.039Z
7706018,914330,8299.12,2026-04-23T22:01:34.636Z,bid-extra-60362900462,2026-04-23T23:55:14.039Z
7706148,914640,8934.720000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900472,2026-04-23T23:55:14.039Z
7706278,914950,9570.32,2026-04-23T22:01:34.636Z,bid-extra-60362900482,2026-04-23T23:55:14.039Z
7706408,915260,5665.92,2026-04-23T22:01:34.636Z,bid-extra-60362900492,2026-04-23T23:55:14.039Z
7706668,915880,6937.12,2026-04-23T22:01:34.636Z,bid-extra-60362900512,2026-04-23T23:55:14.039Z
7706798,916190,7572.72,2026-04-23T22:01:34.636Z,bid-extra-60362900522,2026-04-23T23:55:14.039Z
7706928,916500,8208.32,2026-04-23T22:01:34.636Z,bid-extra-60362900532,2026-04-23T23:55:14.039Z
7707058,916810,8843.92,2026-04-23T22:01:34.636Z,bid-extra-60362900542,2026-04-23T23:55:14.039Z
7707318,917430,10115.12,2026-04-23T22:01:34.637Z,bid-extra-60362900562,2026-04-23T23:55:14.039Z
7707448,917740,10750.720000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900572,2026-04-23T23:55:14.039Z
