auction,bidder,price,dateTime,extra,processed_time
2700168,900380,6483.12,2026-04-23T22:02:24.631Z,bid-extra-60367900012,2026-04-23T23:55:14.039Z
2700298,900690,7118.72,2026-04-23T22:02:24.631Z,bid-extra-60367900022,2026-04-23T23:55:14.039Z
2700428,901000,7754.320000000001,2026-04-23T22:02:24.631Z,bid-extra-60367900032,2026-04-23T23:55:14.039Z
2700558,901310,8389.92,2026-04-23T22:02:24.631Z,bid-extra-60367900042,2026-04-23T23:55:14.039Z
2700818,901930,9661.12,2026-04-23T22:02:24.632Z,bid-extra-60367900062,2026-04-23T23:55:14.039Z
2700948,902240,10296.720000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900072,2026-04-23T23:55:14.039Z
2701078,902550,10932.32,2026-04-23T22:02:24.632Z,bid-extra-60367900082,2026-04-23T23:55:14.039Z
2701208,902860,11567.92,2026-04-23T22:02:24.632Z,bid-extra-60367900092,2026-04-23T23:55:14.039Z
2701468,903480,12839.12,2026-04-23T22:02:24.632Z,bid-extra-60367900112,2026-04-23T23:55:14.039Z
2701598,903790,8934.720000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900122,2026-04-23T23:55:14.039Z
2701728,904100,581.12,2026-04-23T22:02:24.632Z,bid-extra-60367900132,2026-04-23T23:55:14.039Z
2701858,904410,1216.72,2026-04-23T22:02:24.632Z,bid-extra-60367900142,2026-04-23T23:55:14.039Z
2702118,905030,2487.92,2026-04-23T22:02:24.633Z,bid-extra-60367900162,2026-04-23T23:55:14.039Z
2702248,905340,3123.52,2026-04-23T22:02:24.633Z,bid-extra-60367900172,2026-04-23T23:55:14.039Z
2702378,905650,3759.1200000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900182,2026-04-23T23:55:14.039Z
2702508,905960,4394.72,2026-04-23T22:02:24.633Z,bid-extra-60367900192,2026-04-23T23:55:14.039Z
2702768,906580,5665.92,2026-04-23T22:02:24.633Z,bid-extra-60367900212,2026-04-23T23:55:14.039Z
2702898,906890,6301.52,2026-04-23T22:02:24.633Z,bid-extra-60367900222,2026-04-23T23:55:14.039Z
2703028,907200,6937.12,2026-04-23T22:02:24.633Z,bid-extra-60367900232,2026-04-23T23:55:14.039Z
2703158,907510,7572.72,2026-04-23T22:02:24.633Z,bid-extra-60367900242,2026-04-23T23:55:14.039Z
2703418,908130,4303.92,2026-04-23T22:02:24.634Z,bid-extra-60367900262,2026-04-23T23:55:14.039Z
2703548,908440,4939.52,2026-04-23T22:02:24.634Z,bid-extra-60367900272,2026-04-23T23:55:14.039Z
2703678,908750,5575.12,2026-04-23T22:02:24.634Z,bid-extra-60367900282,2026-04-23T23:55:14.039Z
2703808,909060,6210.72,2026-04-23T22:02:24.634Z,bid-extra-60367900292,2026-04-23T23:55:14.039Z
2704068,909680,7481.92,2026-04-23T22:02:24.634Z,bid-extra-60367900312,2026-04-23T23:55:14.039Z
2704198,909990,8117.52,2026-04-23T22:02:24.634Z,bid-extra-60367900322,2026-04-23T23:55:14.039Z
2704328,910300,8753.12,2026-04-23T22:02:24.634Z,bid-extra-60367900332,2026-04-23T23:55:14.039Z
2704458,910610,9388.720000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900342,2026-04-23T23:55:14.039Z
2704718,911230,10659.92,2026-04-23T22:02:24.635Z,bid-extra-60367900362,2026-04-23T23:55:14.039Z
2704848,911540,6755.52,2026-04-23T22:02:24.635Z,bid-extra-60367900372,2026-04-23T23:55:14.039Z
2704978,911850,7391.12,2026-04-23T22:02:24.635Z,bid-extra-60367900382,2026-04-23T23:55:14.039Z
2705108,912160,8026.72,2026-04-23T22:02:24.635Z,bid-extra-60367900392,2026-04-23T23:55:14.039Z
2705368,912780,9297.92,2026-04-23T22:02:24.635Z,bid-extra-60367900412,2026-04-23T23:55:14.039Z
2705498,913090,9933.52,2026-04-23T22:02:24.635Z,bid-extra-60367900422,2026-04-23T23:55:14.039Z
2705628,913400,10569.12,2026-04-23T22:02:24.635Z,bid-extra-60367900432,2026-04-23T23:55:14.039Z
2705758,913710,11204.720000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900442,2026-04-23T23:55:14.039Z
2706018,914330,12475.92,2026-04-23T22:02:24.636Z,bid-extra-60367900462,2026-04-23T23:55:14.039Z
2706148,914640,4122.32,2026-04-23T22:02:24.636Z,bid-extra-60367900472,2026-04-23T23:55:14.039Z
2706278,914950,4757.92,2026-04-23T22:02:24.636Z,bid-extra-60367900482,2026-04-23T23:55:14.039Z
2706408,915260,853.52,2026-04-23T22:02:24.636Z,bid-extra-60367900492,2026-04-23T23:55:14.039Z
2706668,915880,2124.7200000000003,2026-04-23T22:02:24.636Z,bid-extra-60367900512,2026-04-23T23:55:14.039Z
2706798,916190,2760.32,2026-04-23T22:02:24.636Z,bid-extra-60367900522,2026-04-23T23:55:14.039Z
2706928,916500,3395.92,2026-04-23T22:02:24.636Z,bid-extra-60367900532,2026-04-23T23:55:14.039Z
2707058,916810,4031.52,2026-04-23T22:02:24.636Z,bid-extra-60367900542,2026-04-23T23:55:14.039Z
2707318,917430,5302.72,2026-04-23T22:02:24.637Z,bid-extra-60367900562,2026-04-23T23:55:14.039Z
2707448,917740,5938.320000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900572,2026-04-23T23:55:14.039Z
