auction,bidder,price,dateTime,extra,processed_time
8950168,650380,3032.7200000000003,2026-04-23T22:02:37.131Z,bid-extra-60369150012,2026-04-23T23:55:14.039Z
8950298,650690,3668.32,2026-04-23T22:02:37.131Z,bid-extra-60369150022,2026-04-23T23:55:14.039Z
8950428,651000,4303.92,2026-04-23T22:02:37.131Z,bid-extra-60369150032,2026-04-23T23:55:14.039Z
8950558,651310,4939.52,2026-04-23T22:02:37.131Z,bid-extra-60369150042,2026-04-23T23:55:14.039Z
8950818,651930,6210.72,2026-04-23T22:02:37.132Z,bid-extra-60369150062,2026-04-23T23:55:14.039Z
8950948,652240,6846.320000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150072,2026-04-23T23:55:14.039Z
8951078,652550,7481.92,2026-04-23T22:02:37.132Z,bid-extra-60369150082,2026-04-23T23:55:14.039Z
8951208,652860,8117.52,2026-04-23T22:02:37.132Z,bid-extra-60369150092,2026-04-23T23:55:14.039Z
8951468,653480,9388.720000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150112,2026-04-23T23:55:14.039Z
8951598,653790,5484.320000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150122,2026-04-23T23:55:14.039Z
8951728,654100,6119.92,2026-04-23T22:02:37.132Z,bid-extra-60369150132,2026-04-23T23:55:14.039Z
8951858,654410,6755.52,2026-04-23T22:02:37.132Z,bid-extra-60369150142,2026-04-23T23:55:14.039Z
8952118,655030,8026.72,2026-04-23T22:02:37.133Z,bid-extra-60369150162,2026-04-23T23:55:14.039Z
8952248,655340,8662.32,2026-04-23T22:02:37.133Z,bid-extra-60369150172,2026-04-23T23:55:14.039Z
8952378,655650,9297.92,2026-04-23T22:02:37.133Z,bid-extra-60369150182,2026-04-23T23:55:14.039Z
8952508,655960,9933.52,2026-04-23T22:02:37.133Z,bid-extra-60369150192,2026-04-23T23:55:14.039Z
8952768,656580,11204.720000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150212,2026-04-23T23:55:14.039Z
8952898,656890,11840.32,2026-04-23T22:02:37.133Z,bid-extra-60369150222,2026-04-23T23:55:14.039Z
8953028,657200,12475.92,2026-04-23T22:02:37.133Z,bid-extra-60369150232,2026-04-23T23:55:14.039Z
8953158,657510,13111.52,2026-04-23T22:02:37.133Z,bid-extra-60369150242,2026-04-23T23:55:14.039Z
8953418,658130,853.52,2026-04-23T22:02:37.134Z,bid-extra-60369150262,2026-04-23T23:55:14.039Z
8953548,658440,1489.1200000000001,2026-04-23T22:02:37.134Z,bid-extra-60369150272,2026-04-23T23:55:14.039Z
8953678,658750,2124.7200000000003,2026-04-23T22:02:37.134Z,bid-extra-60369150282,2026-04-23T23:55:14.039Z
8953808,659060,2760.32,2026-04-23T22:02:37.134Z,bid-extra-60369150292,2026-04-23T23:55:14.039Z
8954068,659680,4031.52,2026-04-23T22:02:37.134Z,bid-extra-60369150312,2026-04-23T23:55:14.039Z
8954198,659990,4667.12,2026-04-23T22:02:37.134Z,bid-extra-60369150322,2026-04-23T23:55:14.039Z
8954328,660300,5302.72,2026-04-23T22:02:37.134Z,bid-extra-60369150332,2026-04-23T23:55:14.039Z
8954458,660610,5938.320000000001,2026-04-23T22:02:37.134Z,bid-extra-60369150342,2026-04-23T23:55:14.039Z
8954718,661230,7209.52,2026-04-23T22:02:37.135Z,bid-extra-60369150362,2026-04-23T23:55:14.039Z
8954848,661540,3305.12,2026-04-23T22:02:37.135Z,bid-extra-60369150372,2026-04-23T23:55:14.039Z
8954978,661850,3940.7200000000003,2026-04-23T22:02:37.135Z,bid-extra-60369150382,2026-04-23T23:55:14.039Z
8955108,662160,4576.32,2026-04-23T22:02:37.135Z,bid-extra-60369150392,2026-04-23T23:55:14.039Z
8955368,662780,5847.52,2026-04-23T22:02:37.135Z,bid-extra-60369150412,2026-04-23T23:55:14.039Z
8955498,663090,6483.12,2026-04-23T22:02:37.135Z,bid-extra-60369150422,2026-04-23T23:55:14.039Z
8955628,663400,7118.72,2026-04-23T22:02:37.135Z,bid-extra-60369150432,2026-04-23T23:55:14.039Z
8955758,663710,7754.320000000001,2026-04-23T22:02:37.135Z,bid-extra-60369150442,2026-04-23T23:55:14.039Z
8956018,664330,9025.52,2026-04-23T22:02:37.136Z,bid-extra-60369150462,2026-04-23T23:55:14.039Z
8956148,664640,9661.12,2026-04-23T22:02:37.136Z,bid-extra-60369150472,2026-04-23T23:55:14.039Z
8956278,664950,10296.720000000001,2026-04-23T22:02:37.136Z,bid-extra-60369150482,2026-04-23T23:55:14.039Z
8956408,665260,6392.320000000001,2026-04-23T22:02:37.136Z,bid-extra-60369150492,2026-04-23T23:55:14.039Z
8956668,665880,7663.52,2026-04-23T22:02:37.136Z,bid-extra-60369150512,2026-04-23T23:55:14.039Z
8956798,666190,8299.12,2026-04-23T22:02:37.136Z,bid-extra-60369150522,2026-04-23T23:55:14.039Z
8956928,666500,8934.720000000001,2026-04-23T22:02:37.136Z,bid-extra-60369150532,2026-04-23T23:55:14.039Z
8957058,666810,9570.32,2026-04-23T22:02:37.136Z,bid-extra-60369150542,2026-04-23T23:55:14.039Z
8957318,667430,10841.52,2026-04-23T22:02:37.137Z,bid-extra-60369150562,2026-04-23T23:55:14.039Z
8957448,667740,11477.12,2026-04-23T22:02:37.137Z,bid-extra-60369150572,2026-04-23T23:55:14.039Z
8957578,668050,12112.720000000001,2026-04-23T22:02:37.137Z,bid-extra-60369150582,2026-04-23T23:55:14.039Z
8957708,668360,12748.32,2026-04-23T22:02:37.137Z,bid-extra-60369150592,2026-04-23T23:55:14.039Z
8957968,668980,490.32,2026-04-23T22:02:37.137Z,bid-extra-60369150612,2026-04-23T23:55:14.039Z
8958098,669290,1125.92,2026-04-23T22:02:37.137Z,bid-extra-60369150622,2026-04-23T23:55:14.039Z
8958228,669600,1761.52,2026-04-23T22:02:37.137Z,bid-extra-60369150632,2026-04-23T23:55:14.039Z
8958358,669910,2397.12,2026-04-23T22:02:37.137Z,bid-extra-60369150642,2026-04-23T23:55:14.039Z
8958618,670530,3668.32,2026-04-23T22:02:37.138Z,bid-extra-60369150662,2026-04-23T23:55:14.039Z
8958748,670840,4303.92,2026-04-23T22:02:37.138Z,bid-extra-60369150672,2026-04-23T23:55:14.039Z
8958878,671150,4939.52,2026-04-23T22:02:37.138Z,bid-extra-60369150682,2026-04-23T23:55:14.039Z
8959008,671460,5575.12,2026-04-23T22:02:37.138Z,bid-extra-60369150692,2026-04-23T23:55:14.039Z
8959268,672080,6846.320000000001,2026-04-23T22:02:37.138Z,bid-extra-60369150712,2026-04-23T23:55:14.039Z
8959398,672390,7481.92,2026-04-23T22:02:37.138Z,bid-extra-60369150722,2026-04-23T23:55:14.039Z
8959528,672700,3577.52,2026-04-23T22:02:37.138Z,bid-extra-60369150732,2026-04-23T23:55:14.039Z
8959658,673010,4213.12,2026-04-23T22:02:37.138Z,bid-extra-60369150742,2026-04-23T23:55:14.039Z
8959918,673630,5484.320000000001,2026-04-23T22:02:37.139Z,bid-extra-60369150762,2026-04-23T23:55:14.039Z
8960048,673940,6119.92,2026-04-23T22:02:37.139Z,bid-extra-60369150772,2026-04-23T23:55:14.039Z
8960178,674250,6755.52,2026-04-23T22:02:37.139Z,bid-extra-60369150782,2026-04-23T23:55:14.039Z
8960308,674560,7391.12,2026-04-23T22:02:37.139Z,bid-extra-60369150792,2026-04-23T23:55:14.039Z
8960568,675180,8662.32,2026-04-23T22:02:37.139Z,bid-extra-60369150812,2026-04-23T23:55:14.039Z
8960698,675490,9297.92,2026-04-23T22:02:37.139Z,bid-extra-60369150822,2026-04-23T23:55:14.039Z
8960828,675800,9933.52,2026-04-23T22:02:37.139Z,bid-extra-60369150832,2026-04-23T23:55:14.039Z
8960958,676110,10569.12,2026-04-23T22:02:37.139Z,bid-extra-60369150842,2026-04-23T23:55:14.039Z
8961218,676730,7300.320000000001,2026-04-23T22:02:37.140Z,bid-extra-60369150862,2026-04-23T23:55:14.039Z
8961348,677040,7935.92,2026-04-23T22:02:37.140Z,bid-extra-60369150872,2026-04-23T23:55:14.039Z
8961478,677350,8571.52,2026-04-23T22:02:37.140Z,bid-extra-60369150882,2026-04-23T23:55:14.039Z
8961608,677660,9207.12,2026-04-23T22:02:37.140Z,bid-extra-60369150892,2026-04-23T23:55:14.039Z
8961868,678280,10478.32,2026-04-23T22:02:37.140Z,bid-extra-60369150912,2026-04-23T23:55:14.039Z
8961998,678590,11113.92,2026-04-23T22:02:37.140Z,bid-extra-60369150922,2026-04-23T23:55:14.039Z
8962128,678900,11749.52,2026-04-23T22:02:37.140Z,bid-extra-60369150932,2026-04-23T23:55:14.039Z
8962258,679210,3395.92,2026-04-23T22:02:37.140Z,bid-extra-60369150942,2026-04-23T23:55:14.039Z
8962518,679830,4667.12,2026-04-23T22:02:37.141Z,bid-extra-60369150962,2026-04-23T23:55:14.039Z
8962648,680140,5302.72,2026-04-23T22:02:37.141Z,bid-extra-60369150972,2026-04-23T23:55:14.039Z
8962778,680450,1398.32,2026-04-23T22:02:37.141Z,bid-extra-60369150982,2026-04-23T23:55:14.039Z
8962908,680760,2033.92,2026-04-23T22:02:37.141Z,bid-extra-60369150992,2026-04-23T23:55:14.039Z
8963168,681380,3305.12,2026-04-23T22:02:37.141Z,bid-extra-60369151012,2026-04-23T23:55:14.039Z
8963298,681690,3940.7200000000003,2026-04-23T22:02:37.141Z,bid-extra-60369151022,2026-04-23T23:55:14.039Z
8963428,682000,4576.32,2026-04-23T22:02:37.141Z,bid-extra-60369151032,2026-04-23T23:55:14.039Z
8963558,682310,5211.92,2026-04-23T22:02:37.141Z,bid-extra-60369151042,2026-04-23T23:55:14.039Z
8963818,682930,6483.12,2026-04-23T22:02:37.142Z,bid-extra-60369151062,2026-04-23T23:55:14.039Z
8963948,683240,7118.72,2026-04-23T22:02:37.142Z,bid-extra-60369151072,2026-04-23T23:55:14.039Z
8964078,683550,7754.320000000001,2026-04-23T22:02:37.142Z,bid-extra-60369151082,2026-04-23T23:55:14.039Z
8964208,683860,8389.92,2026-04-23T22:02:37.142Z,bid-extra-60369151092,2026-04-23T23:55:14.039Z
8964468,684480,5121.12,2026-04-23T22:02:37.142Z,bid-extra-60369151112,2026-04-23T23:55:14.039Z
8964598,684790,5756.72,2026-04-23T22:02:37.142Z,bid-extra-60369151122,2026-04-23T23:55:14.039Z
8964728,685100,6392.320000000001,2026-04-23T22:02:37.142Z,bid-extra-60369151132,2026-04-23T23:55:14.039Z
8964858,685410,7027.92,2026-04-23T22:02:37.142Z,bid-extra-60369151142,2026-04-23T23:55:14.039Z
8965118,686030,8299.12,2026-04-23T22:02:37.143Z,bid-extra-60369151162,2026-04-23T23:55:14.039Z
8965248,686340,8934.720000000001,2026-04-23T22:02:37.143Z,bid-extra-60369151172,2026-04-23T23:55:14.039Z
8965378,686650,9570.32,2026-04-23T22:02:37.143Z,bid-extra-60369151182,2026-04-23T23:55:14.039Z
8965508,686960,10205.92,2026-04-23T22:02:37.143Z,bid-extra-60369151192,2026-04-23T23:55:14.039Z
8965768,687580,11477.12,2026-04-23T22:02:37.143Z,bid-extra-60369151212,2026-04-23T23:55:14.039Z
8965898,687890,7572.72,2026-04-23T22:02:37.143Z,bid-extra-60369151222,2026-04-23T23:55:14.039Z
8966028,688200,8208.32,2026-04-23T22:02:37.143Z,bid-extra-60369151232,2026-04-23T23:55:14.039Z
8966158,688510,8843.92,2026-04-23T22:02:37.143Z,bid-extra-60369151242,2026-04-23T23:55:14.039Z
8966418,689130,10115.12,2026-04-23T22:02:37.144Z,bid-extra-60369151262,2026-04-23T23:55:14.039Z
8966548,689440,10750.720000000001,2026-04-23T22:02:37.144Z,bid-extra-60369151272,2026-04-23T23:55:14.039Z
8966678,689750,11386.32,2026-04-23T22:02:37.144Z,bid-extra-60369151282,2026-04-23T23:55:14.039Z
8966808,690060,3032.7200000000003,2026-04-23T22:02:37.144Z,bid-extra-60369151292,2026-04-23T23:55:14.039Z
8967068,690680,4303.92,2026-04-23T22:02:37.144Z,bid-extra-60369151312,2026-04-23T23:55:14.039Z
8967198,690990,4939.52,2026-04-23T22:02:37.144Z,bid-extra-60369151322,2026-04-23T23:55:14.039Z
8967328,691300,5575.12,2026-04-23T22:02:37.144Z,bid-extra-60369151332,2026-04-23T23:55:14.039Z
8967458,691610,1670.72,2026-04-23T22:02:37.144Z,bid-extra-60369151342,2026-04-23T23:55:14.039Z
8967718,692230,2941.92,2026-04-23T22:02:37.145Z,bid-extra-60369151362,2026-04-23T23:55:14.039Z
8967848,692540,3577.52,2026-04-23T22:02:37.145Z,bid-extra-60369151372,2026-04-23T23:55:14.039Z
8967978,692850,4213.12,2026-04-23T22:02:37.145Z,bid-extra-60369151382,2026-04-23T23:55:14.039Z
8968108,693160,4848.72,2026-04-23T22:02:37.145Z,bid-extra-60369151392,2026-04-23T23:55:14.039Z
8968368,693780,6119.92,2026-04-23T22:02:37.145Z,bid-extra-60369151412,2026-04-23T23:55:14.039Z
8968498,694090,6755.52,2026-04-23T22:02:37.145Z,bid-extra-60369151422,2026-04-23T23:55:14.039Z
8968628,694400,7391.12,2026-04-23T22:02:37.145Z,bid-extra-60369151432,2026-04-23T23:55:14.039Z
8968758,694710,8026.72,2026-04-23T22:02:37.145Z,bid-extra-60369151442,2026-04-23T23:55:14.039Z
8969018,695330,9297.92,2026-04-23T22:02:37.146Z,bid-extra-60369151462,2026-04-23T23:55:14.039Z
8969148,695640,5393.52,2026-04-23T22:02:37.146Z,bid-extra-60369151472,2026-04-23T23:55:14.039Z
8969278,695950,6029.12,2026-04-23T22:02:37.146Z,bid-extra-60369151482,2026-04-23T23:55:14.039Z
8969408,696260,6664.72,2026-04-23T22:02:37.146Z,bid-extra-60369151492,2026-04-23T23:55:14.039Z
8969668,696880,7935.92,2026-04-23T22:02:37.146Z,bid-extra-60369151512,2026-04-23T23:55:14.039Z
8969798,697190,8571.52,2026-04-23T22:02:37.146Z,bid-extra-60369151522,2026-04-23T23:55:14.039Z
8969928,697500,9207.12,2026-04-23T22:02:37.146Z,bid-extra-60369151532,2026-04-23T23:55:14.039Z
8970058,697810,9842.720000000001,2026-04-23T22:02:37.146Z,bid-extra-60369151542,2026-04-23T23:55:14.039Z
8970318,698430,11113.92,2026-04-23T22:02:37.147Z,bid-extra-60369151562,2026-04-23T23:55:14.039Z
8970448,698740,11749.52,2026-04-23T22:02:37.147Z,bid-extra-60369151572,2026-04-23T23:55:14.039Z
8970578,699050,12385.12,2026-04-23T22:02:37.147Z,bid-extra-60369151582,2026-04-23T23:55:14.039Z
8970708,699360,8480.720000000001,2026-04-23T22:02:37.147Z,bid-extra-60369151592,2026-04-23T23:55:14.039Z
8970968,699980,9751.92,2026-04-23T22:02:37.147Z,bid-extra-60369151612,2026-04-23T23:55:14.039Z
8971098,700290,10387.52,2026-04-23T22:02:37.147Z,bid-extra-60369151622,2026-04-23T23:55:14.039Z
8971228,700600,2033.92,2026-04-23T22:02:37.147Z,bid-extra-60369151632,2026-04-23T23:55:14.039Z
8971358,700910,2669.52,2026-04-23T22:02:37.147Z,bid-extra-60369151642,2026-04-23T23:55:14.039Z
8971618,701530,3940.7200000000003,2026-04-23T22:02:37.148Z,bid-extra-60369151662,2026-04-23T23:55:14.039Z
8971748,701840,4576.32,2026-04-23T22:02:37.148Z,bid-extra-60369151672,2026-04-23T23:55:14.039Z
8971878,702150,5211.92,2026-04-23T22:02:37.148Z,bid-extra-60369151682,2026-04-23T23:55:14.039Z
8972008,702460,5847.52,2026-04-23T22:02:37.148Z,bid-extra-60369151692,2026-04-23T23:55:14.039Z
8972268,703080,2578.7200000000003,2026-04-23T22:02:37.148Z,bid-extra-60369151712,2026-04-23T23:55:14.039Z
8972398,703390,3214.32,2026-04-23T22:02:37.148Z,bid-extra-60369151722,2026-04-23T23:55:14.039Z
8972528,703700,3849.92,2026-04-23T22:02:37.148Z,bid-extra-60369151732,2026-04-23T23:55:14.039Z
8972658,704010,4485.52,2026-04-23T22:02:37.148Z,bid-extra-60369151742,2026-04-23T23:55:14.039Z
8972918,704630,5756.72,2026-04-23T22:02:37.149Z,bid-extra-60369151762,2026-04-23T23:55:14.039Z
8973048,704940,6392.320000000001,2026-04-23T22:02:37.149Z,bid-extra-60369151772,2026-04-23T23:55:14.039Z
8973178,705250,7027.92,2026-04-23T22:02:37.149Z,bid-extra-60369151782,2026-04-23T23:55:14.039Z
8973308,705560,7663.52,2026-04-23T22:02:37.149Z,bid-extra-60369151792,2026-04-23T23:55:14.039Z
