auction,bidder,price,dateTime,extra,processed_time
1450168,150380,5756.72,2026-04-23T22:01:22.131Z,bid-extra-60361650012,2026-04-23T23:55:14.039Z
1450298,150690,6392.320000000001,2026-04-23T22:01:22.131Z,bid-extra-60361650022,2026-04-23T23:55:14.039Z
1450428,151000,7027.92,2026-04-23T22:01:22.131Z,bid-extra-60361650032,2026-04-23T23:55:14.039Z
1450558,151310,7663.52,2026-04-23T22:01:22.131Z,bid-extra-60361650042,2026-04-23T23:55:14.039Z
1450818,151930,8934.720000000001,2026-04-23T22:01:22.132Z,bid-extra-60361650062,2026-04-23T23:55:14.039Z
1450948,152240,9570.32,2026-04-23T22:01:22.132Z,bid-extra-60361650072,2026-04-23T23:55:14.039Z
1451078,152550,10205.92,2026-04-23T22:01:22.132Z,bid-extra-60361650082,2026-04-23T23:55:14.039Z
1451208,152860,10841.52,2026-04-23T22:01:22.132Z,bid-extra-60361650092,2026-04-23T23:55:14.039Z
1451468,153480,12112.720000000001,2026-04-23T22:01:22.132Z,bid-extra-60361650112,2026-04-23T23:55:14.039Z
1451598,153790,8208.32,2026-04-23T22:01:22.132Z,bid-extra-60361650122,2026-04-23T23:55:14.039Z
1451728,154100,8843.92,2026-04-23T22:01:22.132Z,bid-extra-60361650132,2026-04-23T23:55:14.039Z
1451858,154410,9479.52,2026-04-23T22:01:22.132Z,bid-extra-60361650142,2026-04-23T23:55:14.039Z
1452118,155030,1761.52,2026-04-23T22:01:22.133Z,bid-extra-60361650162,2026-04-23T23:55:14.039Z
1452248,155340,2397.12,2026-04-23T22:01:22.133Z,bid-extra-60361650172,2026-04-23T23:55:14.039Z
1452378,155650,3032.7200000000003,2026-04-23T22:01:22.133Z,bid-extra-60361650182,2026-04-23T23:55:14.039Z
1452508,155960,3668.32,2026-04-23T22:01:22.133Z,bid-extra-60361650192,2026-04-23T23:55:14.039Z
1452768,156580,4939.52,2026-04-23T22:01:22.133Z,bid-extra-60361650212,2026-04-23T23:55:14.039Z
1452898,156890,5575.12,2026-04-23T22:01:22.133Z,bid-extra-60361650222,2026-04-23T23:55:14.039Z
1453028,157200,6210.72,2026-04-23T22:01:22.133Z,bid-extra-60361650232,2026-04-23T23:55:14.039Z
1453158,157510,6846.320000000001,2026-04-23T22:01:22.133Z,bid-extra-60361650242,2026-04-23T23:55:14.039Z
1453418,158130,3577.52,2026-04-23T22:01:22.134Z,bid-extra-60361650262,2026-04-23T23:55:14.039Z
1453548,158440,4213.12,2026-04-23T22:01:22.134Z,bid-extra-60361650272,2026-04-23T23:55:14.039Z
1453678,158750,4848.72,2026-04-23T22:01:22.134Z,bid-extra-60361650282,2026-04-23T23:55:14.039Z
1453808,159060,5484.320000000001,2026-04-23T22:01:22.134Z,bid-extra-60361650292,2026-04-23T23:55:14.039Z
1454068,159680,6755.52,2026-04-23T22:01:22.134Z,bid-extra-60361650312,2026-04-23T23:55:14.039Z
1454198,159990,7391.12,2026-04-23T22:01:22.134Z,bid-extra-60361650322,2026-04-23T23:55:14.039Z
1454328,160300,8026.72,2026-04-23T22:01:22.134Z,bid-extra-60361650332,2026-04-23T23:55:14.039Z
1454458,160610,8662.32,2026-04-23T22:01:22.134Z,bid-extra-60361650342,2026-04-23T23:55:14.039Z
1454718,161230,9933.52,2026-04-23T22:01:22.135Z,bid-extra-60361650362,2026-04-23T23:55:14.039Z
1454848,161540,6029.12,2026-04-23T22:01:22.135Z,bid-extra-60361650372,2026-04-23T23:55:14.039Z
1454978,161850,6664.72,2026-04-23T22:01:22.135Z,bid-extra-60361650382,2026-04-23T23:55:14.039Z
1455108,162160,7300.320000000001,2026-04-23T22:01:22.135Z,bid-extra-60361650392,2026-04-23T23:55:14.039Z
1455368,162780,8571.52,2026-04-23T22:01:22.135Z,bid-extra-60361650412,2026-04-23T23:55:14.039Z
1455498,163090,9207.12,2026-04-23T22:01:22.135Z,bid-extra-60361650422,2026-04-23T23:55:14.039Z
1455628,163400,9842.720000000001,2026-04-23T22:01:22.135Z,bid-extra-60361650432,2026-04-23T23:55:14.039Z
1455758,163710,10478.32,2026-04-23T22:01:22.135Z,bid-extra-60361650442,2026-04-23T23:55:14.039Z
1456018,164330,11749.52,2026-04-23T22:01:22.136Z,bid-extra-60361650462,2026-04-23T23:55:14.039Z
1456148,164640,12385.12,2026-04-23T22:01:22.136Z,bid-extra-60361650472,2026-04-23T23:55:14.039Z
1456278,164950,13020.720000000001,2026-04-23T22:01:22.136Z,bid-extra-60361650482,2026-04-23T23:55:14.039Z
1456408,165260,9116.32,2026-04-23T22:01:22.136Z,bid-extra-60361650492,2026-04-23T23:55:14.039Z
1456668,165880,1398.32,2026-04-23T22:01:22.136Z,bid-extra-60361650512,2026-04-23T23:55:14.039Z
1456798,166190,2033.92,2026-04-23T22:01:22.136Z,bid-extra-60361650522,2026-04-23T23:55:14.039Z
1456928,166500,2669.52,2026-04-23T22:01:22.136Z,bid-extra-60361650532,2026-04-23T23:55:14.039Z
1457058,166810,3305.12,2026-04-23T22:01:22.136Z,bid-extra-60361650542,2026-04-23T23:55:14.039Z
1457318,167430,4576.32,2026-04-23T22:01:22.137Z,bid-extra-60361650562,2026-04-23T23:55:14.039Z
1457448,167740,5211.92,2026-04-23T22:01:22.137Z,bid-extra-60361650572,2026-04-23T23:55:14.039Z
1457578,168050,5847.52,2026-04-23T22:01:22.137Z,bid-extra-60361650582,2026-04-23T23:55:14.039Z
1457708,168360,6483.12,2026-04-23T22:01:22.137Z,bid-extra-60361650592,2026-04-23T23:55:14.039Z
1457968,168980,3214.32,2026-04-23T22:01:22.137Z,bid-extra-60361650612,2026-04-23T23:55:14.039Z
1458098,169290,3849.92,2026-04-23T22:01:22.137Z,bid-extra-60361650622,2026-04-23T23:55:14.039Z
1458228,169600,4485.52,2026-04-23T22:01:22.137Z,bid-extra-60361650632,2026-04-23T23:55:14.039Z
1458358,169910,5121.12,2026-04-23T22:01:22.137Z,bid-extra-60361650642,2026-04-23T23:55:14.039Z
1458618,170530,6392.320000000001,2026-04-23T22:01:22.138Z,bid-extra-60361650662,2026-04-23T23:55:14.039Z
1458748,170840,7027.92,2026-04-23T22:01:22.138Z,bid-extra-60361650672,2026-04-23T23:55:14.039Z
