auction,bidder,price,dateTime,extra,processed_time
3950168,650380,7845.12,2026-04-23T22:01:47.131Z,bid-extra-60364150012,2026-04-23T23:55:14.039Z
3950298,650690,8480.720000000001,2026-04-23T22:01:47.131Z,bid-extra-60364150022,2026-04-23T23:55:14.039Z
3950428,651000,9116.32,2026-04-23T22:01:47.131Z,bid-extra-60364150032,2026-04-23T23:55:14.039Z
3950558,651310,9751.92,2026-04-23T22:01:47.131Z,bid-extra-60364150042,2026-04-23T23:55:14.039Z
3950818,651930,11023.12,2026-04-23T22:01:47.132Z,bid-extra-60364150062,2026-04-23T23:55:14.039Z
3950948,652240,11658.720000000001,2026-04-23T22:01:47.132Z,bid-extra-60364150072,2026-04-23T23:55:14.039Z
3951078,652550,3305.12,2026-04-23T22:01:47.132Z,bid-extra-60364150082,2026-04-23T23:55:14.039Z
3951208,652860,3940.7200000000003,2026-04-23T22:01:47.132Z,bid-extra-60364150092,2026-04-23T23:55:14.039Z
3951468,653480,5211.92,2026-04-23T22:01:47.132Z,bid-extra-60364150112,2026-04-23T23:55:14.039Z
3951598,653790,1307.52,2026-04-23T22:01:47.132Z,bid-extra-60364150122,2026-04-23T23:55:14.039Z
3951728,654100,1943.1200000000001,2026-04-23T22:01:47.132Z,bid-extra-60364150132,2026-04-23T23:55:14.039Z
3951858,654410,2578.7200000000003,2026-04-23T22:01:47.132Z,bid-extra-60364150142,2026-04-23T23:55:14.039Z
3952118,655030,3849.92,2026-04-23T22:01:47.133Z,bid-extra-60364150162,2026-04-23T23:55:14.039Z
3952248,655340,4485.52,2026-04-23T22:01:47.133Z,bid-extra-60364150172,2026-04-23T23:55:14.039Z
3952378,655650,5121.12,2026-04-23T22:01:47.133Z,bid-extra-60364150182,2026-04-23T23:55:14.039Z
3952508,655960,5756.72,2026-04-23T22:01:47.133Z,bid-extra-60364150192,2026-04-23T23:55:14.039Z
3952768,656580,7027.92,2026-04-23T22:01:47.133Z,bid-extra-60364150212,2026-04-23T23:55:14.039Z
3952898,656890,7663.52,2026-04-23T22:01:47.133Z,bid-extra-60364150222,2026-04-23T23:55:14.039Z
3953028,657200,8299.12,2026-04-23T22:01:47.133Z,bid-extra-60364150232,2026-04-23T23:55:14.039Z
3953158,657510,8934.720000000001,2026-04-23T22:01:47.133Z,bid-extra-60364150242,2026-04-23T23:55:14.039Z
3953418,658130,5665.92,2026-04-23T22:01:47.134Z,bid-extra-60364150262,2026-04-23T23:55:14.039Z
3953548,658440,6301.52,2026-04-23T22:01:47.134Z,bid-extra-60364150272,2026-04-23T23:55:14.039Z
3953678,658750,6937.12,2026-04-23T22:01:47.134Z,bid-extra-60364150282,2026-04-23T23:55:14.039Z
3953808,659060,7572.72,2026-04-23T22:01:47.134Z,bid-extra-60364150292,2026-04-23T23:55:14.039Z
3954068,659680,8843.92,2026-04-23T22:01:47.134Z,bid-extra-60364150312,2026-04-23T23:55:14.039Z
3954198,659990,9479.52,2026-04-23T22:01:47.134Z,bid-extra-60364150322,2026-04-23T23:55:14.039Z
3954328,660300,10115.12,2026-04-23T22:01:47.134Z,bid-extra-60364150332,2026-04-23T23:55:14.039Z
3954458,660610,10750.720000000001,2026-04-23T22:01:47.134Z,bid-extra-60364150342,2026-04-23T23:55:14.039Z
3954718,661230,12021.92,2026-04-23T22:01:47.135Z,bid-extra-60364150362,2026-04-23T23:55:14.039Z
3954848,661540,8117.52,2026-04-23T22:01:47.135Z,bid-extra-60364150372,2026-04-23T23:55:14.039Z
3954978,661850,8753.12,2026-04-23T22:01:47.135Z,bid-extra-60364150382,2026-04-23T23:55:14.039Z
3955108,662160,9388.720000000001,2026-04-23T22:01:47.135Z,bid-extra-60364150392,2026-04-23T23:55:14.039Z
3955368,662780,10659.92,2026-04-23T22:01:47.135Z,bid-extra-60364150412,2026-04-23T23:55:14.039Z
3955498,663090,2306.32,2026-04-23T22:01:47.135Z,bid-extra-60364150422,2026-04-23T23:55:14.039Z
3955628,663400,2941.92,2026-04-23T22:01:47.135Z,bid-extra-60364150432,2026-04-23T23:55:14.039Z
3955758,663710,3577.52,2026-04-23T22:01:47.135Z,bid-extra-60364150442,2026-04-23T23:55:14.039Z
3956018,664330,4848.72,2026-04-23T22:01:47.136Z,bid-extra-60364150462,2026-04-23T23:55:14.039Z
3956148,664640,5484.320000000001,2026-04-23T22:01:47.136Z,bid-extra-60364150472,2026-04-23T23:55:14.039Z
3956278,664950,6119.92,2026-04-23T22:01:47.136Z,bid-extra-60364150482,2026-04-23T23:55:14.039Z
3956408,665260,2215.52,2026-04-23T22:01:47.136Z,bid-extra-60364150492,2026-04-23T23:55:14.039Z
3956668,665880,3486.7200000000003,2026-04-23T22:01:47.136Z,bid-extra-60364150512,2026-04-23T23:55:14.039Z
3956798,666190,4122.32,2026-04-23T22:01:47.136Z,bid-extra-60364150522,2026-04-23T23:55:14.039Z
3956928,666500,4757.92,2026-04-23T22:01:47.136Z,bid-extra-60364150532,2026-04-23T23:55:14.039Z
3957058,666810,5393.52,2026-04-23T22:01:47.136Z,bid-extra-60364150542,2026-04-23T23:55:14.039Z
3957318,667430,6664.72,2026-04-23T22:01:47.137Z,bid-extra-60364150562,2026-04-23T23:55:14.039Z
3957448,667740,7300.320000000001,2026-04-23T22:01:47.137Z,bid-extra-60364150572,2026-04-23T23:55:14.039Z
3957578,668050,7935.92,2026-04-23T22:01:47.137Z,bid-extra-60364150582,2026-04-23T23:55:14.039Z
3957708,668360,8571.52,2026-04-23T22:01:47.137Z,bid-extra-60364150592,2026-04-23T23:55:14.039Z
3957968,668980,5302.72,2026-04-23T22:01:47.137Z,bid-extra-60364150612,2026-04-23T23:55:14.039Z
3958098,669290,5938.320000000001,2026-04-23T22:01:47.137Z,bid-extra-60364150622,2026-04-23T23:55:14.039Z
3958228,669600,6573.92,2026-04-23T22:01:47.137Z,bid-extra-60364150632,2026-04-23T23:55:14.039Z
3958358,669910,7209.52,2026-04-23T22:01:47.137Z,bid-extra-60364150642,2026-04-23T23:55:14.039Z
3958618,670530,8480.720000000001,2026-04-23T22:01:47.138Z,bid-extra-60364150662,2026-04-23T23:55:14.039Z
3958748,670840,9116.32,2026-04-23T22:01:47.138Z,bid-extra-60364150672,2026-04-23T23:55:14.039Z
3958878,671150,9751.92,2026-04-23T22:01:47.138Z,bid-extra-60364150682,2026-04-23T23:55:14.039Z
3959008,671460,10387.52,2026-04-23T22:01:47.138Z,bid-extra-60364150692,2026-04-23T23:55:14.039Z
3959268,672080,11658.720000000001,2026-04-23T22:01:47.138Z,bid-extra-60364150712,2026-04-23T23:55:14.039Z
3959398,672390,12294.32,2026-04-23T22:01:47.138Z,bid-extra-60364150722,2026-04-23T23:55:14.039Z
3959528,672700,8389.92,2026-04-23T22:01:47.138Z,bid-extra-60364150732,2026-04-23T23:55:14.039Z
3959658,673010,9025.52,2026-04-23T22:01:47.138Z,bid-extra-60364150742,2026-04-23T23:55:14.039Z
3959918,673630,1307.52,2026-04-23T22:01:47.139Z,bid-extra-60364150762,2026-04-23T23:55:14.039Z
3960048,673940,1943.1200000000001,2026-04-23T22:01:47.139Z,bid-extra-60364150772,2026-04-23T23:55:14.039Z
