auction,bidder,price,dateTime,extra,processed_time
7700168,900380,2941.92,2026-04-23T21:59:54.631Z,bid-extra-60352900012,2026-04-23T23:55:14.039Z
7700298,900690,3577.52,2026-04-23T21:59:54.631Z,bid-extra-60352900022,2026-04-23T23:55:14.039Z
7700428,901000,4213.12,2026-04-23T21:59:54.631Z,bid-extra-60352900032,2026-04-23T23:55:14.039Z
7700558,901310,4848.72,2026-04-23T21:59:54.631Z,bid-extra-60352900042,2026-04-23T23:55:14.039Z
7700818,901930,6119.92,2026-04-23T21:59:54.632Z,bid-extra-60352900062,2026-04-23T23:55:14.039Z
7700948,902240,6755.52,2026-04-23T21:59:54.632Z,bid-extra-60352900072,2026-04-23T23:55:14.039Z
7701078,902550,7391.12,2026-04-23T21:59:54.632Z,bid-extra-60352900082,2026-04-23T23:55:14.039Z
7701208,902860,8026.72,2026-04-23T21:59:54.632Z,bid-extra-60352900092,2026-04-23T23:55:14.039Z
7701468,903480,9297.92,2026-04-23T21:59:54.632Z,bid-extra-60352900112,2026-04-23T23:55:14.039Z
7701598,903790,5393.52,2026-04-23T21:59:54.632Z,bid-extra-60352900122,2026-04-23T23:55:14.039Z
7701728,904100,6029.12,2026-04-23T21:59:54.632Z,bid-extra-60352900132,2026-04-23T23:55:14.039Z
7701858,904410,6664.72,2026-04-23T21:59:54.632Z,bid-extra-60352900142,2026-04-23T23:55:14.039Z
7702118,905030,7935.92,2026-04-23T21:59:54.633Z,bid-extra-60352900162,2026-04-23T23:55:14.039Z
7702248,905340,8571.52,2026-04-23T21:59:54.633Z,bid-extra-60352900172,2026-04-23T23:55:14.039Z
7702378,905650,9207.12,2026-04-23T21:59:54.633Z,bid-extra-60352900182,2026-04-23T23:55:14.039Z
7702508,905960,9842.720000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900192,2026-04-23T23:55:14.039Z
7702768,906580,11113.92,2026-04-23T21:59:54.633Z,bid-extra-60352900212,2026-04-23T23:55:14.039Z
7702898,906890,11749.52,2026-04-23T21:59:54.633Z,bid-extra-60352900222,2026-04-23T23:55:14.039Z
7703028,907200,12385.12,2026-04-23T21:59:54.633Z,bid-extra-60352900232,2026-04-23T23:55:14.039Z
7703158,907510,13020.720000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900242,2026-04-23T23:55:14.039Z
7703418,908130,9751.92,2026-04-23T21:59:54.634Z,bid-extra-60352900262,2026-04-23T23:55:14.039Z
7703548,908440,1398.32,2026-04-23T21:59:54.634Z,bid-extra-60352900272,2026-04-23T23:55:14.039Z
7703678,908750,2033.92,2026-04-23T21:59:54.634Z,bid-extra-60352900282,2026-04-23T23:55:14.039Z
7703808,909060,2669.52,2026-04-23T21:59:54.634Z,bid-extra-60352900292,2026-04-23T23:55:14.039Z
7704068,909680,3940.7200000000003,2026-04-23T21:59:54.634Z,bid-extra-60352900312,2026-04-23T23:55:14.039Z
7704198,909990,4576.32,2026-04-23T21:59:54.634Z,bid-extra-60352900322,2026-04-23T23:55:14.039Z
7704328,910300,5211.92,2026-04-23T21:59:54.634Z,bid-extra-60352900332,2026-04-23T23:55:14.039Z
7704458,910610,5847.52,2026-04-23T21:59:54.634Z,bid-extra-60352900342,2026-04-23T23:55:14.039Z
7704718,911230,7118.72,2026-04-23T21:59:54.635Z,bid-extra-60352900362,2026-04-23T23:55:14.039Z
7704848,911540,3214.32,2026-04-23T21:59:54.635Z,bid-extra-60352900372,2026-04-23T23:55:14.039Z
7704978,911850,3849.92,2026-04-23T21:59:54.635Z,bid-extra-60352900382,2026-04-23T23:55:14.039Z
7705108,912160,4485.52,2026-04-23T21:59:54.635Z,bid-extra-60352900392,2026-04-23T23:55:14.039Z
7705368,912780,5756.72,2026-04-23T21:59:54.635Z,bid-extra-60352900412,2026-04-23T23:55:14.039Z
7705498,913090,6392.320000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900422,2026-04-23T23:55:14.039Z
7705628,913400,7027.92,2026-04-23T21:59:54.635Z,bid-extra-60352900432,2026-04-23T23:55:14.039Z
7705758,913710,7663.52,2026-04-23T21:59:54.635Z,bid-extra-60352900442,2026-04-23T23:55:14.039Z
7706018,914330,8934.720000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900462,2026-04-23T23:55:14.039Z
7706148,914640,9570.32,2026-04-23T21:59:54.636Z,bid-extra-60352900472,2026-04-23T23:55:14.039Z
7706278,914950,10205.92,2026-04-23T21:59:54.636Z,bid-extra-60352900482,2026-04-23T23:55:14.039Z
7706408,915260,6301.52,2026-04-23T21:59:54.636Z,bid-extra-60352900492,2026-04-23T23:55:14.039Z
7706668,915880,7572.72,2026-04-23T21:59:54.636Z,bid-extra-60352900512,2026-04-23T23:55:14.039Z
