auction,bidder,price,dateTime,extra,processed_time
5200168,400380,8571.52,2026-04-23T22:02:49.631Z,bid-extra-60370400012,2026-04-23T23:55:14.039Z
5200298,400690,9207.12,2026-04-23T22:02:49.631Z,bid-extra-60370400022,2026-04-23T23:55:14.039Z
5200428,401000,9842.720000000001,2026-04-23T22:02:49.631Z,bid-extra-60370400032,2026-04-23T23:55:14.039Z
5200558,401310,10478.32,2026-04-23T22:02:49.631Z,bid-extra-60370400042,2026-04-23T23:55:14.039Z
5200818,401930,2760.32,2026-04-23T22:02:49.632Z,bid-extra-60370400062,2026-04-23T23:55:14.039Z
5200948,402240,3395.92,2026-04-23T22:02:49.632Z,bid-extra-60370400072,2026-04-23T23:55:14.039Z
5201078,402550,4031.52,2026-04-23T22:02:49.632Z,bid-extra-60370400082,2026-04-23T23:55:14.039Z
5201208,402860,4667.12,2026-04-23T22:02:49.632Z,bid-extra-60370400092,2026-04-23T23:55:14.039Z
5201468,403480,5938.320000000001,2026-04-23T22:02:49.632Z,bid-extra-60370400112,2026-04-23T23:55:14.039Z
5201598,403790,2033.92,2026-04-23T22:02:49.632Z,bid-extra-60370400122,2026-04-23T23:55:14.039Z
5201728,404100,2669.52,2026-04-23T22:02:49.632Z,bid-extra-60370400132,2026-04-23T23:55:14.039Z
5201858,404410,3305.12,2026-04-23T22:02:49.632Z,bid-extra-60370400142,2026-04-23T23:55:14.039Z
5202118,405030,4576.32,2026-04-23T22:02:49.633Z,bid-extra-60370400162,2026-04-23T23:55:14.039Z
5202248,405340,5211.92,2026-04-23T22:02:49.633Z,bid-extra-60370400172,2026-04-23T23:55:14.039Z
5202378,405650,5847.52,2026-04-23T22:02:49.633Z,bid-extra-60370400182,2026-04-23T23:55:14.039Z
5202508,405960,6483.12,2026-04-23T22:02:49.633Z,bid-extra-60370400192,2026-04-23T23:55:14.039Z
5202768,406580,7754.320000000001,2026-04-23T22:02:49.633Z,bid-extra-60370400212,2026-04-23T23:55:14.039Z
5202898,406890,8389.92,2026-04-23T22:02:49.633Z,bid-extra-60370400222,2026-04-23T23:55:14.039Z
5203028,407200,9025.52,2026-04-23T22:02:49.633Z,bid-extra-60370400232,2026-04-23T23:55:14.039Z
5203158,407510,9661.12,2026-04-23T22:02:49.633Z,bid-extra-60370400242,2026-04-23T23:55:14.039Z
5203418,408130,6392.320000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400262,2026-04-23T23:55:14.039Z
5203548,408440,7027.92,2026-04-23T22:02:49.634Z,bid-extra-60370400272,2026-04-23T23:55:14.039Z
5203678,408750,7663.52,2026-04-23T22:02:49.634Z,bid-extra-60370400282,2026-04-23T23:55:14.039Z
5203808,409060,8299.12,2026-04-23T22:02:49.634Z,bid-extra-60370400292,2026-04-23T23:55:14.039Z
5204068,409680,9570.32,2026-04-23T22:02:49.634Z,bid-extra-60370400312,2026-04-23T23:55:14.039Z
5204198,409990,10205.92,2026-04-23T22:02:49.634Z,bid-extra-60370400322,2026-04-23T23:55:14.039Z
5204328,410300,10841.52,2026-04-23T22:02:49.634Z,bid-extra-60370400332,2026-04-23T23:55:14.039Z
5204458,410610,11477.12,2026-04-23T22:02:49.634Z,bid-extra-60370400342,2026-04-23T23:55:14.039Z
5204718,411230,12748.32,2026-04-23T22:02:49.635Z,bid-extra-60370400362,2026-04-23T23:55:14.039Z
5204848,411540,8843.92,2026-04-23T22:02:49.635Z,bid-extra-60370400372,2026-04-23T23:55:14.039Z
5204978,411850,9479.52,2026-04-23T22:02:49.635Z,bid-extra-60370400382,2026-04-23T23:55:14.039Z
5205108,412160,1125.92,2026-04-23T22:02:49.635Z,bid-extra-60370400392,2026-04-23T23:55:14.039Z
5205368,412780,2397.12,2026-04-23T22:02:49.635Z,bid-extra-60370400412,2026-04-23T23:55:14.039Z
5205498,413090,3032.7200000000003,2026-04-23T22:02:49.635Z,bid-extra-60370400422,2026-04-23T23:55:14.039Z
5205628,413400,3668.32,2026-04-23T22:02:49.635Z,bid-extra-60370400432,2026-04-23T23:55:14.039Z
5205758,413710,4303.92,2026-04-23T22:02:49.635Z,bid-extra-60370400442,2026-04-23T23:55:14.039Z
5206018,414330,5575.12,2026-04-23T22:02:49.636Z,bid-extra-60370400462,2026-04-23T23:55:14.039Z
5206148,414640,6210.72,2026-04-23T22:02:49.636Z,bid-extra-60370400472,2026-04-23T23:55:14.039Z
5206278,414950,6846.320000000001,2026-04-23T22:02:49.636Z,bid-extra-60370400482,2026-04-23T23:55:14.039Z
5206408,415260,2941.92,2026-04-23T22:02:49.636Z,bid-extra-60370400492,2026-04-23T23:55:14.039Z
5206668,415880,4213.12,2026-04-23T22:02:49.636Z,bid-extra-60370400512,2026-04-23T23:55:14.039Z
5206798,416190,4848.72,2026-04-23T22:02:49.636Z,bid-extra-60370400522,2026-04-23T23:55:14.039Z
5206928,416500,5484.320000000001,2026-04-23T22:02:49.636Z,bid-extra-60370400532,2026-04-23T23:55:14.039Z
5207058,416810,6119.92,2026-04-23T22:02:49.636Z,bid-extra-60370400542,2026-04-23T23:55:14.039Z
5207318,417430,7391.12,2026-04-23T22:02:49.637Z,bid-extra-60370400562,2026-04-23T23:55:14.039Z
5207448,417740,8026.72,2026-04-23T22:02:49.637Z,bid-extra-60370400572,2026-04-23T23:55:14.039Z
5207578,418050,8662.32,2026-04-23T22:02:49.637Z,bid-extra-60370400582,2026-04-23T23:55:14.039Z
5207708,418360,9297.92,2026-04-23T22:02:49.637Z,bid-extra-60370400592,2026-04-23T23:55:14.039Z
5207968,418980,6029.12,2026-04-23T22:02:49.637Z,bid-extra-60370400612,2026-04-23T23:55:14.039Z
5208098,419290,6664.72,2026-04-23T22:02:49.637Z,bid-extra-60370400622,2026-04-23T23:55:14.039Z
5208228,419600,7300.320000000001,2026-04-23T22:02:49.637Z,bid-extra-60370400632,2026-04-23T23:55:14.039Z
5208358,419910,7935.92,2026-04-23T22:02:49.637Z,bid-extra-60370400642,2026-04-23T23:55:14.039Z
5208618,420530,9207.12,2026-04-23T22:02:49.638Z,bid-extra-60370400662,2026-04-23T23:55:14.039Z
5208748,420840,9842.720000000001,2026-04-23T22:02:49.638Z,bid-extra-60370400672,2026-04-23T23:55:14.039Z
5208878,421150,10478.32,2026-04-23T22:02:49.638Z,bid-extra-60370400682,2026-04-23T23:55:14.039Z
5209008,421460,11113.92,2026-04-23T22:02:49.638Z,bid-extra-60370400692,2026-04-23T23:55:14.039Z
5209268,422080,12385.12,2026-04-23T22:02:49.638Z,bid-extra-60370400712,2026-04-23T23:55:14.039Z
5209398,422390,13020.720000000001,2026-04-23T22:02:49.638Z,bid-extra-60370400722,2026-04-23T23:55:14.039Z
5209528,422700,127.12,2026-04-23T22:02:49.638Z,bid-extra-60370400732,2026-04-23T23:55:14.039Z
5209658,423010,762.72,2026-04-23T22:02:49.638Z,bid-extra-60370400742,2026-04-23T23:55:14.039Z
5209918,423630,2033.92,2026-04-23T22:02:49.639Z,bid-extra-60370400762,2026-04-23T23:55:14.039Z
5210048,423940,2669.52,2026-04-23T22:02:49.639Z,bid-extra-60370400772,2026-04-23T23:55:14.039Z
5210178,424250,3305.12,2026-04-23T22:02:49.639Z,bid-extra-60370400782,2026-04-23T23:55:14.039Z
5210308,424560,3940.7200000000003,2026-04-23T22:02:49.639Z,bid-extra-60370400792,2026-04-23T23:55:14.039Z
5210568,425180,5211.92,2026-04-23T22:02:49.639Z,bid-extra-60370400812,2026-04-23T23:55:14.039Z
5210698,425490,5847.52,2026-04-23T22:02:49.639Z,bid-extra-60370400822,2026-04-23T23:55:14.039Z
5210828,425800,6483.12,2026-04-23T22:02:49.639Z,bid-extra-60370400832,2026-04-23T23:55:14.039Z
5210958,426110,7118.72,2026-04-23T22:02:49.639Z,bid-extra-60370400842,2026-04-23T23:55:14.039Z
5211218,426730,3849.92,2026-04-23T22:02:49.640Z,bid-extra-60370400862,2026-04-23T23:55:14.039Z
5211348,427040,4485.52,2026-04-23T22:02:49.640Z,bid-extra-60370400872,2026-04-23T23:55:14.039Z
5211478,427350,5121.12,2026-04-23T22:02:49.640Z,bid-extra-60370400882,2026-04-23T23:55:14.039Z
5211608,427660,5756.72,2026-04-23T22:02:49.640Z,bid-extra-60370400892,2026-04-23T23:55:14.039Z
5211868,428280,7027.92,2026-04-23T22:02:49.640Z,bid-extra-60370400912,2026-04-23T23:55:14.039Z
5211998,428590,7663.52,2026-04-23T22:02:49.640Z,bid-extra-60370400922,2026-04-23T23:55:14.039Z
5212128,428900,8299.12,2026-04-23T22:02:49.640Z,bid-extra-60370400932,2026-04-23T23:55:14.039Z
5212258,429210,8934.720000000001,2026-04-23T22:02:49.640Z,bid-extra-60370400942,2026-04-23T23:55:14.039Z
5212518,429830,10205.92,2026-04-23T22:02:49.641Z,bid-extra-60370400962,2026-04-23T23:55:14.039Z
5212648,430140,10841.52,2026-04-23T22:02:49.641Z,bid-extra-60370400972,2026-04-23T23:55:14.039Z
5212778,430450,6937.12,2026-04-23T22:02:49.641Z,bid-extra-60370400982,2026-04-23T23:55:14.039Z
5212908,430760,7572.72,2026-04-23T22:02:49.641Z,bid-extra-60370400992,2026-04-23T23:55:14.039Z
5213168,431380,8843.92,2026-04-23T22:02:49.641Z,bid-extra-60370401012,2026-04-23T23:55:14.039Z
5213298,431690,9479.52,2026-04-23T22:02:49.641Z,bid-extra-60370401022,2026-04-23T23:55:14.039Z
5213428,432000,10115.12,2026-04-23T22:02:49.641Z,bid-extra-60370401032,2026-04-23T23:55:14.039Z
5213558,432310,10750.720000000001,2026-04-23T22:02:49.641Z,bid-extra-60370401042,2026-04-23T23:55:14.039Z
5213818,432930,12021.92,2026-04-23T22:02:49.642Z,bid-extra-60370401062,2026-04-23T23:55:14.039Z
5213948,433240,12657.52,2026-04-23T22:02:49.642Z,bid-extra-60370401072,2026-04-23T23:55:14.039Z
5214078,433550,4303.92,2026-04-23T22:02:49.642Z,bid-extra-60370401082,2026-04-23T23:55:14.039Z
5214208,433860,4939.52,2026-04-23T22:02:49.642Z,bid-extra-60370401092,2026-04-23T23:55:14.039Z
5214468,434480,1670.72,2026-04-23T22:02:49.642Z,bid-extra-60370401112,2026-04-23T23:55:14.039Z
5214598,434790,2306.32,2026-04-23T22:02:49.642Z,bid-extra-60370401122,2026-04-23T23:55:14.039Z
5214728,435100,2941.92,2026-04-23T22:02:49.642Z,bid-extra-60370401132,2026-04-23T23:55:14.039Z
5214858,435410,3577.52,2026-04-23T22:02:49.642Z,bid-extra-60370401142,2026-04-23T23:55:14.039Z
5215118,436030,4848.72,2026-04-23T22:02:49.643Z,bid-extra-60370401162,2026-04-23T23:55:14.039Z
5215248,436340,5484.320000000001,2026-04-23T22:02:49.643Z,bid-extra-60370401172,2026-04-23T23:55:14.039Z
5215378,436650,6119.92,2026-04-23T22:02:49.643Z,bid-extra-60370401182,2026-04-23T23:55:14.039Z
5215508,436960,6755.52,2026-04-23T22:02:49.643Z,bid-extra-60370401192,2026-04-23T23:55:14.039Z
5215768,437580,8026.72,2026-04-23T22:02:49.643Z,bid-extra-60370401212,2026-04-23T23:55:14.039Z
5215898,437890,4122.32,2026-04-23T22:02:49.643Z,bid-extra-60370401222,2026-04-23T23:55:14.039Z
5216028,438200,4757.92,2026-04-23T22:02:49.643Z,bid-extra-60370401232,2026-04-23T23:55:14.039Z
5216158,438510,5393.52,2026-04-23T22:02:49.643Z,bid-extra-60370401242,2026-04-23T23:55:14.039Z
5216418,439130,6664.72,2026-04-23T22:02:49.644Z,bid-extra-60370401262,2026-04-23T23:55:14.039Z
5216548,439440,7300.320000000001,2026-04-23T22:02:49.644Z,bid-extra-60370401272,2026-04-23T23:55:14.039Z
5216678,439750,7935.92,2026-04-23T22:02:49.644Z,bid-extra-60370401282,2026-04-23T23:55:14.039Z
5216808,440060,8571.52,2026-04-23T22:02:49.644Z,bid-extra-60370401292,2026-04-23T23:55:14.039Z
5217068,440680,9842.720000000001,2026-04-23T22:02:49.644Z,bid-extra-60370401312,2026-04-23T23:55:14.039Z
5217198,440990,10478.32,2026-04-23T22:02:49.644Z,bid-extra-60370401322,2026-04-23T23:55:14.039Z
5217328,441300,11113.92,2026-04-23T22:02:49.644Z,bid-extra-60370401332,2026-04-23T23:55:14.039Z
5217458,441610,7209.52,2026-04-23T22:02:49.644Z,bid-extra-60370401342,2026-04-23T23:55:14.039Z
5217718,442230,8480.720000000001,2026-04-23T22:02:49.645Z,bid-extra-60370401362,2026-04-23T23:55:14.039Z
5217848,442540,9116.32,2026-04-23T22:02:49.645Z,bid-extra-60370401372,2026-04-23T23:55:14.039Z
5217978,442850,9751.92,2026-04-23T22:02:49.645Z,bid-extra-60370401382,2026-04-23T23:55:14.039Z
5218108,443160,10387.52,2026-04-23T22:02:49.645Z,bid-extra-60370401392,2026-04-23T23:55:14.039Z
5218368,443780,11658.720000000001,2026-04-23T22:02:49.645Z,bid-extra-60370401412,2026-04-23T23:55:14.039Z
5218498,444090,3305.12,2026-04-23T22:02:49.645Z,bid-extra-60370401422,2026-04-23T23:55:14.039Z
5218628,444400,3940.7200000000003,2026-04-23T22:02:49.645Z,bid-extra-60370401432,2026-04-23T23:55:14.039Z
5218758,444710,4576.32,2026-04-23T22:02:49.645Z,bid-extra-60370401442,2026-04-23T23:55:14.039Z
5219018,445330,5847.52,2026-04-23T22:02:49.646Z,bid-extra-60370401462,2026-04-23T23:55:14.039Z
5219148,445640,1943.1200000000001,2026-04-23T22:02:49.646Z,bid-extra-60370401472,2026-04-23T23:55:14.039Z
5219278,445950,2578.7200000000003,2026-04-23T22:02:49.646Z,bid-extra-60370401482,2026-04-23T23:55:14.039Z
5219408,446260,3214.32,2026-04-23T22:02:49.646Z,bid-extra-60370401492,2026-04-23T23:55:14.039Z
5219668,446880,4485.52,2026-04-23T22:02:49.646Z,bid-extra-60370401512,2026-04-23T23:55:14.039Z
5219798,447190,5121.12,2026-04-23T22:02:49.646Z,bid-extra-60370401522,2026-04-23T23:55:14.039Z
5219928,447500,5756.72,2026-04-23T22:02:49.646Z,bid-extra-60370401532,2026-04-23T23:55:14.039Z
5220058,447810,6392.320000000001,2026-04-23T22:02:49.646Z,bid-extra-60370401542,2026-04-23T23:55:14.039Z
5220318,448430,7663.52,2026-04-23T22:02:49.647Z,bid-extra-60370401562,2026-04-23T23:55:14.039Z
5220448,448740,8299.12,2026-04-23T22:02:49.647Z,bid-extra-60370401572,2026-04-23T23:55:14.039Z
5220578,449050,8934.720000000001,2026-04-23T22:02:49.647Z,bid-extra-60370401582,2026-04-23T23:55:14.039Z
5220708,449360,5030.32,2026-04-23T22:02:49.647Z,bid-extra-60370401592,2026-04-23T23:55:14.039Z
